,open,high,low,close,volume
2000-08-11,75.09375,75.281247,74.718747,74.999997,16400
2000-08-14,74.906253,75.187503,74.906253,74.999997,58666
2000-08-15,75.375,76.21875,75.375,75.843747,36600
2000-08-16,76.124997,77.437503,76.124997,76.875003,150533
2000-08-17,76.875003,76.875003,75.187503,75.750003,25200
2000-08-18,75.375,77.90625,75.375,77.625,49933
2000-08-21,78.000003,78.000003,75.843747,76.312503,39133
2000-08-22,76.21875,76.312503,75.468753,75.65625,78933
2000-08-23,75.65625,75.9375,75.468753,75.65625,25400
2000-08-24,75.562497,75.562497,74.53125,74.718747,55200
2000-08-25,74.718747,74.906253,74.437497,74.906253,139466
2000-08-28,74.718747,74.906253,74.625003,74.625003,19933
2000-08-29,74.343753,74.999997,74.343753,74.999997,28266
2000-08-30,74.8125,76.875003,74.8125,76.875003,48800
2000-08-31,76.5,76.5,75.750003,76.031253,92400
2000-09-01,76.124997,76.124997,74.156247,75.281247,48866
2000-09-05,74.906253,74.999997,74.53125,74.718747,97133
2000-09-06,75.468753,75.468753,74.156247,74.25,37600
2000-09-07,74.25,74.25,72.937503,74.25,40066
2000-09-08,74.25,74.25,73.312497,73.40625,36000
2000-09-11,75.375,76.875003,75.375,76.5,92400
2000-09-12,76.21875,76.406247,75.65625,75.843747,23133
2000-09-13,75.65625,76.031253,75.375,76.031253,58933
2000-09-14,75.65625,76.031253,75.468753,76.031253,32066
2000-09-15,76.21875,76.21875,75.09375,75.187503,19533
2000-09-18,74.999997,74.999997,73.500003,73.874997,62400
2000-09-19,74.062503,74.062503,71.531253,72.187497,84200
2000-09-20,71.624997,72.656253,71.624997,72.468747,59733
2000-09-21,72.468747,72.468747,71.343747,72.0,18333
2000-09-22,71.71875,72.28125,71.15625,72.28125,80600
2000-09-25,72.375003,73.031247,72.28125,72.656253,23666
2000-09-26,72.656253,74.062503,72.468747,73.40625,30466
2000-09-27,73.593747,74.8125,73.500003,74.625003,39533
2000-09-28,74.999997,77.437503,74.999997,77.249997,61933
2000-09-29,77.249997,81.28125,77.0625,81.0,79333
