,open,high,low,close,volume
2000-08-11,53.0,53.625,53.0,53.3125,518400
2000-08-14,53.0625,53.5,52.25,53.5,406500
2000-08-15,53.25,53.25,52.3125,53.0,761300
2000-08-16,53.0625,53.125,52.3125,52.5,1214800
2000-08-17,52.5,52.5,51.0625,51.3125,688200
2000-08-18,51.0625,51.1875,50.1875,50.25,691300
2000-08-21,50.5,50.6875,50.0,50.5,565400
2000-08-22,49.9375,51.4375,49.9375,51.375,857000
2000-08-23,51.125,51.3125,50.125,50.625,456100
2000-08-24,50.125,50.625,49.75,50.1875,409600
2000-08-25,50.375,50.4375,49.875,50.125,335500
2000-08-28,50.0,51.125,50.0,50.4375,426300
2000-08-29,50.1875,50.25,49.3125,49.6875,276700
2000-08-30,49.125,50.4375,49.125,49.5625,352600
2000-08-31,49.0,50.8125,49.0,49.39063,982900
2000-09-01,49.75,49.9375,48.75,48.9375,492500
2000-09-05,49.0625,50.0,48.5,49.3125,642600
2000-09-06,49.8125,51.6875,49.8125,51.4375,1313000
2000-09-07,51.4375,52.1875,51.375,52.1875,1122100
2000-09-08,51.9375,53.625,51.8125,53.625,784200
2000-09-11,53.125,54.1875,53.125,53.5,760700
2000-09-12,53.4375,53.5,52.1875,52.75,753400
2000-09-13,53.0625,53.6875,52.75,52.875,488200
2000-09-14,52.875,52.9375,52.0,52.125,729100
2000-09-15,51.5,51.9375,50.5,50.5625,998900
2000-09-18,51.25,51.25,49.5,49.625,618900
2000-09-19,49.5625,50.6875,49.25,50.375,601900
2000-09-20,50.625,50.625,48.6875,49.6875,559600
2000-09-21,49.9375,49.9375,48.4375,49.9375,953100
2000-09-22,49.9375,50.0,48.625,49.3125,1148600
2000-09-25,49.4375,49.75,48.6875,49.5,592900
2000-09-26,49.3125,49.4375,48.375,48.625,801300
2000-09-27,48.375,49.0,47.1875,48.9375,1012200
2000-09-28,48.9375,51.5,48.9375,50.8125,994300
2000-09-29,50.75,51.375,49.6875,49.875,1009000
2000-10-02,49.875,50.375,49.4375,50.0625,986600
2000-10-03,50.1875,51.5625,50.0625,51.0,594500
2000-10-04,50.875,52.3125,50.1875,50.625,633800
2000-10-05,50.4375,52.0625,49.25,49.25,885500
2000-10-06,49.625,49.625,47.5625,48.0625,754700
2000-10-09,48.3125,48.3125,46.875,47.125,544400
2000-10-10,47.0,47.0625,45.75,46.0625,1833300
2000-10-11,46.0625,46.375,43.875,45.0,918300
2000-10-12,44.875,45.25,42.5,42.5625,931500
2000-10-13,42.9375,45.3125,42.875,45.0625,1124900
2000-10-16,45.0625,46.0625,44.5,45.875,1003100
2000-10-17,45.8125,46.5625,43.8125,43.875,841200
2000-10-18,43.3125,44.625,41.625,43.8125,1063500
2000-10-19,43.875,45.4375,43.875,44.875,664000
2000-10-20,44.375,44.8125,44.375,44.5,621200
2000-10-23,44.5,44.5,43.75,44.0,643700
2000-10-24,44.8125,45.4375,44.75,45.25,740700
2000-10-25,45.3125,46.5,45.25,45.875,603100
2000-10-26,45.5,45.6875,44.375,45.0625,878700
2000-10-27,44.8125,46.3125,44.8125,46.0625,773000
2000-10-30,46.875,48.6875,46.875,48.4375,646600
2000-10-31,48.25,49.0,47.0625,48.8125,619700
2000-11-01,48.75,49.4375,47.8125,48.3125,883800
2000-11-02,48.4375,49.75,48.4375,48.625,738900
2000-11-03,49.0625,49.125,48.125,48.9375,520800
2000-11-06,48.8125,49.5,48.75,49.5,727000
2000-11-07,49.75,50.125,49.4375,50.0625,1344000
2000-11-08,50.5,50.625,49.1875,50.1875,835000
2000-11-09,50.1875,52.8125,50.1875,52.8125,1509800
2000-11-10,52.625,53.0,51.625,51.9375,1015300
2000-11-13,51.5,51.875,50.6875,51.3125,875700
2000-11-14,51.4375,52.25,50.625,51.125,815700
2000-11-15,49.8125,49.875,48.0,48.6875,2000900
2000-11-16,47.875,48.625,47.875,48.4375,1188800
2000-11-17,48.5,49.0,47.125,47.5,1038100
2000-11-20,47.25,47.3125,45.625,46.25,1330600
2000-11-21,46.5,47.125,45.6875,47.125,1005300
2000-11-22,46.5625,46.75,45.5625,46.4375,622200
2000-11-24,46.6875,47.25,46.6875,47.1875,227400
2000-11-27,47.625,48.25,47.375,47.875,511200
2000-11-28,47.875,49.5,47.625,48.625,891200
2000-11-29,48.125,51.0,48.0625,51.0,944900
2000-11-30,51.25,51.8125,48.875,50.8125,1127400
2000-12-01,51.0625,51.5625,50.3125,50.3125,610200
2000-12-04,50.0,50.125,49.0,50.0625,662200
2000-12-05,50.0625,51.8125,49.1875,51.1875,1091400
2000-12-06,51.125,53.5,49.875,50.5625,2445700
2000-12-07,50.5625,52.0625,49.5,51.0625,1132100
2000-12-08,51.8125,52.8125,51.3125,51.8125,707600
2000-12-11,52.75,54.75,51.875,54.5625,1195700
2000-12-12,53.75,54.5,53.0,53.5625,781400
2000-12-13,54.5,54.5625,52.6875,53.0,700300
2000-12-14,52.25,52.5625,51.0,52.5625,974800
2000-12-15,50.75,53.375,50.75,52.9375,1710800
2000-12-18,54.0,56.125,53.1875,56.0,1559800
2000-12-19,55.25,58.375,55.1875,56.8125,1806800
2000-12-20,55.375,59.1875,55.125,59.125,2402200
2000-12-21,59.0,60.5625,58.0625,60.5625,1688100
2000-12-22,60.0,62.1875,60.0,62.125,1240700
2000-12-26,62.125,64.125,62.0,64.125,837700
2000-12-27,63.75,64.0625,62.75,63.5,1129700
2000-12-28,62.9375,64.375,62.9375,63.75,951300
2000-12-29,63.0,64.25,63.0,63.0,1167800
2001-01-02,62.1875,62.5,61.5,61.8125,983800
2001-01-03,61.75,64.0625,59.75,64.0,1485800
2001-01-04,63.6875,65.6875,63.625,65.25,1942000
2001-01-05,64.3125,64.4375,62.5,62.9375,1238000
2001-01-08,62.25,62.5625,60.3125,61.0625,1204300
2001-01-09,61.0625,61.9375,59.5625,60.8125,987300
2001-01-10,61.25,63.625,61.0,62.625,1716100
2001-01-11,63.1875,63.9375,62.0,62.3125,892600
