,open,high,low,close,volume
2000-08-11,122.9375,124.6875,122.0625,123.375,41900
2000-08-14,123.375,124.6875,119.4375,122.0625,131342
2000-08-15,119.875,119.875,113.3125,113.75,245585
2000-08-16,115.0625,121.625,114.625,119.0,144842
2000-08-17,119.875,121.625,115.5,116.375,64885
2000-08-18,115.5,116.15625,113.75,115.5,51471
2000-08-21,115.0625,115.9375,111.125,112.0,124414
2000-08-22,111.125,114.1875,104.5625,113.3125,290900
2000-08-23,112.4375,112.875,108.9375,110.25,131242
2000-08-24,108.5,111.125,105.4375,105.875,165971
2000-08-25,106.75,107.1875,103.25,104.5625,106771
2000-08-28,104.5625,107.1875,104.125,105.875,73528
2000-08-29,105.875,106.75,104.5625,105.0,81742
2000-08-30,103.25,106.3125,103.25,105.0,97300
2000-08-31,105.875,106.75,104.125,104.67191,88185
2000-09-01,105.0,107.1875,103.6875,105.0,113685
2000-09-05,105.0,105.0,102.8125,103.25,119128
2000-09-06,104.125,106.3125,103.6875,105.0,105657
2000-09-07,105.0,107.625,104.5625,106.3125,99028
2000-09-08,106.3125,107.625,105.875,106.3125,40857
2000-09-11,106.3125,109.8125,105.4375,108.9375,95457
2000-09-12,109.8125,112.4375,107.625,110.6875,77114
2000-09-13,109.8125,112.4375,109.8125,110.6875,68385
2000-09-14,110.6875,110.6875,106.3125,107.625,38857
2000-09-15,106.75,113.3125,106.75,110.6875,136142
2000-09-18,111.5625,112.4375,107.625,109.375,54414
2000-09-19,109.8125,111.5625,108.5,109.8125,46085
2000-09-20,109.8125,112.0,109.375,111.125,56100
2000-09-21,110.6875,113.75,110.6875,113.3125,77285
2000-09-22,112.0,114.625,110.6875,112.0,55842
2000-09-25,112.4375,113.3125,111.5625,113.3125,66014
2000-09-26,113.3125,114.625,110.25,111.125,65200
2000-09-27,111.125,112.875,109.375,111.5625,52900
2000-09-28,110.6875,112.0,107.1875,109.375,100528
2000-09-29,110.25,110.25,104.5625,105.4375,108314
2000-10-02,105.4375,106.3125,103.6875,105.0,68114
2000-10-03,104.5625,105.0,101.5,101.5,303857
2000-10-04,101.5,102.8125,98.4375,100.1875,163157
2000-10-05,101.0625,102.375,99.75,101.0625,103542
2000-10-06,100.625,105.0,100.625,103.25,105985
2000-10-09,104.125,104.5625,102.375,102.375,38000
2000-10-10,102.8125,103.6875,101.9375,102.375,51871
2000-10-11,101.9375,104.125,101.5,102.375,57228
2000-10-12,101.9375,103.25,98.0,98.4375,65742
2000-10-13,98.4375,101.0625,98.0,98.4375,91657
2000-10-16,99.3125,103.6875,99.3125,101.9375,40857
2000-10-17,101.0625,102.375,100.1875,100.625,51071
2000-10-18,100.625,101.0625,98.875,100.1875,49371
2000-10-19,99.75,102.8125,98.875,101.9375,70542
2000-10-20,101.0625,102.8125,100.1875,100.1875,47257
2000-10-23,99.3125,101.9375,98.4375,100.625,37185
2000-10-24,100.625,104.125,98.4375,103.6875,61457
2000-10-25,103.6875,107.1875,102.375,106.3125,59657
2000-10-26,107.625,108.5,103.25,103.6875,62228
2000-10-27,102.8125,107.1875,102.8125,106.75,46628
2000-10-30,107.1875,111.5625,107.1875,110.25,91642
2000-10-31,110.6875,111.125,106.75,107.625,71371
2000-11-01,108.5,109.375,106.75,107.625,37700
2000-11-02,108.0625,109.375,106.3125,109.375,54457
2000-11-03,108.5,108.5,106.3125,107.1875,45885
2000-11-06,107.1875,107.625,104.125,105.0,50957
2000-11-07,106.3125,107.625,104.125,106.75,46657
2000-11-08,106.75,112.875,106.3125,112.875,70871
2000-11-09,114.625,118.125,114.625,117.6875,135528
2000-11-10,117.6875,122.0625,116.375,117.25,115700
2000-11-13,116.8125,117.6875,113.3125,114.625,62071
2000-11-14,113.3125,116.8125,112.4375,115.5,49342
2000-11-15,116.375,118.5625,114.625,118.125,44842
2000-11-16,118.5625,122.5,118.125,121.1875,61700
2000-11-17,120.75,123.375,115.5,118.125,100842
2000-11-20,117.25,118.125,115.5,116.8125,50985
2000-11-21,117.6875,120.75,117.6875,120.3125,65157
2000-11-22,119.0,121.625,119.0,121.1875,54757
2000-11-24,119.875,121.1875,118.125,118.125,28228
2000-11-27,122.5,124.6875,119.0,122.9375,74714
2000-11-28,124.6875,126.0,120.75,122.9375,91514
2000-11-29,121.1875,125.125,120.75,124.25,44685
2000-11-30,125.125,127.3125,122.0625,126.875,88614
2000-12-01,125.5625,126.4375,122.9375,125.125,53942
2000-12-04,122.5,124.6875,119.4375,121.1875,102800
2000-12-05,101.5,107.625,95.375,95.8125,393285
2000-12-06,95.375,96.25,91.0,91.875,184814
2000-12-07,91.875,92.75,90.125,91.4375,110142
2000-12-08,91.875,92.3125,89.25,91.4375,113300
2000-12-11,91.875,91.875,85.75,86.625,110700
2000-12-12,86.625,87.5,83.5625,85.75,200828
2000-12-13,85.75,86.1875,84.0,85.75,119342
2000-12-14,85.75,86.1875,82.25,84.0,154742
2000-12-15,83.125,87.5,82.6875,86.625,138800
2000-12-18,86.1875,86.625,82.25,82.25,140614
2000-12-19,82.6875,91.875,82.25,89.25,219285
2000-12-20,88.8125,91.875,87.9375,90.125,149342
2000-12-21,90.125,91.4375,89.25,90.5625,155985
2000-12-22,89.6875,91.0,88.8125,90.5625,82914
2000-12-26,90.125,93.625,89.6875,92.75,122742
2000-12-27,91.0,94.5,90.5625,94.0625,83685
2000-12-28,92.75,96.6875,92.3125,96.25,71671
2000-12-29,94.5,99.75,94.5,97.125,97014
2001-01-02,98.4375,99.3125,94.5,94.5,87042
2001-01-03,99.75,104.125,96.6875,97.125,142928
2001-01-04,97.5625,98.4375,91.0,93.1875,140314
2001-01-05,93.1875,95.375,91.4375,92.3125,88457
2001-01-08,92.3125,97.125,91.875,95.375,89085
2001-01-09,95.375,101.5,94.9375,100.625,136800
2001-01-10,100.625,100.625,95.8125,97.5625,151414
2001-01-11,97.125,98.4375,95.8125,96.6875,103000
2001-01-12,97.125,97.5625,94.5,95.375,70971
2001-01-16,94.0625,96.6875,92.3125,96.25,118900
2001-01-17,100.625,102.375,99.3125,101.5,111057
2001-01-18,100.625,101.0625,98.0,98.875,47214
2001-01-19,99.3125,100.625,97.5625,98.0,76814
2001-01-22,100.625,102.375,98.0,101.5,73585
2001-01-23,103.6875,103.6875,98.0,99.75,52500
2001-01-24,100.1875,100.625,98.4375,100.1875,52628
2001-01-25,98.4375,100.625,94.5,96.6875,124714
2001-01-26,98.0,100.1875,98.0,98.0,108500
2001-01-29,99.68,100.8,98.63,99.05,124428
2001-01-30,99.75,101.01,98.7,100.1,88885
2001-01-31,100.8,100.8,91.35,93.8,191357
2001-02-01,93.8,99.96,91.7,99.96,137528
2001-02-02,100.66,100.73,96.25,96.81,61328
2001-02-05,98.0,100.03,98.0,98.98,71514
2001-02-06,99.68,99.75,98.0,98.07,38457
2001-02-07,98.77,100.1,97.44,98.49,61442
2001-02-08,100.17,102.97,99.96,102.34,81957
2001-02-09,103.04,103.18,100.24,101.57,41414
2001-02-12,101.57,103.25,100.87,103.11,37042
2001-02-13,103.81,104.02,101.5,103.18,90942
2001-02-14,103.18,103.18,95.13,97.37,119685
2001-02-15,97.65,100.24,97.3,99.47,47471
2001-02-16,100.1,101.43,99.4,100.94,50071
2001-02-20,101.5,103.6,101.15,102.9,51628
2001-02-21,102.2,102.9,99.4,100.17,56342
2001-02-22,99.54,100.1,95.2,100.1,109842
2001-02-23,100.1,100.94,97.3,98.42,59642
2001-02-26,97.72,101.15,97.16,99.47,67771
2001-02-27,103.95,103.95,99.12,100.8,47500
2001-02-28,101.15,101.36,94.5,98.21,136600
2001-03-01,98.7,98.7,94.71,95.9,104542
2001-03-02,94.5,96.18,91.84,94.43,94942
2001-03-05,95.9,96.95,91.91,95.69,113828
2001-03-06,95.34,96.95,94.64,95.55,51714
2001-03-07,96.6,97.72,96.25,96.39,116328
2001-03-08,97.65,97.86,93.73,94.22,85642
2001-03-09,95.55,96.39,93.87,94.92,64185
2001-03-12,95.41,95.83,93.52,93.52,76471
2001-03-13,95.55,95.9,93.8,95.34,64357
2001-03-14,93.8,93.87,92.12,92.47,47885
2001-03-15,92.82,93.45,91.0,92.68,62828
2001-03-16,91.0,93.1,90.44,91.14,90271
2001-03-19,91.84,92.68,88.55,90.93,45185
2001-03-20,91.63,91.98,90.3,91.35,50400
2001-03-21,92.05,92.05,89.6,90.09,27942
2001-03-22,90.79,92.54,88.76,91.07,81314
2001-03-23,90.65,91.84,89.46,91.84,56157
2001-03-26,92.4,92.68,90.65,91.07,40185
2001-03-27,91.0,93.66,91.0,91.91,77185
2001-03-28,91.91,93.1,91.7,92.61,37885
2001-03-29,92.96,95.48,91.42,95.48,57585
2001-03-30,95.2,96.11,92.75,93.31,63442
2001-04-02,97.65,98.98,95.27,97.65,99685
2001-04-03,96.95,97.16,94.57,94.92,50528
2001-04-04,95.62,97.93,94.64,96.46,44728
2001-04-05,96.46,96.46,89.88,90.72,253371
2001-04-06,90.09,94.5,90.09,94.15,127500
2001-04-09,94.15,94.5,91.07,91.14,64914
2001-04-10,90.65,93.52,90.65,92.4,77571
2001-04-11,92.61,92.61,88.2,89.6,111471
2001-04-12,89.6,91.0,89.6,90.79,46057
2001-04-16,90.65,91.0,89.67,90.3,44085
2001-04-17,89.81,91.98,89.81,90.86,46342
2001-04-18,91.0,92.68,89.95,91.0,44885
2001-04-19,91.7,92.4,91.21,91.77,35557
2001-04-20,92.4,92.75,91.28,91.98,55428
2001-04-23,91.98,92.05,89.95,90.37,53114
2001-04-24,90.65,91.7,90.09,91.0,57400
2001-04-25,90.86,91.0,88.2,91.0,38328
2001-04-26,91.0,92.96,90.44,92.12,38771
2001-04-27,92.05,95.2,92.05,95.2,46828
2001-04-30,95.2,96.6,94.85,95.69,102514
2001-05-01,95.69,95.69,92.4,94.57,91828
2001-05-02,99.47,99.47,94.64,96.95,72457
2001-05-03,96.25,96.6,95.2,95.55,43957
2001-05-04,96.53,99.05,95.55,98.21,36614
2001-05-07,98.21,101.36,96.74,99.75,94300
2001-05-08,101.5,101.5,98.49,99.75,78257
2001-05-09,99.75,100.52,99.05,100.1,48528
2001-05-10,101.5,101.5,99.47,100.73,41142
2001-05-11,100.73,101.15,98.84,99.4,41685
2001-05-14,99.75,99.82,98.07,99.33,72285
2001-05-15,99.4,101.5,99.05,101.5,57542
2001-05-16,101.15,102.13,100.45,101.64,79357
2001-05-17,101.64,103.25,101.22,103.11,101628
2001-05-18,103.81,107.17,103.32,107.17,91857
2001-05-21,107.17,109.83,105.0,108.57,120014
2001-05-22,108.57,109.2,105.49,108.85,46957
2001-05-23,108.92,110.18,108.43,108.5,142457
2001-05-24,108.71,109.55,107.45,108.57,109514
2001-05-25,109.2,109.97,108.15,109.62,36471
2001-05-29,109.83,110.67,108.64,109.13,33085
2001-05-30,108.85,109.9,107.45,108.99,91028
2001-05-31,108.15,110.25,107.1,108.92,65571
2001-06-01,108.22,110.95,107.8,110.18,47414
2001-06-04,110.18,110.18,107.8,109.62,110028
2001-06-05,109.62,112.49,107.8,112.35,90114
2001-06-06,112.35,112.84,109.55,110.6,34928
2001-06-07,111.65,111.86,109.97,110.39,25185
2001-06-08,109.9,112.35,108.78,111.23,42442
2001-06-11,111.65,111.86,109.55,110.95,47014
2001-06-12,110.95,111.93,109.9,111.86,54928
2001-06-13,112.0,115.08,111.3,114.94,76985
2001-06-14,114.94,115.22,111.3,111.3,84000
2001-06-15,111.3,112.35,109.34,109.34,120328
2001-06-18,109.55,109.9,107.94,109.13,74828
2001-06-19,110.74,110.74,107.1,107.73,51328
2001-06-20,105.0,107.73,105.0,106.89,124771
2001-06-21,107.1,109.27,106.54,109.27,99242
2001-06-22,108.57,112.0,107.8,109.48,61900
2001-06-25,108.15,110.25,106.75,108.71,38271
2001-06-26,107.8,109.2,106.19,107.17,59885
2001-06-27,108.85,118.58,108.64,116.9,154571
2001-06-28,116.9,125.16,116.13,124.18,195185
2001-06-29,124.46,124.46,120.96,122.85,129385
2001-07-02,119.7,122.5,119.42,120.89,104185
2001-07-03,121.45,122.5,120.47,122.43,63085
2001-07-05,121.73,128.8,121.66,126.63,177714
2001-07-06,126.63,127.4,125.37,126.35,65200
2001-07-09,126.0,127.05,125.51,126.98,73214
2001-07-10,127.4,131.53,126.77,129.57,137314
2001-07-11,129.57,132.86,128.31,131.88,126114
2001-07-12,131.95,132.86,128.1,131.11,129400
2001-07-13,130.76,133.98,130.55,133.35,71957
2001-07-16,134.4,139.37,133.91,138.95,187057
2001-07-17,137.9,139.65,136.15,137.48,145357
2001-07-18,137.48,139.58,135.87,139.37,95714
2001-07-19,140.0,140.0,136.85,138.04,131542
2001-07-20,137.34,138.95,136.71,137.9,69414
2001-07-23,139.3,145.18,138.11,143.71,146128
2001-07-24,143.71,143.78,137.55,138.67,154542
2001-07-25,140.0,143.5,138.32,142.8,121414
2001-07-26,142.1,142.1,139.58,140.84,70514
2001-07-27,140.84,143.5,139.37,142.8,81042
2001-07-30,143.36,146.93,142.52,146.37,97714
2001-07-31,146.72,147.35,145.25,146.79,168385
2001-08-01,146.3,146.51,143.78,144.34,116942
2001-08-02,144.9,145.6,142.8,143.64,86885
2001-08-03,143.64,143.64,140.35,141.61,97785
2001-08-06,141.75,142.1,138.88,139.37,79085
2001-08-07,140.7,142.45,138.95,141.96,67542
2001-08-08,141.89,141.96,135.17,136.78,131314
2001-08-09,137.55,137.55,132.09,136.5,96471
2001-08-10,137.2,141.96,135.1,141.75,82571
2001-08-13,141.4,141.75,138.81,141.61,43157
2001-08-14,141.68,142.45,140.63,141.05,61000
2001-08-15,141.4,143.15,141.05,142.73,36428
2001-08-16,142.24,146.72,142.17,146.44,92085
2001-08-17,145.74,147.0,143.85,144.83,152442
2001-08-20,144.2,144.55,142.45,143.71,56271
2001-08-21,143.78,144.9,141.75,144.2,68042
2001-08-22,144.9,144.9,141.54,142.1,75314
2001-08-23,142.8,144.76,141.68,142.73,65542
2001-08-24,142.73,147.35,141.05,147.35,105128
2001-08-27,146.65,147.84,143.85,144.2,47800
2001-08-28,144.2,146.51,142.1,145.39,52342
2001-08-29,143.71,146.79,140.35,143.57,77657
2001-08-30,144.76,146.86,143.5,144.55,68985
2001-08-31,144.9,146.93,144.2,146.86,53414
2001-09-04,146.86,152.6,146.86,151.41,104085
2001-09-05,149.8,149.8,146.3,147.07,70642
2001-09-06,147.07,149.1,146.3,147.0,124514
2001-09-07,147.0,147.0,140.28,142.1,94442
