,open,high,low,close,volume
2000-08-11,37.25,39.3125,36.5625,37.3125,607700
2000-08-14,38.1875,39.0,37.0,38.125,616000
2000-08-15,38.375,39.375,37.625,37.75,689800
2000-08-16,38.125,39.25,35.3125,36.67188,1098300
2000-08-17,36.9375,38.75,36.1875,38.4375,1089600
2000-08-18,39.125,40.5625,38.8125,40.5625,674300
2000-08-21,40.40625,42.4375,38.375,39.625,513800
2000-08-22,40.1875,40.1875,38.3125,38.35938,317700
2000-08-23,38.375,40.75,37.25,40.5,508500
2000-08-24,40.375,41.25,39.5625,41.0,391700
2000-08-25,40.25,41.4375,40.0,40.125,650200
2000-08-28,39.875,41.4375,39.8125,40.875,313600
2000-08-29,40.75,44.5,40.75,43.375,800800
2000-08-30,44.0625,48.125,44.0,47.1875,2006300
2000-08-31,47.5,52.5,47.5,50.4375,1688500
2000-09-01,50.6875,50.75,46.4375,47.5,851500
2000-09-05,47.25,47.25,42.5,42.5625,521300
2000-09-06,43.25,44.0,39.0625,39.5,1006500
2000-09-07,40.75,42.25,39.875,41.5625,1143400
2000-09-08,41.4375,44.5,39.0,39.9375,1220200
2000-09-11,40.5625,42.625,39.5,41.125,720100
2000-09-12,41.625,42.375,40.375,40.5,281200
2000-09-13,39.6875,41.625,39.5625,41.375,725100
2000-09-14,41.875,44.0,41.5,43.25,1084200
2000-09-15,40.8125,40.8125,38.1875,39.5,2915900
2000-09-18,39.1875,41.375,39.1875,39.9375,975800
2000-09-19,40.375,40.375,36.0,38.9375,1139100
2000-09-20,38.875,40.125,36.9375,39.75,768300
2000-09-21,38.71875,40.0,37.0,37.0625,1086400
2000-09-22,34.75,36.6875,34.125,36.4375,1176800
2000-09-25,36.5,38.0,33.25,33.25,703500
2000-09-26,34.125,36.25,32.75,34.5625,980100
2000-09-27,35.125,35.125,33.125,33.3125,873200
2000-09-28,33.75,39.75,33.0,39.5625,1230500
2000-09-29,37.25,38.0,33.875,34.0625,708600
2000-10-02,34.875,36.0625,32.0,32.125,601200
2000-10-03,33.5,33.5,31.0,31.25,954700
2000-10-04,31.1875,34.0,30.5,33.9375,1187300
2000-10-05,33.875,34.625,30.5,30.75,628800
2000-10-06,30.875,31.0,28.5625,28.9375,901100
2000-10-09,29.4375,29.625,26.75,27.8125,1758100
2000-10-10,28.375,28.5,24.125,26.3125,1614100
2000-10-11,24.25,27.3125,22.375,26.375,2435300
2000-10-12,26.75,28.375,24.5625,24.75,967600
2000-10-13,25.21875,28.75,24.9375,28.0,1004900
2000-10-16,28.0625,33.5,27.75,31.5625,1609700
2000-10-17,31.75,33.09375,28.75,28.875,1246000
2000-10-18,23.5,27.125,22.5,25.875,4511800
2000-10-19,30.5625,35.9375,30.25,35.125,4830300
2000-10-20,31.9375,42.1875,31.5,37.875,2058600
2000-10-23,39.5,41.75,37.75,39.0,1374500
2000-10-24,39.4375,39.75,35.0,36.4375,833100
2000-10-25,35.25,35.4375,32.875,33.8125,895400
2000-10-26,33.875,37.0,33.0,36.5,796800
2000-10-27,38.125,40.3125,36.9375,38.625,749800
2000-10-30,37.375,37.75,35.25,35.6875,539400
2000-10-31,36.5,39.875,36.0,39.875,690500
2000-11-01,37.5625,40.375,36.125,40.0,619000
2000-11-02,41.0,44.375,40.75,43.125,1045200
2000-11-03,43.25,44.4375,39.6875,40.125,851700
2000-11-06,40.625,43.1875,40.375,41.1875,762600
2000-11-07,41.0,41.0,37.25,37.8125,682000
2000-11-08,37.76563,39.125,34.875,35.0,509300
2000-11-09,35.0,37.1875,33.0,36.375,584500
2000-11-10,35.875,35.875,33.125,33.6875,429600
2000-11-13,30.25,34.5,30.25,33.3125,1156000
2000-11-14,34.34375,35.875,33.5,35.3125,470600
2000-11-15,36.25,38.1875,35.25,37.625,939900
2000-11-16,36.25,37.25,34.6875,34.9375,920900
2000-11-17,35.9375,37.0,34.6875,35.9375,799200
2000-11-20,35.125,35.4375,33.125,35.0,1047400
2000-11-21,35.0,35.5625,34.5,35.125,429400
2000-11-22,35.0,35.75,34.59375,34.625,535200
2000-11-24,35.25,38.5,35.0,38.1875,249100
2000-11-27,38.625,41.29688,38.5625,38.875,888500
2000-11-28,38.75,38.75,34.5,35.0,425300
2000-11-29,35.0625,36.125,32.3125,35.25,593600
2000-11-30,33.625,33.6875,29.625,30.5625,1587100
2000-12-01,31.25,37.8125,31.125,35.5,1645100
2000-12-04,35.625,40.6875,35.5625,40.375,1603600
2000-12-05,42.75,53.0625,42.75,53.0625,3443200
2000-12-06,51.75,55.375,48.4375,49.0625,2717600
2000-12-07,45.0625,49.375,45.0,48.0,1367300
2000-12-08,49.5,53.125,49.0,51.8125,1720500
2000-12-11,51.625,55.25,50.125,54.0,1537300
2000-12-12,52.4375,55.25,50.25,53.9375,1434300
2000-12-13,55.0,55.0,48.5,51.0625,1713300
2000-12-14,49.75,51.875,47.875,48.0,938100
2000-12-15,47.375,51.0,44.9375,50.875,1468000
2000-12-18,51.375,51.5,42.375,43.5,4033100
2000-12-19,43.25,46.375,40.875,42.25,1537200
2000-12-20,40.0,40.625,37.53125,39.625,1607400
2000-12-21,38.125,38.14063,31.625,33.9375,1767300
2000-12-22,35.125,39.25,35.125,36.5625,1587800
2000-12-26,37.5625,38.875,35.875,37.9375,554000
2000-12-27,37.375,42.875,36.875,41.8125,1038600
2000-12-28,41.0625,44.25,38.375,41.75,1010800
2000-12-29,41.5,42.5,35.0,37.0,1603300
2001-01-02,37.625,38.0,31.625,32.1875,1692300
2001-01-03,31.625,37.25,28.125,34.375,3367100
2001-01-04,34.75,34.75,31.5,31.6875,2047500
2001-01-05,32.0,32.125,26.75,27.875,2401100
2001-01-08,28.0625,29.0,24.875,28.5,2374600
2001-01-09,26.03125,27.875,25.75,27.25,2922100
2001-01-10,27.0,29.5,25.625,28.5625,1526100
