,open,high,low,close,volume
2000-08-11,0.90625,0.921875,0.90625,0.914065,131200
2000-08-14,0.914065,0.92969,0.914065,0.921875,292000
2000-08-15,0.90625,0.9375,0.90625,0.92969,149600
2000-08-16,0.9375,0.953125,0.9375,0.953125,201600
2000-08-17,0.953125,0.953125,0.9375,0.9375,646400
2000-08-18,0.921875,0.9375,0.90625,0.921875,693600
2000-08-21,0.921875,0.9375,0.921875,0.9375,84000
2000-08-22,0.890625,0.92969,0.890625,0.90625,427200
2000-08-23,0.90625,0.92969,0.90625,0.921875,333600
2000-08-24,0.921875,0.92969,0.90625,0.914065,53600
2000-08-25,0.921875,0.945315,0.921875,0.945315,223200
2000-08-28,0.945315,0.96875,0.945315,0.96094,306400
2000-08-29,0.96094,0.96875,0.9375,0.953125,96000
2000-08-30,0.953125,0.984375,0.9375,0.9375,204800
2000-08-31,0.92969,0.96875,0.92969,0.96094,262400
2000-09-01,0.945315,0.953125,0.9375,0.953125,158400
2000-09-05,0.945315,0.96875,0.9375,0.96875,422400
2000-09-06,0.984375,1.0,0.96875,1.0,381600
2000-09-07,1.0,1.03125,0.99219,1.03125,126400
2000-09-08,1.03125,1.046875,0.99219,1.0,223200
2000-09-11,1.0,1.015625,0.96875,1.0,1428800
2000-09-12,0.96875,1.0,0.96875,0.984375,54400
2000-09-13,0.976565,1.015625,0.976565,1.0,136000
2000-09-14,1.015625,1.046875,1.0,1.046875,402400
2000-09-15,1.09375,1.171875,1.09375,1.14844,609600
2000-09-18,1.14844,1.25,1.14844,1.195315,544800
2000-09-19,1.195315,1.195315,1.15625,1.171875,366400
2000-09-20,1.15625,1.195315,1.125,1.1875,296800
2000-09-21,1.171875,1.171875,1.132815,1.14844,101600
2000-09-22,1.140625,1.140625,1.0625,1.101565,192000
2000-09-25,1.101565,1.11719,1.0625,1.08594,237600
2000-09-26,1.078125,1.101565,1.0625,1.08594,176800
2000-09-27,1.101565,1.101565,1.03125,1.03125,200800
2000-09-28,1.039065,1.11719,1.039065,1.109375,127200
2000-09-29,1.09375,1.109375,1.0625,1.09375,184000
2000-10-02,1.101565,1.101565,1.078125,1.09375,121600
2000-10-03,1.09375,1.09375,1.09375,1.09375,168800
2000-10-04,1.078125,1.078125,1.015625,1.046875,362400
2000-10-05,1.0625,1.0625,1.03125,1.05469,22400
2000-10-06,1.046875,1.05469,1.015625,1.02344,78400
2000-10-09,1.02344,1.046875,1.015625,1.02344,49600
2000-10-10,1.02344,1.046875,1.02344,1.03125,80000
2000-10-11,1.03125,1.05469,1.03125,1.05469,236800
2000-10-12,1.0625,1.0625,1.039065,1.0625,216000
2000-10-13,1.046875,1.078125,1.039065,1.078125,162400
2000-10-16,1.078125,1.09375,1.078125,1.08594,96000
2000-10-17,1.070315,1.070315,1.046875,1.046875,192800
2000-10-18,1.015625,1.03125,1.015625,1.02344,158400
2000-10-19,1.02344,1.046875,1.02344,1.039065,486400
2000-10-20,1.046875,1.0625,1.046875,1.0625,134400
2000-10-23,1.039065,1.05469,1.039065,1.046875,92000
2000-10-24,1.039065,1.046875,1.03125,1.039065,301600
2000-10-25,1.039065,1.046875,1.02344,1.03125,99200
2000-10-26,1.02344,1.02344,1.015625,1.015625,220800
2000-10-27,1.015625,1.015625,1.0,1.015625,776800
2000-10-30,1.0,1.015625,0.99219,0.99219,478400
2000-10-31,1.0,1.0,0.99219,1.0,448000
2000-11-01,1.0,1.0,0.99219,1.0,323200
2000-11-02,1.0,1.0,0.99219,1.0,720000
2000-11-03,1.0,1.0,0.99219,1.0,308000
2000-11-06,0.99219,1.0,0.99219,0.99219,52000
2000-11-07,0.984375,0.99219,0.984375,0.99219,75200
2000-11-08,0.99219,0.99219,0.99219,0.99219,51200
2000-11-09,0.984375,1.0,0.984375,1.0,2933600
2000-11-10,0.984375,0.984375,0.953125,0.953125,71200
2000-11-13,0.945315,0.96094,0.945315,0.953125,72800
2000-11-14,0.9375,0.976565,0.9375,0.976565,262400
2000-11-15,0.984375,0.984375,0.96875,0.984375,44000
2000-11-16,0.984375,0.984375,0.945315,0.953125,761600
2000-11-17,0.96875,0.96875,0.953125,0.96094,70400
2000-11-20,0.96094,0.984375,0.96094,0.96094,76800
2000-11-21,0.96094,0.984375,0.96094,0.984375,113600
2000-11-22,0.96875,0.976565,0.96094,0.976565,43200
2000-11-24,0.976565,0.984375,0.96875,0.984375,44000
2000-11-27,0.984375,0.99219,0.96875,0.984375,217600
2000-11-28,0.984375,0.984375,0.96875,0.96875,135200
2000-11-29,0.96875,0.976565,0.96094,0.96875,384000
2000-11-30,0.96094,0.96875,0.96094,0.96094,280800
2000-12-01,0.96094,0.96875,0.96094,0.96875,160000
2000-12-04,0.96875,0.976565,0.953125,0.953125,927200
2000-12-05,0.96875,0.976565,0.945315,0.96875,749600
2000-12-06,0.953125,0.96875,0.9375,0.9375,186400
2000-12-07,0.945315,0.945315,0.90625,0.921875,734400
2000-12-08,0.921875,0.953125,0.921875,0.9375,752000
2000-12-11,0.9375,0.9375,0.92969,0.9375,739200
2000-12-12,0.9375,0.9375,0.921875,0.92969,509600
2000-12-13,0.921875,0.953125,0.921875,0.92969,360800
2000-12-14,0.921875,0.921875,0.90625,0.921875,347200
2000-12-15,0.914065,0.92969,0.90625,0.90625,265600
2000-12-18,0.90625,0.921875,0.90625,0.921875,499200
2000-12-19,0.9375,0.984375,0.92969,0.96094,452800
2000-12-20,0.953125,0.96875,0.953125,0.96094,157600
2000-12-21,0.976565,0.984375,0.945315,0.96875,164000
2000-12-22,0.96875,0.96875,0.953125,0.96094,198400
2000-12-26,0.99219,1.007815,0.96875,0.99219,1016800
2000-12-27,1.007815,1.171875,1.007815,1.171875,1227200
2000-12-28,1.15625,1.226565,1.140625,1.21875,496800
2000-12-29,1.234375,1.30469,1.226565,1.296875,700000
2001-01-02,1.28125,1.289065,1.203125,1.234375,446400
