,open,high,low,close,volume
2007-10-01,26.45,28.49,26.1,27.98,3712099
2007-10-02,28.3,29.5,27.05,27.55,3468947
2007-10-03,26.0,27.55,26.0,26.55,1458709
2007-10-04,26.81,27.0,26.1,27.0,2807383
2007-10-05,26.32,27.43,26.32,27.15,2846300
2007-10-08,27.04,27.45,27.0,27.27,2235238
2007-10-09,27.3,27.45,27.02,27.35,2903900
2007-10-10,27.8,28.13,26.82,26.97,2065166
2007-10-11,26.86,27.52,26.71,26.82,1788100
2007-10-12,27.0,28.5,26.5,28.4,3646552
2007-10-15,28.96,29.25,28.6,29.08,3953400
2007-10-16,30.08,30.08,28.61,29.03,2784500
2007-10-17,29.4,29.4,28.4,28.84,2447816
2007-10-18,28.01,28.95,27.51,28.82,1505999
2007-10-19,28.72,28.87,27.51,27.53,1718500
2007-10-22,28.89,28.89,27.17,27.81,1225671
2007-10-23,28.05,28.24,27.56,27.89,1176200
2007-10-24,27.89,28.26,27.5,28.26,1899468
2007-10-25,28.18,28.63,27.94,28.45,1477100
2007-10-26,28.7,29.69,28.5,28.9,1926300
2007-10-29,28.5,28.9,27.625,27.83,1122800
2007-10-30,28.5,28.76,28.13,28.34,1398945
2007-10-31,27.06,28.64,27.06,28.53,2720800
2007-11-01,27.83,28.13,27.46,27.67,1501000
2007-11-02,27.7,28.23,27.46,27.94,812000
2007-11-05,27.99,28.0,27.18,27.4,960800
2007-11-06,27.02,27.49,27.0,27.25,934800
2007-11-07,27.01,27.75,26.63,26.63,1064625
2007-11-08,26.65,26.65,25.89,26.22,1270350
2007-11-09,25.82,25.82,24.75,24.77,1247898
2007-11-12,24.75,25.08,24.59,24.85,2256712
2007-11-13,25.01,25.95,24.75,25.95,823740
2007-11-14,26.06,26.06,24.56,25.0,942668
2007-11-15,25.0,25.09,24.23,24.41,1656136
2007-11-16,24.53,24.53,23.2,23.8,1893004
2007-11-19,23.4,23.74,23.13,23.13,1459192
2007-11-20,23.25,24.36,22.35,24.12,2057801
2007-11-21,23.97,24.51,23.9,24.01,863050
2007-11-23,24.22,24.87,23.6,24.84,518900
2007-11-26,24.96,25.33,24.25,24.26,1270332
2007-11-27,24.16,24.6,23.97,24.59,1025850
2007-11-28,25.01,26.26,24.59,26.1,691500
2007-11-29,26.07,26.78,25.77,26.5,852997
2007-11-30,26.5,26.575,25.65,25.96,1133750
2007-12-03,25.53,26.5,25.38,26.19,757886
2007-12-04,26.41,27.5,26.25,26.45,837437
2007-12-05,26.67,27.31,26.66,26.78,2115806
2007-12-06,26.77,27.09,26.66,26.87,1164190
2007-12-07,27.14,27.23,26.29,26.52,994253
2007-12-10,26.54,26.86,26.44,26.69,768562
2007-12-11,26.7,27.12,25.48,25.54,836300
2007-12-12,26.06,26.82,25.81,26.16,762587
2007-12-13,25.9,26.72,25.9,26.63,664900
2007-12-14,26.55,27.74,26.49,27.12,843300
2007-12-17,26.95,27.0,26.32,26.67,747850
2007-12-18,26.64,27.12,26.46,26.83,722200
2007-12-19,27.09,27.09,26.16,26.44,776150
2007-12-20,26.65,26.73,26.44,26.65,964700
2007-12-21,26.7,27.1,26.5,26.87,1740200
