,open,high,low,close,volume
2000-08-11,2.09375,2.1875,2.09375,2.1640625,13938400
2000-08-14,2.15625,2.171875,2.09375,2.171875,19681600
2000-08-15,2.1875,2.203125,2.109375,2.109375,19424800
2000-08-16,2.125,2.140625,2.1015625,2.1328125,16945600
2000-08-17,2.140625,2.171875,2.1328125,2.1640625,25502400
2000-08-18,2.1640625,2.1640625,2.1484375,2.15625,16007200
2000-08-21,2.15625,2.1875,2.15625,2.1796875,6924800
2000-08-22,2.1875,2.2265625,2.1796875,2.21875,7669600
2000-08-23,2.21875,2.359375,2.21875,2.3359375,21364800
2000-08-24,2.3359375,2.34375,2.28125,2.3046875,21323200
2000-08-25,2.3046875,2.3359375,2.3046875,2.3125,5734400
2000-08-28,2.296875,2.328125,2.28125,2.28125,10559200
2000-08-29,2.28125,2.3046875,2.2578125,2.28125,16126400
2000-08-30,2.296875,2.3125,2.28125,2.3046875,7344000
2000-08-31,2.296875,2.3828125,2.265625,2.353518,18947200
2000-09-01,2.3515625,2.53125,2.3515625,2.4921875,11868800
2000-09-05,2.4921875,2.6171875,2.484375,2.59375,10949600
2000-09-06,2.578125,2.6015625,2.5546875,2.5625,14427200
2000-09-07,2.5625,2.6875,2.5625,2.65625,16331200
2000-09-08,2.7734375,2.796875,2.75,2.7578125,10237600
2000-09-11,2.7421875,2.75,2.6875,2.703125,9432800
2000-09-12,2.7265625,2.75,2.7109375,2.75,11209600
2000-09-13,2.7578125,2.8359375,2.7578125,2.8046875,5596800
2000-09-14,2.8203125,2.8359375,2.7890625,2.8203125,6351200
2000-09-15,2.8671875,2.8828125,2.8046875,2.828125,13888800
2000-09-18,2.859375,2.859375,2.75,2.75,7976800
2000-09-19,2.71875,2.734375,2.6328125,2.6640625,8520000
2000-09-20,2.6640625,2.6796875,2.6328125,2.65625,7199200
2000-09-21,2.65625,2.78125,2.640625,2.7734375,11818400
2000-09-22,2.7734375,2.8203125,2.7265625,2.765625,8021600
2000-09-25,2.796875,2.859375,2.78125,2.8046875,7283200
2000-09-26,2.8125,2.828125,2.734375,2.75,12717600
2000-09-27,2.75,2.7578125,2.640625,2.6796875,22944000
2000-09-28,2.6953125,2.7578125,2.6953125,2.7421875,7696800
2000-09-29,2.75,2.8203125,2.7421875,2.8125,6129600
2000-10-02,2.8203125,2.96875,2.8203125,2.8203125,9492000
2000-10-03,2.8203125,2.890625,2.8203125,2.8671875,7280800
2000-10-04,2.8671875,3.203125,2.8671875,3.0390625,35366400
2000-10-05,3.25,3.2890625,3.140625,3.2109375,26942400
2000-10-06,3.2421875,3.2421875,3.0546875,3.0859375,20085600
