,open,high,low,close,volume
2000-08-11,12.5265,12.839663,12.437025,12.70545,211791
2000-08-14,12.70545,12.70545,12.571238,12.660713,86336
2000-08-15,12.571238,12.571238,11.98965,11.98965,334870
2000-08-16,12.034388,12.615975,12.034388,12.481763,307488
2000-08-17,12.437025,12.481763,12.1686,12.302813,158703
2000-08-18,12.302813,12.302813,11.900175,12.034388,164990
2000-08-21,12.123863,12.123863,11.8107,11.855438,130343
2000-08-22,11.944913,11.944913,11.765963,11.8107,121682
2000-08-23,11.855438,11.900175,11.4528,11.497538,199357
2000-08-24,11.587013,11.855438,11.542275,11.587013,345487
2000-08-25,11.63175,11.855438,11.63175,11.721225,124476
2000-08-28,11.8107,11.900175,11.542275,11.676488,157725
2000-08-29,11.63175,11.855438,11.542275,11.8107,190556
2000-08-30,11.8107,11.900175,11.587013,11.721225,151438
2000-08-31,11.63175,12.034388,11.63175,11.676488,190835
2000-09-01,11.676488,11.98965,11.587013,11.900175,201872
2000-09-05,11.900175,12.437025,11.900175,12.302813,373009
2000-09-06,12.34755,12.34755,11.8107,11.8107,280664
2000-09-07,11.8107,11.855438,11.542275,11.8107,269348
2000-09-08,11.900175,12.123863,11.497538,11.63175,189717
2000-09-11,11.63175,11.765963,11.542275,11.542275,124615
2000-09-12,11.542275,11.63175,11.4528,11.497538,197960
2000-09-13,11.363325,11.765963,11.363325,11.676488,120704
2000-09-14,11.63175,11.721225,11.363325,11.4528,112461
2000-09-15,11.0949,11.318588,11.0949,11.139638,287370
2000-09-18,10.826475,11.184375,10.647525,11.139638,543727
2000-09-19,11.0949,11.139638,10.155413,10.3791,422604
2000-09-20,10.3791,10.3791,10.155413,10.20015,178681
2000-09-21,10.065938,10.155413,9.797513,9.976463,327326
2000-09-22,9.976463,10.0212,9.752775,9.931725,370634
2000-09-25,10.0212,10.468575,10.0212,10.289625,329002
2000-09-26,10.3791,10.3791,9.708038,9.797513,305951
2000-09-27,9.797513,9.976463,9.752775,9.752775,213607
2000-09-28,9.797513,10.289625,9.752775,10.244888,319362
2000-09-29,10.155413,10.244888,9.797513,9.797513,275635
2000-10-02,9.752775,10.110675,9.6633,10.0212,458228
2000-10-03,9.886988,10.110675,9.618563,9.886988,397317
2000-10-04,9.976463,10.334363,9.886988,10.155413,176026
2000-10-05,10.244888,10.334363,9.931725,9.976463,192511
2000-10-06,10.0212,10.0212,9.708038,9.797513,158703
2000-10-09,9.708038,10.065938,9.6633,10.0212,121961
2000-10-10,10.110675,10.110675,9.573825,9.618563,259010
2000-10-11,9.708038,9.752775,9.48435,9.529088,166107
2000-10-12,9.529088,9.708038,9.3054,9.350138,205364
2000-10-13,9.394875,9.48435,9.260663,9.3054,440067
2000-10-16,9.3054,9.394875,9.12645,9.215925,255238
2000-10-17,9.3054,9.618563,8.992238,9.260663,476110
2000-10-18,9.215925,9.215925,9.036975,9.12645,272003
2000-10-19,9.12645,9.573825,9.12645,9.573825,290863
2000-10-20,9.48435,9.6633,9.350138,9.529088,145431
2000-10-23,9.529088,9.931725,9.394875,9.618563,217937
2000-10-24,9.708038,9.931725,9.708038,9.84225,210952
2000-10-25,9.797513,9.797513,9.529088,9.573825,185806
2000-10-26,9.529088,9.752775,9.3054,9.708038,284297
2000-10-27,9.708038,10.065938,9.6633,9.886988,275635
2000-10-30,9.976463,10.3791,9.931725,10.244888,210673
2000-10-31,10.334363,10.334363,9.931725,10.065938,440905
