,open,high,low,close,volume
2009-10-07,27.0,28.97,26.41,27.22,63747342
2009-10-08,27.33,27.44,26.5,26.6,6906757
2009-10-09,26.83,27.49,26.38,26.4,3361424
2009-10-12,27.29,27.9,26.1,26.25,7176907
2009-10-13,26.67,27.26,26.54,27.19,3295958
2009-10-14,27.25,28.2385,27.0,27.99,3222458
2009-10-15,28.28,28.8,27.75,28.31,3181482
2009-10-16,28.45,28.6,27.55,28.568,3974745
2009-10-19,28.52,28.89,27.5,27.5,1894903
2009-10-20,27.5,28.1,27.35,28.06,3387523
2009-10-21,28.0,28.35,27.86,28.0,1078914
2009-10-22,27.76,28.48,27.32,27.89,1172475
2009-10-23,28.0,28.39,27.5101,28.37,2386137
2009-10-26,27.83,28.6,27.76,28.45,834394
2009-10-27,28.54,29.25,27.93,28.56,1579023
2009-10-28,28.21,28.55,27.56,27.69,1153423
2009-10-29,27.88,28.0,27.75,27.89,563440
2009-10-30,28.0,28.07,27.3,27.43,819544
2009-11-02,27.38,27.65,26.6,27.37,978000
2009-11-03,27.43,27.49,26.85,27.36,696703
2009-11-04,27.33,27.48,26.95,26.96,461115
2009-11-05,27.02,27.6,26.97,27.3,470579
2009-11-06,27.15,27.34,26.95,27.1,310777
2009-11-09,27.25,27.69,27.05,27.58,615789
2009-11-10,27.25,28.26,27.25,27.67,287251
2009-11-11,27.93,29.12,27.63,28.98,1174507
2009-11-12,28.78,30.0,28.43,28.9,1211526
2009-11-13,28.78,29.08,28.51,28.9,414879
2009-11-16,28.75,29.01,28.25,28.85,1424282
2009-11-17,28.55,28.96,27.4,27.85,2495949
2009-11-18,28.39,29.0,28.16,28.5,730870
2009-11-19,28.81,28.89,27.94,28.54,1223539
2009-11-20,28.5,28.6399,28.42,28.55,875684
2009-11-23,28.68,28.68,27.67,28.4,447578
2009-11-24,28.18,28.18,27.65,27.78,685319
2009-11-25,27.72,27.811,27.17,27.3,892721
2009-11-27,26.96,27.18,26.66,26.99,264523
2009-11-30,27.34,27.4,26.73,26.91,888667
2009-12-01,26.91,28.05,26.91,27.78,617140
2009-12-02,27.76,27.81,27.35,27.51,820836
2009-12-03,27.81,27.94,27.5,27.72,491713
2009-12-04,27.85,28.44,27.85,28.43,535447
2009-12-07,28.2,28.98,27.94,28.74,361479
2009-12-08,28.41,28.92,27.9,28.61,398170
2009-12-09,28.33,28.7,28.18,28.65,449527
2009-12-10,28.57,28.7,28.13,28.4,435119
2009-12-11,28.02,28.81,28.0,28.66,590697
2009-12-14,28.56,29.04,28.56,28.99,502251
2009-12-15,28.93,29.47,28.77,29.3,891837
2009-12-16,29.27,30.97,29.15,30.39,1572382
2009-12-17,30.25,30.64,30.0,30.4,929195
2009-12-18,30.38,31.0,29.73,30.56,8298486
2009-12-21,30.78,30.78,29.8901,30.5,885841
2009-12-22,30.34,30.85,30.1,30.58,420842
2009-12-23,30.68,30.94,30.21,30.68,845670
2009-12-24,30.79,31.18,30.68,30.8,170787
2009-12-28,30.89,31.12,30.62,30.96,250091
2009-12-29,30.92,31.14,30.7014,31.0,283345
2009-12-30,30.91,31.0,30.45,31.0,175131
2009-12-31,30.86,31.0,30.21,30.28,154557
2010-01-04,30.41,30.5,29.67,29.85,389942
2010-01-05,29.85,30.07,29.49,30.05,429920
2010-01-06,30.0,30.87,30.0,30.44,848818
2010-01-07,30.36,30.68,29.8,30.39,426510
2010-01-08,30.21,30.27,29.98,30.0,253115
2010-01-11,30.03,30.105,29.75,29.93,676448
2010-01-12,29.99,30.38,29.84,30.16,741988
2010-01-13,30.1,30.29,30.1,30.15,394343
2010-01-14,30.09,30.1,29.89,29.91,301084
2010-01-15,29.77,29.92,28.66,28.95,765986
2010-01-19,28.84,28.84,27.81,27.95,1531617
2010-01-20,27.81,28.1,27.685,27.99,957535
2010-01-21,27.99,28.4,27.91,28.04,681738
2010-01-22,28.2,28.37,27.93,28.01,595568
2010-01-25,27.98,28.24,27.91,27.95,256491
2010-01-26,27.83,28.75,27.83,28.35,302504
2010-01-27,28.23,29.24,28.01,28.9,475122
2010-01-28,28.75,29.025,28.57,28.77,495161
2010-01-29,28.83,28.9,28.0,28.12,389702
2010-02-01,28.21,28.46,28.2,28.41,401270
2010-02-02,28.39,28.59,27.9,27.96,536176
2010-02-03,27.96,28.13,27.9,27.99,309227
2010-02-04,27.93,27.94,27.71,27.75,617654
2010-02-05,27.75,27.82,26.65,27.7,645422
2010-02-08,27.73,27.91,27.38,27.63,632431
2010-02-09,27.58,28.1,27.58,27.84,1450903
2010-02-10,27.96,28.09,27.51,27.84,496525
2010-02-11,27.7,28.18,27.7,28.02,346832
2010-02-12,27.71,28.39,27.53,28.31,875569
2010-02-16,28.1,28.41,27.95,28.25,213499
2010-02-17,28.07,28.3,27.85,27.94,456067
2010-02-18,27.77,28.1,27.66,28.0,613769
2010-02-19,27.83,28.23,27.83,28.01,152455
2010-02-22,28.0,28.42,27.89,28.24,290447
2010-02-23,28.42,28.42,27.82,28.01,390398
2010-02-24,27.99,28.0,27.88,27.96,262959
2010-02-25,27.83,28.055,27.83,27.98,328833
2010-02-26,28.08,28.3,27.96,28.3,632740
2010-03-01,28.46,28.74,28.22,28.4,321783
2010-03-02,28.4,28.65,27.79,28.02,467988
2010-03-03,27.94,28.13,27.37,27.63,663185
2010-03-04,27.57,27.94,27.05,27.24,294676
2010-03-05,27.27,27.58,27.26,27.38,716315
2010-03-08,27.24,29.35,27.17,29.03,680012
2010-03-09,28.77,28.92,27.97,28.45,706945
2010-03-10,28.35,28.7885,28.35,28.53,412919
2010-03-11,28.59,28.6,28.0,28.19,479068
2010-03-12,28.43,28.705,28.0,28.2,537775
2010-03-15,28.07,28.19,27.89,28.1,463301
2010-03-16,28.06,28.15,27.98,28.05,623726
2010-03-17,28.15,28.15,28.0,28.01,415170
2010-03-18,28.01,28.5,28.0,28.37,232717
2010-03-19,28.35,28.53,27.78,28.29,461959
2010-03-22,28.22,28.77,28.14,28.2,253766
2010-03-23,28.05,28.42,27.81,28.0,341500
2010-03-24,28.0,28.26,27.82,28.02,628598
2010-03-25,28.07,28.44,27.92,28.0,230253
2010-03-26,28.02,28.13,27.97,28.07,314232
2010-03-29,28.06,28.23,27.75,28.0,316929
2010-03-30,28.11,28.22,27.835,27.91,732900
2010-03-31,27.93,28.36,27.93,28.2,480166
2010-04-01,28.25,28.42,27.87,27.99,536905
2010-04-05,27.68,28.06,27.53,27.89,406323
2010-04-06,27.72,28.19,27.59,28.16,543681
2010-04-07,28.02,28.175,27.52,27.81,548480
2010-04-08,27.66,27.93,27.52,27.65,318231
2010-04-09,27.81,28.09,27.64,27.98,411400
2010-04-12,27.88,28.29,27.77,28.04,181216
2010-04-13,28.0,28.34,27.99,28.07,938686
2010-04-14,28.02,28.64,28.02,28.56,1022403
2010-04-15,28.39,28.52,28.13,28.19,438901
2010-04-16,28.06,28.2,28.0,28.02,356637
2010-04-19,28.02,28.49,27.9,28.24,295451
2010-04-20,28.33,28.73,28.19,28.29,177039
2010-04-21,28.36,28.6,28.0,28.16,406006
2010-04-22,28.01,28.36,28.0,28.2,225752
2010-04-23,28.08,28.39,28.06,28.31,211635
2010-04-26,28.21,28.64,28.21,28.56,344734
2010-04-27,28.525,28.595,28.29,28.51,221107
2010-04-28,28.33,28.33,27.75,27.8,518566
2010-04-29,27.86,28.07,27.69,28.03,531985
2010-04-30,27.92,28.73,27.92,28.02,269571
2010-05-03,27.9,28.2382,27.79,28.15,530333
2010-05-04,28.02,28.46,27.94,28.35,471534
2010-05-05,28.08,28.56,28.0,28.3,423097
2010-05-06,28.2,28.45,27.78,27.99,604425
2010-05-07,27.78,28.23,27.4635,27.72,1907759
2010-05-10,28.48,28.49,27.65,27.83,889010
2010-05-11,27.67,28.51,27.56,28.46,584200
2010-05-12,28.85,30.32,28.32,29.92,2098879
2010-05-13,29.66,31.48,29.55,30.3,1505343
2010-05-14,30.18,30.94,30.1,30.83,1102686
2010-05-17,30.78,31.75,30.53,30.75,1406173
2010-05-18,30.8,31.145,30.11,30.3,1480626
2010-05-19,30.04,30.49,29.6,29.99,734956
2010-05-20,29.47,30.28,28.97,29.24,572187
