,open,high,low,close,volume
2000-08-11,11.6875,11.75,11.5625,11.6875,127700
2000-08-14,11.5625,11.875,11.5625,11.75,186600
2000-08-15,11.375,11.625,11.25,11.25,1034900
2000-08-16,11.0625,11.1875,11.0,11.125,168900
2000-08-17,11.125,11.125,10.8125,10.875,374400
2000-08-18,10.8125,11.0,10.75,10.75,145100
2000-08-21,10.75,10.8125,10.625,10.75,172700
2000-08-22,10.75,10.75,10.1875,10.25,193600
2000-08-23,10.375,10.375,10.125,10.25,116800
2000-08-24,10.25,10.375,10.1875,10.25,253800
2000-08-25,10.3125,10.375,10.1875,10.3125,115000
2000-08-28,10.375,10.375,10.0625,10.125,153200
2000-08-29,10.3125,10.3125,10.0,10.0625,313000
2000-08-30,10.125,10.125,9.9375,10.0,312000
2000-08-31,10.125,10.45313,10.0625,10.45313,180200
2000-09-01,10.4375,10.4375,10.0625,10.1875,97500
2000-09-05,10.25,10.375,10.25,10.375,120800
2000-09-06,10.4375,10.5,10.25,10.375,406100
2000-09-07,10.1875,10.3125,10.1875,10.1875,135300
2000-09-08,10.1875,10.5,10.1875,10.5,123800
2000-09-11,10.625,10.625,10.4375,10.5,104900
2000-09-12,10.625,10.75,10.25,10.25,339400
2000-09-13,10.125,10.375,10.125,10.25,146800
2000-09-14,10.25,10.4375,10.0625,10.3125,195700
2000-09-15,10.125,10.25,10.0,10.0,323000
2000-09-18,10.0625,10.0625,9.8125,9.8125,172000
2000-09-19,9.9375,9.9375,9.625,9.75,359300
2000-09-20,9.875,9.875,9.6875,9.6875,104700
2000-09-21,9.625,9.625,9.375,9.4375,183600
2000-09-22,9.3125,9.4375,9.1875,9.375,216500
2000-09-25,9.5,9.5,9.125,9.125,183500
2000-09-26,9.125,9.375,9.0625,9.125,232000
2000-09-27,9.125,9.25,9.0,9.0,215900
2000-09-28,9.0,9.125,8.8125,9.0,301300
2000-09-29,9.0625,9.5,9.0625,9.375,248300
2000-10-02,9.5,9.5,9.0,9.0625,220700
2000-10-03,9.1875,9.3125,8.9375,9.0,241100
2000-10-04,9.0,9.1875,8.9375,9.0625,313200
2000-10-05,9.125,9.125,8.9375,9.0,174600
2000-10-06,8.9375,9.0625,8.75,8.75,437500
2000-10-09,8.875,8.9375,8.6875,8.8125,195100
2000-10-10,8.9375,8.9375,8.8125,8.8125,209800
2000-10-11,8.8125,8.875,8.5,8.625,186300
2000-10-12,8.625,8.6875,8.375,8.4375,233200
2000-10-13,8.5625,9.125,8.4375,9.125,424600
2000-10-16,9.1875,9.1875,8.625,8.625,296800
2000-10-17,8.75,9.0,8.75,8.75,220700
2000-10-18,8.6875,9.0,8.625,8.8125,182300
2000-10-19,8.8125,9.0625,8.75,8.9375,274900
2000-10-20,8.8125,9.125,8.8125,9.0,177200
2000-10-23,9.1875,9.5,9.125,9.25,114400
2000-10-24,9.0,9.375,9.0,9.1875,240600
2000-10-25,9.25,9.25,8.9375,9.0,118300
2000-10-26,9.0625,9.1875,8.9375,9.0,299800
2000-10-27,9.0,9.0,8.875,8.9375,245100
2000-10-30,8.9375,9.1875,8.9375,9.0625,329600
2000-10-31,9.125,9.6875,9.125,9.5625,212600
2000-11-01,9.5625,9.5625,9.3125,9.4375,349500
2000-11-02,9.5625,9.625,9.4375,9.4375,214900
2000-11-03,9.4375,9.5625,9.1875,9.375,150700
