,beta,bookValuePerShare,currentRatio,dividendYield,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,interestCoverage,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Sector_Communication Services,Sector_Consumer Discretionary,Sector_Consumer Staples,Sector_Energy,Sector_Financials,Sector_Health Care,Sector_Industrials,Sector_Information Technology,Sector_Materials,Sector_Real Estate,Sector_Utilities
MMM,0.9770399999999999,0.0,1.9371099999999999,3.57,7.32712,15.507470000000001,8.82113,47.742470000000004,47.880590000000005,11.45313,177.5444,94876.16,574.9571,17.93478,16.39078,24.24749,21.37913,8.738710000000001,13.724310000000001,18.67221,2.5483700000000002,3.0260599999999998,1.36473,12.22873,49.035340000000005,14.81321,0.0,0.0,0.0,576019442.0,0.0,0.0,65.54281999999999,191.2315,2431915.0,2431920.0,63719600.0,0,0,0,0,0,0,1,0,0,0,0
ABT,0.9342799999999999,4.42139,1.5714,1.43,5.14238,0.0,1.7287299999999999,55.472159999999995,57.66124,5.42742,59.46759,178310.1,1758.307,7.328060000000001,9.80155,9.30677,12.76555,5.83132,28.55245,58.256640000000004,11.328731,5.670719999999999,1.0967200000000001,4.49261,9.89978,5.27948,0.0,1.6453900000000001,0.0,1770529999.0,0.0,0.0,38.98607,64.35673,3484994.0,3484990.0,112914970.0,0,0,0,0,0,1,0,0,0,0,0
ABBV,0.73963,0.0,0.86245,4.9,63.80966,0.0,4.5458,64.40288000000001,73.30996,2.51788,557.9344,170041.7,1762.9029999999998,0.0,19.20115,7.213430000000001,30.16535,11.55757,16.78264,21.19539,0.33216599999999996,4.69378,0.69776,6.731439999999999,224.8779,8.4284,20.95371,11.04402,0.0,1764833246.0,0.0,0.0,85.58005,594.452,6857633.0,6857630.0,162702600.0,0,0,0,0,0,1,0,0,0,0,0
ABMD,1.17711,27.399659999999997,5.61419,0.0,0.0,0.0,3.47895,78.17228,81.17775,0.0,0.0,13944.38,43.96396,27.047620000000002,19.88232,20.66485,27.298370000000002,12.654739999999999,77.37464,88.978,0.0,17.472720000000002,4.8053099999999995,13.364429999999999,15.079920000000001,14.664929999999998,0.0,0.1227,0.0,45047262.0,0.0,0.0,0.0,0.0,341546.0,341550.0,8935360.0,0,0,0,0,0,1,0,0,0,0,0
ACN,1.02444,20.99727,1.36505,1.38,6.682919999999999,0.0,7.6767,32.10436,31.36037,181.7802,0.37679,154391.0,662.3773,11.39664,11.2811,15.58262,14.68196,9.24623,23.82085,30.30208,4.534257,3.4657699999999996,0.0,15.89984,33.27742,25.153129999999997,0.0,4.41613,0.0,636196634.0,0.0,0.0,0.41708999999999996,0.4311,1386674.0,1386670.0,41319920.0,0,0,0,0,0,0,0,1,0,0,0
ATVI,0.69725,10.701369999999999,3.01877,0.5,30.698809999999998,75.46306,2.34275,75.72464000000001,70.33485999999999,35.95238,19.55854,63285.79,762.4085,30.0207,25.95879,38.76812,29.50773,4.62448,27.81793,34.99733,1.1400219999999999,9.05635,0.0,9.61951,14.139289999999999,10.82371,8.05369,0.0,0.0,771872058.0,0.0,0.0,16.358970000000003,19.55854,9256346.0,9256350.0,152878810.0,1,0,0,0,0,0,0,0,0,0,0
ADBE,0.89481,9.89523,1.28757,0.0,40.05255,76.62621,7.59005,86.73274,85.59622,63.5,37.809020000000004,216607.2,477.5721,35.16624,30.73937,32.48082,31.3551,19.920820000000003,47.87175,59.49631,1.4854559999999999,17.983060000000002,0.0,17.94367,35.580009999999994,26.05816,1.19702,19.24718,0.0,479665239.0,0.0,0.0,27.435809999999996,37.809020000000004,2128480.0,2128480.0,58033160.0,0,0,0,0,0,0,0,1,0,0,0
AMD,2.28518,58.574009999999994,2.09901,0.0,167.4835,305.4182,0.5031899999999999,43.892340000000004,44.36307,12.35714,14.826020000000002,96765.76,1166.9180000000001,8.074530000000001,7.76877,8.95445,9.36437,29.277179999999998,112.7806,163.795,0.9779770000000001,12.65574,1.55505,10.16688,22.89666,15.952729999999999,8.17469,30.144679999999997,0.0,1174056713.0,0.0,0.0,17.27159,20.87746,71018693.0,71018690.0,1322454360.0,0,0,0,0,0,0,0,1,0,0,0
AAP,1.38297,13.33969,1.36037,0.62,0.0,0.0,5.48705,43.5151,43.6515,7.83182,35.0886,11125.3,68.85003,1.61564,4.10355,2.90691,5.79241,3.14537,17.5188,29.34181,0.0,1.17668,0.42351000000000005,3.35132,10.95342,5.53308,0.0,0.0,0.0,69101221.0,0.0,0.0,32.986990000000006,49.224759999999996,898032.0,898030.0,19548400.0,0,1,0,0,0,0,0,0,0,0,0
AES,1.0061200000000001,0.0,1.0950799999999998,3.24,0.0,0.0,0.28415,23.63554,23.84767,2.62567,785.2153,11752.87,662.6971,0.0,5.95151,19.07984,20.674229999999998,4.77231,7.14895,62.185469999999995,0.0,1.22286,1.0025700000000002,1.6872200000000002,6.70194,2.19565,0.0,0.0,0.0,665131148.0,0.0,0.0,79.48308,868.1154,6310459.0,6310460.0,136131160.0,0,0,0,0,0,0,0,0,0,0,1
