,index,beta,bookValuePerShare,currentRatio,divGrowthRate3Year,dividendAmount,dividendDate,dividendPayAmount,dividendPayDate,dividendYield,epsChange,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,high52,interestCoverage,low52,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.61,0.81759946,0.97,Buy,2343967.0,36702328500.0,51.47518223,2.3271,16400.0,Health Technology
1,AA,2.5579,0.0,1.75988,0.0,0.0, ,0.0, ,0.0,0.0,39.05109,77.82809,0.0,13.82664,13.79421,24.45,2.13208,5.16,74.757,4322.863,184.913,0.0,0.0,4.5666,0.0,1.2733,15.4388,0.0,0.0,0.46333,1.15284,0.0,0.0,0.0,10.10242,0.0,0.0,185929586.0,0.0,0.0,AA,33.60233,74.81591,3786841.0,3786840.0,114330040.0,23.67,1.80645161,0.42,Buy,4297930.0,4400963100.0,,-2.5252,13800.0,Non-Energy Minerals
2,AACG,1.59688,0.0,0.49555,0.0,0.0, ,0.41,2017-06-15 00:00:00.000,0.0,0.0,11.15237,154.902,0.0,37.37582,34.49845,1.87,0.0,0.612,0.0,37.45132,31.7384,42.904,0.0,0.0,0.0,0.70458,0.0,0.0,0.0,1.57421,0.0,0.0,0.0,0.0,59.94794,251.3421,0.0,62701002.0,0.0,0.0,AACG,1.12604,1.35947,42425.0,42430.0,1694120.0,1.23,4.23728814,0.05,Buy,21266.0,37451300.0,,-0.5105,768.0,Commercial Services
3,AACQ,0.0,0.0,0.06117,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.84,0.0,9.575,0.0,965.3962,72.45,0.0,0.0,0.0,0.0,1.37765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72450000.0,0.0,0.0,AACQ,0.0,0.0,1330057.0,1330060.0,11928400.0,,,,,,,,,,
4,AACQU,0.0,0.0,1.02739,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94,0.0,9.94,0.0,730.296,57.35625,0.0,0.0,0.0,0.0,42771.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72450000.0,0.0,0.0,AACQU,91.92846,1138.92,160339.0,207270.0,0.0,,,,,,,,,,
5,AACQW,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AACQW,0.0,0.0,434787.0,0.0,0.0,,,,,,,,,,
6,AAIC,1.82251,0.0,0.0,0.0,0.0, ,0.225,2020-05-04 00:00:00.000,0.0,0.0,0.0,149.9441,0.0,82.56783,0.0,6.77,0.0,1.4,82.32188,124.6853,32.47259,50.83316,0.0,50.83316,0.0,0.62498,0.0,0.0,0.0,67.65343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33427687.0,0.0,0.0,AAIC,74.81635,297.083,264273.0,264270.0,4932260.0,3.77,1.07238606,0.04,Buy,229134.0,124685000.0,,-1.4839,11.0,Finance
7,AAIC-B,0.0,0.0,0.0,0.0,1.75,2020-12-15 00:00:00.000,0.4375,2020-12-30 00:00:00.000,8.29,0.0,0.0,0.0,0.0,0.0,0.0,23.4248,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343839.0,0.0,0.0,AAICpB,0.0,0.0,795.0,0.0,0.0,,,,,,,,,,
8,AAIC-C,0.0,0.0,0.0,0.0,2.0625,2020-12-15 00:00:00.000,0.515625,2020-12-30 00:00:00.000,9.94,0.0,0.0,0.0,0.0,0.0,0.0,24.71,0.0,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166900.0,0.0,0.0,AAICpC,0.0,0.0,2038.0,0.0,0.0,,,,,,,,,,
9,AAL,1.845,0.0,0.74409,0.0,0.0, ,0.1,2020-05-19 00:00:00.000,0.0,0.0,0.0,0.0,0.0,34.73054,51.84584,30.78,0.0,8.25,0.0,9153.632,599.3472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37175,0.64562,0.0,0.0,0.0,95.62269,0.0,0.0,604998810.0,0.0,0.0,AAL,120.2803,0.0,62092071.0,62092070.0,1588972450.0,15.43,1.9828156000000003,0.3,Sell,53368182.0,9335134570.0,,-13.8445,133700.0,Transportation
