Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
AAPL,131.01,1.2363805,1.6,Buy,97664898,2227405818000,39.61368924,3.2994,147000,Electronic Technology
MSFT,217.9,0.09646745,0.21,Sell,23822953,1647432950000,35.11695435,6.257,163000,Technology Services
AMZN,3218.51,1.00042992,31.88,Buy,2655548,1614890611010,93.32093595,34.8018,798000,Retail Trade
GOOG,1740.92,0.73369439,12.68,Sell,1145347,1177603551920,34.51027377,52.2107,118899,Technology Services
GOOGL,1740.05,0.80642825,13.92,Sell,1017962,1177015061300,34.46814034,52.2107,118899,Technology Services
FB,270.97,0.7548152,2.03,Sell,9871557,771802146057,30.62609607,8.8651,44942,Technology Services
TSLA,735.11,0.7317374,5.34,Buy,32245165,696811504110,1458.37330136,0.5662,48016,Consumer Durables
BABA,240.4,5.50800966,12.55,Sell,35823827,616479000000,33.00308521,7.0185,117600,Retail Trade
TSM,112.77,0.95792301,1.07,Buy,10583572,579285000000,35.28891416,3.1653,51297,Electronic Technology
BRK.A,341820,-0.49632487,-1705,Buy,319,534316160880,15.22447261,22564,391500,Finance
BRK.B,227.47,-0.42897789,-0.98,Buy,5531573,533354823220,15.18676833,15.0427,391500,Finance
V,214.54,-1.47869214,-3.22,Strong Buy,6869718,501439868387,45.73348735,4.8922,20500,Finance
JNJ,158.34,1.17571885,1.84,Strong Buy,9602290,416836383600,24.59106551,6.4512,132200,Health Technology
WMT,145.75,-0.5323142,-0.78,Buy,8832653,412369017500,21.15284675,6.9688,2200000,Retail Trade
JPM,125.65,-0.17478351,-0.22,Buy,13731206,383006330000,16.42696805,7.6769,256981,Finance
MA,347.42,-1.15792768,-4.07,Strong Buy,2990661,346351650148,52.74855556,6.6937,18600,Finance
PG,138.7,0.638514,0.88,Buy,6856411,343921907000,26.34929739,5.4158,99000,Consumer Non-Durables
NVDA,536.19,2.22099363,11.65,Strong Buy,8068998,331901610000,85.73296504,6.2173,13775,Electronic Technology
UNH,344.8,-1.34477825,-4.7,Strong Buy,3160458,327153480800,20.07778346,17.5849,325000,Health Services
DIS,178.44,0.42773525,0.76,Buy,7771802,323063835600,,-1.5805,203000,Consumer Services
HD,266.05,0.80706275,2.13,Sell,3822639,286429430000,22.80914025,11.6189,415700,Retail Trade
PYPL,234.91,1.28923767,2.99,Buy,5047831,275241697900,87.57646703,2.679,23200,Technology Services
BAC,30.26,0.76590077,0.23,Buy,48507015,261772905400,14.84355692,2.0342,208000,Finance
VZ,58.58,-0.45879354,-0.27,Sell,16220030,242409312200,13.3117691,4.423,135000,Communications
ADBE,485.69,0.07211439,0.35,Sell,2010099,232994721110,44.79413746,10.9534,,Technology Services
NFLX,520.8,-0.39398692,-2.06,Buy,3133872,230086836000,84.46986219,6.3762,8600,Consumer Services
CMCSA,49.98,-1.04929717,-0.53,Sell,17854645,228674712263,22.61169308,2.2601,190000,Consumer Services
KO,52.18,-1.09931766,-0.58,Sell,20323822,224239897400,27.36088783,1.9424,86200,Consumer Non-Durables
NKE,141.23,0.80656674,1.13,Buy,4163149,221704266300,79.73365204,1.8037,75400,Consumer Non-Durables
TM,153.4,0.07175941,0.11,Buy,231776,214296000000,16.33977871,9.4643,359542,Consumer Durables
