,index,beta,bookValuePerShare,currentRatio,divGrowthRate3Year,dividendAmount,dividendDate,dividendPayAmount,dividendPayDate,dividendYield,epsChange,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,high52,interestCoverage,low52,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
0,AAU,0.99775,1.2564,9.47715,0.0,0.0, ,0.0, ,0.0,0.0,9.53916,81.30081,0.0,0.0,0.0,1.24,0.0,0.2121,4.12742,58.49584,114.9528,0.0,0.0,0.0,0.0,1.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120548611.0,0.0,0.0,AAU,4.13346,4.31169,3298910.0,3298910.0,25780310.0,0.5063,3.32653061,0.0163,Sell,2587218,61033959.0,,-0.02103687,,Non-Energy Minerals
1,ACST,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,0.0,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96892537.0,0.0,0.0,ACST,0.0,0.0,94065202.0,0.0,0.0,0.518,31.13924051,0.12300000000000001,Buy,195411728,50190315.0,,,,Health Technology
2,ADMP,1.64103,0.0,1.32074,0.0,0.0, ,0.0, ,0.0,0.0,33.25999,20.85712,0.0,15.21145,12.01414,1.51,0.0,0.27,5.19992,50.71561,92.9053,0.0,0.0,0.0,0.0,1.85127,0.0,0.0,0.0,2.75175,1.16228,0.0,0.0,0.0,9.52974,0.0,0.0,93657628.0,0.0,0.0,ADMP,16.17577,19.29725,3637920.0,3637920.0,99478020.0,0.6152,13.61034164,0.0737,Buy,15320655,57618156.0,,-0.4974,171.0,Health Technology
3,ADXS,3.04975,0.0,8.40228,0.0,0.0, ,0.0, ,0.0,0.0,86.02208,90.53107,0.0,0.0,0.0,1.48,0.0,0.2639,0.0,38.94013,93.30149,0.0,0.0,0.0,0.0,0.83112,0.0,0.0,0.0,153.3076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92894139.0,0.0,0.0,ADXS,0.0,0.0,10839390.0,10839390.0,124829670.0,0.53,27.09832134,0.113,Buy,40460707,49233873.0,,-0.5537,35.0,Health Technology
4,AEZS,1.96281,0.0,12.97496,0.0,0.0, ,0.0, ,0.0,0.0,70.63543,0.0,0.0,74.21875,6.74847,1.54,0.0,0.29,0.50172,32.37684,58.73468,0.0,0.0,0.0,0.0,2.13053,0.0,0.0,0.0,24.82886,12.7685,0.0,0.0,0.0,88.23529,0.0,0.0,62678613.0,0.0,0.0,AEZS,1.30953,1.32691,4251258.0,4251260.0,50508010.0,0.5168,0.36900369,0.0019,Buy,7306908,32392300.0,,-0.18558862,11.0,Health Technology
5,AIKI,1.91132,0.0,59.57298,0.0,0.0, ,0.0, ,0.0,0.0,0.0,95.81339,0.0,0.0,0.0,5.52,0.0,0.4656,0.0,30.21297,32.95688,0.0,0.0,0.0,0.0,1.03441,0.0,0.0,0.0,3356.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34920219.0,0.0,0.0,AIKI,0.0,0.0,13542385.0,13542390.0,76986560.0,0.8525,-1.4678687,-0.0127,Buy,4682837,29769471.0,,-0.8323,3.0,Health Technology
6,ARTL,0.0,229.41,4.65411,0.0,0.0, ,0.0, ,0.0,0.0,0.0,20.49729,0.0,0.0,0.0,4.4234,0.0,0.451,0.0,12.61818,13.92949,0.0,0.0,0.0,0.0,1.07569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15111587.0,0.0,0.0,ARTL,0.0,0.0,2330880.0,2330880.0,45997770.0,0.86,2.99401198,0.025,Buy,2424228,12995976.0,,-1.2687,3.0,Retail Trade
7,ASRT,1.61116,0.0,0.79538,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,81.30479,88.42638,1.71,0.0,0.33,101.6919,47.17825,102.8503,0.0,0.0,0.0,0.0,0.62118,0.0,0.0,0.0,0.34863,0.69285,0.0,0.0,0.0,67.65291,0.0,0.0,107223287.0,0.0,0.0,ASRT,53.74402,116.1883,12307573.0,12307570.0,65622620.0,0.474,7.72727273,0.034,Buy,19139307,50823702.0,,-2.3681,125.0,Health Technology
8,ATIF,0.0,0.0,0.67281,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.6501,0.0,44.55697,12.39288,0.0,0.0,0.0,0.0,2.34354,0.0,0.0,0.0,64.95185,0.6668,0.0,0.0,0.0,0.0,0.0,0.0,51362500.0,0.0,0.0,ATIF,0.4121,0.82312,25360164.0,25360160.0,105900270.0,0.8581,-1.08357349,-0.0094,Sell,1715306,44074161.0,,-0.374,97.0,Finance
9,AUMN,1.24687,0.0,6.27234,0.0,0.0, ,0.0, ,0.0,0.0,42.5006,46.54762,0.0,72.87978,66.80633,0.848,0.0,0.1336,0.0,127.5687,112.7713,0.0,0.0,0.0,0.0,10.7712,0.0,0.0,0.0,19.79651,6.15055,0.0,0.0,0.0,75.3268,9.77853,0.0,154012652.0,0.0,0.0,AUMN,0.0,0.0,2209102.0,2209100.0,35677100.0,0.8220000000000001,-0.76059399,-0.0063,Strong Buy,1597505,126598686.0,,-0.0477,170.0,Non-Energy Minerals
