,open,high,low,close,volume
2000-12-21,37.553648,38.514843,35.675966,36.748927,4023720
2000-12-22,36.5701,39.878398,36.525393,39.118383,2558755
2000-12-26,39.16309,39.476037,37.911302,38.268956,1579038
2000-12-27,38.313662,40.057225,38.313662,40.012518,3748454
2000-12-28,39.788985,40.325466,38.89485,39.565451,1763294
2000-12-29,39.610157,40.370172,38.358369,39.16309,2069316
2001-01-02,38.537196,38.537196,35.094778,36.391273,2261681
2001-01-03,35.139485,40.414878,34.021818,40.146639,4502674
2001-01-04,40.683119,42.694921,39.565451,41.666667,4398384
2001-01-05,40.951359,41.666667,38.268956,39.386624,3277049
2001-01-08,38.805436,39.878398,37.419528,38.090129,2273285
2001-01-09,38.268956,39.29721,37.061874,37.911302,2474177
2001-01-10,37.553648,39.744278,37.464235,39.565451,2405955
2001-01-11,39.967812,41.264306,38.403076,41.174892,3517085
2001-01-12,41.174892,41.48784,39.833691,40.146639,2549250
2001-01-16,40.236052,41.666667,39.565451,41.62196,2600976
2001-01-17,42.158441,45.198497,42.158441,44.304363,8383104
2001-01-18,44.304363,48.640916,43.186695,48.327969,6978533
2001-01-19,48.283262,48.283262,46.182046,46.897353,6185168
2001-01-22,46.94206,46.94206,43.902003,44.885551,2822419
2001-01-23,44.840844,45.779685,43.991417,44.885551,3067908
2001-01-24,45.064378,45.332618,41.48784,41.48784,5283878
2001-01-25,40.548999,41.040773,38.626609,39.520744,4284306
2001-01-26,38.850143,39.833691,37.687768,39.073677,3729859
2001-01-29,39.699571,40.414878,38.626609,38.927039,3051272
2001-01-30,39.592275,39.592275,38.984263,39.16309,2389457
2001-01-31,39.341917,39.878398,38.125894,39.020029,2555539
2001-02-01,38.197425,38.662375,37.374821,38.483548,3490522
2001-02-02,38.533619,39.155937,37.195994,37.339056,3020935
2001-02-05,38.340486,38.583691,34.334764,35.193132,3698965
2001-02-06,35.336194,37.553648,35.336194,36.459227,3243355
2001-02-07,36.051503,36.552217,35.157367,35.865523,1774478
2001-02-08,35.944207,39.155937,35.944207,38.776824,4129130
2001-02-09,38.783977,39.141631,37.2103,37.553648,2443701
2001-02-12,37.410587,37.904149,36.015737,36.566524,3014364
2001-02-13,36.480687,36.909871,33.876967,33.88412,4389717
2001-02-14,34.513591,35.050072,34.170243,34.334764,4302342
2001-02-15,35.550786,39.341917,35.472102,38.519313,3954799
2001-02-16,35.76538,36.123034,34.799714,35.76538,5005116
2001-02-20,35.193132,35.371959,30.758226,31.473534,6347756
2001-02-21,30.042918,30.221745,28.040058,28.755365,9363661
2001-02-22,28.576538,29.041488,27.539341,27.947068,6720043
2001-02-23,27.954221,28.16166,25.429185,27.39628,5408579
2001-02-26,26.959943,27.718168,26.680973,27.39628,3722172
2001-02-27,27.002861,28.369099,26.387697,27.288984,3646400
2001-02-28,27.46781,27.753933,25.608011,25.751073,3531205
2001-03-01,25.679542,27.896996,24.606581,27.403433,5090814
2001-03-02,26.072961,28.783977,26.065808,27.203147,3432087
2001-03-05,27.2103,28.061517,26.537911,27.217453,2032829
2001-03-06,27.968527,29.556509,27.968527,29.041488,3737688
2001-03-07,30.257511,30.314735,29.041488,29.298999,2736722
2001-03-08,29.306152,29.484979,28.326181,28.612303,2838216
2001-03-09,27.968527,28.233191,26.216023,26.502146,2820741
2001-03-12,25.751073,26.180258,25.035765,25.042918,3404127
2001-03-13,25.46495,26.380544,25.143062,26.165951,2649766
2001-03-14,25.178827,26.244635,24.992847,25.250358,3685265
2001-03-15,25.393419,26.158798,24.699571,24.928469,2882253
2001-03-16,24.606581,25.572246,24.291845,24.856938,4145906
2001-03-19,24.749642,26.8598,24.041488,26.459227,2405535
2001-03-20,25.9299,25.9299,24.53505,24.53505,4223215
2001-03-21,23.619456,24.134478,21.173104,22.60372,8677662
2001-03-22,22.818312,25.021459,22.775393,24.892704,4605009
2001-03-23,24.892704,28.25465,24.892704,27.060086,5074737
2001-03-26,26.552217,26.924177,25.851216,26.516452,2916924
2001-03-27,26.466381,26.48784,25.565093,26.416309,2694782
2001-03-28,25.107296,25.193133,23.247496,23.390558,4258864
2001-03-29,22.889843,23.733906,21.459227,21.459227,8742530
2001-03-30,21.888412,22.76824,21.602289,21.981402,5381039
2001-04-02,23.06867,23.297568,21.67382,22.067239,3512472
2001-04-03,21.530758,21.816881,20.028613,21.101574,5082845
2001-04-04,20.536481,21.030043,19.856938,20.092991,2869532
2001-04-05,20.565093,22.317597,20.536481,21.902718,3350444
2001-04-06,18.597997,19.957082,17.88269,19.885552,7364940
2001-04-09,19.685264,20.214593,19.334763,19.742489,2894135
2001-04-10,20.171675,21.802575,19.92847,21.351931,2968929
2001-04-11,22.353362,23.319027,22.174535,22.660944,3331011
2001-04-12,22.174535,24.678112,21.466381,24.291845,3337581
2001-04-16,23.748212,23.998569,23.118741,23.834049,2173887
2001-04-17,23.06867,24.298999,22.725322,23.841202,1803557
2001-04-18,24.678112,27.811158,24.463519,27.174535,4993373
2001-04-19,26.745351,28.969957,26.745351,27.889843,3886297
2001-04-20,27.88269,29.327611,27.546494,28.898426,3567273
2001-04-23,28.25465,28.612303,27.339055,28.612303,2869950
2001-04-24,27.825466,28.075823,26.108727,26.623748,2702331
2001-04-25,26.466381,27.896996,26.130186,27.775393,2332280
2001-04-26,27.360514,29.306152,27.181688,27.188841,2971026
2001-04-27,28.183119,28.755365,27.360514,27.74678,1713525
2001-04-30,28.183119,28.79113,27.782546,27.904149,1690039
2001-05-01,27.110157,28.218885,26.852647,28.040058,2142432
2001-05-02,28.540773,28.934192,28.047211,28.412018,1801180
2001-05-03,28.075823,28.075823,27.095851,27.503576,1661660
2001-05-04,27.324749,27.968527,26.537911,27.446351,2497524
2001-05-07,26.895565,27.961374,26.752504,27.711015,2066660
2001-05-08,27.825466,28.326181,27.060086,27.482117,1601266
2001-05-09,27.110157,28.569385,26.824034,27.896996,2517375
2001-05-10,28.612303,29.456366,27.939915,28.047211,2468166
2001-05-11,28.111589,28.88412,28.111589,28.390559,2059810
2001-05-14,28.483548,28.490701,27.195994,27.718168,1747077
2001-05-15,27.074392,27.811158,26.466381,26.788269,2367230
2001-05-16,26.080114,27.539341,25.393419,27.539341,3199040
2001-05-17,27.181688,28.25465,26.83834,27.696709,2991576
2001-05-18,27.181688,27.861231,25.536481,25.751073,9310817
2001-05-21,25.751073,27.39628,25.536481,27.181688,6312945
2001-05-22,27.718168,28.469242,27.060086,28.075823,3514707
2001-05-23,27.432045,27.496423,26.824034,27.131617,3483813
2001-05-24,27.131617,27.253218,25.965665,25.965665,2746927
2001-05-25,26.323319,27.539341,26.323319,26.959943,2057573
2001-05-29,26.93133,26.93133,25.422031,25.715308,2223375
2001-05-30,24.391989,24.892704,23.404864,23.51216,3547420
2001-05-31,23.60515,24.320458,23.06867,23.991416,4622763
2001-06-01,24.678112,24.856938,23.004292,24.298999,2389598
2001-06-04,24.320458,24.456366,23.819742,23.962804,2207439
2001-06-05,23.962804,24.570815,23.962804,24.391989,3288792
2001-06-06,24.391989,24.964235,23.97711,24.513591,2005987
2001-06-07,23.962804,26.072961,23.962804,25.636624,2929226
2001-06-08,25.207439,25.536481,24.928469,25.042918,1315655
2001-06-11,24.606581,25.035765,23.719599,24.155937,3188415
2001-06-12,23.619456,24.0701,22.961373,23.819742,2875683
2001-06-13,23.962804,24.270386,23.347639,23.347639,1588684
2001-06-14,22.997139,23.004292,21.709585,22.246066,3332130
2001-06-15,21.473534,22.145923,20.74392,21.788269,4001632
2001-06-18,21.67382,22.224607,20.944206,21.459227,2492631
2001-06-19,21.816881,21.945637,20.74392,20.972818,3296340
2001-06-20,20.972818,21.030043,19.492131,20.329042,4626119
2001-06-21,20.565093,21.20887,20.257511,21.158798,3120612
2001-06-22,20.74392,21.716738,20.572246,21.030043,3436700
2001-06-25,21.065808,21.423462,20.886981,21.20887,2315924
2001-06-26,20.958512,21.423462,20.371961,20.886981,3507577
2001-06-27,20.350501,21.816881,20.350501,21.351931,3380361
2001-06-28,21.459227,22.818312,21.459227,22.668097,4211051
2001-06-29,22.532189,24.391989,22.031474,23.247496,5617720
2001-07-02,23.247496,23.962804,22.904149,23.669528,2152358
2001-07-03,23.748212,23.748212,23.118741,23.261803,938894
2001-07-05,23.254649,23.562232,22.567954,23.011445,2075188
2001-07-06,22.818312,22.818312,20.844063,21.566524,2225891
2001-07-09,21.566524,21.924177,21.180258,21.39485,1387931
2001-07-10,21.39485,21.745351,20.085838,20.243205,3387770
2001-07-11,20.278971,20.565093,18.741059,19.220315,4336733
2001-07-12,20.386267,22.532189,20.243205,21.988555,3449003
2001-07-13,21.995708,22.95422,21.330472,21.67382,2782017
2001-07-16,21.566524,21.917024,20.386267,20.672389,2229807
2001-07-17,20.20744,21.416309,20.035766,21.101574,2932161
2001-07-18,20.100144,20.915594,20.100144,20.379114,1461186
2001-07-19,20.48641,21.816881,20.48641,20.715308,1882264
2001-07-20,20.536481,21.015737,19.957082,20.672389,2055616
2001-07-23,20.736767,20.994278,19.706723,19.821172,2068478
2001-07-24,19.742489,19.992848,19.313304,19.635192,2478791
2001-07-25,19.599427,19.914164,19.256079,19.914164,2292996
2001-07-26,20.028613,21.137339,19.778254,20.894134,2545335
2001-07-27,20.851216,21.595136,20.608011,21.530758,1849131
2001-07-30,20.779685,21.423462,20.779685,21.044349,1809009
2001-07-31,20.779685,21.67382,20.336195,20.464951,2143271
2001-08-01,21.101574,22.811159,20.901288,22.711016,3514569
2001-08-02,22.532189,23.390558,22.281831,22.711016,2576930
2001-08-03,22.317597,23.1402,22.260372,22.389127,1418128
2001-08-06,22.39628,22.517883,21.824034,22.04578,1707794
2001-08-07,22.04578,22.746781,21.816881,22.195994,1478102
2001-08-08,21.244635,21.888412,20.686695,20.708155,3093771
2001-08-09,20.708155,20.708155,20.042919,20.48641,1616364
2001-08-10,20.493563,20.600858,19.678111,20.450644,2393513
2001-08-13,20.74392,20.994278,20.171675,20.686695,1203954
2001-08-14,20.74392,21.244635,20.74392,21.130186,2181855
2001-08-15,20.672389,20.872675,19.642345,19.921317,1619021
2001-08-16,19.492131,19.849785,19.027182,19.670958,2513042
2001-08-17,19.527896,19.527896,18.726753,18.919886,2154874
2001-08-20,18.669528,18.855508,18.090129,18.662375,2238055
2001-08-21,18.025751,19.313304,17.381974,18.919886,7619097
2001-08-22,19.206009,19.306151,18.597997,18.869814,2534291
2001-08-23,18.869814,19.16309,18.519313,18.719599,3637731
2001-08-24,18.955651,20.064378,18.812589,19.878398,1958595
2001-08-27,20.050072,20.057225,19.349069,19.427753,1373811
2001-08-28,19.456366,19.885552,19.141631,19.670958,1880447
2001-08-29,19.599427,19.742489,19.391988,19.4206,1934689
2001-08-30,19.241774,19.706723,18.533619,18.633763,1991448
2001-08-31,18.526466,19.134478,18.490701,18.955651,1439517
2001-09-04,18.848355,19.277539,18.311874,18.476395,1868424
2001-09-05,18.133047,18.440629,17.353362,17.596567,4119064
2001-09-06,17.41774,17.560801,16.595136,17.167382,3933969
2001-09-07,16.595136,17.346209,16.530758,16.702432,2353110
2001-09-10,16.094421,16.58083,15.994278,16.48784,2746368
2001-09-17,15.128755,16.080114,15.021459,15.55794,3550917
2001-09-18,15.379113,16.02289,15.021459,15.543634,2132087
2001-09-19,15.400572,16.452074,14.384835,16.273247,4091663
2001-09-20,15.736767,15.74392,14.692418,14.892704,2919860
2001-09-21,12.875536,14.62804,12.875536,14.413448,4078103
2001-09-24,14.663805,15.515021,14.449213,15.021459,2779640
2001-09-25,15.164521,15.164521,13.23319,14.148784,3446207
2001-09-26,14.270386,14.449213,13.23319,13.805436,3173037
2001-09-27,13.633763,13.762518,13.175966,13.762518,2527022
2001-09-28,13.876967,14.248927,13.590844,13.984263,3049173
2001-10-01,13.69814,13.927039,13.390558,13.490701,1960692
2001-10-02,13.590844,14.377682,13.590844,14.356223,3390147
2001-10-03,14.198856,15.364807,13.984263,15.200286,4097395
2001-10-04,15.164521,15.915594,15.064378,15.522175,3655487
2001-10-05,15.379113,15.414878,14.592275,15.09299,2721483
2001-10-08,14.949928,15.729614,14.735336,15.321888,2069734
2001-10-09,15.321888,15.357654,14.62804,14.864092,1821591
2001-10-10,14.699571,15.722461,14.663805,15.693848,2042615
2001-10-11,15.829757,17.424893,15.829757,17.253219,4024698
2001-10-12,16.680973,16.988555,16.380544,16.709585,3693653
2001-10-15,16.752504,16.881259,16.008584,16.616595,2539183
2001-10-16,16.452074,17.153076,16.452074,17.031474,1661799
2001-10-17,17.525036,17.732475,16.523605,16.895565,2791803
2001-10-18,16.344778,16.666667,16.11588,16.237482,1391007
2001-10-19,16.173104,16.809728,16.065808,16.709585,1585888
2001-10-22,16.237482,16.981402,16.165951,16.888412,1441614
2001-10-23,16.888412,17.632332,16.881259,17.060086,1902254
2001-10-24,16.974249,17.346209,16.630901,17.32475,1637614
2001-10-25,16.809728,17.260372,15.951359,17.260372,2410568
2001-10-26,17.095851,17.58226,17.067239,17.410587,1924763
2001-10-29,17.067239,17.074392,16.137339,16.402003,1727086
2001-10-30,16.309013,16.452074,15.772532,15.879828,1923365
2001-10-31,16.02289,16.595136,15.844063,15.9299,1724290
2001-11-01,15.822604,16.452074,15.779685,16.380544,1543109
2001-11-02,16.559371,16.773963,16.316166,16.666667,1321666
2001-11-05,16.773963,17.739628,16.773963,17.51073,2738259
2001-11-06,17.689557,18.23319,17.274678,18.23319,2304041
2001-11-07,17.875536,18.075823,17.553648,17.668097,1567994
2001-11-08,17.596567,18.412017,17.560801,17.703863,2690028
2001-11-09,17.453505,17.839771,17.381974,17.739628,1310202
2001-11-12,17.424893,17.739628,16.888412,17.625179,2104826
2001-11-13,17.310443,17.88269,17.296137,17.846924,2973263
2001-11-14,17.961373,18.383405,17.889843,18.104435,2448035
2001-11-15,17.88269,18.16166,17.317597,17.904149,2672274
2001-11-16,17.095851,17.346209,16.165951,17.260372,11550552
2001-11-19,17.167382,17.703863,16.845494,17.460658,12996923
2001-11-20,17.346209,17.353362,16.881259,17.010014,13580169
2001-11-21,17.074392,17.453505,16.938484,17.403433,8538701
2001-11-23,17.439199,17.95422,17.360515,17.95422,2515558
2001-11-26,17.982833,18.812589,17.911302,18.776824,6878996
2001-11-27,18.741059,19.735335,18.669528,19.313304,8316140
2001-11-28,18.955651,19.492131,18.776824,19.277539,5990286
2001-11-29,19.134478,19.563662,18.640916,19.434906,4573833
2001-11-30,19.670958,19.670958,19.298998,19.506437,4702869
2001-12-03,19.456366,19.814019,19.241774,19.678111,3349745
2001-12-04,19.814019,20.135909,19.477825,20.135909,3414332
2001-12-05,20.20744,21.409156,20.085838,21.409156,6792180
2001-12-06,21.423462,21.452074,20.958512,21.287554,3114182
2001-12-07,21.244635,22.081545,21.037196,21.566524,5810225
2001-12-10,21.423462,21.995708,20.886981,21.423462,3657165
2001-12-11,21.423462,21.609442,20.9299,20.951359,3136689
2001-12-12,21.065808,22.067239,21.044349,21.967096,5034055
2001-12-13,21.244635,21.294707,20.39342,20.400573,3430130
2001-12-14,20.064378,20.736767,20.035766,20.622318,3045259
2001-12-17,20.371961,21.080114,20.243205,20.679542,4859445
2001-12-18,20.722461,21.044349,20.314736,20.615165,3012687
2001-12-19,20.064378,20.808298,20.028613,20.422032,2517935
2001-12-20,20.135909,20.214593,19.613733,19.814019,3982200
2001-12-21,19.728182,20.243205,19.728182,19.992848,3732517
2001-12-24,20.371961,20.457798,20.100144,20.39342,1246174
2001-12-26,20.529328,20.658083,20.100144,20.100144,2467047
2001-12-27,20.035766,20.722461,20.035766,20.629471,1909944
2001-12-28,20.74392,20.879828,20.422032,20.708155,1600427
2001-12-31,20.529328,20.815451,20.350501,20.39342,2142012
2002-01-02,20.39342,20.987124,20.357655,20.922747,3018698
2002-01-03,21.094421,22.317597,21.044349,22.246066,4558316
2002-01-04,22.818312,23.562232,22.639485,23.447783,7155240
2002-01-07,23.376252,23.526466,23.032904,23.354793,5325257
2002-01-08,23.354793,23.526466,23.06867,23.426323,3488566
2002-01-09,23.404864,23.819742,22.668097,22.868383,2959283
2002-01-10,22.868383,22.868383,22.389127,22.689557,1730861
2002-01-11,22.689557,22.818312,21.967096,22.203147,1979844
2002-01-14,21.816881,21.902718,21.509299,21.759657,3117257
2002-01-15,21.759657,22.281831,21.587983,21.781116,2600277
2002-01-16,21.316166,21.316166,20.493563,20.643777,3577339
2002-01-17,20.672389,21.094421,20.472104,21.008584,1993545
2002-01-18,20.615165,20.722461,20.200287,20.371961,2725258
2002-01-22,20.314736,20.386267,19.349069,19.427753,2172349
2002-01-23,19.256079,20.55794,19.256079,20.028613,3078812
2002-01-24,20.379114,20.922747,20.243205,20.593705,1453776
2002-01-25,20.600858,20.958512,20.278971,20.786838,2370026
2002-01-28,20.758226,21.316166,20.643777,21.194564,2885748
2002-01-29,21.030043,21.530758,20.74392,20.922747,2198072
2002-01-30,20.579399,21.101574,20.135909,21.058655,2638442
2002-01-31,20.958512,21.731044,20.858369,21.709585,2756713
2002-02-01,21.530758,21.616595,20.865522,21.180258,1535979
2002-02-04,20.815451,21.244635,20.257511,20.443491,1552056
2002-02-05,20.264665,20.672389,19.306151,19.427753,3936206
2002-02-06,19.599427,19.706723,18.905579,19.298998,3709588
2002-02-07,19.470672,19.484978,18.79113,18.876967,2612438
2002-02-08,18.88412,19.0701,17.761087,18.583691,4329044
2002-02-11,18.240343,19.241774,18.240343,19.127325,2868132
2002-02-12,18.948498,19.263232,18.562232,18.712446,3290190
2002-02-13,18.891273,19.349069,18.891273,19.213162,2943626
2002-02-14,19.241774,19.527896,18.927039,19.527896,3103697
2002-02-15,19.728182,19.79256,19.456366,19.670958,2813192
2002-02-19,19.170243,19.227468,18.597997,18.633763,2347658
2002-02-20,20.028613,21.316166,20.028613,20.643777,7024947
2002-02-21,20.779685,21.173104,20.100144,20.143062,3377424
2002-02-22,20.171675,20.493563,19.892705,20.214593,2054498
2002-02-25,20.386267,21.173104,20.350501,20.74392,1873736
2002-02-26,20.74392,21.380544,20.665236,21.251788,2756154
2002-02-27,21.444921,22.846924,21.351931,21.917024,6403955
2002-02-28,22.889843,22.95422,22.2103,22.281831,3846454
2002-03-01,22.496423,23.819742,22.460658,23.597997,6266811
2002-03-04,23.640916,25.143062,23.462089,25.007153,5819032
2002-03-05,24.856938,25.672389,24.53505,24.964235,4811633
2002-03-06,24.892704,25.214592,24.463519,24.620887,4095018
2002-03-07,25.035765,25.178827,24.685265,24.892704,2545056
2002-03-08,25.071531,26.008584,25.050072,25.815451,5096825
2002-03-11,25.815451,26.459227,25.808298,25.901288,4470801
2002-03-12,25.178827,25.865522,25.143062,25.758226,4149680
2002-03-13,25.608011,25.643777,25.293276,25.529328,6985523
2002-03-14,25.536481,25.715308,25.321888,25.507868,3553853
2002-03-15,25.686695,26.824034,25.572246,26.688126,4566702
2002-03-18,26.688126,27.181688,26.287554,26.509299,5432765
2002-03-19,26.509299,26.745351,25.908441,26.180258,3069865
2002-03-20,25.751073,25.965665,24.53505,24.577969,5468973
2002-03-21,24.606581,25.336195,24.549356,25.264664,2314526
2002-03-22,25.107296,25.307582,24.391989,24.585122,2318720
2002-03-25,24.635193,24.921316,23.819742,23.88412,2467326
2002-03-26,24.034335,24.606581,23.798283,23.97711,3734195
2002-03-27,24.248927,24.377682,23.633763,23.783977,5377963
2002-03-28,24.284692,25.293276,24.105866,25.007153,3748732
2002-04-01,24.985694,26.323319,24.821173,26.130186,3609353
2002-04-02,26.037196,26.087268,25.293276,25.536481,6854111
2002-04-03,26.108727,26.430615,24.756795,25.071531,4211332
2002-04-04,25.193133,25.343348,24.313305,24.420601,2990319
2002-04-05,24.499285,24.849785,24.105866,24.241774,1465519
2002-04-08,23.783977,24.771102,23.533619,24.463519,2808439
2002-04-09,24.377682,24.62804,23.297568,23.462089,2935098
2002-04-10,23.60515,23.898426,23.469242,23.733906,5199998
2002-04-11,23.390558,23.533619,22.889843,22.997139,4747465
2002-04-12,23.04721,23.354793,22.811159,23.1402,3185340
2002-04-15,23.1402,23.462089,22.854077,23.204578,2407912
2002-04-16,23.569385,24.320458,23.469242,24.248927,9356391
2002-04-17,24.499285,25.050072,24.284692,25.014306,4315483
2002-04-18,24.785408,24.856938,23.97711,24.749642,3828420
2002-04-19,25.035765,25.228898,24.90701,25.035765,3715601
2002-04-22,24.72103,24.785408,23.741059,24.141631,2904342
2002-04-23,24.141631,24.53505,23.097282,23.111588,8178297
2002-04-24,23.283262,23.454936,22.253219,22.267525,4041475
2002-04-25,22.103004,22.331903,21.423462,22.13877,3438936
2002-04-26,22.174535,22.317597,21.316166,21.430615,2454883
