,open,high,low,close,volume
2001-11-30,13.9,14.28333,13.88333,14.28333,165300.0
2001-12-03,14.23333,14.23333,13.78333,13.78333,127500.0
2001-12-04,13.78333,13.78333,13.23333,13.23333,95400.0
2001-12-05,13.43333,14.78333,13.43333,14.66667,598200.0
2001-12-06,14.73333,14.73333,14.57,14.57333,157200.0
2001-12-07,14.58333,14.66667,14.46667,14.66667,215100.0
2001-12-10,14.63333,14.64,14.58667,14.61667,119100.0
2001-12-11,14.6,14.71,14.58667,14.58667,378600.0
2001-12-12,14.58333,14.58333,14.03667,14.1,114600.0
2001-12-13,14.08333,14.26667,13.96667,13.96667,113700.0
2001-12-14,13.95,13.95,13.51667,13.63,233400.0
2001-12-17,13.66333,14.0,13.66333,13.66667,106200.0
2001-12-18,13.68333,13.86667,13.66667,13.66667,101400.0
2001-12-19,13.66667,13.68333,13.58,13.68333,157800.0
2001-12-20,13.73333,14.23,13.73333,14.1,97200.0
2001-12-21,14.18333,15.3,14.16667,15.11333,659400.0
2001-12-24,15.1,15.35,15.06667,15.26667,50700.0
2001-12-26,15.3,15.65333,15.26667,15.33333,378000.0
2001-12-27,15.75,15.88333,15.4,15.65,349200.0
2001-12-28,15.73333,15.73333,15.63333,15.68333,295500.0
2001-12-31,15.7,16.58333,15.56667,16.58333,255900.0
2002-01-02,16.16667,16.16667,15.88333,15.92667,132300.0
2002-01-03,15.9,15.90333,15.1,15.1,89700.0
2002-01-04,15.1,15.2,13.66667,14.16667,346500.0
2002-01-07,14.16667,14.36667,13.28333,13.93333,601500.0
2002-01-08,13.85,13.93333,13.5,13.7,442200.0
2002-01-09,13.71667,13.86667,13.7,13.73333,60000.0
2002-01-10,13.73333,14.13333,13.73333,14.03333,216300.0
2002-01-11,14.33333,14.75,14.31667,14.5,340800.0
2002-01-14,14.5,14.56667,14.3,14.3,230700.0
2002-01-15,14.75,15.45,14.75,15.33667,1030200.0
2002-01-16,15.31,15.78333,15.16667,15.63333,526200.0
2002-01-17,15.66667,15.93333,15.66667,15.73333,42900.0
2002-01-18,15.7,16.0,15.56667,15.76667,70500.0
2002-01-22,15.77,15.77,15.23333,15.56667,130800.0
