,open,high,low,close,volume
2000-12-21,40.4875,41.05,40.4875,40.6125,122800
2000-12-22,40.6125,40.6125,39.175,39.2375,155400
2000-12-26,39.3,39.8,39.2375,39.7375,52500
2000-12-27,39.4875,41.05,39.4875,41.05,170900
2000-12-28,40.55,41.8625,40.3,41.675,89100
2000-12-29,41.55,41.7375,41.3,41.7375,91200
2001-01-02,41.925,41.925,41.2375,41.3625,200100
2001-01-03,41.3,41.7375,41.3,41.6125,227400
2001-01-04,41.6125,41.7375,41.3,41.55,214700
2001-01-05,41.425,41.425,39.4875,39.675,235900
2001-01-08,39.7375,40.175,39.3,39.425,91700
2001-01-09,39.3625,39.6125,39.3625,39.55,113300
2001-01-10,39.55,39.55,38.8625,39.175,129800
2001-01-11,39.175,39.55,38.8,38.925,226300
2001-01-12,38.925,39.175,38.8,38.925,217100
2001-01-16,38.925,39.175,38.3,38.55,262700
2001-01-17,38.55,38.55,37.55,38.175,433000
2001-01-18,38.3,38.425,38.05,38.175,279800
2001-01-19,38.1125,38.425,37.9875,38.3,276600
2001-01-22,38.3,38.8,38.2375,38.8,114600
2001-01-23,39.3,39.425,39.01875,39.425,294400
2001-01-24,39.55,40.05,39.55,39.7375,136800
2001-01-25,39.7375,39.925,39.55,39.8,68500
2001-01-26,39.675,39.8625,39.05,39.1125,414700
2001-01-29,38.65,38.94,38.18,38.3,264600
2001-01-30,38.3,38.7,38.05,38.63,324300
2001-01-31,38.4,38.41,37.71,37.9,229300
2001-02-01,38.15,38.15,37.7,38.0,156200
2001-02-02,38.0,38.15,37.82,38.05,102600
2001-02-05,37.88,38.45,37.85,37.85,71700
2001-02-06,37.6,37.7,35.8,36.86,1660800
2001-02-07,36.4,36.9,35.99,36.02,535900
2001-02-08,35.95,36.1,35.6,35.68,476300
2001-02-09,35.7,35.75,34.29,34.9,901900
2001-02-12,34.9,34.99,33.71,34.44,591300
2001-02-13,34.44,34.9,34.3,34.45,612500
2001-02-14,34.5,34.75,34.45,34.73,199700
2001-02-15,34.65,34.78,34.45,34.55,299500
2001-02-16,34.65,35.5,34.65,35.35,414400
2001-02-20,36.05,36.05,35.21,35.4,291900
2001-02-21,35.3,35.31,34.6,35.0,264200
2001-02-22,35.4,35.4,33.91,34.03,356500
2001-02-23,34.04,35.25,34.04,34.8,547200
2001-02-26,34.81,35.04,34.45,35.04,478400
2001-02-27,35.05,35.25,34.89,35.25,267900
2001-02-28,35.8,35.9,35.36,35.8,478800
2001-03-01,36.8,36.8,35.81,36.4,250700
2001-03-02,37.1,37.7,36.97,37.09,405500
2001-03-05,37.05,37.06,36.39,36.5,338800
2001-03-06,36.8,36.8,36.21,36.45,278900
2001-03-07,36.45,36.45,35.7,35.8,422500
2001-03-08,36.0,36.0,34.8,35.13,1295200
2001-03-09,35.14,35.14,34.85,34.86,304700
2001-03-12,34.86,34.96,34.8,34.87,129300
2001-03-13,34.87,35.0,34.65,34.84,312600
2001-03-14,34.84,34.95,34.63,34.67,130900
2001-03-15,34.6,34.7,34.35,34.55,326600
2001-03-16,34.56,34.75,34.38,34.46,80100
2001-03-19,34.46,34.55,31.05,32.8,2160400
2001-03-20,32.6,33.54,32.6,33.1,509700
2001-03-21,33.55,33.55,32.8,33.05,243700
