,open,high,low,close,volume
2000-12-22,6.46875,6.546875,6.421875,6.515625,457200
2000-12-26,6.5,6.59375,6.5,6.546875,441200
2000-12-27,6.515625,6.828125,6.515625,6.6875,407200
2000-12-28,6.6875,7.09375,6.6875,7.09375,816800
2000-12-29,7.09375,7.9375,7.09375,7.4375,1756800
2001-01-02,7.375,7.46875,7.25,7.390625,656000
2001-01-03,7.359375,8.0,7.359375,7.984375,1371600
2001-01-04,7.90625,8.5,7.90625,8.5,2179600
2001-01-05,8.5,8.515625,8.328125,8.453125,1447200
2001-01-08,8.5,8.8125,8.359375,8.46875,1600400
2001-01-09,8.1875,8.1875,7.703125,7.734375,2403200
2001-01-10,7.71875,7.71875,7.53125,7.71875,936800
2001-01-11,7.734375,7.8125,7.484375,7.546875,826800
2001-01-12,7.546875,7.5625,7.3125,7.46875,1048400
2001-01-16,7.484375,7.5,7.421875,7.5,465200
2001-01-17,7.46875,7.484375,7.328125,7.375,310800
2001-01-18,7.375,7.5,7.296875,7.453125,512800
2001-01-19,7.4375,7.5,7.40625,7.5,694800
2001-01-22,7.4375,7.609375,7.375,7.578125,498000
2001-01-23,7.578125,8.046875,7.53125,8.046875,1103200
2001-01-24,8.015625,8.09375,7.625,7.625,474000
2001-01-25,7.59375,7.984375,7.59375,7.890625,412800
2001-01-26,7.640625,7.796875,7.578125,7.59375,682000
2001-01-29,7.6,7.83,7.59,7.8,500400
2001-01-30,7.8375,7.95,7.7625,7.95,333200
2001-01-31,7.9375,8.15,7.9375,8.085,614400
2001-02-01,8.075,8.0875,7.9,7.995,342800
2001-02-02,7.995,8.1575,7.975,8.075,520400
2001-02-05,8.1125,8.25,8.095,8.22,471200
2001-02-06,8.1875,8.4125,8.1875,8.3275,597600
2001-02-07,8.275,8.3225,8.25,8.29,297600
2001-02-08,8.2375,8.25,7.9875,8.12,352400
2001-02-09,8.1,8.1,7.915,7.965,283200
2001-02-12,7.925,8.0725,7.9175,7.975,283200
2001-02-13,7.975,7.9875,7.91,7.9625,244400
2001-02-14,7.96,7.96,7.9125,7.9325,281200
2001-02-15,7.9,7.9125,7.725,7.8,1098000
2001-02-16,7.75,7.7625,7.5375,7.615,680000
2001-02-20,7.6125,7.635,7.2475,7.25,889600
2001-02-21,7.2875,7.3725,7.25,7.28,752800
2001-02-22,7.2775,7.2775,7.1,7.2125,1023600
2001-02-23,7.2125,7.2125,7.015,7.125,530400
2001-02-26,7.1125,7.4,7.1125,7.3975,566000
2001-02-27,7.3875,7.3875,7.1875,7.255,411600
2001-02-28,7.255,7.35,7.035,7.145,556400
2001-03-01,7.025,7.0275,6.6,6.825,1275200
2001-03-02,6.775,7.0975,6.75,7.06,624000
2001-03-05,7.06,7.06,6.9125,6.965,1010800
2001-03-06,6.9875,7.025,6.8625,7.025,1748800
2001-03-07,7.0,7.0625,6.9,7.06,585600
2001-03-08,7.06,7.25,7.055,7.2125,712800
2001-03-09,7.1625,7.1625,7.0625,7.1125,601200
2001-03-12,7.075,7.1225,7.0,7.0,607200
2001-03-13,6.875,7.095,6.8625,7.095,1092000
2001-03-14,7.0325,7.0325,6.85,6.9375,1005200
2001-03-15,6.875,6.9625,6.875,6.9,375600
2001-03-16,6.8375,6.8625,6.6625,6.6725,951600
2001-03-19,6.6725,6.6875,6.4125,6.4375,1908000
2001-03-20,6.5,6.5375,6.475,6.49,1131200
2001-03-21,6.4375,6.5,6.325,6.37,527600
2001-03-22,6.375,6.375,6.1,6.2625,522800
2001-03-23,6.325,6.3875,6.2875,6.3875,855600
2001-03-26,6.3375,6.6275,6.335,6.575,1237600
2001-03-27,6.625,6.625,6.425,6.5375,797200
2001-03-28,6.5375,6.5375,6.35,6.455,340400
2001-03-29,6.455,6.565,6.3075,6.3625,503200
2001-03-30,6.3125,6.4675,6.3125,6.425,556000
2001-04-02,6.425,6.4625,6.26,6.3125,969600
2001-04-03,6.275,6.295,6.1875,6.2775,847200
2001-04-04,6.2775,6.4,6.225,6.3725,720000
2001-04-05,6.425,6.5,6.3625,6.4875,459200
2001-04-06,6.4375,6.4375,6.24,6.275,561200
2001-04-09,6.2875,6.4025,6.15,6.255,740000
2001-04-10,6.275,6.6325,6.25,6.5525,502400
2001-04-11,6.6,6.6,6.3875,6.525,408000
2001-04-12,6.5,6.575,6.35,6.5125,430800
2001-04-16,6.55,6.6,6.4625,6.53,430000
2001-04-17,6.55,6.6625,6.5075,6.6375,399200
2001-04-18,6.7175,7.0475,6.675,6.775,730800
2001-04-19,6.925,7.05,6.6625,6.9975,916400
2001-04-20,6.975,6.975,6.7,6.8425,302400
2001-04-23,6.78,6.8,6.65,6.75,1098400
2001-04-24,6.7375,6.7425,6.675,6.705,426400
2001-04-25,6.705,6.8125,6.69,6.7475,617200
2001-04-26,6.7375,6.975,6.7175,6.875,1072400
2001-04-27,6.8775,7.125,6.8775,7.0725,540800
2001-04-30,7.0725,7.23,7.0375,7.0375,572800
2001-05-01,7.04,7.04,6.9775,6.985,432800
2001-05-02,6.985,7.0775,6.95,7.0475,478800
2001-05-03,7.05,7.13,6.865,7.1,353600
2001-05-04,7.1,7.1575,7.0,7.155,534800
2001-05-07,7.155,7.35,7.15,7.25,622000
2001-05-08,7.2125,7.25,7.05,7.175,502000
2001-05-09,7.225,7.3625,7.1575,7.1625,259200
2001-05-10,7.25,7.25,7.13,7.1925,187600
2001-05-11,7.195,7.195,7.0225,7.1175,311200
2001-05-14,7.115,7.155,7.0625,7.1425,147200
2001-05-15,7.1425,7.1425,6.7875,6.8725,1004800
2001-05-16,6.875,7.0,6.8625,6.985,413600
2001-05-17,7.025,7.175,7.0225,7.175,609200
2001-05-18,7.125,7.245,7.12,7.15,263200
2001-05-21,7.175,7.225,7.1575,7.1975,193600
2001-05-22,7.1975,7.375,7.165,7.3675,629200
2001-05-23,7.37,7.375,7.1875,7.22,358400
2001-05-24,7.1625,7.22,7.0625,7.15,246400
2001-05-25,7.15,7.2,7.09,7.1925,262000
2001-05-29,7.175,7.275,7.045,7.225,299600
2001-05-30,7.2275,7.2275,7.065,7.1075,214000
2001-05-31,7.15,7.2125,7.075,7.1825,270000
2001-06-01,7.15,7.15,6.99,7.005,477600
2001-06-04,6.975,7.05,6.975,7.0225,178000
2001-06-05,7.0,7.09,6.925,7.065,648800
2001-06-06,7.05,7.0675,7.0025,7.005,232400
2001-06-07,6.9625,7.025,6.9625,6.9875,384400
2001-06-08,6.9875,7.0575,6.9625,6.995,445200
2001-06-11,6.975,7.0125,6.9725,6.9725,300800
2001-06-12,6.9375,6.95,6.79,6.825,281200
2001-06-13,6.8125,6.9525,6.8125,6.9275,178400
2001-06-14,6.9175,6.92,6.8725,6.8725,451600
2001-06-15,6.8125,6.8625,6.705,6.705,438000
2001-06-18,6.7625,6.8225,6.7,6.79,255200
2001-06-19,6.7625,6.775,6.635,6.665,415200
2001-06-20,6.6125,6.6125,6.5,6.54,546400
2001-06-21,6.5,6.6325,6.4875,6.575,540400
2001-06-22,6.575,6.6575,6.5125,6.61,275600
2001-06-25,6.9375,6.9375,6.45,6.4575,1088000
2001-06-26,6.35,6.59,6.35,6.565,476000
2001-06-27,6.5675,6.8875,6.5675,6.865,589600
2001-06-28,6.865,7.0375,6.86,6.955,714800
2001-06-29,6.9375,7.225,6.9225,7.225,622800
2001-07-02,7.1625,7.2625,7.1,7.2,598800
2001-07-03,7.1875,7.235,7.14,7.17,203600
2001-07-05,7.1375,7.175,7.075,7.1625,268000
2001-07-06,7.1625,7.1625,7.0325,7.05,342000
2001-07-09,7.05,7.25,7.0375,7.15,350800
2001-07-10,7.275,7.4525,7.2625,7.325,970800
2001-07-11,7.3125,7.4,7.275,7.35,612800
2001-07-12,7.355,7.4975,7.33,7.495,746800
2001-07-13,7.4625,7.6825,7.4375,7.6825,502800
2001-07-16,7.6825,7.875,7.6825,7.8275,1522800
2001-07-17,7.8275,7.875,7.8125,7.83,907200
2001-07-18,7.8125,7.8275,7.63,7.6525,1230000
2001-07-19,7.7,7.9075,7.675,7.7,1346400
2001-07-20,7.7,8.025,7.68,7.8875,1033200
