,open,high,low,close,volume
2001-02-22,7.4921875,7.75,7.25,7.46875,3123600
2001-02-23,7.125,7.625,7.015625,7.515625,1271200
2001-02-26,7.75,8.375,7.4375,8.1875,3273600
2001-02-27,8.234375,8.28125,7.5,7.578125,746400
2001-02-28,7.828125,7.828125,6.9375,7.34375,919200
2001-03-01,7.34375,7.5,6.65625,7.421875,552800
2001-03-02,7.34375,7.359375,6.78125,6.875,586400
2001-03-05,7.152345,7.15625,6.328125,6.48047,774400
2001-03-06,6.734375,6.734375,6.3125,6.453125,698800
2001-03-07,6.4375,6.59375,5.9375,6.09375,1343600
2001-03-08,6.796875,6.8125,5.78125,6.0,1118400
2001-03-09,5.34375,5.9375,5.34375,5.609375,1819200
2001-03-12,5.25,5.375,5.015625,5.1875,734800
2001-03-13,5.125,5.21875,4.640625,5.078125,2254400
2001-03-14,4.28125,5.3125,4.21875,5.0,1156400
2001-03-15,5.25,5.4375,4.9375,5.125,1297600
2001-03-16,5.1171875,5.25,4.875,5.015625,1522800
2001-03-19,5.171875,5.8125,4.765625,5.6875,2470800
2001-03-20,5.8125,5.875,4.75,4.96875,1308800
2001-03-21,5.09375,5.28125,4.75,5.046875,1114800
2001-03-22,4.90625,6.40625,4.53125,6.1875,1855600
2001-03-23,5.9375,6.859375,5.828125,6.796875,1981200
2001-03-26,6.84375,7.34375,6.265625,6.34375,1207200
2001-03-27,6.703125,6.71875,5.859375,6.203125,997200
2001-03-28,5.984375,6.0625,5.25,5.515625,1339600
2001-03-29,5.4375,5.90625,5.28125,5.328125,1197600
2001-03-30,5.683595,5.859375,5.078125,5.703125,954000
2001-04-02,5.828125,5.828125,4.890625,5.25,685200
2001-04-03,5.1796875,5.464845,4.4375,4.75,1615200
2001-04-04,4.421875,5.15625,4.40625,4.828125,736400
2001-04-05,5.234375,5.4375,4.890625,5.3125,820400
2001-04-06,5.0625,5.5625,4.75,5.484375,1125600
2001-04-09,5.65,6.225,5.525,5.91,2107600
2001-04-10,6.1725,6.3475,6.0825,6.275,4201200
2001-04-11,6.375,6.4425,5.625,6.06,1276400
2001-04-12,6.0875,6.2325,5.9075,6.0475,1904400
2001-04-16,5.7375,6.1875,5.7125,5.9875,1822800
2001-04-17,6.0,6.015,5.775,5.89,2985200
2001-04-18,6.125,6.67,5.875,6.32,4541200
2001-04-19,6.3125,6.4675,6.1425,6.25,1868400
2001-04-20,6.36,6.36,5.375,5.4375,2462400
2001-04-23,5.505,5.5225,5.2525,5.4975,630800
2001-04-24,5.4075,5.555,5.015,5.1625,3078000
2001-04-25,5.1875,5.425,4.915,5.025,1688400
2001-04-26,4.98,5.4125,4.9775,5.125,2060000
2001-04-27,5.3575,5.6425,5.335,5.3925,786400
2001-04-30,5.5975,5.9875,5.5,5.8325,2256000
2001-05-01,5.855,5.8975,5.7175,5.775,556800
2001-05-02,5.8125,5.89,5.375,5.7775,886000
2001-05-03,5.6875,5.7675,5.375,5.715,804800
2001-05-04,5.515,5.8625,5.515,5.745,662800
2001-05-07,5.8125,6.2325,5.75,5.85,1989600
2001-05-08,5.975,6.0,5.505,5.7325,382400
2001-05-09,5.5625,6.1025,5.5125,5.58,432000
2001-05-10,5.7675,6.025,5.63,5.85,547600
2001-05-11,5.935,6.0875,5.785,5.785,456400
2001-05-14,5.635,6.115,5.3775,5.515,584000
2001-05-15,5.5475,6.025,5.4375,5.5,446800
2001-05-16,5.4975,5.8625,5.4125,5.72,360000
2001-05-17,5.72,6.0625,5.7175,6.0125,792800
2001-05-18,6.075,6.075,5.755,6.0,648400
2001-05-21,6.01,7.19,6.0,7.125,2997200
2001-05-22,7.4825,7.4975,6.705,6.7475,1584000
2001-05-23,6.8725,6.8725,6.2875,6.335,1026000
2001-05-24,6.34,6.8175,6.3375,6.5125,1520400
2001-05-25,6.5775,6.65,6.3275,6.505,1010000
2001-05-29,6.4475,6.6875,6.37,6.4775,704000
2001-05-30,6.275,6.5775,6.1875,6.365,2096000
2001-05-31,6.265,6.615,6.265,6.5,964000
2001-06-01,6.525,6.7275,6.1625,6.56,862000
2001-06-04,6.5675,6.795,6.4625,6.51,668800
2001-06-05,6.535,6.905,6.5,6.76,1517600
2001-06-06,6.885,7.0625,6.6375,6.9725,1207200
2001-06-07,6.425,6.575,5.975,6.03,3557200
2001-06-08,6.03,6.0325,5.325,5.63,1790000
2001-06-11,5.6,5.6475,5.235,5.265,1060400
2001-06-12,5.0,5.5625,5.0,5.4125,726800
2001-06-13,5.555,5.7,5.4475,5.575,1026800
2001-06-14,5.5975,5.5975,5.1225,5.25,1422400
2001-06-15,5.46,5.46,4.9775,5.2525,1156800
2001-06-18,5.2375,5.275,5.1,5.1475,990400
2001-06-19,5.2125,5.325,5.0,5.015,1799600
2001-06-20,5.0275,5.435,4.9675,5.4025,758000
2001-06-21,5.3325,5.625,5.215,5.465,358400
2001-06-22,5.5825,5.585,5.225,5.3125,496800
2001-06-25,5.3375,5.41,5.2875,5.3575,385600
2001-06-26,5.275,5.7375,5.25,5.6025,773200
2001-06-27,5.665,5.665,5.475,5.5325,444400
2001-06-28,5.5125,5.7625,5.5125,5.7,2402400
2001-06-29,5.75,6.0,5.695,6.0,1207200
2001-07-02,5.78,6.125,5.75,6.0725,1523200
2001-07-03,5.725,6.0875,5.6875,6.025,252400
2001-07-05,6.0,6.0575,5.725,5.9875,414400
2001-07-06,5.8125,5.9725,5.4525,5.5375,1438400
2001-07-09,5.55,5.975,5.545,5.8875,550800
2001-07-10,5.9,5.905,5.5,5.51,1078800
2001-07-11,5.5225,5.525,5.3125,5.3875,838400
2001-07-12,5.365,5.55,5.25,5.325,858000
2001-07-13,5.3725,5.3975,5.165,5.3,1659600
2001-07-16,5.2125,5.325,5.0,5.0025,428800
2001-07-17,5.0275,5.2625,4.9775,5.195,306000
2001-07-18,5.0625,5.275,5.0,5.0625,529600
2001-07-19,5.2125,5.25,4.825,5.0275,568000
2001-07-20,4.9375,5.03,4.75,5.0125,902800
2001-07-23,4.9025,5.125,4.9025,5.05,736400
2001-07-24,4.8775,4.9025,4.6625,4.7,674800
2001-07-25,4.6525,5.115,4.6525,5.1025,571200
2001-07-26,4.8,5.0625,4.7975,4.9975,360800
2001-07-27,5.0725,5.075,4.975,5.015,418000
2001-07-30,5.0175,5.0175,4.7325,4.8125,268400
2001-07-31,4.9925,4.9925,4.625,4.6275,690800
2001-08-01,4.8575,4.9625,4.5125,4.9625,438800
2001-08-02,4.9075,5.0125,4.82,4.8675,360400
2001-08-03,4.975,4.975,4.7325,4.7325,277200
2001-08-06,4.7325,4.8975,4.7325,4.7575,94400
2001-08-07,4.76,4.84,4.5,4.5125,328800
2001-08-08,4.575,4.685,4.405,4.4575,382400
2001-08-09,4.4025,4.575,4.1925,4.3625,1229600
2001-08-10,4.375,4.5,4.185,4.185,1589200
2001-08-13,4.225,4.25,3.83,4.0725,1992800
2001-08-14,4.1825,4.1875,4.0025,4.1425,232000
2001-08-15,4.0725,4.165,4.005,4.0275,232000
2001-08-16,4.025,4.05,3.865,4.025,224800
2001-08-17,3.875,4.175,3.85,4.175,450800
2001-08-20,4.11,4.22,4.11,4.1275,514400
2001-08-21,4.1725,4.3225,3.8125,4.1975,375200
2001-08-22,4.335,4.3425,4.085,4.3375,752400
2001-08-23,4.315,4.505,4.2625,4.4675,475200
2001-08-24,4.55,4.8625,4.39,4.85,1772400
2001-08-27,4.8475,4.865,4.4675,4.7375,1191200
2001-08-28,4.7275,4.7975,4.5025,4.625,1144000
2001-08-29,4.635,4.77,4.6125,4.75,376000
2001-08-30,4.75,4.7775,4.65,4.75,722400
2001-08-31,4.8225,4.825,4.6525,4.7125,450800
2001-09-04,4.6675,4.805,4.565,4.6575,317600
2001-09-05,4.6525,4.8875,4.64,4.7625,486000
2001-09-06,4.7325,4.875,4.5425,4.69,794000
2001-09-07,4.8025,4.8025,4.4525,4.48,557200
2001-09-10,4.44,4.565,4.3775,4.48,237600
2001-09-17,4.5,4.5625,4.1625,4.44,336400
2001-09-18,4.3525,4.5,4.25,4.265,574000
2001-09-19,4.2525,4.2575,3.95,3.9875,789200
2001-09-20,3.915,4.0825,3.895,4.0575,368400
