,open,high,low,close,volume
2000-12-22,4.265625,4.6171875,4.15625,4.2890625,5547200
2000-12-26,4.3203125,4.4375,4.2265625,4.25,3445600
2000-12-27,4.3125,4.5,4.265625,4.28125,5312000
2000-12-28,4.28125,4.484375,4.28125,4.4453125,4838400
2000-12-29,4.5234375,4.90625,4.5078125,4.8984375,5364000
2001-01-02,4.8359375,4.859375,4.640625,4.7890625,7231200
2001-01-03,4.6796875,5.0859375,4.5625,4.9140625,4202400
2001-01-04,4.921875,5.203125,4.875,5.125,3477600
2001-01-05,5.171875,5.21875,4.6953125,4.6953125,2284000
2001-01-08,4.84375,4.9375,4.6640625,4.890625,2231200
2001-01-09,4.8828125,4.8828125,4.7890625,4.828125,1251200
2001-01-10,4.796875,5.171875,4.734375,5.140625,2952000
2001-01-11,5.109375,5.53125,5.0546875,5.4921875,4252800
2001-01-12,5.578125,5.765625,5.484375,5.6640625,2714400
2001-01-16,5.671875,5.828125,5.53125,5.8125,2595200
2001-01-17,5.921875,6.15625,5.921875,5.9609375,3751200
2001-01-18,6.046875,6.1171875,5.859375,6.078125,3374400
2001-01-19,6.34375,6.34375,6.234375,6.234375,2014400
2001-01-22,6.2421875,6.2421875,5.953125,6.0234375,2512000
2001-01-23,6.0234375,6.109375,5.78125,5.875,4359200
2001-01-24,5.828125,6.15625,5.828125,6.0078125,2364800
2001-01-25,6.0,6.0,5.859375,5.8984375,1330400
2001-01-26,5.734375,5.90625,5.7109375,5.875,1324800
2001-01-29,5.84375,5.955,5.80625,5.90625,1488800
2001-01-30,5.91875,6.075,5.9,6.06625,1392800
2001-01-31,6.0875,6.2,6.025,6.05,1364000
2001-02-01,6.1125,6.15625,6.06875,6.13125,1531200
2001-02-02,6.09375,6.125,5.82375,5.825,1749600
2001-02-05,5.625,5.63,5.40625,5.53,2599200
2001-02-06,5.52875,5.775,5.48125,5.70625,1664800
2001-02-07,5.60625,5.68125,5.40625,5.47875,1698400
2001-02-08,5.375,5.42625,5.18875,5.2375,2096000
2001-02-09,5.245,5.245,5.0,5.0675,1982400
2001-02-12,5.0,5.04375,4.94375,5.04375,2473600
2001-02-13,5.075,5.16875,5.0475,5.075,1332000
2001-02-14,5.125,5.15,4.885,4.99375,2048000
2001-02-15,5.0625,5.64375,5.0625,5.40625,3124000
2001-02-16,5.09375,5.21875,5.0,5.13625,2608800
2001-02-20,5.1875,5.2,4.875,4.87625,2406400
2001-02-21,4.75,4.96875,4.75,4.825,2176000
2001-02-22,4.81875,4.9875,4.675,4.84,1854400
2001-02-23,4.78125,4.7875,4.45625,4.7625,2226400
2001-02-26,4.83125,5.3125,4.8,5.175,3064800
2001-02-27,5.0625,5.0625,4.5625,4.6375,3000000
2001-02-28,4.60625,4.625,4.44375,4.4625,2381600
2001-03-01,4.4625,4.46375,4.375,4.4375,1457600
2001-03-02,4.3125,4.825,4.2,4.57625,6272000
2001-03-05,4.57,4.6875,4.53125,4.58125,2188000
2001-03-06,4.625,4.89375,4.625,4.84125,3680000
2001-03-07,4.85,4.90625,4.8125,4.9,2377600
2001-03-08,4.85,4.9375,4.79875,4.87,1869600
2001-03-09,4.8325,4.8325,4.525,4.63125,1588800
2001-03-12,4.4125,4.4125,4.25625,4.28125,2828000
2001-03-13,4.33125,4.375,4.1775,4.28625,2404800
2001-03-14,4.1875,4.325,4.11875,4.1875,2671200
2001-03-15,4.26875,4.26875,4.125,4.15625,1651200
2001-03-16,4.175,4.1875,3.79375,3.79375,3720800
2001-03-19,3.79375,4.04375,3.5375,3.98125,7204000
2001-03-20,3.9625,3.975,3.8625,3.95875,3150400
2001-03-21,4.0125,4.0125,3.875,3.925,2402400
2001-03-22,3.8875,3.90625,3.78125,3.88625,3500800
2001-03-23,3.94375,4.26875,3.94375,4.2375,3444800
2001-03-26,4.25,4.28125,4.1475,4.14875,2889600
2001-03-27,4.16875,4.2,4.125,4.2,1522400
2001-03-28,4.16875,4.18125,3.87125,3.87125,2676800
2001-03-29,3.8125,3.91875,3.75,3.775,5013600
2001-03-30,3.75,3.95,3.7375,3.9375,6175200
2001-04-02,3.9375,3.9375,3.8625,3.875,1969600
2001-04-03,3.8125,3.8125,3.6875,3.7125,4000000
2001-04-04,3.68125,3.80625,3.63875,3.7425,2407200
2001-04-05,3.85625,4.0,3.825,4.0,2067200
2001-04-06,3.975,3.975,3.73125,3.85,1420800
2001-04-09,3.9,4.11,3.8625,4.015,3158400
2001-04-10,4.125,4.4125,4.11875,4.36375,2059200
2001-04-11,4.46875,4.8125,4.46875,4.61875,3721600
2001-04-12,4.5125,4.825,4.46875,4.8125,1962400
2001-04-16,4.75,4.75,4.475,4.60625,3006400
2001-04-17,4.575,4.675,4.4875,4.63125,2629600
2001-04-18,4.9375,5.0625,4.85625,5.01875,3177600
2001-04-19,4.9875,5.5,4.9375,5.5,3317600
2001-04-20,5.46875,5.46875,5.25625,5.26375,1181600
2001-04-23,5.0625,5.1125,5.03125,5.0675,1348800
2001-04-24,5.0675,5.07375,4.91625,4.91625,1567200
2001-04-25,4.84375,5.10375,4.75,5.0625,2034400
2001-04-26,5.125,5.2875,5.04375,5.28125,1760800
2001-04-27,5.375,5.4375,5.3125,5.35625,1626400
2001-04-30,5.35625,5.41875,5.2625,5.2625,3458400
2001-05-01,5.2625,5.3875,5.24375,5.38,1283200
2001-05-02,5.46875,5.91875,5.46875,5.68125,4338400
2001-05-03,5.60625,5.80875,5.55625,5.725,4999200
2001-05-04,5.625,5.90625,5.5625,5.875,3944000
2001-05-07,5.8125,5.875,5.75,5.8325,2124800
2001-05-08,5.875,5.875,5.80625,5.875,1254400
2001-05-09,5.8125,6.06875,5.7875,5.96125,2696800
2001-05-10,6.0125,6.0125,5.87875,5.92,1854400
2001-05-11,5.875,5.9375,5.86,5.885,1049600
2001-05-14,5.81875,5.9125,5.80625,5.9,1177600
2001-05-15,5.9,5.92125,5.8375,5.86875,1508800
2001-05-16,5.81875,5.925,5.8125,5.895,2459200
2001-05-17,5.925,6.52625,5.925,6.475,5349600
2001-05-18,6.5375,6.60875,6.4125,6.6,2264000
2001-05-21,6.6625,7.06625,6.625,7.0625,2827200
2001-05-22,7.125,7.24875,6.98125,7.05,3156800
2001-05-23,6.98125,6.9825,6.69,6.76875,4544800
2001-05-24,6.77125,6.77125,6.50625,6.625,1968800
2001-05-25,6.675,6.7,6.5625,6.59375,1296800
2001-05-29,6.5625,6.59375,6.33125,6.3325,1872000
2001-05-30,6.1875,6.31625,6.06125,6.075,4633600
2001-05-31,6.125,6.35,6.125,6.32875,1840000
