,open,high,low,close,volume
2001-02-22,45.9,46.0,45.15,45.54,113800
2001-02-23,45.5,46.37,45.5,46.25,257000
2001-02-26,46.35,46.5,46.01,46.5,108500
2001-02-27,46.65,47.35,46.6,47.06,92500
2001-02-28,47.06,47.49,47.0,47.49,85800
2001-03-01,47.45,48.15,47.45,48.11,171400
2001-03-02,48.09,48.89,48.09,48.89,111400
2001-03-05,48.79,49.2,48.59,49.2,120100
2001-03-06,49.2,49.2,48.44,48.7,84100
2001-03-07,48.65,48.8,48.6,48.8,52500
2001-03-08,48.75,48.78,48.45,48.65,41500
2001-03-09,48.85,48.85,48.66,48.76,224600
2001-03-12,48.7,48.93,48.63,48.8,155400
2001-03-13,48.8,48.95,48.65,48.85,149900
2001-03-14,48.75,48.94,48.51,48.82,77400
2001-03-15,48.77,48.77,48.52,48.53,81800
2001-03-16,48.65,48.69,48.54,48.66,193700
2001-03-19,48.86,48.86,48.61,48.74,103100
2001-03-20,48.8,49.1,48.8,49.08,146300
2001-03-21,49.14,49.2,47.9,47.94,162900
2001-03-22,47.94,47.94,46.9,47.47,105900
2001-03-23,47.67,47.8,47.09,47.35,110600
2001-03-26,47.0,48.21,47.0,48.14,172200
2001-03-27,48.24,48.24,47.7,47.74,118800
2001-03-28,47.3,47.3,45.85,46.14,391100
2001-03-29,46.14,46.25,45.95,46.04,138400
2001-03-30,46.0,46.37,45.81,45.81,6231700
2001-04-02,45.91,46.25,45.49,45.69,241900
2001-04-03,45.5,45.6,44.6,44.9,306800
2001-04-04,44.7,44.94,44.35,44.4,553500
2001-04-05,44.52,44.99,44.51,44.89,397000
2001-04-06,44.75,44.77,44.0,44.0,356600
2001-04-09,44.2,44.25,44.0,44.25,308300
2001-04-10,44.2,44.23,43.9,43.99,196800
2001-04-11,43.9,43.99,42.95,43.0,357700
2001-04-12,43.0,43.29,42.45,43.0,206400
2001-04-16,43.0,43.5,42.5,42.65,434600
2001-04-17,42.55,43.14,42.55,43.0,119800
2001-04-18,43.0,44.14,42.89,44.12,299100
2001-04-19,44.0,44.09,43.52,44.0,426400
2001-04-20,44.2,44.24,43.57,43.58,85900
2001-04-23,43.68,43.72,43.39,43.46,95700
2001-04-24,43.71,44.95,43.55,44.4,415800
2001-04-25,44.15,44.58,44.0,44.45,83400
2001-04-26,44.3,45.38,44.3,45.15,123900
2001-04-27,45.1,45.45,45.0,45.36,95200
2001-04-30,45.11,45.65,45.11,45.4,103600
2001-05-01,45.65,45.65,44.8,45.52,96600
2001-05-02,45.37,45.37,44.7,45.04,214900
2001-05-03,45.09,45.22,44.9,45.2,217400
2001-05-04,45.15,45.26,44.78,45.17,153300
2001-05-07,45.37,45.37,44.79,45.0,89800
2001-05-08,45.0,45.07,44.49,45.04,142300
2001-05-09,45.0,45.0,44.5,44.71,78300
2001-05-10,44.55,44.55,44.28,44.4,138700
2001-05-11,44.35,44.39,44.01,44.29,95700
2001-05-14,44.29,44.29,44.0,44.15,180400
2001-05-15,44.11,44.36,43.91,44.35,127000
2001-05-16,44.39,44.41,44.13,44.41,171500
2001-05-17,44.66,45.14,44.66,45.14,110100
2001-05-18,45.05,45.75,45.01,45.58,130700
2001-05-21,45.5,45.59,45.05,45.53,57200
2001-05-22,45.5,45.8,45.4,45.67,75200
2001-05-23,45.6,46.4,45.55,46.4,154400
2001-05-24,46.65,46.65,46.45,46.62,163400
2001-05-25,46.6,47.08,46.25,46.79,77100
2001-05-29,46.65,46.71,46.33,46.44,108300
2001-05-30,46.4,46.66,46.0,46.03,71700
2001-05-31,46.09,46.33,45.92,46.33,73100
2001-06-01,46.18,46.25,45.86,46.1,103000
2001-06-04,46.09,46.5,46.01,46.5,78300
2001-06-05,46.51,46.7,46.42,46.6,109900
2001-06-06,46.7,46.74,46.58,46.68,96000
2001-06-07,46.68,46.74,46.6,46.7,163300
2001-06-08,46.7,46.7,46.55,46.55,138900
2001-06-11,46.65,46.7,46.4,46.43,462700
2001-06-12,46.5,46.54,46.25,46.34,786500
2001-06-13,46.54,46.74,46.43,46.51,273300
2001-06-14,46.51,46.51,46.25,46.37,110600
2001-06-15,46.3,46.4,46.0,46.11,128400
2001-06-18,46.1,46.15,45.75,45.86,324900
2001-06-19,46.05,46.05,45.91,45.95,165500
2001-06-20,45.92,46.55,45.92,46.5,348600
2001-06-21,46.65,47.45,46.48,47.28,206700
2001-06-22,47.3,47.3,46.95,47.15,109500
2001-06-25,47.2,47.26,46.52,46.7,109400
2001-06-26,46.6,47.15,46.52,47.06,109400
2001-06-27,46.67,46.87,46.28,46.52,171700
2001-06-28,46.55,47.29,46.5,47.0,515400
2001-06-29,46.98,47.3,46.75,46.75,2964400
2001-07-02,47.0,47.53,47.0,47.53,210700
2001-07-03,47.1,47.8,46.79,47.57,110900
2001-07-05,47.57,47.99,47.46,47.52,89100
2001-07-06,47.7,47.87,47.55,47.87,140600
2001-07-09,47.89,47.89,47.1,47.66,190100
2001-07-10,47.8,47.9,47.41,47.5,200400
2001-07-11,47.55,47.6,46.99,47.2,209100
2001-07-12,47.2,47.25,46.98,47.1,275600
2001-07-13,47.35,47.6,47.3,47.6,126800
2001-07-16,47.55,47.7,46.74,47.05,318900
2001-07-17,47.15,47.25,46.81,47.0,148300
2001-07-18,47.1,47.45,47.05,47.45,51400
2001-07-19,47.49,47.52,47.18,47.2,101500
2001-07-20,47.2,47.3,47.1,47.2,74500
2001-07-23,47.3,47.38,46.85,47.18,80300
2001-07-24,47.28,47.6,47.13,47.13,456600
2001-07-25,47.1,47.71,47.1,47.64,137300
2001-07-26,47.74,47.9,47.6,47.75,100700
2001-07-27,47.8,47.89,47.58,47.81,163900
2001-07-30,47.76,47.9,47.59,47.8,158000
2001-07-31,47.81,47.89,47.71,47.85,93500
2001-08-01,47.86,48.55,47.73,48.32,226800
2001-08-02,48.45,48.76,48.08,48.76,174700
2001-08-03,48.75,48.99,48.5,48.99,230000
2001-08-06,49.0,49.31,49.0,49.18,311900
2001-08-07,49.17,49.33,49.05,49.33,163900
2001-08-08,49.31,49.54,49.3,49.48,247900
2001-08-09,49.48,49.48,49.15,49.38,116300
2001-08-10,49.38,49.93,49.38,49.9,96400
2001-08-13,49.97,49.98,49.47,49.85,101700
2001-08-14,49.7,50.0,49.66,50.0,118300
2001-08-15,50.0,50.0,49.5,50.0,104800
2001-08-16,50.0,50.01,49.85,50.0,417100
2001-08-17,50.0,50.0,49.85,50.0,86200
2001-08-20,49.88,50.24,49.86,50.24,155600
2001-08-21,50.27,51.25,50.25,51.22,258000
2001-08-22,51.3,51.39,50.91,51.19,153800
2001-08-23,51.1,51.9,51.0,51.9,258700
2001-08-24,51.85,51.85,50.95,51.05,197100
2001-08-27,51.05,51.25,50.45,50.7,90700
2001-08-28,50.9,51.3,50.75,51.04,82600
2001-08-29,50.85,51.0,50.35,50.9,162900
2001-08-30,51.0,51.5,50.23,50.67,143400
2001-08-31,50.7,50.9,50.27,50.49,98800
2001-09-04,50.4,50.4,49.7,49.89,121000
2001-09-05,49.75,50.05,49.51,49.66,97500
2001-09-06,49.56,49.7,48.76,48.87,101100
2001-09-07,49.1,49.4,48.92,49.19,342500
2001-09-10,49.19,49.19,48.95,48.95,75800
2001-09-17,48.74,48.74,46.8,47.35,206300
2001-09-18,47.34,48.55,47.25,48.12,238800
2001-09-19,48.5,48.65,46.85,47.0,312700
2001-09-20,46.4,46.6,45.6,45.65,609300
