,open,high,low,close,volume
2001-02-22,37.69548,38.29559,35.9123,38.14985,10207395
2001-02-23,38.32131,38.72424,37.29255,38.49277,5771842
2001-02-26,38.52706,38.77568,37.46401,38.74996,6862475
2001-02-27,38.36417,39.30721,38.02983,38.95571,6464248
2001-02-28,39.00715,39.1186,37.46401,37.61832,6418640
2001-03-01,37.27541,37.48973,36.0066,36.8639,8502625
2001-03-02,36.64957,38.14128,36.33237,37.50687,6893270
2001-03-05,37.7212,37.8498,36.44382,37.11252,3840896
2001-03-06,37.56689,38.06412,36.47812,36.85533,5954042
2001-03-07,36.94963,37.89266,36.87247,37.89266,4831098
2001-03-08,38.40704,38.72424,37.54974,38.08984,4147556
2001-03-09,37.87551,37.88409,36.26379,36.63243,5678176
2001-03-12,36.04947,36.06661,34.23199,34.63492,8298612
2001-03-13,35.1493,35.74941,34.54919,35.6894,6722151
2001-03-14,33.64902,34.66921,32.5774,32.9889,12042226
2001-03-15,34.37773,34.72065,33.56329,34.12054,12570162
2001-03-16,34.12054,34.61777,32.66313,32.73171,12261519
2001-03-19,33.64902,33.64902,32.64598,33.22895,7312843
2001-03-20,33.69189,33.71761,31.72867,31.95157,10013647
2001-03-21,31.7201,31.7201,29.57685,29.99693,16561530
2001-03-22,30.13409,31.18857,29.1482,29.74831,24320892
2001-03-23,30.13409,31.59151,29.96264,31.54864,11979354
2001-03-26,32.14875,33.14322,31.95157,32.38879,10565846
2001-03-27,32.5774,34.292,31.89156,33.99194,10765310
2001-03-28,33.69189,34.18913,32.97176,33.44327,7375131
2001-03-29,32.92032,33.91479,32.92032,33.40041,6496676
2001-03-30,35.79227,36.07518,33.77762,35.40649,15763910
2001-04-02,32.53453,34.72065,32.53453,34.04338,13575994
2001-04-03,33.48614,33.77762,32.2602,32.56883,7311210
2001-04-04,32.4831,32.79173,30.82851,31.03426,9120495
2001-04-05,32.10588,32.86888,31.7201,32.84316,8921148
2001-04-06,31.50578,32.54311,31.20572,31.47148,7988919
2001-04-09,31.70295,32.30306,31.33431,31.83155,5316342
2001-04-10,32.49167,32.90318,31.97729,32.72314,8624985
2001-04-11,33.69189,34.28343,32.5774,32.96318,6353435
