,open,high,low,close,volume
2000-12-21,10.83387,11.3339,10.02828,10.72276,4866282
2000-12-22,10.72276,11.77837,10.72276,11.61169,3935053
2000-12-26,11.72281,11.75059,10.8061,10.91721,3227913
2000-12-27,10.97277,11.97282,10.83387,11.88948,5210064
2000-12-28,11.88948,12.75064,11.61169,12.69508,4747713
2000-12-29,12.47285,13.63957,12.47285,13.13955,6394855
2001-01-02,13.16733,13.4729,12.36173,12.44507,3193716
2001-01-03,12.47285,15.3341,12.44507,15.3341,8529999
2001-01-04,15.3341,17.77867,15.08409,17.08419,16630269
2001-01-05,17.3342,18.05646,16.50083,17.75089,8957476
2001-01-08,17.3342,17.3342,16.27859,16.69528,6640768
2001-01-09,17.58421,18.19535,17.3342,17.88978,6261436
2001-01-10,17.80645,18.02868,17.38976,17.91756,4092096
2001-01-11,17.94534,18.58426,17.77867,18.41759,5410080
2001-01-12,18.30647,19.08429,18.02868,18.77872,4387956
2001-01-16,18.8065,19.30652,18.55648,19.16763,3377755
2001-01-17,19.22318,20.1399,19.22318,19.94544,5817534
2001-01-18,19.94544,19.94544,19.11207,19.55653,6811084
2001-01-19,19.55653,19.61209,18.72316,18.88983,5102970
2001-01-22,18.88983,20.08434,18.88983,19.44542,3733689
2001-01-23,19.88988,21.00105,19.66765,20.8066,5153142
2001-01-24,20.94549,21.27884,20.58436,20.72326,4322034
2001-01-25,20.72326,21.16772,20.16768,20.97327,5091045
2001-01-26,20.6677,21.16772,20.47325,21.11217,2864107
2001-01-29,21.11217,22.10777,20.97883,22.02332,3593745
2001-01-30,21.97888,21.99221,21.35662,21.74776,2862307
2001-01-31,21.60108,22.6678,21.56552,22.13444,7086696
2001-02-01,22.20111,22.20111,21.04994,21.36996,5265861
2001-02-02,21.25884,21.25884,19.13429,19.41875,8546872
2001-02-05,19.51653,19.70321,18.92095,19.37875,4995424
2001-02-06,19.55653,20.08989,19.42764,19.64098,4485150
2001-02-07,19.66765,20.06322,19.22763,19.66765,3647067
2001-02-08,19.66765,19.89433,18.0009,18.0009,7642642
2001-02-09,17.95645,18.17869,17.21864,17.26753,6395305
2001-02-12,17.27197,18.04535,17.19197,17.77867,5481625
2001-02-13,18.33425,18.55204,17.51199,18.00534,5032998
2001-02-14,18.00534,18.15646,17.66755,17.95645,3892530
2001-02-15,17.97868,18.43203,17.82311,18.40092,2193865
2001-02-16,18.31203,18.31203,17.73422,17.78311,3386980
2001-02-20,18.88983,19.29874,18.14313,18.28091,5931153
2001-02-21,18.03646,18.13424,17.28531,17.28531,5910454
2001-02-22,16.71195,17.44532,15.95635,17.33864,5848357
2001-02-23,17.3342,17.75644,16.9564,17.3342,4656367
2001-02-26,17.97868,19.10318,17.91201,19.10318,5252812
2001-02-27,18.6676,19.10318,18.44537,18.83205,3029923
2001-02-28,18.80094,19.05873,17.74311,18.20535,4956277
2001-03-01,17.77867,17.77867,16.26748,17.28975,5778835
