,open,high,low,close,volume
2000-12-21,32.0,32.5625,31.4375,32.3125,648500
2000-12-22,32.3125,32.625,31.5625,32.1875,421100
2000-12-26,32.125,33.4375,31.9375,33.3125,577700
2000-12-27,33.3125,33.875,33.25,33.75,664800
2000-12-28,33.75,35.3125,33.5625,35.125,1118500
2000-12-29,35.0,35.0625,34.3125,34.625,764400
2001-01-02,34.375,35.1875,33.9375,34.1875,1149100
2001-01-03,34.4375,34.5,32.9375,33.0625,1018200
2001-01-04,33.125,33.375,31.375,31.875,951300
2001-01-05,31.625,31.8125,30.9375,31.3125,768200
2001-01-08,31.25,31.625,31.0,31.5625,566300
2001-01-09,31.5625,32.8125,31.375,32.625,573900
2001-01-10,32.625,32.625,31.6875,31.9375,528400
2001-01-11,32.1875,33.4375,32.0,33.125,875900
2001-01-12,33.0,33.0625,31.9375,32.5,402500
2001-01-16,32.5,33.625,32.4375,33.0,528800
2001-01-17,33.125,33.3125,32.3125,32.5,509200
2001-01-18,32.375,34.1875,31.5625,33.75,1057900
2001-01-19,33.5,33.5625,31.8125,32.375,958000
2001-01-22,32.375,34.9375,32.375,34.8125,1276000
2001-01-23,34.0625,34.5,34.0625,34.1875,629700
2001-01-24,34.375,35.125,33.75,34.875,1134600
2001-01-25,34.5,35.375,34.25,35.25,1503000
2001-01-26,35.0,35.0625,34.5625,35.0,865100
2001-01-29,35.4,35.75,34.75,35.06,931900
2001-01-30,35.0,35.04,34.4,34.84,941900
2001-01-31,34.8,34.8,33.86,34.38,615100
2001-02-01,34.63,35.04,34.15,34.84,855000
2001-02-02,35.3,36.28,35.3,36.25,2559500
2001-02-05,36.81,36.98,35.63,35.96,1822300
2001-02-06,36.45,37.04,35.9,36.6,2265500
2001-02-07,36.35,36.47,35.71,36.06,1033800
2001-02-08,36.1,36.99,36.07,36.98,837600
2001-02-09,36.87,37.18,36.5,37.03,1050400
2001-02-12,37.03,37.9,36.8,37.67,1456700
2001-02-13,38.0,39.25,37.66,39.0,2172800
2001-02-14,38.65,38.66,36.9,37.38,1505500
2001-02-15,37.08,37.32,36.1,36.5,797300
2001-02-16,36.65,37.0,36.25,36.76,631700
2001-02-20,36.4,37.33,36.11,37.1,870100
2001-02-21,37.17,37.84,37.01,37.2,944600
2001-02-22,37.03,37.5,36.0,36.39,606500
2001-02-23,36.0,36.25,34.93,35.2,1452700
2001-02-26,35.03,36.85,35.03,36.56,1260300
2001-02-27,36.56,36.61,35.69,35.89,644500
2001-02-28,35.25,36.1,35.25,35.98,674400
