,open,high,low,close,volume
2000-12-21,61.6605,64.43105,57.95254,62.3896,6120312.0
2000-12-22,64.18108,65.95174,62.6604,65.30597,3705071.0
2000-12-26,64.61854,68.9931,64.61854,67.45158,4161716.0
2000-12-27,66.34753,67.90987,64.84768,66.63917,2870087.0
2000-12-28,65.47262,67.90987,62.57708,65.57677,4030903.0
2000-12-29,65.51428,68.36816,63.07703,63.18118,5163516.0
2001-01-02,63.07703,63.6603,58.01503,59.24408,5691869.0
2001-01-03,58.84828,62.9937,52.49475,62.09796,12441944.0
2001-01-04,60.2648,61.72299,53.28634,55.3278,8532553.0
2001-01-05,55.39029,55.91108,50.57827,51.68233,7762676.0
2001-01-08,50.80742,50.9949,45.3288,49.72419,11868287.0
2001-01-09,50.72409,50.9949,46.49535,47.82855,8838284.0
2001-01-10,47.41193,54.09875,47.16195,52.70306,9819682.0
2001-01-11,53.41132,56.57767,51.61984,54.9945,6416142.0
2001-01-12,55.72359,59.07742,54.16125,56.20271,8835884.0
2001-01-16,55.80692,58.11919,54.76536,57.3276,3551455.0
2001-01-17,57.9942,58.6608,52.82285,54.43206,6144914.0
2001-01-18,55.375,59.0,53.125,56.875,3473300.0
2001-01-19,61.6875,61.75,56.1875,56.89063,3840900.0
2001-01-22,59.625,62.3125,57.25,60.125,3578100.0
2001-01-23,60.75,63.9375,59.6875,63.125,3419300.0
2001-01-24,63.6875,65.6875,63.0,64.0625,4861400.0
2001-01-25,63.0625,63.5625,60.0625,61.76563,1780900.0
2001-01-26,60.0,64.875,59.6875,63.3125,1765300.0
2001-01-29,64.1875,66.9375,62.375,66.8125,3500300.0
2001-01-30,67.125,67.5625,62.1875,62.625,3605800.0
2001-01-31,63.4375,63.875,58.125,58.8125,2834200.0
2001-02-01,58.75,58.8125,56.375,57.0625,2225200.0
2001-02-02,59.5,59.6875,56.5,57.23438,4011200.0
2001-02-05,55.9375,58.75,55.01563,57.5,2038000.0
2001-02-06,58.1875,60.625,57.75,59.0,2211000.0
2001-02-07,58.0625,60.6875,57.625,58.125,2785700.0
2001-02-08,58.5,60.5,58.375,59.5,1752000.0
2001-02-09,58.6875,60.125,58.4375,59.3125,1738100.0
2001-02-12,59.3125,63.25,58.875,61.75,2534600.0
2001-02-13,62.48438,63.0,59.0,59.625,2271200.0
2001-02-14,60.125,61.0,56.125,60.4375,2076200.0
2001-02-15,60.1875,61.75,58.75,59.5,2471400.0
2001-02-16,56.875,58.125,55.0,55.0,3736300.0
2001-02-20,56.125,57.125,54.0,55.5,2817200.0
2001-02-21,55.0,57.5,52.125,53.25,2341600.0
2001-02-22,53.57813,54.125,50.0625,52.5625,2879100.0
2001-02-23,51.875,55.0,51.25,54.0,3342400.0
2001-02-26,55.20313,59.125,55.1875,58.0,3717000.0
2001-02-27,58.6875,59.1875,54.0625,54.4375,2097200.0
2001-02-28,55.46875,57.5,53.0,56.375,1715100.0
2001-03-01,55.5,56.5,51.625,54.54688,2400300.0
2001-03-02,52.8125,57.25,52.75,54.3125,2695200.0
2001-03-05,54.3125,55.9375,52.75,54.9375,2225700.0
2001-03-06,56.1875,59.375,56.1875,57.0,4673600.0
2001-03-07,56.6875,57.0,55.25,56.0625,2094400.0
2001-03-08,54.5,56.375,54.375,55.625,2330500.0
2001-03-09,53.9375,57.125,51.0625,51.125,2267800.0
2001-03-12,49.4375,52.0,45.625,45.6875,3138700.0
2001-03-13,46.6875,50.125,44.625,48.0,3577200.0
2001-03-14,46.0,54.0,46.0,51.125,5110000.0
2001-03-15,52.5,54.75,50.75,50.9375,2543700.0
2001-03-16,50.75,51.9375,48.0,48.125,4464400.0
2001-03-19,49.0,52.625,47.5625,52.5,3102700.0
2001-03-20,53.0625,54.0,48.75,49.125,2531300.0
2001-03-21,49.25,49.625,41.75,42.0625,5447800.0
2001-03-22,41.5,41.6875,32.625,38.5625,12179800.0
2001-03-23,38.9375,41.4375,37.125,39.6875,6289000.0
2001-03-26,40.6875,41.75,38.375,39.0625,4419600.0
2001-03-27,39.4375,39.5,36.875,38.4375,5041000.0
2001-03-28,37.5625,40.75,35.75,39.375,3207000.0
2001-03-29,39.5,42.6875,38.25,41.0,4758700.0
2001-03-30,41.75,41.75,39.375,40.0,3399300.0
2001-04-02,39.25,41.125,38.25,38.6875,4249100.0
2001-04-03,37.875,38.375,33.5,35.6875,5892600.0
2001-04-04,35.625,37.1875,33.625,35.75,4858700.0
2001-04-05,38.0,42.32813,36.75,42.125,4594600.0
2001-04-06,40.5,45.375,39.3125,41.375,4386100.0
2001-04-09,42.6,44.96,42.13,43.39,2602000.0
2001-04-10,44.54,48.14,44.2,47.31,3008600.0
2001-04-11,48.6,49.2,42.25,45.37,4121600.0
2001-04-12,44.97,49.25,44.5,49.23,2716900.0
2001-04-16,49.76,52.0,48.0,48.78,3711200.0
2001-04-17,48.0,52.53,47.5,50.51,4784800.0
2001-04-18,53.3,57.06,51.1,54.65,6274300.0
2001-04-19,54.1,54.66,51.44,52.14,4603100.0
2001-04-20,45.52,49.81,45.52,48.27,9117000.0
2001-04-23,47.59,47.79,44.8,44.88,3139900.0
2001-04-24,45.14,45.14,42.68,43.09,3230200.0
2001-04-25,43.84,46.55,42.94,46.06,2857600.0
2001-04-26,46.57,47.79,43.64,45.1,2624800.0
2001-04-27,46.29,48.44,46.21,48.03,2222900.0
2001-04-30,49.45,51.15,48.65,49.2,4564000.0
2001-05-01,50.0,50.05,46.44,47.51,4129000.0
2001-05-02,47.3,47.6,44.86,46.54,3085700.0
2001-05-03,45.7,46.0,44.45,45.1,2703900.0
2001-05-04,44.05,53.25,42.9,51.94,8696200.0
2001-05-07,52.05,54.15,50.7,52.96,4115900.0
2001-05-08,53.72,55.6,51.75,55.02,3471400.0
2001-05-09,53.66,55.96,53.25,54.19,2020600.0
2001-05-10,55.16,55.25,52.2,52.81,2339400.0
2001-05-11,54.67,54.89,50.7,52.0,3812000.0
2001-05-14,53.35,53.49,50.1,50.64,2306700.0
2001-05-15,50.36,51.56,49.33,49.81,3089000.0
2001-05-16,49.01,54.05,48.65,53.18,4023500.0
2001-05-17,53.0,55.5,52.65,55.1,3952400.0
2001-05-18,55.41,58.46,54.83,57.05,3832100.0
2001-05-21,58.05,62.5,57.85,62.45,4952000.0
2001-05-22,62.69,62.7,59.7,60.2,3686300.0
2001-05-23,59.79,59.79,56.51,57.17,2351000.0
2001-05-24,57.45,60.5,56.85,60.42,3089200.0
2001-05-25,59.76,60.9,58.62,60.53,1592500.0
2001-05-29,60.9,62.4,59.2,60.42,1999200.0
2001-05-30,59.0,61.6,58.3,59.85,3448500.0
2001-05-31,61.99,63.35,60.45,61.6,3621000.0
2001-06-01,62.36,65.44,61.73,65.39,2547200.0
2001-06-04,66.52,69.2,65.44,68.96,4186300.0
2001-06-05,70.27,75.0,70.0,74.57,7059300.0
2001-06-06,74.05,74.09,69.74,70.96,5827800.0
2001-06-07,70.49,73.86,69.81,72.96,2946400.0
2001-06-08,72.64,73.07,71.2,71.66,2087400.0
2001-06-11,71.67,71.7,67.7,68.94,3342300.0
2001-06-12,65.94,69.2,65.05,67.97,3668200.0
2001-06-13,68.29,71.0,67.32,68.5,4869400.0
2001-06-14,67.65,70.97,66.4,70.35,3672300.0
2001-06-15,69.39,73.1,67.85,73.0,4069600.0
2001-06-18,73.51,74.91,70.31,71.47,3201500.0
2001-06-19,72.76,74.29,67.63,70.0,3253200.0
2001-06-20,69.99,73.5,68.82,70.84,4899600.0
2001-06-21,70.82,70.82,67.34,68.61,4439200.0
2001-06-22,68.51,68.51,65.0,66.73,3208300.0
2001-06-25,67.06,67.06,63.25,65.09,3346500.0
2001-06-26,64.0,65.5,62.5,62.84,2999200.0
2001-06-27,62.8,65.13,61.2,64.38,5949900.0
2001-06-28,64.28,68.77,63.5,64.98,4875900.0
2001-06-29,64.77,69.0,63.14,67.69,4874100.0
2001-07-02,67.96,68.1,64.22,65.75,3348900.0
2001-07-03,68.09,69.6,67.54,68.03,2802300.0
2001-07-05,68.09,68.59,63.59,63.6,3319400.0
2001-07-06,63.37,63.38,59.8,61.77,4072900.0
2001-07-09,61.92,64.14,61.92,63.78,2469100.0
2001-07-10,64.36,64.57,61.0,61.3,3986300.0
2001-07-11,60.79,62.53,59.12,61.48,4905300.0
2001-07-12,51.63,54.0,49.5,52.16,17803100.0
2001-07-13,52.22,56.47,52.22,54.77,4189100.0
2001-07-16,54.6,54.71,49.6,49.99,4076800.0
2001-07-17,50.4,52.19,50.07,52.15,3478200.0
2001-07-18,51.94,54.07,51.5,52.77,2673200.0
2001-07-19,53.5,54.23,50.77,51.6,2743600.0
2001-07-20,51.85,53.61,51.09,52.98,2962000.0
2001-07-23,56.12,58.05,54.91,55.04,3615800.0
2001-07-24,55.02,55.45,53.65,53.96,3311200.0
2001-07-25,54.1,54.9,52.9,52.93,3484900.0
2001-07-26,53.43,57.0,53.42,55.12,2673900.0
2001-07-27,55.75,58.25,55.74,56.9,2249600.0
2001-07-30,56.51,57.4,54.94,55.79,1298900.0
2001-07-31,56.14,57.38,53.76,53.98,2346700.0
2001-08-01,54.61,55.2,50.9,51.05,4310100.0
2001-08-02,52.9,53.25,49.0,49.69,4471200.0
2001-08-03,50.65,51.5,48.68,50.41,3544600.0
2001-08-06,50.8,51.33,48.95,49.34,2389400.0
2001-08-07,49.67,49.9,47.12,47.96,3043400.0
2001-08-08,48.1,48.99,47.14,47.14,4060000.0
2001-08-09,47.17,48.61,46.05,48.29,2971400.0
2001-08-10,49.92,50.46,48.24,48.62,4428700.0
2001-08-13,48.68,50.99,47.69,50.77,2255300.0
2001-08-14,50.72,52.59,50.64,52.24,2583800.0
2001-08-15,52.55,53.0,49.95,50.82,3032300.0
2001-08-16,49.99,51.73,48.7,51.53,2179400.0
2001-08-17,51.1,52.29,50.05,50.31,1651800.0
2001-08-20,50.39,51.65,48.8,49.93,1439400.0
2001-08-21,50.1,52.67,50.02,50.11,1856100.0
2001-08-22,50.58,53.35,49.11,52.89,2851100.0
2001-08-23,53.01,58.15,53.01,57.37,10206800.0
2001-08-24,58.05,60.95,57.94,60.92,5001200.0
2001-08-27,60.82,62.33,60.17,60.34,3022400.0
2001-08-28,60.64,60.65,58.61,59.91,2839000.0
2001-08-29,60.25,61.69,59.07,60.04,2902600.0
2001-08-30,59.49,61.4,59.49,60.42,2786700.0
2001-08-31,60.23,60.96,58.58,59.27,2327100.0
2001-09-04,59.63,62.49,59.13,59.27,3628000.0
2001-09-05,59.31,60.7,57.68,58.56,3649400.0
2001-09-06,58.56,59.71,56.31,56.7,3469400.0
2001-09-07,57.08,57.9,55.02,57.61,3538800.0
2001-09-10,57.8,60.2,54.67,56.15,8436600.0
2001-09-17,54.0,58.04,53.21,53.94,6109700.0
2001-09-18,54.53,54.7,49.85,50.31,3427200.0
2001-09-19,51.23,51.5,46.75,49.81,5972400.0
2001-09-20,48.4,52.5,48.35,50.09,4305600.0
2001-09-21,47.14,49.49,45.89,46.58,5953100.0
2001-09-24,47.95,49.5,44.78,45.34,4294000.0
2001-09-25,44.9,47.91,44.81,46.06,4060800.0
2001-09-26,46.79,47.86,45.7,46.36,3190300.0
2001-09-27,46.64,51.3,45.7,51.27,3521500.0
2001-09-28,52.2,52.97,49.15,49.57,4259100.0
2001-10-01,48.5,52.1,47.07,51.6,3804000.0
2001-10-02,51.88,52.1,49.37,51.62,2969700.0
2001-10-03,50.9,55.1,50.75,53.74,3296200.0
2001-10-04,53.72,55.41,51.35,51.47,5371600.0
2001-10-05,51.26,52.39,49.25,50.62,2632700.0
2001-10-08,50.24,50.97,48.15,48.82,2010900.0
2001-10-09,49.15,51.59,48.56,50.33,2725100.0
2001-10-10,49.42,50.61,48.48,50.07,8581300.0
2001-10-11,54.3,56.51,52.23,52.97,8527900.0
2001-10-12,52.9,53.65,50.61,52.93,3764000.0
2001-10-15,52.7,54.55,52.5,53.49,1960200.0
2001-10-16,53.95,55.15,53.65,53.94,2028500.0
2001-10-17,55.46,55.5,51.75,51.91,2205200.0
2001-10-18,52.0,53.4,50.7,53.39,2248500.0
2001-10-19,53.5,55.44,52.4,55.0,3049200.0
2001-10-22,54.95,58.08,54.95,57.23,2748500.0
2001-10-23,57.51,57.76,55.97,57.12,2839700.0
2001-10-24,56.8,58.98,56.39,57.05,2181800.0
2001-10-25,56.49,60.09,55.5,59.86,2770900.0
2001-10-26,59.89,61.58,59.4,60.55,2490700.0
2001-10-29,60.37,60.38,56.84,56.89,2452200.0
2001-10-30,56.25,59.45,55.4,59.21,3466700.0
2001-10-31,59.49,61.25,59.0,59.98,4204600.0
2001-11-01,60.08,61.23,58.5,61.2,2172300.0
2001-11-02,61.3,63.23,60.87,61.2,2745900.0
2001-11-05,62.33,64.66,62.17,63.92,3349900.0
2001-11-06,64.0,66.24,63.44,65.51,3931500.0
2001-11-07,65.61,67.27,64.5,64.83,3353900.0
2001-11-08,65.0,66.35,63.0,63.11,3151800.0
2001-11-09,63.2,63.5,60.99,62.71,2076300.0
2001-11-12,62.7,64.5,60.04,64.25,2223000.0
2001-11-13,66.05,67.6,65.4,67.6,3607200.0
2001-11-14,68.37,68.83,66.25,67.18,2206600.0
2001-11-15,67.03,68.73,66.68,67.33,1825800.0
2001-11-16,67.26,68.38,66.32,67.61,1506500.0
2001-11-19,67.86,70.58,67.35,70.54,3080500.0
2001-11-20,70.0,70.82,67.0,67.47,2731200.0
2001-11-21,67.49,67.75,66.07,66.97,3047200.0
2001-11-23,66.66,67.3,66.24,67.0,1036100.0
2001-11-26,67.19,70.37,66.66,70.31,3402800.0
2001-11-27,70.04,70.47,68.33,69.67,2716500.0
2001-11-28,69.3,69.4,66.7,67.23,3676400.0
2001-11-29,67.0,69.27,66.15,69.21,3395400.0
2001-11-30,68.75,70.68,68.62,70.3,3333200.0
2001-12-03,69.75,71.19,68.94,69.26,3136600.0
2001-12-04,69.25,69.5,66.55,69.43,3594500.0
2001-12-05,70.75,72.01,70.0,70.76,3695800.0
2001-12-06,70.99,73.32,70.74,71.15,2517300.0
2001-12-07,71.17,71.25,68.43,68.75,2903300.0
2001-12-10,68.59,68.93,64.81,64.81,5033500.0
2001-12-11,65.46,68.64,64.8,67.75,4672700.0
2001-12-12,68.08,68.22,64.95,67.29,4253000.0
2001-12-13,66.92,68.88,66.34,67.41,2787100.0
2001-12-14,67.17,68.75,63.67,67.7,7026100.0
2001-12-17,67.52,71.42,67.51,70.99,4052800.0
2001-12-18,70.7,72.39,70.47,71.16,2424100.0
2001-12-19,70.78,72.6,69.5,69.94,3413400.0
2001-12-20,70.08,70.66,67.58,67.6,2516600.0
2001-12-21,67.6,69.38,67.25,68.28,2869100.0
2001-12-24,68.66,70.04,68.28,69.57,786800.0
2001-12-26,69.95,71.39,69.44,70.43,1112000.0
2001-12-27,70.56,71.2,69.1,70.25,1259800.0
2001-12-28,70.15,72.51,70.14,72.23,1893000.0
2001-12-31,72.21,72.21,68.92,68.93,1989500.0
2002-01-02,68.95,69.98,67.28,68.15,4295700.0
2002-01-03,67.81,68.0,63.71,63.94,7838600.0
