,open,high,low,close,volume
2000-12-21,15.275,15.415,15.255,15.415,25400
2000-12-22,15.525,15.85,15.525,15.85,6600
2000-12-26,16.0,16.1,15.955,15.955,3400
2000-12-27,16.0,16.07,15.7,15.8,6200
2000-12-28,15.775,15.95,15.7,15.8,6400
2000-12-29,15.7,15.9,15.7,15.9,3600
2001-01-02,16.0,16.5,16.0,16.05,51800
2001-01-03,16.125,16.25,16.075,16.25,11400
2001-01-04,16.25,16.25,15.375,15.375,29200
2001-01-05,15.3,15.325,15.2,15.3,103600
2001-01-08,15.275,15.375,15.25,15.37,8800
2001-01-09,15.45,15.625,15.4,15.625,8400
2001-01-10,15.5,15.545,15.125,15.375,51000
2001-01-11,15.375,15.375,15.175,15.175,27600
2001-01-12,15.2,15.2,15.075,15.075,34400
2001-01-16,15.0,16.25,14.875,16.25,90600
2001-01-17,16.25,16.25,15.85,16.25,31400
2001-01-18,16.25,16.25,15.855,16.15,34600
2001-01-19,16.15,16.7,16.15,16.625,31600
2001-01-22,16.59,16.65,16.55,16.575,14000
2001-01-23,16.525,17.5,16.525,17.5,65200
2001-01-24,17.375,18.5,17.375,18.45,64400
2001-01-25,18.35,20.175,18.35,19.85,98400
2001-01-26,19.625,19.95,18.375,18.85,121000
2001-01-29,18.95,19.0,17.91,17.91,39800
2001-01-30,17.825,18.75,17.8,18.75,39800
2001-01-31,18.85,20.85,18.85,20.85,133800
2001-02-01,20.85,21.0,20.35,20.625,68200
2001-02-02,20.55,20.605,20.05,20.05,26800
2001-02-05,20.15,20.15,20.0,20.0,6800
2001-02-06,19.9,19.9,19.65,19.75,68000
2001-02-07,19.0,19.1,18.4,18.95,38400
2001-02-08,19.0,19.13,18.9,19.13,58400
2001-02-09,19.2,19.375,19.175,19.375,14600
2001-02-12,19.3,19.375,18.5,18.505,32200
2001-02-13,18.585,19.75,18.585,19.6,35400
2001-02-14,19.75,20.6,19.6,20.225,35600
2001-02-15,20.1,20.255,19.75,19.945,29000
2001-02-16,19.825,20.25,19.45,19.5,23800
2001-02-20,19.325,19.4,18.75,18.75,14800
2001-02-21,18.625,18.625,18.25,18.25,16200
2001-02-22,18.05,18.125,17.85,18.005,25800
2001-02-23,17.95,17.95,17.525,17.75,26800
2001-02-26,17.65,17.9,17.505,17.725,22000
2001-02-27,17.65,17.65,17.5,17.5,6400
2001-02-28,17.5,17.625,17.5,17.525,6200
2001-03-01,17.6,18.3,17.5,18.3,27400
2001-03-02,18.2,20.49,18.2,20.25,70800
2001-03-05,20.25,20.25,19.55,19.63,20800
2001-03-06,19.5,19.55,19.0,19.075,12600
2001-03-07,19.075,19.29,18.9,18.9,13800
2001-03-08,18.95,19.5,18.9,19.0,37400
2001-03-09,19.0,19.125,18.975,18.975,4000
2001-03-12,19.1,19.1,18.7,18.7,12000
2001-03-13,18.6,18.655,18.4,18.65,17800
2001-03-14,18.55,18.65,18.5,18.625,10800
2001-03-15,18.75,18.94,18.745,18.745,9800
2001-03-16,18.5,18.5,17.95,18.0,23200
2001-03-19,18.125,18.125,17.5,17.5,12000
2001-03-20,17.65,18.4,17.65,18.3,17200
2001-03-21,18.0,18.0,17.55,17.55,17000
2001-03-22,17.44,17.44,16.235,16.75,30000
2001-03-23,16.75,16.75,16.35,16.45,59200
2001-03-26,16.495,16.65,16.45,16.65,46800
2001-03-27,16.55,17.5,16.5,17.5,15400
2001-03-28,17.5,17.5,17.25,17.5,17400
2001-03-29,17.5,17.65,17.45,17.65,5400
2001-03-30,17.55,18.0,17.5,18.0,34800
2001-04-02,17.875,17.875,17.5,17.5,6400
2001-04-03,17.43,17.5,17.43,17.5,1000
2001-04-04,17.35,17.4,17.05,17.1,11000
2001-04-05,17.2,17.5,17.15,17.5,21200
2001-04-06,17.5,17.5,17.375,17.375,3800
2001-04-09,17.46,18.275,17.46,18.275,55200
2001-04-10,18.75,19.435,18.75,19.435,11400
2001-04-11,19.25,19.25,18.7,18.7,9400
2001-04-12,18.6,18.6,18.55,18.55,400
2001-04-16,18.55,18.65,18.5,18.5,4600
2001-04-17,18.55,18.55,18.45,18.45,25400
2001-04-18,18.45,19.2,18.45,18.945,49600
2001-04-19,18.85,18.855,18.35,18.45,20600
2001-04-20,18.4,18.525,18.375,18.525,45600
2001-04-23,18.625,18.69,18.5,18.525,12800
2001-04-24,18.4,19.1,18.35,19.1,11800
2001-04-25,19.0,20.175,18.9,20.05,74200
2001-04-26,20.05,20.5,20.0,20.0,73200
2001-04-27,19.875,20.55,19.8,20.505,20800
2001-04-30,20.5,20.665,20.475,20.5,13800
2001-05-01,20.7,22.84,20.7,22.55,135200
2001-05-02,22.55,25.0,22.55,23.875,393200
2001-05-03,24.05,24.2,23.5,23.5,84400
2001-05-04,23.35,23.525,23.05,23.525,51400
2001-05-07,23.4,25.15,23.35,25.05,93600
2001-05-08,24.5,24.6,23.525,24.0,46800
2001-05-09,23.875,24.0,23.6,23.875,421400
2001-05-10,23.875,23.875,23.5,23.615,21600
2001-05-11,23.625,23.87,23.625,23.77,26800
2001-05-14,23.95,24.0,23.825,23.925,10000
2001-05-15,23.9,23.9,23.8,23.85,43400
2001-05-16,23.85,24.475,23.85,24.0,25000
2001-05-17,24.25,24.5,24.0,24.0,23400
2001-05-18,24.0,24.55,23.775,23.9,58200
2001-05-21,23.625,23.65,23.4,23.55,37200
2001-05-22,23.75,23.75,23.4,23.5,28000
2001-05-23,23.375,23.475,23.3,23.3,11600
2001-05-24,23.45,23.45,23.15,23.25,26200
2001-05-25,23.125,23.125,22.75,22.755,18200
2001-05-29,22.75,22.75,22.0,22.0,29800
2001-05-30,21.95,21.95,21.15,21.15,13800
2001-05-31,21.2,21.7,21.2,21.55,40200
