,open,high,low,close,volume
2000-12-21,41.75,41.9375,39.5,40.125,83300
2000-12-22,40.125,40.125,37.625,38.5,101000
2000-12-26,38.4375,39.3125,38.375,39.3125,31700
2000-12-27,39.375,41.125,38.5625,41.125,82800
2000-12-28,41.125,44.25,41.125,43.375,57300
2000-12-29,43.4375,44.0,42.0,42.0,71700
2001-01-02,42.25,42.5625,40.0,40.0,54000
2001-01-03,39.75,40.125,39.25,39.8125,54000
2001-01-04,40.0625,40.6875,39.375,39.375,65700
2001-01-05,39.375,39.375,35.375,35.75,94500
2001-01-08,36.0,37.1875,36.0,36.5,75800
2001-01-09,36.875,37.0,36.3125,36.3125,17900
2001-01-10,36.375,38.0,36.375,37.875,42500
2001-01-11,37.625,38.75,36.625,36.625,53700
2001-01-12,36.875,37.25,35.75,37.0,51800
2001-01-16,37.5,38.0625,36.0625,38.0,116400
2001-01-17,38.5,41.5,38.5,40.25,128800
2001-01-18,40.25,40.5,40.0,40.375,67600
2001-01-19,40.375,41.25,39.8125,39.8125,62200
2001-01-22,39.8125,39.9375,39.375,39.9375,41200
2001-01-23,39.9375,40.375,39.5,40.3125,46500
2001-01-24,40.375,40.375,39.1875,39.1875,23300
2001-01-25,39.1875,39.5,38.75,39.5,140000
2001-01-26,39.5,39.6875,39.4375,39.5625,29500
2001-01-29,39.5,41.31,39.5,41.25,74000
2001-01-30,41.25,41.55,40.75,40.79,63400
2001-01-31,41.0,41.0,39.66,39.92,42000
2001-02-01,40.0,41.25,39.75,41.0,120700
2001-02-02,41.0,42.6,41.0,42.5,65800
2001-02-05,42.75,43.0,41.0,41.0,50500
2001-02-06,40.75,41.25,40.0,41.2,35000
2001-02-07,41.2,44.0,41.2,42.86,76500
2001-02-08,43.0,43.4,42.54,43.0,48200
2001-02-09,43.0,43.0,42.2,42.2,27200
2001-02-12,42.2,43.71,42.0,43.39,33100
2001-02-13,43.14,43.99,43.14,43.6,33900
2001-02-14,43.46,43.46,42.5,43.1,20800
2001-02-15,43.35,43.5,42.7,43.4,18400
2001-02-16,43.2,43.2,41.93,42.1,29600
2001-02-20,42.1,42.1,39.1,39.4,52200
2001-02-21,39.2,39.8,39.1,39.37,48400
2001-02-22,39.3,39.3,39.0,39.01,85500
2001-02-23,39.01,39.75,39.01,39.75,62700
2001-02-26,39.8,42.65,39.8,42.1,50100
2001-02-27,42.35,42.5,41.0,41.0,30400
2001-02-28,41.1,41.1,39.0,39.4,59400
2001-03-01,39.4,40.45,39.25,40.3,19700
2001-03-02,40.2,41.55,40.05,40.51,11000
2001-03-05,40.7,40.8,39.05,39.56,20500
2001-03-06,39.65,40.7,39.25,39.6,13600
2001-03-07,39.7,40.17,39.5,39.9,23300
2001-03-08,39.9,41.0,39.9,39.95,20700
2001-03-09,39.95,39.95,37.25,37.6,74300
2001-03-12,38.0,38.45,37.35,38.03,38200
2001-03-13,38.01,39.1,38.01,38.99,21400
2001-03-14,39.0,40.21,38.53,39.2,40500
2001-03-15,39.05,39.2,38.6,38.74,12300
2001-03-16,38.9,38.92,38.05,38.05,67800
2001-03-19,38.02,38.55,37.42,37.95,117300
2001-03-20,37.95,37.95,36.1,36.19,90500
2001-03-21,36.2,36.25,35.9,35.95,31600
2001-03-22,35.85,35.85,33.93,34.0,49700
2001-03-23,34.0,34.0,32.3,32.6,131600
2001-03-26,32.6,33.5,31.25,33.25,103500
2001-03-27,33.2,34.94,33.0,34.94,37600
2001-03-28,35.0,35.55,33.6,35.5,37200
2001-03-29,35.5,37.0,35.4,36.35,34700
2001-03-30,36.25,36.55,35.35,36.0,51100
2001-04-02,35.9,35.96,35.5,35.5,96900
2001-04-03,35.75,35.8,34.7,34.75,31900
2001-04-04,34.75,34.99,30.76,32.0,97400
2001-04-05,34.0,34.5,33.54,33.54,334400
2001-04-06,33.5,34.25,33.14,33.2,115900
2001-04-09,33.44,34.3,33.44,33.7,72400
2001-04-10,34.25,34.8,34.0,34.8,96300
2001-04-11,35.25,36.75,35.25,36.4,46500
2001-04-12,36.2,36.6,34.22,34.22,69700
2001-04-16,34.05,34.05,31.5,31.82,159500
2001-04-17,31.82,33.2,31.73,33.0,247100
2001-04-18,33.25,34.4,33.16,34.4,258300
2001-04-19,34.25,34.48,34.0,34.1,17500
2001-04-20,34.0,34.0,31.95,32.3,60800
2001-04-23,32.25,32.25,31.21,32.0,72100
2001-04-24,32.0,33.67,32.0,33.4,78400
2001-04-25,33.3,33.92,33.24,33.75,47800
2001-04-26,33.9,34.5,32.4,32.4,28100
2001-04-27,32.25,33.5,32.25,33.5,23700
2001-04-30,33.4,33.85,33.35,33.8,36000
2001-05-01,33.55,34.31,32.61,34.25,36400
2001-05-02,34.25,34.5,33.55,33.87,38200
2001-05-03,33.94,34.0,33.52,33.91,65900
