,open,high,low,close,volume
2001-02-22,23.06,23.225,22.53,22.605,2966400.0
2001-02-23,22.73,22.995,22.1,22.275,1993600.0
2001-02-26,22.3,23.205,22.23,23.025,2282400.0
2001-02-27,23.025,23.45,22.63,22.775,2611800.0
2001-02-28,22.5,22.7,22.375,22.47,2571600.0
2001-03-01,22.425,22.78,22.425,22.59,1748000.0
2001-03-02,22.715,23.41,22.715,23.36,2135800.0
2001-03-05,23.5,24.0,23.5,23.855,2043600.0
2001-03-06,23.87,24.345,23.7,24.25,1864600.0
2001-03-07,24.975,25.5,24.845,24.98,6063800.0
2001-03-08,25.075,25.9,24.5,25.765,4542800.0
2001-03-09,25.5,25.995,25.15,25.505,3494800.0
2001-03-12,25.25,25.255,24.325,24.635,2964000.0
2001-03-13,24.25,24.255,23.7,23.75,2864000.0
2001-03-14,23.825,24.1,23.265,23.88,1990200.0
2001-03-15,23.9,24.125,23.27,23.37,1926200.0
2001-03-16,23.145,23.725,22.795,22.99,3927800.0
2001-03-19,23.0,23.63,23.0,23.345,2675800.0
2001-03-20,23.7,24.27,23.56,23.995,2990600.0
2001-03-21,23.975,24.025,22.95,23.055,3240800.0
2001-03-22,23.3,23.3,21.38,22.15,3608200.0
2001-03-23,22.4,22.835,22.275,22.51,2383000.0
2001-03-26,22.495,23.025,22.495,22.635,3292200.0
2001-03-27,22.625,22.825,22.125,22.33,2464400.0
2001-03-28,22.225,22.625,22.095,22.22,2950200.0
2001-03-29,21.95,21.95,21.465,21.85,2292000.0
2001-03-30,21.625,22.5,21.585,22.375,4431800.0
2001-04-02,22.625,22.625,21.185,21.4,3718400.0
2001-04-03,21.4,21.8,20.93,21.07,3230600.0
2001-04-04,21.15,21.815,21.15,21.48,4633000.0
2001-04-05,21.625,21.945,21.205,21.63,3801000.0
2001-04-06,21.65,21.65,21.125,21.545,3065200.0
2001-04-09,21.75,22.5,21.675,22.48,2333200.0
2001-04-10,23.0,23.69,22.835,23.43,3682800.0
2001-04-11,23.43,23.475,22.9,23.065,1653800.0
2001-04-12,23.07,23.495,23.0,23.09,2315800.0
2001-04-16,23.5,24.125,23.5,24.075,1753200.0
2001-04-17,24.125,24.715,23.605,24.62,1964000.0
2001-04-18,24.3,24.495,23.635,24.115,3175400.0
2001-04-19,24.11,24.11,23.025,23.425,3231600.0
2001-04-20,23.675,24.045,23.525,23.575,2762000.0
2001-04-23,23.875,24.22,23.855,24.015,2015200.0
2001-04-24,24.025,24.29,23.92,23.99,2253200.0
2001-04-25,24.175,24.55,23.7,24.475,2809000.0
2001-04-26,24.875,25.24,24.52,24.52,2273600.0
2001-04-27,24.525,24.55,23.91,24.335,2050600.0
2001-04-30,24.335,24.415,23.52,23.605,3017600.0
2001-05-01,23.58,23.58,23.0,23.37,3373400.0
2001-05-02,23.245,23.25,22.25,22.25,5180600.0
2001-05-03,22.255,22.35,21.705,21.815,3556000.0
2001-05-04,21.94,22.495,21.94,22.14,2737200.0
2001-05-07,22.575,22.8,22.375,22.525,2944800.0
2001-05-08,22.5,22.655,22.3,22.535,3135000.0
2001-05-09,22.6,23.25,22.6,23.1,2516400.0
2001-05-10,23.25,23.5,23.0,23.205,2138400.0
2001-05-11,23.205,23.205,22.705,22.98,1877800.0
2001-05-14,23.275,24.19,23.005,24.05,2825400.0
2001-05-15,24.05,24.725,24.05,24.495,2850200.0
2001-05-16,24.495,24.945,23.975,24.025,3483600.0
2001-05-17,23.65,24.08,23.6,24.0,5416200.0
2001-05-18,24.0,25.05,24.0,24.97,2731800.0
2001-05-21,25.95,25.975,25.255,25.335,4964200.0
2001-05-22,25.33,25.33,24.835,25.01,3980400.0
2001-05-23,24.755,24.975,24.255,24.285,2068000.0
2001-05-24,24.275,24.5,24.0,24.3,2146400.0
2001-05-25,24.3,24.375,23.9,23.94,1698200.0
2001-05-29,24.0,24.22,23.64,23.855,2386400.0
2001-05-30,23.85,24.05,23.31,23.965,2624200.0
2001-05-31,23.95,24.545,23.455,24.45,3431000.0
2001-06-01,24.25,24.55,23.955,24.125,1835800.0
2001-06-04,24.475,24.77,24.28,24.34,1503600.0
2001-06-05,24.125,24.495,24.04,24.4,2025600.0
2001-06-06,23.5,23.745,22.995,23.0,4632800.0
2001-06-07,23.0,23.01,22.625,22.735,2953000.0
2001-06-08,22.85,22.995,22.475,22.7,3037800.0
2001-06-11,23.0,23.26,22.85,23.175,3677000.0
2001-06-12,23.275,23.275,22.5,22.845,6672600.0
2001-06-13,22.8,23.145,22.01,22.155,3991200.0
2001-06-14,21.95,22.15,21.8,21.8,2811800.0
2001-06-15,21.5,21.745,21.175,21.22,8116400.0
2001-06-18,21.5,21.5,20.925,21.2,4424400.0
2001-06-19,21.2,21.3,20.705,20.995,2473000.0
2001-06-20,20.75,21.25,20.63,20.755,4108600.0
2001-06-21,20.9,20.95,19.755,19.765,6740600.0
2001-06-22,19.9,20.0,19.4,19.99,5843000.0
2001-06-25,20.1,20.225,19.625,19.865,4265800.0
2001-06-26,19.86,20.275,19.715,20.125,2607200.0
2001-06-27,20.25,20.25,19.31,19.37,4915400.0
2001-06-28,19.25,19.325,18.775,18.99,4682400.0
2001-06-29,19.1,20.025,19.0,19.875,6864600.0
2001-07-02,19.75,19.85,19.4,19.805,4918400.0
2001-07-03,20.0,20.015,19.8,19.825,2037000.0
2001-07-05,19.975,20.495,19.975,20.345,3848400.0
2001-07-06,20.4,20.59,20.025,20.52,2918000.0
2001-07-09,20.52,20.525,19.5,19.505,6334000.0
2001-07-10,19.7,19.775,19.37,19.455,4818400.0
2001-07-11,19.5,19.5,18.9,19.23,5101000.0
2001-07-12,19.25,19.425,18.765,19.125,4378400.0
2001-07-13,19.0,19.695,18.905,19.495,2834400.0
2001-07-16,19.5,19.725,18.66,18.735,2994000.0
2001-07-17,19.075,19.35,18.8,19.145,4184600.0
2001-07-18,19.06,19.335,18.35,19.005,5376600.0
2001-07-19,19.2,19.7,19.2,19.4,4551600.0
2001-07-20,19.55,19.87,19.525,19.735,3593000.0
2001-07-23,19.75,20.06,19.65,19.975,3430400.0
2001-07-24,19.875,19.905,19.285,19.565,2208600.0
2001-07-25,19.875,21.225,19.65,20.96,5789800.0
2001-07-26,20.965,21.37,20.965,21.195,3462000.0
2001-07-27,21.195,21.695,20.885,21.64,2124000.0
2001-07-30,21.675,22.0,21.425,21.505,1756400.0
2001-07-31,21.8,22.095,21.425,21.625,2287600.0
2001-08-01,21.675,22.02,20.82,20.905,3629800.0
2001-08-02,21.1,21.35,20.825,21.27,2393200.0
2001-08-03,20.8,21.2,20.45,20.82,2534400.0
2001-08-06,20.845,21.12,20.62,20.695,1583800.0
2001-08-07,20.775,21.07,20.76,20.835,1160600.0
2001-08-08,20.95,21.0,19.84,20.0,2737000.0
2001-08-09,19.995,20.2,19.83,20.05,2161800.0
2001-08-10,20.055,20.415,19.91,20.25,1447800.0
2001-08-13,20.25,20.69,20.18,20.395,1223600.0
2001-08-14,20.625,21.045,20.625,21.035,2719600.0
2001-08-15,21.035,21.875,20.795,21.785,4805800.0
2001-08-16,21.6,21.9,21.075,21.59,3050200.0
2001-08-17,21.4,21.6,21.205,21.25,1928600.0
2001-08-20,21.175,21.235,20.675,20.68,2810600.0
2001-08-21,20.925,21.075,20.75,20.755,1514400.0
2001-08-22,20.925,21.33,20.325,20.425,3875200.0
2001-08-23,20.49,20.495,20.03,20.165,2926400.0
2001-08-24,20.165,20.3,19.975,20.26,2567000.0
2001-08-27,20.26,20.425,20.05,20.225,2320400.0
2001-08-28,20.35,20.365,19.97,20.0,2591800.0
2001-08-29,20.05,20.315,19.55,19.645,3091800.0
2001-08-30,19.875,19.97,19.175,19.215,2761400.0
2001-08-31,19.25,19.25,18.75,19.0,2946600.0
2001-09-04,19.125,19.465,19.125,19.375,3383000.0
2001-09-05,19.025,19.3,19.0,19.1,2901200.0
2001-09-06,19.05,19.145,18.88,18.9,3495200.0
2001-09-07,18.975,19.145,18.8,18.985,2775200.0
2001-09-10,18.85,19.125,18.85,18.94,2652200.0
2001-09-17,18.765,19.0,18.0,18.5,3176600.0
2001-09-18,18.575,18.575,17.655,17.75,2764400.0
2001-09-19,17.7,17.7,16.575,17.15,4194000.0
2001-09-20,17.225,17.74,16.8,17.5,3449800.0
2001-09-21,17.25,17.95,17.005,17.565,3444400.0
2001-09-24,17.565,17.57,16.505,16.555,5106600.0
2001-09-25,16.555,16.73,15.845,16.04,4003000.0
2001-09-26,16.1,16.3,15.845,16.0,2995600.0
2001-09-27,16.0,17.07,15.85,16.65,2528600.0
2001-09-28,16.655,17.25,16.655,17.105,2893000.0
2001-10-01,17.105,17.105,16.505,16.745,2151400.0
2001-10-02,16.62,16.94,16.5,16.89,2686000.0
2001-10-03,16.8,16.995,16.455,16.975,2635600.0
2001-10-04,17.025,18.245,17.025,18.025,3031600.0
2001-10-05,18.05,18.35,17.47,18.19,1801200.0
2001-10-08,18.195,18.8,17.92,18.25,2145800.0
2001-10-09,17.25,17.75,17.25,17.7,6344400.0
2001-10-10,18.05,18.575,17.795,18.505,2855000.0
2001-10-11,18.7,18.775,18.1,18.65,2304800.0
2001-10-12,18.3,18.935,17.96,18.42,2991600.0
2001-10-15,18.42,18.42,17.725,17.875,2024800.0
2001-10-16,17.875,18.83,17.85,18.58,2238600.0
2001-10-17,18.625,18.95,17.675,17.675,4418600.0
2001-10-18,17.725,17.8,16.85,17.03,3505800.0
2001-10-19,17.0,17.675,16.65,17.49,2811400.0
2001-10-22,17.475,17.575,17.025,17.49,2390800.0
2001-10-23,17.5,17.725,17.225,17.355,4180600.0
2001-10-24,17.23,17.865,17.15,17.74,4129000.0
2001-10-25,17.7,18.495,17.605,18.45,3790200.0
2001-10-26,18.425,19.455,18.375,19.45,5698000.0
2001-10-29,19.45,19.875,19.135,19.38,4179200.0
2001-10-30,19.005,19.01,18.6,18.625,3231600.0
2001-10-31,18.75,19.12,18.19,18.625,4309600.0
2001-11-01,18.35,18.975,18.29,18.62,2253800.0
2001-11-02,18.62,18.62,18.05,18.305,1652800.0
2001-11-05,18.305,18.515,17.8,18.06,1925000.0
2001-11-06,17.775,18.24,17.56,18.16,2138000.0
2001-11-07,18.1,18.28,17.7,18.02,3273800.0
2001-11-08,18.1,18.235,17.725,17.985,3097400.0
2001-11-09,18.205,18.49,18.175,18.445,2158600.0
2001-11-12,18.0,18.295,17.75,18.225,2329600.0
2001-11-13,18.225,18.63,18.025,18.525,3276600.0
2001-11-14,18.325,18.525,17.55,17.595,3097400.0
2001-11-15,17.45,17.455,16.45,16.65,6309200.0
2001-11-16,17.0,17.0,16.375,16.89,3720800.0
2001-11-19,16.95,17.15,16.65,17.15,3492000.0
2001-11-20,17.35,18.0,17.35,17.92,2996400.0
2001-11-21,17.7,17.95,17.4,17.58,2205200.0
2001-11-23,17.55,18.185,17.35,18.1,931600.0
2001-11-26,17.6,17.895,17.53,17.825,2852400.0
2001-11-27,17.745,18.225,17.375,17.895,2499800.0
2001-11-28,17.65,17.8,17.16,17.26,3864800.0
2001-11-29,17.425,17.695,17.25,17.68,2646000.0
2001-11-30,17.575,17.68,17.49,17.57,2017600.0
2001-12-03,17.57,18.125,17.36,17.94,2510000.0
2001-12-04,17.945,18.27,17.755,18.25,2070600.0
2001-12-05,18.475,18.71,18.39,18.475,2677600.0
2001-12-06,18.475,18.53,18.21,18.325,1881400.0
2001-12-07,18.0,18.55,18.0,18.53,1866200.0
2001-12-10,18.375,18.54,18.15,18.35,2031800.0
2001-12-11,18.2,18.375,17.9,18.01,2222000.0
2001-12-12,17.9,17.905,17.51,17.62,1805000.0
2001-12-13,17.495,17.665,17.3,17.465,1925400.0
2001-12-14,17.5,17.79,17.4,17.75,1377000.0
2001-12-17,17.51,17.7,17.35,17.39,1566200.0
2001-12-18,17.4,17.87,17.4,17.865,2161400.0
2001-12-19,17.875,18.435,17.85,18.4,2171000.0
2001-12-20,18.4,18.59,18.225,18.365,2030400.0
2001-12-21,18.4,18.72,18.28,18.36,2922200.0
2001-12-24,18.375,18.625,18.375,18.5,756200.0
2001-12-26,18.65,18.875,18.55,18.63,2237600.0
2001-12-27,18.675,18.8,18.45,18.66,1674600.0
2001-12-28,18.725,19.04,18.68,18.94,1442400.0
2001-12-31,18.93,19.065,18.77,18.77,1557600.0
2002-01-02,18.52,18.54,17.8,18.42,2841200.0
2002-01-03,18.105,18.4,17.85,17.91,2353200.0
2002-01-04,18.015,18.175,17.76,18.035,1609000.0
2002-01-07,18.005,18.25,17.855,18.095,1620800.0
2002-01-08,17.975,18.09,17.75,17.87,1316600.0
