,open,high,low,close,volume
2000-12-22,43.25,43.6875,43.0625,43.375,1819200
2000-12-26,43.40625,43.96875,43.0,43.25,908800
2000-12-27,43.625,44.5,43.5,44.3125,1286200
2000-12-28,44.0,44.125,43.3125,43.90625,1030000
2000-12-29,43.90625,44.375,43.25,43.25,935000
2001-01-02,43.25,43.3125,41.53125,41.71875,1242400
2001-01-03,41.75,42.34375,40.78125,41.15625,1703200
2001-01-04,40.0,40.0,36.8125,38.28125,3847000
2001-01-05,38.28125,38.75,37.375,37.5625,1970400
2001-01-08,37.5625,38.625,37.40625,38.21875,1581200
2001-01-09,38.09375,38.5,37.0,37.03125,1174400
2001-01-10,36.78125,37.6875,36.6875,37.15625,1356000
2001-01-11,36.8125,37.46875,36.6875,36.875,1735200
2001-01-12,36.375,36.5,34.40625,34.53125,3420400
2001-01-16,34.875,36.21875,34.1875,35.875,3443000
2001-01-17,36.0,36.125,34.5,34.90625,1911000
2001-01-18,34.75,35.1875,33.875,35.15625,2871400
2001-01-19,34.90625,35.09375,34.1875,34.34375,1490600
2001-01-22,34.5625,36.09375,34.53125,35.96875,1840200
2001-01-23,35.40625,36.75,34.375,36.6875,3689400
2001-01-24,36.5,37.34375,36.3125,36.90625,1990600
2001-01-25,36.78125,37.46875,36.71875,37.46875,1846400
2001-01-26,37.46875,37.46875,36.5,36.78125,1068400
2001-01-29,36.655,37.05,36.35,36.37,1135600
2001-01-30,36.62,36.985,35.625,36.82,1310200
2001-01-31,36.895,36.895,35.795,36.0,1735200
2001-02-01,36.375,36.5,36.025,36.5,2206400
2001-02-02,36.5,37.045,36.345,36.85,2339000
2001-02-05,37.0,37.9,37.0,37.78,1762200
2001-02-06,37.825,37.85,36.5,37.0,1586600
2001-02-07,37.0,37.935,36.905,37.805,2769000
2001-02-08,37.75,38.015,36.855,37.535,1901000
2001-02-09,36.5,37.45,36.475,37.45,5152600
2001-02-12,37.445,38.425,37.37,38.195,2392400
2001-02-13,38.15,38.175,37.49,37.575,1318400
2001-02-14,37.64,37.785,37.43,37.465,1433200
2001-02-15,37.115,37.12,36.475,36.7,1631800
2001-02-16,36.625,37.26,36.605,36.995,1264000
2001-02-20,36.875,36.95,36.0,36.17,2373400
2001-02-21,35.9,36.1,34.3,34.7,1705600
2001-02-22,34.575,35.54,34.575,35.25,3581400
2001-02-23,35.25,35.25,34.5,34.845,1660200
2001-02-26,34.845,35.4,34.8,35.175,1315200
2001-02-27,35.45,36.275,35.295,36.005,1227200
2001-02-28,36.35,36.4,35.535,35.875,1735200
2001-03-01,35.4,35.75,35.1,35.575,1351000
2001-03-02,35.575,36.3,35.53,36.0,1580400
2001-03-05,36.0,36.125,35.285,35.78,956800
2001-03-06,36.0,36.075,35.08,35.5,1249000
2001-03-07,35.505,35.975,35.46,35.845,1048000
2001-03-08,35.85,36.6,35.85,36.475,1422800
2001-03-09,36.075,36.625,35.725,35.75,1161000
2001-03-12,35.875,36.2,34.76,34.8,1513800
2001-03-13,34.675,34.7,33.95,34.58,2414800
2001-03-14,33.75,34.0,33.075,33.7,2686400
2001-03-15,33.675,34.48,33.675,34.3,1951200
2001-03-16,33.8,34.45,33.75,34.21,2133200
2001-03-19,34.5,34.5,33.75,34.145,1950000
2001-03-20,34.175,34.75,33.71,33.76,1533600
2001-03-21,34.01,34.095,32.975,32.975,1727600
2001-03-22,33.39,33.39,31.82,32.635,2744800
2001-03-23,32.5,33.975,32.5,33.25,2269000
2001-03-26,33.575,34.35,33.56,34.05,1309800
2001-03-27,34.0,34.1,33.61,33.995,1999200
2001-03-28,34.0,34.435,33.595,34.175,1362800
2001-03-29,34.475,35.225,34.315,34.995,2059000
2001-03-30,35.55,36.75,35.45,36.22,2315800
2001-04-02,36.225,37.625,36.225,36.65,2452000
2001-04-03,36.65,36.65,35.38,35.505,1805600
2001-04-04,35.405,35.8,35.025,35.26,1915200
2001-04-05,35.5,35.925,35.35,35.78,1262600
2001-04-06,35.325,36.25,34.345,34.545,2229400
2001-04-09,34.6,34.875,34.075,34.39,1385800
2001-04-10,33.75,34.435,33.75,34.08,2535400
2001-04-11,34.0,34.05,33.625,33.94,1872000
2001-04-12,34.0,34.22,33.275,33.46,2271800
2001-04-16,33.25,33.4,32.85,33.2,2794600
2001-04-17,33.125,33.125,32.7,32.95,3298400
2001-04-18,33.0,33.85,33.0,33.38,3083800
2001-04-19,33.625,34.495,33.55,34.16,2420000
2001-04-20,34.05,34.11,33.0,33.19,1940000
2001-04-23,33.125,33.46,33.125,33.3,1234000
2001-04-24,32.75,33.25,31.65,32.16,3901400
2001-04-25,32.0,32.5,31.905,32.2,4504400
2001-04-26,32.3,32.96,32.125,32.175,3399200
2001-04-27,32.25,33.335,32.25,33.05,1966200
2001-04-30,33.125,33.75,33.0,33.375,1898000
2001-05-01,33.35,34.25,33.025,34.01,4099000
2001-05-02,34.3,34.3,33.575,33.725,2107000
2001-05-03,33.725,34.0,33.47,33.855,2783200
2001-05-04,33.825,34.69,33.705,34.175,1767600
2001-05-07,34.18,34.625,34.125,34.375,1115000
2001-05-08,34.55,35.09,34.475,34.875,1731600
2001-05-09,34.8,35.08,34.625,34.87,1550400
2001-05-10,35.37,35.37,34.055,34.365,3907200
2001-05-11,35.875,35.905,34.97,35.425,4631800
2001-05-14,35.425,36.0,35.425,36.0,1923000
2001-05-15,35.955,36.125,35.725,36.075,1887600
2001-05-16,36.245,36.745,36.005,36.625,1203400
2001-05-17,36.8,37.125,36.765,36.975,1410800
2001-05-18,37.45,37.45,36.915,36.975,1590000
2001-05-21,36.75,37.475,36.5,37.36,1749800
2001-05-22,37.35,37.425,36.95,37.225,2100000
2001-05-23,37.125,37.135,36.62,36.725,1617800
2001-05-24,36.7,36.995,36.65,36.82,1595800
2001-05-25,36.82,36.97,36.51,36.61,818400
2001-05-29,36.61,37.81,36.61,37.49,2584000
2001-05-30,37.0,38.3,36.925,38.1,1955600
2001-05-31,38.1,38.3,37.545,37.675,1485800
2001-06-01,37.725,37.725,36.9,37.175,1913600
2001-06-04,37.5,37.97,37.5,37.7,2172800
2001-06-05,37.635,38.245,37.55,38.14,1496000
2001-06-06,37.925,38.7,37.85,38.15,1607800
2001-06-07,38.025,38.7,37.965,38.16,1029000
2001-06-08,38.16,38.245,38.075,38.19,869000
2001-06-11,38.065,38.435,38.005,38.06,998200
2001-06-12,37.925,38.5,37.785,38.38,1078400
2001-06-13,38.8,39.315,38.465,38.795,1943600
2001-06-14,38.79,39.035,38.465,38.78,1562400
2001-06-15,38.5,39.685,38.475,39.5,2913000
2001-06-18,39.375,39.615,39.05,39.125,1185000
2001-06-19,39.2,39.375,38.98,39.105,1052000
2001-06-20,38.99,39.255,38.825,38.935,1562200
2001-06-21,38.55,39.0,38.55,38.99,1978400
2001-06-22,39.25,39.255,38.5,38.775,1178200
2001-06-25,38.625,38.7,38.33,38.33,1033200
2001-06-26,38.11,39.675,38.105,39.075,2370600
2001-06-27,39.075,39.495,38.94,39.105,1307600
2001-06-28,39.0,39.75,38.925,39.1,1339800
2001-06-29,39.275,39.275,38.63,38.715,2241800
2001-07-02,38.5,38.99,38.29,38.445,2014600
2001-07-03,38.45,38.725,38.28,38.425,810600
2001-07-05,38.425,38.47,38.24,38.335,1155200
2001-07-06,38.225,38.3,37.575,37.58,756400
2001-07-09,37.6,37.695,37.15,37.15,1875000
2001-07-10,36.375,36.62,35.8,36.23,4612000
2001-07-11,35.9,35.945,35.25,35.445,2846600
2001-07-12,35.55,36.075,35.5,35.9,2604000
2001-07-13,35.9,36.25,35.8,35.99,1568000
2001-07-16,36.0,36.12,35.275,35.41,1954800
2001-07-17,35.21,35.415,34.6,35.205,2301200
2001-07-18,34.955,35.625,34.925,35.545,1405400
2001-07-19,35.825,35.835,34.65,34.805,1881800
2001-07-20,34.71,34.82,33.67,34.16,1401200
2001-07-23,34.075,34.425,33.7,33.7,1228600
2001-07-24,33.75,34.14,33.225,33.225,1679200
2001-07-25,33.275,33.975,33.255,33.775,1363800
2001-07-26,34.375,34.95,34.0,34.9,5645000
2001-07-27,34.825,35.15,34.685,34.825,1518400
2001-07-30,34.725,35.1,34.49,34.625,940400
2001-07-31,34.95,35.55,34.905,35.085,1450800
2001-08-01,35.05,35.35,34.875,35.24,1391600
2001-08-02,35.125,35.125,34.35,34.38,2403800
2001-08-03,34.38,34.5,34.11,34.255,1204200
2001-08-06,34.1,34.49,34.055,34.135,1052400
2001-08-07,34.11,35.275,34.1,35.225,1649800
2001-08-08,35.05,35.225,34.605,34.76,1074200
2001-08-09,34.775,34.95,34.36,34.82,991200
2001-08-10,35.0,35.0,34.45,34.715,860600
2001-08-13,34.725,34.825,34.455,34.645,816800
2001-08-14,34.71,34.71,34.375,34.525,1875000
2001-08-15,34.525,34.6,34.335,34.34,700400
2001-08-16,34.125,34.65,34.07,34.51,695200
2001-08-17,34.25,34.55,34.13,34.47,1198000
2001-08-20,34.5,34.725,34.345,34.5,849400
2001-08-21,34.5,34.57,34.2,34.24,915200
2001-08-22,34.24,34.25,33.78,33.975,935200
2001-08-23,34.225,34.845,34.145,34.69,1121600
2001-08-24,34.75,34.875,34.45,34.555,744400
2001-08-27,34.5,34.725,34.01,34.09,857600
2001-08-28,34.09,34.09,33.5,33.545,1511000
2001-08-29,33.45,33.7,33.315,33.6,1013800
2001-08-30,33.75,33.995,33.44,33.75,1524400
2001-08-31,33.75,33.965,33.505,33.75,1012200
2001-09-04,33.725,33.875,33.34,33.755,1792600
2001-09-05,33.5,33.6,33.025,33.52,1089200
2001-09-06,33.5,33.5,32.84,33.15,1277200
2001-09-07,33.05,33.05,32.505,32.565,989400
2001-09-10,32.49,33.615,32.44,33.235,1138400
2001-09-17,30.0,31.8,29.8,31.525,5974200
2001-09-18,32.4,32.4,30.75,31.025,2190400
2001-09-19,30.965,30.975,28.8,30.225,4461600
2001-09-20,30.225,30.225,28.425,29.295,4421800
2001-09-21,28.325,30.3,27.77,29.75,5353400
2001-09-24,31.225,32.46,31.055,32.0,4815200
2001-09-25,31.825,33.445,31.75,33.385,3736600
2001-09-26,33.39,34.825,33.175,34.255,5470800
2001-09-27,34.255,35.165,34.055,34.99,3061200
2001-09-28,35.25,35.875,35.1,35.705,3462000
2001-10-01,35.96,35.975,35.005,35.2,3282000
2001-10-02,35.125,36.405,35.005,36.275,2402200
2001-10-03,36.24,38.75,36.175,38.46,6113600
2001-10-04,38.46,38.46,37.54,37.675,3870600
2001-10-05,37.5,37.93,37.04,37.525,3312600
2001-10-08,37.0,37.53,36.6,36.6,2984800
2001-10-09,36.625,37.83,36.6,37.525,3252200
2001-10-10,37.9,38.145,37.08,37.4,2953600
2001-10-11,37.0,38.875,37.0,38.555,5372000
2001-10-12,38.275,38.745,37.9,38.295,2278800
2001-10-15,38.25,38.675,38.01,38.355,1481000
2001-10-16,38.25,38.975,38.2,38.83,2031400
2001-10-17,38.95,38.95,38.135,38.5,2143400
2001-10-18,38.35,38.6,36.825,36.855,3011000
2001-10-19,36.855,36.95,36.375,36.65,2629600
2001-10-22,36.875,38.56,36.825,38.53,1982800
2001-10-23,38.2,38.315,37.685,37.875,2096800
2001-10-24,37.625,37.79,37.1,37.45,1740600
2001-10-25,36.9,37.56,36.75,37.49,1949000
2001-10-26,37.5,37.93,37.0,37.79,1195800
2001-10-29,37.38,37.5,36.575,36.575,2072600
2001-10-30,35.8,36.17,35.555,35.755,2607200
2001-10-31,35.5,35.725,34.15,34.15,4060600
2001-11-01,34.15,34.8,33.81,34.695,5172000
2001-11-02,34.695,36.35,34.65,36.26,2297600
2001-11-05,35.8,36.87,35.75,36.565,2305800
2001-11-06,36.45,36.875,36.075,36.8,2200400
2001-11-07,36.425,36.595,35.91,36.275,2261800
2001-11-08,36.335,36.475,35.85,36.175,1747400
2001-11-09,35.375,35.41,33.875,34.3,4975000
2001-11-12,33.9,34.55,32.73,34.52,3447000
2001-11-13,34.9,35.345,34.705,34.96,1589200
2001-11-14,35.15,35.41,34.5,35.16,1730200
2001-11-15,34.9,35.5,34.775,34.93,1186000
2001-11-16,34.995,35.25,34.755,35.085,846800
2001-11-19,35.09,35.365,34.55,34.975,1991800
2001-11-20,34.505,34.735,34.25,34.625,1525400
2001-11-21,34.3,34.575,33.9,34.22,1348800
2001-11-23,33.72,34.49,33.72,34.455,901800
2001-11-26,34.375,34.38,33.63,34.21,2229800
2001-11-27,34.185,35.39,34.0,35.135,2095600
2001-11-28,35.105,35.4,34.7,34.785,1668800
2001-11-29,34.925,35.875,34.575,35.835,1575200
2001-11-30,35.55,35.6,34.875,35.03,2505200
2001-12-03,34.725,34.875,34.34,34.455,2670800
2001-12-04,34.455,34.455,33.86,34.22,2544800
2001-12-05,34.2,34.45,34.025,34.25,3647200
2001-12-06,33.4,33.695,32.75,33.275,6117600
2001-12-07,33.4,33.86,33.085,33.855,3403000
2001-12-10,33.95,34.075,32.875,33.055,2145000
2001-12-11,33.105,33.25,32.61,33.01,2773000
2001-12-12,33.015,33.325,32.72,33.075,1526600
2001-12-13,32.7,33.25,31.7,33.135,4604200
2001-12-14,33.35,34.005,33.125,33.725,3320800
2001-12-17,33.675,33.695,33.25,33.425,1855200
2001-12-18,33.15,33.625,33.005,33.475,2105400
2001-12-19,33.305,33.495,32.8,33.245,2524600
2001-12-20,33.25,33.595,33.13,33.35,1304600
2001-12-21,33.35,33.6,33.25,33.5,3126200
2001-12-24,33.25,33.51,33.245,33.375,795000
2001-12-26,33.5,33.915,33.365,33.675,887800
2001-12-27,33.65,34.055,33.45,34.055,1105000
2001-12-28,34.105,34.26,33.93,34.16,874400
2001-12-31,34.16,34.605,34.105,34.5,2165600
2002-01-02,34.625,34.625,33.8,34.265,1538200
2002-01-03,34.27,34.59,33.905,34.445,3815800
2002-01-04,34.5,34.5,33.95,34.05,2596000
2002-01-07,34.3,34.3,33.675,33.755,1365800
2002-01-08,33.705,33.875,33.2,33.4,2512800
2002-01-09,33.525,34.2,33.525,33.725,1848800
