,open,high,low,close,volume
2001-02-22,32.0,32.1,30.91,31.1,1124200
2001-02-23,31.0,31.09,28.85,30.01,1948400
2001-02-26,30.4,31.0,30.27,30.9,1344900
2001-02-27,31.75,33.5,31.75,32.75,2468500
2001-02-28,32.76,33.51,32.6,33.34,2037500
2001-03-01,33.4,33.4,31.8,32.26,1387900
2001-03-02,31.3,31.72,30.7,31.25,1783400
2001-03-05,31.6,31.82,30.3,30.49,1222200
2001-03-06,32.0,32.0,30.96,31.13,875800
2001-03-07,31.15,31.2,30.52,30.75,1589500
2001-03-08,30.75,30.94,30.27,30.5,1916900
2001-03-09,30.3,30.46,29.96,30.05,1369400
2001-03-12,29.25,29.6,27.27,27.42,2667400
2001-03-13,27.41,28.5,27.41,28.32,1811300
2001-03-14,26.0,27.75,25.5,26.62,3159400
2001-03-15,27.25,28.49,27.11,27.96,2498800
2001-03-16,27.25,28.37,27.03,27.59,2594300
2001-03-19,28.1,28.1,27.19,27.37,1427500
2001-03-20,27.4,28.93,27.0,27.04,1481200
2001-03-21,27.05,27.1,24.8,25.23,3517500
2001-03-22,25.9,25.9,23.6,24.33,2470600
2001-03-23,24.1,25.07,23.78,25.0,3004100
2001-03-26,26.0,26.39,25.4,25.54,1734500
2001-03-27,25.5,27.02,25.4,26.65,1855400
2001-03-28,26.65,27.15,26.0,26.95,1451200
2001-03-29,26.9,28.23,26.75,27.63,2110600
2001-03-30,27.62,28.38,27.13,27.67,1317100
2001-04-02,27.75,28.43,27.12,27.16,1263200
2001-04-03,27.2,27.2,25.51,25.86,1673000
2001-04-04,25.7,27.0,25.0,26.58,1327300
2001-04-05,26.59,28.24,26.59,27.93,1131000
2001-04-06,27.4,27.7,26.57,27.2,1189100
2001-04-09,27.45,27.85,27.1,27.67,688700
2001-04-10,27.8,28.5,27.27,27.75,1791100
2001-04-11,27.7,28.14,26.8,27.65,1557300
2001-04-12,27.25,27.75,27.25,27.54,1335200
2001-04-16,27.54,27.88,27.09,27.32,968300
2001-04-17,26.25,26.5,25.33,26.5,2901000
2001-04-18,27.4,29.5,27.23,29.5,2386900
2001-04-19,29.16,29.17,27.35,27.96,1685200
2001-04-20,25.75,26.2,25.59,26.0,7836000
2001-04-23,26.1,26.5,25.59,26.48,3663100
2001-04-24,26.25,26.33,25.55,25.75,1869600
2001-04-25,26.0,26.09,25.0,25.22,4066200
2001-04-26,25.2,25.52,24.5,25.19,2735700
2001-04-27,25.15,26.04,24.9,26.01,1815400
2001-04-30,26.26,26.86,26.12,26.5,2189500
2001-05-01,26.4,27.5,26.4,27.45,2499900
2001-05-02,27.1,28.23,26.9,28.2,1744500
2001-05-03,28.0,28.15,27.1,27.86,1885000
2001-05-04,27.8,28.24,27.15,28.07,1217300
2001-05-07,28.05,28.11,27.63,27.9,2086000
2001-05-08,28.05,28.3,27.79,28.11,1511400
2001-05-09,28.03,28.68,28.0,28.5,1075300
2001-05-10,28.57,28.95,28.52,28.82,635200
2001-05-11,28.9,28.9,28.16,28.34,1060000
2001-05-14,28.45,28.5,27.5,27.75,1489800
2001-05-15,28.0,28.45,27.63,28.22,1412200
2001-05-16,28.1,29.19,27.75,29.02,1552900
2001-05-17,28.9,29.9,28.86,29.7,1748600
2001-05-18,29.7,29.7,28.87,29.11,941800
2001-05-21,29.11,29.72,29.0,29.52,915100
2001-05-22,29.55,29.75,29.0,29.55,1068400
2001-05-23,29.4,29.43,28.76,29.4,1898600
2001-05-24,29.59,30.0,29.17,29.5,1029600
2001-05-25,29.51,29.51,28.55,28.79,683400
2001-05-29,28.8,29.1,28.2,28.47,797300
2001-05-30,28.27,28.61,27.86,28.01,1000600
2001-05-31,28.06,28.65,27.75,28.23,1177200
2001-06-01,28.1,28.35,27.84,28.14,395500
2001-06-04,28.2,28.33,27.85,27.99,691500
2001-06-05,28.0,28.39,27.75,28.37,1872500
2001-06-06,28.37,28.37,27.45,27.56,1017000
2001-06-07,27.55,27.92,27.2,27.46,955600
2001-06-08,27.4,27.5,26.78,27.28,1142900
2001-06-11,27.3,27.3,26.74,26.88,1100200
2001-06-12,26.9,26.9,26.21,26.62,1356800
2001-06-13,26.61,26.75,26.32,26.44,754800
2001-06-14,26.5,26.56,25.98,26.01,1637300
2001-06-15,25.9,27.0,25.89,26.4,1790400
2001-06-18,26.5,26.75,25.89,26.41,688600
2001-06-19,26.5,26.73,26.35,26.52,838000
2001-06-20,26.51,26.61,26.1,26.25,2764100
2001-06-21,27.0,28.41,26.9,28.4,2299300
2001-06-22,28.6,28.9,28.0,28.57,1483000
2001-06-25,28.0,28.77,27.9,28.54,1302100
