,open,high,low,close,volume
2001-02-22,32.37026,33.05055,31.51991,32.88048,395569
2001-02-23,32.80962,32.82378,31.51991,32.35609,203076
2001-02-26,32.65371,32.7104,31.91674,32.48364,315309
2001-02-27,32.37026,33.26314,32.37026,33.22062,284109
2001-02-28,33.22062,33.56076,32.93717,33.39069,449480
2001-03-01,33.43321,33.9576,32.20019,33.81587,272202
2001-03-02,33.334,34.35443,32.65371,33.67414,310348
2001-03-05,34.01429,34.05681,33.50407,33.78753,316962
2001-03-06,34.04263,34.73709,33.44738,33.90091,266579
2001-03-07,33.87256,34.35443,33.84422,34.01429,179483
2001-03-08,34.01429,34.80795,33.90091,34.58119,217409
2001-03-09,34.5245,34.63788,33.84422,34.12767,199769
2001-03-12,33.90091,34.07098,33.56076,33.61745,301197
2001-03-13,33.56076,33.67414,32.99386,33.27731,214983
2001-03-14,32.99386,33.05055,31.63329,32.59702,276171
2001-03-15,32.65371,33.44738,32.54033,33.16393,261949
2001-03-16,32.31357,33.334,32.25688,32.96551,769860
2001-03-19,32.96551,33.22062,32.25688,32.37026,232733
2001-03-20,32.42695,32.99386,32.20019,32.59702,311009
2001-03-21,32.42695,32.7104,32.03012,32.37026,399648
2001-03-22,32.37026,32.42695,31.5766,32.03012,601512
2001-03-23,32.03012,32.65371,31.63329,32.65371,287636
2001-03-26,32.7104,33.61745,32.49782,33.334,243427
2001-03-27,33.27731,33.61745,32.65371,32.82378,409240
2001-03-28,32.76709,32.99386,32.20019,32.88048,535915
2001-03-29,32.65371,33.56076,32.59702,33.27731,328208
2001-03-30,33.27731,34.69457,33.27731,34.41112,461718
2001-04-02,34.35443,35.37486,34.01429,34.24105,385757
2001-04-03,34.35443,34.46781,33.56076,34.01429,455323
2001-04-04,33.61745,33.90091,33.50407,33.84422,364589
2001-04-05,33.9576,34.75126,33.56076,34.41112,361062
2001-04-06,34.38277,34.5245,32.7104,33.05055,406814
2001-04-09,33.51541,33.56076,32.83512,33.11631,207597
2001-04-10,33.10724,33.84195,33.04374,33.53355,348493
2001-04-11,33.51541,33.56076,32.65371,33.0256,298772
2001-04-12,33.07096,33.32493,32.59929,33.10724,145086
2001-04-16,32.89862,33.6424,32.89862,33.55169,217960
2001-04-17,33.34307,34.2864,33.18887,34.14127,253790
2001-04-18,34.21384,35.10274,33.80566,35.03925,430518
2001-04-19,34.51316,35.46556,34.46781,34.74899,549475
2001-04-20,33.21608,34.51316,33.21608,34.10499,310678
2001-04-23,34.00521,34.39524,34.00521,34.37711,313104
2001-04-24,34.43153,35.15717,34.01429,34.40432,390828
2001-04-25,34.23198,34.33175,33.85102,33.99614,272863
2001-04-26,33.85102,34.92133,33.84195,33.85102,396561
2001-04-27,33.8873,35.33857,33.87823,35.33857,352903
2001-04-30,35.04832,35.49277,34.80342,34.81249,304615
2001-05-01,34.69457,35.44742,34.25919,35.29322,286644
2001-05-02,35.17531,35.20252,34.2864,35.0846,316080
2001-05-03,35.15717,35.15717,33.86916,35.04832,273635
2001-05-04,35.02111,36.05514,34.92133,36.037,417398
2001-05-07,35.81931,36.00072,35.28415,35.61069,130864
2001-05-08,35.45649,35.53812,35.03925,35.45649,421918
2001-05-09,35.45649,35.64697,35.15717,35.60162,405491
