,open,high,low,close,volume
2001-12-13,1.189225,1.4750725,1.189225,1.433405,56370780
2001-12-14,1.4342375,1.440905,1.3709025,1.3917375,11307036
2001-12-17,1.3917375,1.42507,1.3834025,1.41507,1756712
2001-12-18,1.408405,1.4475725,1.3917375,1.438405,3585420
2001-12-19,1.4375725,1.77509,1.433405,1.72592,3352632
2001-12-20,1.700085,1.900095,1.645915,1.65425,3855408
2001-12-21,1.67425,1.675085,1.65425,1.6584175,3245836
2001-12-24,1.66175,1.687585,1.6342475,1.6625825,968352
2001-12-26,1.6584175,1.7167525,1.65175,1.6934175,2115496
2001-12-27,1.7084175,1.74092,1.690085,1.73342,2372280
2001-12-28,1.72092,1.8167575,1.72092,1.7917575,1108744
2001-12-31,1.823425,1.9250975,1.7725875,1.8292575,451176
2002-01-02,1.88926,1.88926,1.82009,1.833425,1448328
2002-01-03,1.8242575,1.8375925,1.8242575,1.833425,328784
2002-01-04,1.8367575,1.8367575,1.78259,1.81259,549572
2002-01-07,1.78759,1.80759,1.700085,1.7142525,789560
2002-01-08,1.717585,1.766755,1.712585,1.766755,1184340
2002-01-09,1.766755,1.766755,1.7267525,1.7267525,697164
2002-01-10,1.7375875,1.7375875,1.653415,1.71342,551972
2002-01-11,1.6884175,1.808425,1.687585,1.766755,194392
2002-01-14,1.7834225,1.7834225,1.7317525,1.746755,129592
2002-01-15,1.7500875,1.754255,1.73342,1.7500875,94796
2002-01-16,1.7500875,1.7550875,1.6709175,1.6709175,149992
2002-01-17,1.6684175,1.710085,1.5167425,1.6292475,1036748
2002-01-18,1.61008,1.640915,1.5934125,1.6250825,833960
2002-01-22,1.6084125,1.6834175,1.60008,1.6834175,470376
2002-01-23,1.6550825,1.8092575,1.6550825,1.8092575,231588
2002-01-24,1.7992575,1.82009,1.7500875,1.7959225,107996
2002-01-25,1.7959225,1.8042575,1.7625875,1.8042575,253188
2002-01-28,1.78759,1.78759,1.645915,1.6934175,1384732
2002-01-29,1.68675,1.7500875,1.68675,1.7084175,742764
2002-01-30,1.7092525,1.7092525,1.6759175,1.67675,1067948
2002-01-31,1.67175,1.6967525,1.50841,1.541745,3235040
2002-02-01,1.60008,1.66675,1.5834125,1.6167475,1817908
2002-02-04,1.6167475,1.633415,1.54591,1.566745,7305236
2002-02-05,1.5675775,1.5934125,1.5675775,1.591745,45596
2002-02-06,1.591745,1.6809175,1.591745,1.675085,571172
2002-02-07,1.6625825,1.675085,1.6009125,1.6009125,98396
2002-02-08,1.6009125,1.6009125,1.6009125,1.6009125,8400
2002-02-11,1.633415,1.653415,1.6042475,1.6042475,36000
2002-02-12,1.60008,1.620915,1.5859125,1.6059125,49196
2002-02-13,1.60008,1.60008,1.5625775,1.5650775,837560
2002-02-14,1.5750775,1.6059125,1.5750775,1.6059125,139192
2002-02-15,1.59508,1.5959125,1.5500775,1.5834125,963552
2002-02-19,1.58758,1.591745,1.5634125,1.5634125,31200
2002-02-20,1.564245,1.58758,1.5634125,1.571745,363580
2002-02-21,1.58258,1.5959125,1.5634125,1.579245,554372
2002-02-22,1.579245,1.59008,1.566745,1.566745,571172
2002-02-25,1.579245,1.589245,1.5634125,1.5750775,2069896
2002-02-26,1.5750775,1.59508,1.5675775,1.5759125,225588
2002-02-27,1.5684125,1.5834125,1.564245,1.569245,1328332
2002-02-28,1.566745,1.5709125,1.55841,1.5625775,1432728
2002-03-01,1.5750775,1.5834125,1.5634125,1.5650775,1160340
2002-03-04,1.5650775,1.5784125,1.54591,1.5700775,664768
2002-03-05,1.5709125,1.591745,1.566745,1.574245,310784
2002-03-06,1.5750775,1.5992475,1.5625775,1.5750775,268788
2002-03-07,1.60008,1.60008,1.5750775,1.5750775,73196
2002-03-08,1.571745,1.591745,1.554245,1.591745,158392
2002-03-11,1.5625775,1.5909125,1.541745,1.5725775,178792
