,open,high,low,close,volume
2000-12-21,42.5625,43.125,42.375,43.0625,1247900
2000-12-22,42.9375,43.0,41.875,42.875,418300
2000-12-26,43.125,44.75,42.9375,44.125,669300
2000-12-27,44.3125,44.875,43.8125,44.125,411100
2000-12-28,44.0,44.0,43.375,43.625,357300
2000-12-29,43.8125,43.9375,43.125,43.3125,354900
2001-01-02,43.5,43.5625,42.1875,42.6875,799400
2001-01-03,42.9375,43.75,38.375,39.125,1238700
2001-01-04,39.125,39.3125,35.4375,37.5,3835900
2001-01-05,37.25,37.8125,36.625,36.625,2250100
2001-01-08,36.6875,37.875,36.6875,37.25,1203200
2001-01-09,37.0,37.125,35.75,36.0625,1140400
2001-01-10,36.3125,36.625,34.3125,35.5,997200
2001-01-11,35.75,35.75,31.8125,32.4375,3190400
2001-01-12,32.75,34.4375,32.125,34.0,1957000
2001-01-16,34.0625,34.125,32.1875,33.3125,1569500
2001-01-17,33.375,33.75,32.75,33.125,1620200
2001-01-18,33.0,34.625,32.875,34.0625,1652300
2001-01-19,34.0625,34.6875,33.0625,33.75,873900
2001-01-22,34.1875,35.5625,34.0,35.1875,1112900
2001-01-23,34.9375,36.0625,34.9375,35.125,1133800
2001-01-24,35.125,36.625,34.875,36.25,1215400
2001-01-25,36.875,38.0,36.625,37.0,1371300
2001-01-26,36.5,38.25,36.3125,37.5625,2079500
2001-01-29,37.57,38.75,37.57,37.85,988200
2001-01-30,38.1,38.1,37.28,37.38,1081600
2001-01-31,37.38,37.83,36.6,37.7,1150100
2001-02-01,37.7,37.89,36.75,37.1,1179300
2001-02-02,37.25,37.84,37.25,37.64,1044500
2001-02-05,37.89,38.32,37.75,37.99,697700
2001-02-06,38.19,38.83,38.05,38.35,765800
2001-02-07,39.75,40.8,39.4,39.94,1458300
2001-02-08,40.19,41.34,40.19,41.12,1238800
2001-02-09,41.12,41.7,40.79,41.24,682200
2001-02-12,41.5,42.05,40.32,41.07,1561700
2001-02-13,41.0,41.48,40.26,40.71,2512400
2001-02-14,40.7,41.36,40.11,40.44,2026700
2001-02-15,40.44,40.65,39.9,40.58,1048300
2001-02-16,40.8,41.35,40.41,41.05,1339300
2001-02-20,40.6,42.35,40.6,41.91,790800
2001-02-21,42.35,43.3,41.9,41.9,921100
2001-02-22,41.65,42.8,41.36,42.0,699200
2001-02-23,42.15,42.47,40.57,41.29,1378600
2001-02-26,41.25,42.25,40.75,41.73,818400
2001-02-27,41.95,42.49,41.75,42.39,760500
2001-02-28,42.3,42.55,41.53,42.01,702100
2001-03-01,41.75,42.31,41.1,41.6,1072600
2001-03-02,41.45,42.0,41.04,41.77,686200
2001-03-05,41.9,42.04,41.22,41.52,586400
2001-03-06,41.5,41.51,40.73,41.42,714600
2001-03-07,41.28,41.8,40.76,41.36,1185400
2001-03-08,41.35,41.74,41.15,41.69,730600
2001-03-09,41.72,42.0,41.4,41.92,606000
2001-03-12,42.34,42.45,41.81,41.85,1300700
2001-03-13,41.85,42.63,41.45,42.35,1937100
2001-03-14,41.92,42.14,41.2,42.1,1642700
2001-03-15,42.6,43.2,42.25,42.57,1003400
2001-03-16,42.0,42.6,41.7,42.0,1060700
2001-03-19,42.9,42.97,41.86,42.29,826700
2001-03-20,42.4,42.8,41.85,42.1,721600
2001-03-21,41.6,42.88,41.14,41.27,1015800
2001-03-22,41.6,41.95,38.6,39.61,1457100
2001-03-23,38.5,39.4,37.5,39.3,1337700
2001-03-26,40.1,41.17,40.1,40.98,982000
2001-03-27,41.2,42.49,41.2,42.36,760600
2001-03-28,42.45,42.89,41.88,42.88,1189700
2001-03-29,42.7,43.8,42.2,43.77,1195200
2001-03-30,43.95,45.75,43.95,45.25,2001700
2001-04-02,45.5,46.42,44.71,45.65,1635400
2001-04-03,45.65,47.2,45.05,46.88,2380500
2001-04-04,46.88,47.21,46.18,46.18,2912800
2001-04-05,45.98,45.98,45.02,45.35,1739700
