,open,high,low,close,volume
2001-02-22,2.334167,2.341667,2.223334,2.255,1785600
2001-02-23,2.25,2.283334,2.2,2.244167,1747200
2001-02-26,2.244167,2.345834,2.244167,2.298334,1340400
2001-02-27,2.3075,2.321667,2.304167,2.308334,555600
2001-02-28,2.309167,2.309167,2.233334,2.258334,1143600
2001-03-01,2.238334,2.249167,2.209167,2.230834,1262400
2001-03-02,2.229167,2.229167,2.216667,2.225,1796400
2001-03-05,2.233334,2.333334,2.220834,2.2875,1654800
2001-03-06,2.289167,2.354167,2.23,2.354167,1310400
2001-03-07,2.383334,2.615834,2.383334,2.500834,6618000
2001-03-08,2.625,2.720834,2.591667,2.666667,5320800
2001-03-09,2.6875,2.704167,2.625,2.6275,1333200
2001-03-12,2.566667,2.566667,2.478334,2.541667,2090400
2001-03-13,2.5,2.508334,2.3975,2.495834,1857600
2001-03-14,2.4875,2.533334,2.441667,2.450834,1635600
2001-03-15,2.5,2.5,2.395834,2.4375,1118400
2001-03-16,2.4375,2.499167,2.375,2.384167,950400
2001-03-19,2.385,2.425,2.385,2.416667,1714800
2001-03-20,2.4175,2.4625,2.393334,2.4,2223600
2001-03-21,2.408334,2.408334,2.254167,2.279167,2281200
2001-03-22,2.208334,2.266667,2.125,2.266667,3619200
2001-03-23,2.266667,2.333334,2.266667,2.316667,2059200
2001-03-26,2.325,2.341667,2.26,2.3225,1669200
2001-03-27,2.32,2.3525,2.3125,2.325,2008800
2001-03-28,2.333334,2.3375,2.270834,2.270834,1345200
2001-03-29,2.258334,2.258334,2.158334,2.164167,1256400
2001-03-30,2.158334,2.25,2.158334,2.25,2184000
2001-04-02,2.27,2.291667,2.183334,2.191667,1395600
2001-04-03,2.1925,2.2075,2.118334,2.125,2698800
2001-04-04,2.083334,2.1825,2.075,2.091666,2784000
2001-04-05,2.0925,2.216667,2.091666,2.191667,1788000
2001-04-06,2.191667,2.191667,2.166667,2.179167,576000
2001-04-09,2.2,2.3125,2.195834,2.2725,1477200
2001-04-10,2.2725,2.35,2.2725,2.308334,1917600
2001-04-11,2.329167,2.341667,2.2675,2.291667,1502400
2001-04-12,2.291667,2.333334,2.291667,2.320834,820800
2001-04-16,2.329167,2.3575,2.316667,2.335834,1946400
2001-04-17,2.354167,2.4625,2.341667,2.455,2007600
2001-04-18,2.455,2.455,2.373334,2.384167,1620000
2001-04-19,2.384167,2.384167,2.185834,2.216667,12102000
2001-04-20,2.220834,2.333334,2.216667,2.24,7065600
2001-04-23,2.24,2.275,2.225,2.2575,3890400
2001-04-24,2.416667,2.416667,2.288334,2.321667,2896800
2001-04-25,2.354167,2.358334,2.2875,2.3525,5378400
2001-04-26,2.373334,2.575,2.373334,2.468334,4723200
2001-04-27,2.468334,2.468334,2.413334,2.453334,1750800
2001-04-30,2.4525,2.465,2.4,2.41,3266400
2001-05-01,2.416667,2.416667,2.353334,2.374167,1698000
2001-05-02,2.341667,2.341667,2.208334,2.255834,1552800
2001-05-03,2.255834,2.279167,2.216667,2.270834,1380000
2001-05-04,2.271667,2.3325,2.270834,2.325,1498800
2001-05-07,2.333334,2.383334,2.325,2.333334,2673600
2001-05-08,2.358334,2.358334,2.283334,2.308334,1192800
2001-05-09,2.2875,2.4,2.2875,2.35,1911600
2001-05-10,2.35,2.375,2.333334,2.36,2546400
2001-05-11,2.36,2.36,2.32,2.3475,602400
2001-05-14,2.375,2.570834,2.375,2.520834,5012400
2001-05-15,2.521667,2.573334,2.521667,2.560834,1951200
2001-05-16,2.666667,2.666667,2.616667,2.6375,5815200
2001-05-17,2.638334,2.693334,2.629167,2.675,3932400
2001-05-18,2.6875,2.770834,2.6875,2.7325,2119200
