,open,high,low,close,volume
2000-12-22,17.46875,18.1875,17.46875,18.03125,296200
2000-12-26,18.0,18.4375,18.0,18.25,148800
2000-12-27,18.3125,19.375,18.3125,19.375,172200
2000-12-28,19.5,19.875,19.4375,19.71875,149000
2000-12-29,19.71875,20.75,19.71875,19.9375,343200
2001-01-02,19.6875,20.1875,19.375,19.96875,345400
2001-01-03,20.09375,20.25,19.90625,19.9375,434200
2001-01-04,19.84375,20.0625,19.03125,19.03125,168600
2001-01-05,18.8125,18.875,18.25,18.5,300800
2001-01-08,18.40625,18.75,18.125,18.25,218200
2001-01-09,18.28125,19.0,18.28125,18.71875,280200
2001-01-10,18.75,19.6875,18.75,19.5,97000
2001-01-11,19.53125,19.96875,19.1875,19.25,183200
2001-01-12,19.1875,20.1875,19.1875,19.75,228000
2001-01-16,19.6875,19.71875,19.1875,19.71875,247200
2001-01-17,19.65625,19.65625,18.59375,18.59375,261200
2001-01-18,18.71875,19.09375,18.71875,19.09375,66800
2001-01-19,19.0625,19.15625,18.90625,18.9375,41200
2001-01-22,18.875,19.375,18.875,19.28125,248600
2001-01-23,19.28125,19.375,19.25,19.25,119200
2001-01-24,19.3125,19.875,19.3125,19.6875,152800
2001-01-25,19.71875,19.875,19.5,19.875,46400
2001-01-26,19.90625,20.375,19.78125,19.875,142000
2001-01-29,19.85,19.995,19.655,19.975,60400
2001-01-30,20.0,20.225,19.89,20.1,163200
2001-01-31,20.11,20.15,19.2,19.3,213600
2001-02-01,19.2,19.3,19.0,19.3,125200
2001-02-02,19.225,19.275,18.865,18.87,81800
2001-02-05,18.745,18.875,18.575,18.825,126200
2001-02-06,18.95,19.175,18.75,18.975,721400
2001-02-07,19.05,19.67,18.925,19.61,77800
2001-02-08,19.55,19.8,19.35,19.35,122400
2001-02-09,19.355,19.355,19.205,19.25,220800
2001-02-12,19.2,19.475,18.85,18.9,298800
2001-02-13,18.905,19.12,18.125,18.125,348600
2001-02-14,18.15,18.3,17.45,17.64,561000
2001-02-15,17.765,18.05,17.7,17.865,305800
2001-02-16,17.865,18.5,17.725,18.5,458000
2001-02-20,18.475,19.2,18.375,19.2,223400
2001-02-21,19.2,19.2,18.8,18.8,131800
2001-02-22,18.775,19.085,18.725,19.085,167400
2001-02-23,19.0,19.2,18.795,19.125,170400
2001-02-26,19.13,19.875,19.13,19.55,174000
2001-02-27,19.625,19.625,19.15,19.15,116200
2001-02-28,19.275,20.575,19.275,20.45,416200
2001-03-01,20.625,20.675,20.075,20.5,355400
2001-03-02,20.425,20.96,20.325,20.7,203800
2001-03-05,20.705,22.495,20.705,22.3,809600
2001-03-06,21.995,22.41,21.355,21.575,345000
2001-03-07,21.58,22.2,21.5,22.0,149000
2001-03-08,21.5,22.175,21.425,22.125,302200
2001-03-09,22.0,22.0,21.625,21.8,196400
2001-03-12,21.625,21.875,21.625,21.78,165800
2001-03-13,21.655,21.655,20.8,20.875,185800
2001-03-14,20.75,21.05,20.55,20.75,149400
2001-03-15,21.0,21.0,20.5,20.5,176200
2001-03-16,20.875,21.35,20.75,20.75,128000
2001-03-19,20.75,20.925,20.575,20.925,146200
2001-03-20,20.8,21.475,20.76,21.475,122400
2001-03-21,21.475,21.48,21.145,21.145,117200
2001-03-22,20.75,21.175,20.675,21.125,276400
2001-03-23,21.175,21.225,20.7,21.125,85800
2001-03-26,21.1,21.975,21.05,21.975,139400
2001-03-27,21.95,22.65,21.6,22.46,315000
2001-03-28,22.45,22.625,22.25,22.35,251800
2001-03-29,22.25,23.295,22.21,23.15,300000
2001-03-30,23.125,24.125,22.7,23.675,548000
2001-04-02,23.675,23.75,22.875,23.15,404000
2001-04-03,23.15,23.15,22.465,22.65,166400
2001-04-04,22.65,22.9,22.0,22.635,211400
2001-04-05,22.65,23.5,22.65,23.5,179800
2001-04-06,23.5,24.5,23.0,24.3,1048600
2001-04-09,24.7,25.2,23.85,24.525,709200
2001-04-10,24.75,24.75,21.8,22.1,2299400
2001-04-11,22.075,22.1,21.34,21.95,345200
2001-04-12,21.955,22.275,21.955,22.15,188200
2001-04-16,22.1,22.1,21.625,21.8,142600
2001-04-17,21.875,22.42,21.79,22.42,235600
2001-04-18,22.67,23.015,22.35,22.475,271600
2001-04-19,22.45,22.475,22.075,22.16,133800
2001-04-20,22.175,22.175,21.46,21.725,205400
2001-04-23,21.65,21.7,20.8,20.9,236000
2001-04-24,21.15,21.375,21.005,21.35,363200
2001-04-25,21.35,22.135,21.35,22.025,219800
2001-04-26,22.125,22.525,22.125,22.45,130600
2001-04-27,22.875,22.875,22.625,22.8,119200
2001-04-30,22.85,22.85,22.2,22.2,203800
2001-05-01,22.075,22.075,21.34,21.775,402000
2001-05-02,21.775,22.025,21.65,21.87,161800
2001-05-03,21.925,21.925,21.075,21.45,276800
2001-05-04,21.35,21.35,20.945,21.0,305000
2001-05-07,20.925,20.925,20.45,20.565,809000
2001-05-08,20.565,21.375,20.565,21.01,470000
2001-05-09,21.0,21.3,20.875,20.9,203600
2001-05-10,20.85,20.875,20.55,20.65,143000
2001-05-11,20.65,21.31,20.65,20.75,196200
2001-05-14,20.725,21.0,20.725,20.975,142600
2001-05-15,20.95,21.05,20.65,21.05,136400
2001-05-16,21.035,21.85,21.005,21.675,260200
2001-05-17,21.65,22.0,21.65,21.83,246000
2001-05-18,21.875,21.89,21.43,21.69,144400
2001-05-21,21.625,21.625,21.275,21.275,171000
2001-05-22,21.325,21.85,21.3,21.3,185400
2001-05-23,21.25,21.275,20.925,21.175,197200
2001-05-24,21.25,21.64,21.1,21.375,332400
2001-05-25,21.4,22.175,21.4,22.05,317600
2001-05-29,22.375,23.1,22.28,22.7,320200
2001-05-30,22.875,23.175,22.85,22.95,561800
2001-05-31,22.955,22.955,22.8,22.85,113000
2001-06-01,22.875,23.275,22.65,23.25,230600
2001-06-04,23.25,23.75,23.25,23.635,124800
2001-06-05,23.6,24.085,23.56,23.955,253800
2001-06-06,24.05,24.23,23.825,23.825,174200
2001-06-07,23.825,24.125,23.75,23.8,148800
2001-06-08,23.675,23.675,23.275,23.54,118800
2001-06-11,23.575,23.65,23.3,23.65,74200
2001-06-12,23.65,24.295,23.275,24.1,277400
2001-06-13,23.8,23.8,22.825,23.175,571000
