,open,high,low,close,volume
2000-12-22,11.57813,13.8125,11.5625,13.375,9668200
2000-12-26,13.125,13.375,11.3125,12.0625,3611900
2000-12-27,11.8125,13.5625,11.375,13.1875,9210100
2000-12-28,13.1875,14.75,13.125,14.625,5505500
2000-12-29,15.0,17.5,14.875,15.9375,7229800
2001-01-02,16.0,17.5625,16.0,17.1875,13349400
2001-01-03,16.875,18.75,15.1875,18.6875,16253500
2001-01-04,17.75,20.8125,17.75,19.625,19779200
2001-01-05,19.625,19.875,16.0,17.3125,11955900
2001-01-08,16.8125,18.0625,16.0625,17.9375,4264300
2001-01-09,18.0,19.0,17.6875,17.8125,5973600
2001-01-10,17.0625,17.3125,15.0,16.6875,10842500
2001-01-11,16.5625,17.6875,15.75,17.3125,5128800
2001-01-12,17.375,20.0625,16.4375,19.0625,7726600
2001-01-16,19.25,19.9375,18.875,19.5625,5344300
2001-01-17,19.875,20.25,17.0625,17.4375,5520100
2001-01-18,17.875,18.4375,17.25,17.4375,4920800
2001-01-19,17.4375,17.6875,16.3125,16.4375,6090600
2001-01-22,17.0,18.875,15.75,18.25,7135600
2001-01-23,18.0,18.8125,17.625,18.5,5472400
2001-01-24,18.5,19.0,17.375,18.9375,6070400
2001-01-25,18.8125,19.5625,17.1875,19.1875,7484700
2001-01-26,19.4375,19.6875,17.125,17.25,5766900
2001-01-29,17.875,20.25,17.4375,20.0625,5208000
2001-01-30,20.0,20.125,18.875,19.75,3954100
2001-01-31,19.75,22.375,19.6875,22.25,9318900
2001-02-01,21.875,22.3125,20.375,22.25,6449600
2001-02-02,21.875,22.375,19.875,19.9375,6157500
2001-02-05,20.375,20.375,18.01563,19.1875,5229800
2001-02-06,19.0625,21.125,19.0,19.75,5585600
2001-02-07,19.75,21.3125,19.5625,21.25,4313200
2001-02-08,21.625,22.0,18.8125,18.875,5656000
2001-02-09,18.9375,19.875,16.8125,17.3125,4396200
2001-02-12,17.6875,18.6875,17.375,18.4375,4024300
2001-02-13,18.75,19.5,17.3125,18.9375,3532500
2001-02-14,19.0,20.3125,18.875,19.6875,3786800
2001-02-15,19.9375,20.0,17.875,18.8125,5465100
2001-02-16,17.875,19.5,17.625,18.6875,4396800
2001-02-20,18.375,20.25,18.375,20.125,5130100
2001-02-21,19.8125,20.25,17.0,18.0,6097200
2001-02-22,18.0,18.3125,16.5625,17.875,4175700
2001-02-23,17.8125,18.0625,15.75,17.375,5331300
2001-02-26,17.875,19.0,17.8125,18.875,3528900
2001-02-27,18.875,19.3125,17.92188,19.0,5412200
2001-02-28,19.125,19.75,16.9375,17.75,4541200
2001-03-01,17.375,17.5,15.1875,16.3125,5401200
2001-03-02,16.0625,16.1875,14.0625,14.6875,6332700
2001-03-05,14.875,15.25,13.0,13.6875,4652800
2001-03-06,14.125,16.1875,13.5,13.8125,12305400
2001-03-07,14.125,16.0625,13.9375,15.9375,9365700
2001-03-08,16.1875,19.10938,15.3125,16.1875,18114700
2001-03-09,15.75,16.625,15.0,15.375,5296300
2001-03-12,15.125,15.5,13.6875,13.9375,5325400
2001-03-13,14.125,15.375,13.5,14.0625,4371300
2001-03-14,13.1875,13.5,12.125,12.5,5568400
2001-03-15,13.375,14.0625,12.75,13.625,3920600
2001-03-16,12.60938,13.625,12.5,13.125,5875900
2001-03-19,13.125,14.4375,11.5625,14.1875,4065200
2001-03-20,15.1875,16.75,14.75,15.5,9488400
2001-03-21,15.1875,15.9375,14.25,14.375,4836200
2001-03-22,14.6875,14.75,11.6875,13.25,5285000
2001-03-23,13.5625,13.6875,11.3125,13.0625,7811600
2001-03-26,13.75,14.5,13.0,13.875,2949400
2001-03-27,13.9375,14.8125,13.0625,13.9375,6082000
2001-03-28,13.6875,14.5625,12.5625,13.6875,4666900
