,open,high,low,close,volume
2000-12-21,32.9375,33.4375,32.8125,33.4375,462200
2000-12-22,33.4375,33.5,32.875,33.125,372600
2000-12-26,33.125,34.0,33.0625,33.9375,381100
2000-12-27,33.6875,34.125,33.1875,33.4375,700700
2000-12-28,33.4375,33.875,33.0,33.75,380300
2000-12-29,34.25,34.9375,33.8125,34.625,1090000
2001-01-02,34.6875,35.4375,34.3125,34.75,982700
2001-01-03,34.875,35.4375,32.75,33.375,1678300
2001-01-04,33.125,33.1875,31.0,31.5625,1481600
2001-01-05,31.5625,32.6875,31.5625,32.5,661500
2001-01-08,32.5625,32.75,32.0625,32.75,574600
2001-01-09,32.9375,33.6875,32.5,33.5625,866300
2001-01-10,33.5625,33.625,32.8125,33.125,586400
2001-01-11,33.0625,33.1875,32.375,32.4375,808700
2001-01-12,32.5,32.5,31.5625,32.0625,742800
2001-01-16,32.4375,33.4375,32.3125,33.375,688200
2001-01-17,33.125,33.75,33.0,33.6875,776300
2001-01-18,33.6875,33.6875,33.125,33.125,1300400
2001-01-19,33.25,33.25,32.25,32.5625,1068500
2001-01-22,32.3125,32.625,31.875,32.625,668900
2001-01-23,32.625,32.75,31.75,32.125,848800
2001-01-24,32.0625,32.0625,31.125,31.625,786500
2001-01-25,31.625,32.0625,31.375,31.875,774300
2001-01-26,31.875,32.3125,31.625,31.9375,503200
2001-01-29,32.5,32.9,32.08,32.45,859900
2001-01-30,32.8,33.05,32.65,32.9,721800
2001-01-31,32.7,33.0,32.52,32.9,763300
2001-02-01,32.95,33.0,32.35,32.74,545700
2001-02-02,32.0,32.51,31.38,31.49,2560700
2001-02-05,31.49,31.99,31.4,31.96,1181400
2001-02-06,31.95,31.95,31.3,31.7,1324600
2001-02-07,31.7,31.99,31.2,31.4,949200
2001-02-08,31.5,31.8,31.4,31.55,1166800
2001-02-09,31.7,31.79,31.41,31.53,375600
2001-02-12,31.53,31.59,30.98,31.25,936800
2001-02-13,31.25,31.25,30.28,30.73,1388400
2001-02-14,30.73,30.73,29.7,30.02,1458000
2001-02-15,29.25,29.35,28.95,29.13,1309400
2001-02-16,29.18,30.16,29.13,29.9,1344600
2001-02-20,29.9,30.35,29.63,30.1,709500
2001-02-21,30.3,30.4,29.75,29.92,635600
2001-02-22,29.7,29.95,28.76,29.33,947700
2001-02-23,29.53,29.53,28.7,29.09,696900
2001-02-26,29.4,29.4,28.65,29.03,527000
2001-02-27,29.1,29.37,28.75,29.06,688700
2001-02-28,28.85,29.93,28.85,29.93,1160700
2001-03-01,29.6,30.75,29.52,30.75,1447800
2001-03-02,30.7,30.96,30.14,30.47,1248100
2001-03-05,30.5,30.61,30.11,30.6,585800
2001-03-06,30.5,30.5,30.01,30.21,913500
2001-03-07,30.15,30.48,30.03,30.34,682200
2001-03-08,30.25,31.05,30.25,31.05,569800
2001-03-09,31.0,31.2,30.72,31.0,596600
2001-03-12,30.9,31.21,30.73,30.78,482700
2001-03-13,30.78,30.78,30.17,30.75,680100
2001-03-14,30.55,30.74,29.93,30.5,665300
2001-03-15,30.5,30.5,29.5,30.4,1023200
2001-03-16,29.5,30.75,29.23,30.25,1765000
2001-03-19,30.4,30.95,30.11,30.95,608700
2001-03-20,30.7,30.88,30.3,30.52,839500
2001-03-21,30.5,30.51,29.7,29.76,600400
2001-03-22,30.0,30.03,29.08,29.77,728500
2001-03-23,29.25,29.74,28.8,29.6,616100
2001-03-26,29.85,29.85,29.1,29.49,522700
2001-03-27,29.49,29.49,29.02,29.19,1259600
2001-03-28,29.22,29.52,29.0,29.34,547500
2001-03-29,29.19,29.71,28.63,29.5,812100
2001-03-30,29.54,29.97,29.31,29.87,399800
2001-04-02,29.67,30.11,29.14,29.38,644100
2001-04-03,29.5,29.5,28.87,29.14,553400
2001-04-04,29.03,29.8,28.96,29.78,680200
2001-04-05,30.0,30.0,29.04,29.56,465800
2001-04-06,29.5,29.71,28.75,29.11,504400
2001-04-09,29.2,29.78,29.18,29.53,473300
2001-04-10,29.53,29.8,29.13,29.63,453300
2001-04-11,28.9,29.26,28.25,29.23,653500
2001-04-12,29.05,29.55,28.7,29.55,512500
2001-04-16,30.0,30.06,29.1,29.65,928600
2001-04-17,29.9,30.28,29.85,30.21,778100
2001-04-18,30.21,30.4,29.76,30.25,1141000
2001-04-19,30.35,30.4,29.76,30.1,548800
2001-04-20,30.1,30.1,29.19,29.69,592700
2001-04-23,29.8,30.05,29.17,29.45,426500
2001-04-24,29.5,29.75,29.13,29.56,541500
2001-04-25,29.57,30.18,29.38,30.05,373300
2001-04-26,29.99,30.75,29.59,30.22,613200
2001-04-27,30.22,30.7,30.07,30.7,388700
