,open,high,low,close,volume
2000-12-21,3.075675,3.250163,3.07307,3.177243,2884056
2000-12-22,3.179848,3.416838,3.179848,3.37517,1133344
2000-12-26,3.35173,3.46632,3.270998,3.343918,1811308
2000-12-27,3.343918,3.489758,3.239745,3.385585,1476528
2000-12-28,3.385585,3.66685,3.385585,3.614765,1344532
2000-12-29,3.622578,3.729353,3.583513,3.583513,1153144
2001-01-02,3.414235,3.416838,3.135573,3.198078,977952
2001-01-03,3.130365,3.3335,3.11474,3.312665,1233540
2001-01-04,3.208493,3.458508,3.208493,3.229328,1303736
2001-01-05,3.21891,3.26058,3.07307,3.250163,1902504
2001-01-08,3.166825,3.250163,3.00015,3.250163,607768
2001-01-09,3.1512,3.198078,3.062653,3.093905,1388332
2001-01-10,3.05484,3.135573,3.04182,3.04182,768560
2001-01-11,3.04182,3.062653,2.770973,2.979315,3250636
2001-01-12,2.937648,3.00015,2.937648,2.979315,3801408
2001-01-16,2.96369,2.968898,2.81264,2.88556,3129444
2001-01-17,2.846498,2.916813,2.729303,2.802223,2515076
2001-01-18,2.797015,2.85431,2.78139,2.833475,1943904
2001-01-19,2.895978,2.895978,2.833475,2.843893,1197540
2001-01-22,2.87254,3.00015,2.708468,2.958483,901156
2001-01-23,2.856915,3.083488,2.81264,3.034008,1412328
2001-01-24,2.958483,3.010568,2.895978,2.906395,288584
2001-01-25,2.895978,3.052235,2.875145,3.00015,485376
2001-01-26,3.04182,3.104323,2.979315,3.04182,526772
2001-01-29,3.010568,3.125155,2.979315,3.125155,657568
2001-01-30,3.031403,3.177243,3.031403,3.135573,974352
2001-01-31,3.21891,3.229328,3.083488,3.135573,1561720
2001-02-01,3.125155,3.125155,3.04182,3.093905,365380
2001-02-02,3.083488,3.104323,3.00015,3.00015,292184
2001-02-05,3.010568,3.104323,2.916813,3.01838,188392
2001-02-06,3.007963,3.11474,3.00015,3.083488,1324132
2001-02-07,3.075675,3.18766,3.07307,3.166825,803960
2001-02-08,3.20589,3.396003,3.166825,3.231933,1041548
2001-02-09,3.231933,3.270998,3.083488,3.125155,367180
2001-02-12,3.062653,3.500175,3.052235,3.270998,1131544
2001-02-13,3.312665,3.416838,3.302248,3.312665,671968
2001-02-14,3.323083,3.323083,3.156408,3.198078,496776
2001-02-15,3.229328,3.385585,3.22412,3.37517,266988
2001-02-16,3.270998,3.385585,3.250163,3.26058,343784
2001-02-20,3.250163,3.312665,3.177243,3.229328,278988
2001-02-21,3.18766,3.323083,3.18766,3.229328,375580
2001-02-22,3.229328,3.364753,3.18766,3.302248,673168
2001-02-23,3.27881,3.3335,3.198078,3.323083,296984
2001-02-26,3.291833,3.44809,3.26058,3.416838,538172
2001-02-27,3.471528,3.47934,3.010568,3.031403,961752
2001-02-28,3.104323,3.177243,3.04182,3.156408,2645868
2001-03-01,3.125155,3.52101,3.104323,3.396003,1823908
2001-03-02,3.396003,3.396003,3.291833,3.385585,1036748
2001-03-05,3.323083,3.59393,3.323083,3.500175,1015748
2001-03-06,3.53924,3.541843,3.40642,3.40642,612568
2001-03-07,3.47934,3.510593,3.458508,3.500175,1660716
2001-03-08,3.497573,3.59393,3.458508,3.583513,2150292
2001-03-09,3.500175,3.656433,3.489758,3.635598,1157344
2001-03-12,3.562678,3.583513,3.312665,3.3335,554972
2001-03-13,3.336105,3.37517,3.14599,3.343918,934152
2001-03-14,3.229328,3.416838,3.21891,3.323083,685164
2001-03-15,3.3335,3.37517,3.208493,3.26058,543572
2001-03-16,3.291833,3.291833,3.125155,3.14599,1256336
2001-03-19,3.177243,3.198078,3.11474,3.135573,2045296
2001-03-20,3.216308,3.37517,3.198078,3.239745,5373332
2001-03-21,3.250163,3.291833,3.14599,3.14599,1144144
2001-03-22,3.125155,3.125155,2.924625,3.00015,3656816
2001-03-23,3.020985,3.104323,3.010568,3.083488,563972
2001-03-26,3.04182,3.341835,3.04182,3.3135,1144144
2001-03-27,3.3235,3.365168,3.28183,3.3335,2125692
2001-03-28,3.3185,3.3335,3.26683,3.316833,1049348
2001-03-29,3.316833,3.350168,3.275163,3.320165,955752
2001-03-30,3.291833,3.470173,3.265163,3.41517,1972100
2001-04-02,3.406838,3.406838,3.295165,3.330168,1020548
2001-04-03,3.346835,3.346835,3.260163,3.3135,1901904
2001-04-04,3.26183,3.355168,3.25683,3.275163,1480124
2001-04-05,3.326833,3.350168,3.298498,3.341835,670168
2001-04-06,3.3435,3.3435,3.250163,3.25183,449376
2001-04-09,3.26683,3.350168,3.26683,3.293498,748164
2001-04-10,3.3235,3.508508,3.320165,3.485175,1363732
2001-04-11,3.500175,3.621848,3.500175,3.57518,1714116
2001-04-12,3.621848,3.750188,3.578513,3.73352,2196492
2001-04-16,3.936863,3.936863,3.62518,3.626848,4287984
2001-04-17,3.626848,3.875195,3.493508,3.875195,1655316
2001-04-18,3.925195,4.0202,3.766855,3.766855,1658916
2001-04-19,3.816858,3.956865,3.758523,3.84186,1285136
2001-04-20,3.900195,3.900195,3.69185,3.760188,3068848
2001-04-23,3.775188,3.898528,3.755188,3.80519,2483276
2001-04-24,3.831858,3.831858,3.69185,3.716853,1952304
2001-04-25,3.703518,3.73352,3.591845,3.73352,1753112
2001-04-26,3.750188,3.791858,3.716853,3.74852,4712764
2001-04-27,3.786855,3.835193,3.725188,3.835193,1048748
2001-04-30,3.88686,3.95853,3.816858,3.818525,2470676
2001-05-01,3.848525,4.018535,3.84186,4.0002,2876856
2001-05-02,4.131873,4.156875,4.016868,4.041868,5198140
2001-05-03,4.083538,4.100205,3.74852,3.94853,1877308
2001-05-04,3.898528,3.95853,3.85186,3.905195,1025348
2001-05-07,4.030202,4.033535,3.775188,3.811858,2719064
2001-05-08,3.831858,3.848525,3.806858,3.816858,2750864
2001-05-09,3.783523,3.808523,3.708518,3.741853,1058948
2001-05-10,3.84186,3.84186,3.761855,3.776855,1831708
2001-05-11,3.775188,3.80019,3.763523,3.773523,677368
2001-05-14,3.808523,3.89186,3.763523,3.78019,347384
2001-05-15,3.758523,3.776855,3.62518,3.653515,1050548
2001-05-16,3.716853,3.716853,3.57518,3.628515,2044696
2001-05-17,3.68185,3.730188,3.65185,3.680185,1866508
2001-05-18,3.658515,3.69185,3.61518,3.66685,1012148
2001-05-21,3.698518,3.826858,3.673518,3.71852,1261136
2001-05-22,3.716853,3.825193,3.683518,3.816858,1720112
2001-05-23,3.816858,3.95353,3.78019,3.82019,2892456
2001-05-24,3.84186,3.916863,3.791858,3.84186,2501876
