,open,high,low,close,volume
2000-12-22,16.423461,19.26024,16.423461,19.110936,6154043
2000-12-26,18.513719,19.110936,17.169982,18.115575,4377425
2000-12-27,17.46859,19.459312,17.319286,19.210472,5019908
2000-12-28,18.862096,19.807689,18.016039,19.26024,4885535
2000-12-29,19.160704,19.509081,16.921141,17.916503,4170091
2001-01-02,18.563487,18.911864,16.124852,16.672301,6645322
2001-01-03,16.423461,20.454674,16.423461,18.264879,7996842
2001-01-04,18.264879,22.445396,18.264879,22.09702,16657266
2001-01-05,21.985046,22.296092,20.205833,21.250963,6603253
2001-01-08,20.852818,21.201195,19.708153,21.002122,3650305
2001-01-09,21.250963,22.694237,21.201195,22.246324,6101173
2001-01-10,21.997484,22.843541,20.952354,22.09702,6242202
2001-01-11,21.997484,23.789134,21.549571,23.142149,8786127
2001-01-12,23.241685,23.739366,21.748643,21.897948,5576113
2001-01-16,21.947716,22.5947,20.504442,21.947716,4951967
2001-01-17,22.992845,24.734727,22.793773,23.739366,16341676
2001-01-18,25.331944,26.377073,23.988206,25.978929,20083283
2001-01-19,26.824986,28.168723,26.576145,27.770579,18270750
2001-01-22,27.073826,28.5171,26.526377,28.118955,12675922
2001-01-23,27.870115,27.870115,26.72545,26.874754,6026829
2001-01-24,27.22313,27.969651,27.073826,27.073826,7934301
2001-01-25,26.97429,27.422202,25.232408,27.123594,9022852
2001-01-26,26.775218,27.073826,26.277537,26.97429,3714980
2001-01-29,26.72545,27.471971,26.625913,27.173362,3151490
2001-01-30,27.22313,29.611997,27.123594,29.164085,10758401
2001-01-31,28.915244,29.412925,28.467332,28.566868,8150177
2001-02-01,28.318028,29.512461,27.919883,28.865476,5279109
2001-02-02,28.417564,28.865476,27.272898,27.720811,5528769
2001-02-05,27.521739,27.571507,25.381712,26.874754,5764485
2001-02-06,26.824986,27.372434,24.983567,25.132872,4972187
2001-02-07,24.585423,26.97429,24.386351,26.028697,6991303
2001-02-08,26.078465,26.824986,25.331944,25.978929,3760816
2001-02-09,25.730088,26.327305,25.18264,26.128233,4396138
2001-02-12,25.531016,26.178001,25.232408,25.978929,4653457
2001-02-13,25.705204,27.123594,25.481248,25.730088,3646662
2001-02-14,25.779856,26.128233,24.286815,25.978929,4974070
2001-02-15,26.426841,27.372434,26.178001,26.277537,4987759
2001-02-16,25.083104,26.028697,24.535655,25.580784,4239538
2001-02-20,25.381712,25.730088,22.744005,23.63983,7303249
2001-02-21,22.395628,24.734727,22.395628,23.142149,4676187
2001-02-22,22.943077,23.789134,22.146788,23.390989,5530401
2001-02-23,23.142149,25.033335,22.992845,24.286815,8640453
2001-02-26,24.485887,25.481248,23.88867,24.933799,6051819
2001-02-27,24.535655,24.784495,23.241685,23.88867,4967162
2001-02-28,23.739366,23.88867,19.26024,20.703514,9718452
2001-03-01,20.106297,20.852818,19.658385,20.80305,5382339
2001-03-02,20.106297,20.404906,18.115575,18.463951,6375319
2001-03-05,18.911864,20.255601,18.862096,19.807689,3589021
2001-03-06,20.504442,21.450035,20.006761,20.106297,3200090
2001-03-07,20.355138,21.05189,19.708153,20.355138,2703788
2001-03-08,20.30537,20.753282,19.110936,19.210472,3199966
2001-03-09,18.314647,18.663023,15.92578,17.21975,8778969
2001-03-12,16.510559,16.771837,15.378331,15.67694,7307644
2001-03-13,15.527636,15.776476,14.830883,15.229027,7957659
2001-03-14,14.38297,15.477867,13.437377,13.785753,12499981
2001-03-15,14.930419,16.274156,14.13413,14.333202,8764903
2001-03-16,13.586681,15.428099,13.536913,14.38297,6339151
2001-03-19,14.582042,15.328563,14.233666,15.129491,3021136
2001-03-20,15.428099,17.71743,15.229027,15.776476,8830835
2001-03-21,16.572765,16.659863,14.034594,14.084362,8673230
2001-03-22,14.805999,16.224388,14.63181,15.577404,9274268
2001-03-23,16.423461,17.617894,15.826244,17.169982,6175895
2001-03-26,17.767198,18.613255,16.771837,17.418822,5941558
2001-03-27,17.568126,18.264879,16.970909,17.916503,4504265
2001-03-28,17.46859,18.264879,16.572765,16.722069,4233385
2001-03-29,16.498113,16.809167,15.826244,16.124852,3448492
2001-03-30,16.224388,17.21975,15.726708,16.821605,4244436
2001-04-02,16.274156,16.373693,14.880651,15.67694,4131788
2001-04-03,14.880651,14.930419,13.984826,14.63181,6836334
2001-04-04,14.482506,14.980187,14.034594,14.482506,4352938
2001-04-05,15.079723,16.622533,14.63181,16.323925,4447752
2001-04-06,15.428099,15.826244,14.930419,15.428099,2386818
2001-04-09,15.62319,16.562811,15.455969,16.307999,2536639
2001-04-10,17.120214,18.712792,17.040585,18.529645,4463700
2001-04-11,19.230379,19.548895,18.235018,18.513719,3799621
2001-04-12,18.179278,19.230379,17.71743,19.134825,2184755
2001-04-16,18.577422,19.827596,18.513719,18.79242,2076252
2001-04-17,17.892614,19.660375,17.876688,19.517043,3822350
2001-04-18,20.018705,22.001465,19.955002,21.141473,10960465
2001-04-19,21.260916,22.56683,21.02203,22.383684,8419428
2001-04-20,21.913873,23.291453,21.499803,22.248315,8315443
2001-04-23,21.778504,21.897948,20.464627,20.536293,4256617
2001-04-24,20.671662,22.296092,20.265555,20.440739,3606979
2001-04-25,20.392961,22.375721,20.392961,22.296092,4414726
2001-04-26,22.335906,22.933123,20.966289,21.02203,3000036
2001-04-27,21.937762,22.694237,21.499803,22.423498,3179368
2001-04-30,22.92516,23.689598,22.26424,22.614608,3654447
2001-05-01,23.092381,24.19126,22.996826,24.047928,4095494
2001-05-02,24.047928,24.533664,23.012752,23.713486,3451382
2001-05-03,23.052567,23.092381,22.104983,22.638496,2250309
2001-05-04,21.595358,23.211824,21.141473,22.877383,3895441
2001-05-07,22.646459,23.251639,21.937762,22.280166,2658705
2001-05-08,23.179973,23.179973,22.296092,22.742014,2092578
2001-05-09,22.168686,22.972938,21.667024,21.858133,4195459
2001-05-10,22.503127,23.371082,21.897948,22.136834,2930842
2001-05-11,22.112946,22.45535,20.982215,21.483877,2062689
2001-05-14,21.260916,21.563506,20.623885,21.061844,2285850
2001-05-15,21.014067,22.375721,20.440739,21.101659,3235253
2001-05-16,20.838883,23.203861,20.703514,23.140158,3297542
2001-05-17,23.323305,23.880707,22.375721,22.805717,3751396
2001-05-18,22.296092,23.092381,22.057205,22.861457,2832008
2001-05-21,22.781828,23.705524,22.383684,23.665709,4396138
2001-05-22,23.713486,23.880707,23.068492,23.219787,2709438
2001-05-23,23.100344,23.148121,21.627209,21.722764,3613007
2001-05-24,21.79443,23.17201,21.706838,23.132195,2942520
2001-05-25,23.092381,23.140158,21.913873,22.057205,2472088
2001-05-29,21.953688,22.112946,20.727403,20.974252,2978688
2001-05-30,20.265555,20.695551,19.310008,19.978891,3575583
2001-05-31,17.828911,19.509081,17.765208,19.031307,15795393
2001-06-01,19.238342,19.708153,18.609274,19.007418,5296943
2001-06-04,19.190565,19.509081,17.709467,17.844836,7793523
2001-06-05,18.004094,19.469266,17.956317,18.880012,6216583
2001-06-06,22.216463,22.789791,21.619246,22.26424,17307281
2001-06-07,22.09702,23.267565,21.818319,23.219787,7516863
2001-06-08,23.092381,23.88867,22.837569,22.901272,7774812
2001-06-11,22.86942,22.877383,22.017391,22.256278,3908126
2001-06-12,21.977576,23.371082,21.18925,23.323305,4681086
2001-06-13,23.371082,23.928484,21.929799,22.407572,9318221
2001-06-14,21.221102,21.730727,20.552219,20.83092,5687251
2001-06-15,20.321295,21.921836,19.947039,20.83092,4394631
2001-06-18,21.02203,21.49184,20.106297,20.432776,3533763
2001-06-19,22.654422,22.694237,21.937762,22.447387,6783841
2001-06-20,21.810356,24.509775,21.810356,24.00015,9933575
2001-06-21,23.912559,25.043289,23.673672,23.809041,8107605
2001-06-22,23.769227,24.995512,23.769227,24.684959,5492852
2001-06-25,24.884031,25.401619,24.692922,25.337916,4233008
2001-06-26,24.828291,25.481248,24.485887,25.465322,5376060
2001-06-27,25.449396,26.524387,24.684959,26.460683,8889860
2001-06-28,26.516424,28.43548,26.436795,27.432156,10297137
2001-06-29,27.400304,28.236408,27.073826,27.790486,5711491
2001-07-02,27.66308,28.507146,27.010123,27.878078,5281371
2001-07-03,27.400304,27.408267,26.293463,26.763273,3916665
2001-07-05,26.261611,26.349203,24.055891,24.533664,6977866
2001-07-06,24.127557,24.517738,23.243676,23.387008,4076782
2001-07-09,23.848856,24.557553,23.58608,24.19126,4694648
2001-07-10,24.446072,24.923846,23.140158,23.156084,4808049
2001-07-11,23.100344,23.402934,21.85017,23.394971,4823120
2001-07-12,25.481248,26.476609,25.274213,25.919207,8912214
2001-07-13,25.815689,27.073826,25.775875,26.69957,10093192
2001-07-16,26.476609,26.994197,25.21051,25.911244,3187031
2001-07-17,25.521062,27.471971,25.011437,27.456045,5799272
2001-07-18,26.651793,27.073826,25.98291,26.325314,6019795
2001-07-19,26.030687,26.834939,23.546266,25.855504,13039358
2001-07-20,25.099029,26.75531,24.884031,25.202547,6071410
2001-07-23,25.481248,25.744023,24.923846,25.536988,6066513
2001-07-24,25.298102,26.078465,24.836254,25.37773,4239161
2001-07-25,25.497174,27.145492,25.481248,27.073826,6515471
2001-07-26,26.914568,28.650478,26.675682,27.894004,9731890
2001-07-27,27.862152,28.013447,27.543637,27.901967,7318067
2001-07-30,27.742709,28.387703,27.018086,27.296787,4149370
2001-07-31,27.479933,27.790486,26.476609,26.651793,5947711
2001-08-01,26.994197,28.260297,26.89068,28.260297,5629108
2001-08-02,28.308074,29.422879,28.045299,29.215843,7976246
2001-08-03,29.000845,29.080474,28.220482,28.570849,4014619
2001-08-06,28.069187,28.459369,27.432156,28.045299,2707179
2001-08-07,27.957707,28.706218,27.710857,27.973633,3168696
2001-08-08,27.798449,27.989558,25.337916,25.529025,5802410
2001-08-09,25.672357,27.026049,25.560877,26.723459,5546474
2001-08-10,26.357166,26.834939,25.425508,26.34124,5809320
2001-08-13,26.412906,27.256972,25.98291,27.034012,3144205
2001-08-14,27.129566,27.862152,26.922531,27.352527,4212788
2001-08-15,27.352527,27.639191,26.317351,26.325314,3872586
2001-08-16,25.831615,25.990873,24.071816,25.290139,6425177
2001-08-17,24.047928,25.242361,24.047928,24.54959,3427270
2001-08-20,24.812365,25.234398,24.032002,25.202547,3084179
2001-08-21,25.529025,26.110316,24.573479,24.573479,5337127
2001-08-22,24.764588,25.035326,23.17201,24.645145,6613299
2001-08-23,24.90792,25.839578,24.589404,24.708848,4185788
2001-08-24,24.96366,26.834939,24.955697,26.277537,4469352
2001-08-27,26.166057,27.535674,25.855504,26.922531,3375027
2001-08-28,27.010123,27.153455,26.317351,26.659756,3746625
2001-08-29,26.64383,27.153455,25.202547,25.56884,4389358
2001-08-30,25.003475,25.282176,23.9921875,25.027363,4698417
2001-08-31,24.915883,26.428832,24.915883,26.237723,4976958
2001-09-04,25.887355,27.129566,24.676996,24.891994,4927103
2001-09-05,25.592728,26.158094,24.613293,25.282176,6516348
2001-09-06,24.884031,26.102353,24.788477,25.0194,7805957
2001-09-07,24.66107,25.839578,24.127557,25.067178,6563819
2001-09-10,24.684959,25.505137,23.928484,24.270889,5700063
2001-09-17,22.463313,23.140158,21.499803,22.065168,5673815
2001-09-18,22.09702,22.343869,20.265555,20.71944,6388630
2001-09-19,20.512405,20.703514,16.873364,18.418165,13992276
2001-09-20,17.733356,19.270194,17.653727,18.776495,7163350
2001-09-21,16.634477,18.513719,16.634477,18.027983,7792518
2001-09-24,19.102973,19.246305,17.542247,18.935752,5846741
2001-09-25,18.79242,19.158713,17.00077,17.3591,8321976
2001-09-26,17.613913,17.71743,14.611903,14.635792,13201359
2001-09-27,15.129491,17.805022,14.261536,17.749282,22780796
2001-09-28,17.462618,17.637801,15.455969,15.766522,14102162
2001-10-01,15.368378,16.236333,15.248934,15.774485,5731582
2001-10-02,15.774485,16.921141,15.758559,16.164667,8008019
2001-10-03,16.045223,17.916503,16.045223,17.494469,15560050
2001-10-04,17.765208,18.911864,17.558172,17.884651,9752862
2001-10-05,17.645764,18.967604,17.558172,18.481868,5848752
2001-10-08,18.274833,19.071122,17.972243,18.585385,3891672
2001-10-09,18.776495,19.015381,17.789096,18.179278,4235895
2001-10-10,18.115575,18.951678,18.035946,18.545571,5980739
2001-10-11,18.919827,20.464627,18.712792,19.859448,6619954
2001-10-12,19.548895,20.193889,18.832235,19.437414,4439842
2001-10-15,19.198528,20.146112,18.776495,19.485192,4089844
2001-10-16,19.787782,20.289444,19.222416,20.185926,2773361
2001-10-17,20.615922,21.157399,18.099649,18.37835,6597853
2001-10-18,18.115575,19.015381,18.07576,18.450016,4123122
2001-10-19,18.274833,20.265555,18.26687,20.082409,5150765
2001-10-22,19.389637,19.747967,16.522997,16.785772,17568365
2001-10-23,17.080399,17.653727,15.400229,17.016696,23006969
2001-10-24,18.720754,19.771856,17.677616,19.684264,23818358
2001-10-25,19.325934,20.584071,19.190565,20.512405,14154155
2001-10-26,20.321295,21.372397,19.986854,20.456664,8721076
2001-10-29,20.353147,20.424813,18.911864,19.031307,6269328
2001-10-30,18.895938,19.461303,18.235018,18.79242,4196715
2001-10-31,19.28612,19.891299,18.43409,18.633163,6267193
2001-11-01,18.856124,19.907225,18.569459,19.421489,5863195
2001-11-02,19.588709,20.098334,18.649088,18.872049,9206830
2001-11-05,19.381674,19.45334,18.505756,18.768532,7361770
2001-11-06,18.712792,19.469266,18.394276,19.270194,4423892
2001-11-07,19.03927,21.101659,19.03927,20.544256,7301994
2001-11-08,20.807032,21.459989,18.92779,19.031307,9955051
2001-11-09,19.118899,19.684264,18.880012,19.222416,6077563
2001-11-12,19.222416,19.238342,18.227055,18.545571,7839862
2001-11-13,19.349823,19.413526,17.41484,17.446692,14440357
2001-11-14,17.924465,18.059835,15.065788,16.029298,28896164
2001-11-15,16.475219,16.881327,16.371702,16.578737,13290900
2001-11-16,16.761883,16.873364,16.538923,16.690217,8232811
2001-11-19,16.849475,16.921141,16.292073,16.435405,5708100
2001-11-20,16.443368,17.613913,15.933743,16.061149,9811132
2001-11-21,16.22837,16.761883,16.03726,16.331887,5437218
2001-11-23,16.610589,16.929104,16.347813,16.785772,2368735
2001-11-26,16.857438,17.518358,16.785772,17.41484,10461400
2001-11-27,17.390952,18.585385,17.390952,18.219092,12223698
2001-11-28,18.195204,19.827596,18.187241,18.919827,19566888
2001-11-29,19.110936,19.198528,17.916503,18.32261,9188494
2001-11-30,18.394276,18.712792,17.590024,17.812985,6261794
2001-12-03,17.71743,18.306684,17.382989,18.035946,4942926
2001-12-04,18.091686,18.43409,17.996131,18.282795,7065647
2001-12-05,18.672977,19.692227,18.513719,19.102973,7491247
2001-12-06,19.325934,19.978891,19.270194,19.429452,5977601
2001-12-07,19.437414,19.620561,18.824272,19.278157,4011731
2001-12-10,18.975567,19.429452,18.553534,18.832235,3086188
2001-12-11,18.999456,19.246305,18.553534,18.585385,3478256
2001-12-12,18.800383,19.270194,18.354461,18.856124,3272802
2001-12-13,18.513719,18.513719,17.884651,18.179278,6556409
2001-12-14,18.07576,18.115575,17.136139,17.478544,5817229
2001-12-17,17.558172,18.410202,17.518358,18.37835,5078554
2001-12-18,19.222416,19.859448,18.911864,19.190565,7166993
2001-12-19,18.744643,20.050557,18.553534,19.939077,8725848
2001-12-20,19.620561,20.034631,18.346499,18.704829,4415856
2001-12-21,18.537608,19.389637,18.314647,18.704829,4704445
2001-12-24,18.505756,18.712792,18.227055,18.553534,1153723
2001-12-26,18.633163,19.071122,18.553534,18.720754,2343744
2001-12-27,18.79242,18.919827,18.513719,18.720754,1949916
2001-12-28,18.824272,19.126862,18.593348,18.672977,1641986
2001-12-31,18.505756,18.672977,18.004094,18.043909,2974922
2002-01-02,18.107612,18.282795,16.714106,18.035946,9470930
2002-01-03,18.203167,18.872049,18.195204,18.704829,5311510
2002-01-04,18.808346,19.087047,18.32261,18.497793,3709077
2002-01-07,18.561497,18.880012,18.219092,18.298721,3993522
2002-01-08,18.155389,18.641125,17.932428,18.195204,3286115
2002-01-09,18.394276,19.493155,18.370387,19.079084,7640940
2002-01-10,19.246305,19.668338,18.887975,19.09501,4646551
2002-01-11,19.134825,19.405563,18.410202,18.489831,3042608
2002-01-14,18.274833,18.394276,17.741319,17.868725,2966759
2002-01-15,17.96428,18.274833,17.327249,17.749282,3021890
2002-01-16,17.582061,17.892614,16.833549,16.865401,4894577
2002-01-17,17.470581,17.502432,15.885966,16.379665,11885253
2002-01-18,15.726708,15.92578,15.217083,15.463932,10961343
2002-01-22,15.734671,16.077075,15.51171,15.535598,5433075
2002-01-23,15.766522,16.634477,15.607264,16.17263,4948827
2002-01-24,14.954307,15.129491,14.022649,14.158018,28562742
2002-01-25,14.285425,14.452645,13.735985,14.110241,10233342
2002-01-28,14.396905,14.572089,14.142093,14.341165,5540573
2002-01-29,14.357091,14.611903,13.735985,13.767837,4850372
2002-01-30,13.863391,14.086352,13.186546,13.895243,5480294
2002-01-31,13.966909,14.014686,13.449321,13.720059,3913022
2002-02-01,13.855429,14.484497,13.7758,14.062464,6393656
2002-02-04,14.062464,14.086352,13.138769,13.313952,4384207
2002-02-05,13.22636,13.497099,12.92377,13.051177,4909770
2002-02-06,13.22636,13.361729,12.34248,12.613218,4996925
2002-02-07,12.557478,13.05914,12.223036,12.422108,3503623
2002-02-08,12.621181,13.035251,12.34248,12.676921,3195068
2002-02-11,12.804327,13.138769,12.645069,13.122843,2928330
2002-02-12,12.931733,13.106917,12.56544,12.668958,3074383
2002-02-13,12.836179,13.266175,12.740624,13.154694,2762687
2002-02-14,13.178583,13.735985,13.043214,13.11488,3824612
2002-02-15,13.855429,13.974872,12.899882,13.098954,4023033
2002-02-19,12.979511,13.17062,12.191185,12.477849,4045136
2002-02-20,12.684884,12.788401,11.79304,12.183222,4804155
2002-02-21,12.103593,12.183222,11.156009,11.243601,6083467
2002-02-22,11.211749,11.227675,10.367683,10.749902,10171931
2002-02-25,11.450636,12.09563,11.18786,11.753226,8839124
2002-02-26,12.031927,12.493774,11.864706,12.374331,6345555
2002-02-27,12.780438,13.321915,12.438034,12.438034,5784829
2002-02-28,12.581366,12.70081,11.976187,12.079704,3504502
2002-03-01,12.199147,12.318591,11.920446,12.143407,7788375
2002-03-04,12.318591,13.05914,12.047853,12.86803,6508939
2002-03-05,12.75655,13.52895,12.740624,13.17062,6281636
2002-03-06,13.186546,13.696171,12.860067,13.536913,5290537
2002-03-07,13.966909,14.006724,13.186546,13.624505,5072904
2002-03-08,14.022649,14.07839,13.58469,13.648393,4906507
2002-03-11,13.688208,14.667643,13.385618,14.460608,3944419
2002-03-12,14.062464,14.866716,14.014686,14.60394,4949957
2002-03-13,14.43672,14.866716,14.197833,14.388942,7325980
2002-03-14,14.420794,14.898567,14.380979,14.65968,5542205
2002-03-15,14.85079,14.858753,13.879317,14.333202,4414976
2002-03-18,14.619866,14.707458,14.341165,14.49246,2415703
2002-03-19,14.572089,14.810975,14.468571,14.803013,2700650
2002-03-20,14.715421,14.890604,14.158018,14.165981,3421493
2002-03-21,14.205796,14.683569,13.592653,14.651718,3192808
2002-03-22,14.667643,14.675606,14.158018,14.197833,2206357
2002-03-25,14.293388,14.373016,13.536913,13.656356,3165305
2002-03-26,13.536913,14.014686,13.385618,13.648393,2676035
2002-03-27,13.552839,14.014686,13.544876,13.863391,2493941
2002-03-28,13.911169,14.102278,13.58469,13.759874,2852730
2002-04-01,13.672282,13.895243,13.11488,13.847466,3000414
2002-04-02,13.457284,13.536913,13.154694,13.329878,3310604
2002-04-03,13.409507,13.536913,12.517663,12.780438,3769230
2002-04-04,12.780438,12.955622,12.5097,12.931733,2336459
2002-04-05,12.780438,12.979511,12.5097,12.660995,2026143
2002-04-08,12.461923,13.05914,12.262851,12.947659,2216403
2002-04-09,12.39822,12.899882,11.888595,11.960261,6005229
2002-04-10,11.960261,12.143407,11.331192,11.808966,3605093
2002-04-11,11.689523,11.761189,11.283415,11.37897,2741338
2002-04-12,11.673597,11.68156,11.251564,11.657671,2422484
2002-04-15,11.697485,12.047853,11.633782,11.777114,3066722
2002-04-16,11.976187,12.230999,11.816929,12.071741,2131006
2002-04-17,12.20711,12.215073,11.816929,12.047853,2279193
2002-04-18,12.087667,12.087667,11.761189,11.904521,1549936
2002-04-19,11.944335,11.984149,11.562116,11.586005,2357557
2002-04-22,11.554153,11.785077,11.371007,11.625819,1683054
2002-04-23,11.546191,11.554153,11.148046,11.283415,2358813
2002-04-24,11.363044,11.363044,9.953613,10.033241,8578541
2002-04-25,10.176573,10.184536,8.902511,9.276767,10879339
2002-04-26,9.332507,9.531579,8.950288,9.03788,4885282
2002-04-29,9.117509,9.125472,8.647699,8.878622,4330584
2002-04-30,9.507691,9.58732,9.109546,9.236952,5844984
