,open,high,low,close,volume
2000-12-21,29.71875,29.96875,28.78125,29.6875,4033600
2000-12-22,30.125,30.125,29.1875,29.5,3904600
2000-12-26,29.4375,29.4375,29.0,29.25,1968600
2000-12-27,29.125,29.96875,28.90625,29.90625,2467200
2000-12-28,29.84375,30.09375,29.6875,29.96875,3470400
2000-12-29,30.15625,30.21875,29.875,29.96875,2292400
2001-01-02,29.90625,29.90625,28.46875,28.59375,5539200
2001-01-03,28.59375,28.59375,26.5625,27.0,8372400
2001-01-04,27.125,27.5,24.75,25.5,11753000
2001-01-05,25.625,26.25,25.15625,25.84375,9049000
2001-01-08,26.125,26.53125,25.71875,26.46875,6677600
2001-01-09,26.75,27.34375,26.3125,27.125,6356400
2001-01-10,27.0625,28.0625,26.84375,27.96875,5884400
2001-01-11,28.09375,28.15625,26.25,26.96875,5218200
2001-01-12,26.96875,26.96875,26.46875,26.75,3163600
2001-01-16,26.75,27.6875,26.75,27.625,3855000
2001-01-17,27.6875,27.9375,27.125,27.40625,4233000
2001-01-18,27.625,28.21875,27.4375,27.9375,4204000
2001-01-19,27.90625,27.90625,27.03125,27.21875,4520000
2001-01-22,27.21875,27.8125,26.9375,27.375,4592600
2001-01-23,27.5,27.90625,27.34375,27.90625,3039000
2001-01-24,27.90625,28.53125,27.78125,28.53125,4550400
2001-01-25,28.46875,28.65625,27.625,28.5,5023600
2001-01-26,28.5,29.15625,28.40625,29.15625,3931400
2001-01-29,29.15,29.275,28.45,28.825,2976200
2001-01-30,28.825,28.825,28.25,28.675,4045200
2001-01-31,28.525,29.75,28.4,29.6,4456200
2001-02-01,29.6,29.77,28.72,28.96,3891200
2001-02-02,29.25,29.57,28.9,29.45,4929600
2001-02-05,29.55,29.62,28.605,28.85,4306600
2001-02-06,29.125,29.285,28.2,28.76,6131000
2001-02-07,28.85,29.93,28.775,29.9,4373600
2001-02-08,29.975,29.995,29.425,29.51,5143800
2001-02-09,29.51,29.7,28.9,29.57,3582400
2001-02-12,29.675,30.0,29.355,30.0,3501800
2001-02-13,29.775,29.825,29.3,29.415,3048800
2001-02-14,29.415,29.85,29.195,29.725,3912600
2001-02-15,29.725,30.03,29.4,29.95,2107000
2001-02-16,30.15,31.1,30.15,30.795,6648200
2001-02-20,30.85,31.875,30.85,30.995,5745200
2001-02-21,30.525,30.825,29.7,29.79,6704000
2001-02-22,29.875,29.925,28.55,29.185,5847800
2001-02-23,28.875,29.095,28.275,28.515,3308000
2001-02-26,28.5,29.39,28.495,29.385,5557400
2001-02-27,30.0,30.4,29.675,29.725,5515400
2001-02-28,30.15,31.1,30.125,30.5,5985200
2001-03-01,30.5,30.55,29.5,29.71,5370600
2001-03-02,29.7,30.375,29.5,30.2,4435800
2001-03-05,30.0,30.6,30.0,30.175,3273400
2001-03-06,30.5,30.515,30.01,30.25,3154800
2001-03-07,30.15,30.9,30.12,30.395,3651400
2001-03-08,30.475,31.2,30.375,31.05,3298000
2001-03-09,30.725,30.73,30.2,30.435,2578200
2001-03-12,30.2,30.205,29.85,29.87,3544400
2001-03-13,29.665,29.72,27.825,28.505,5098400
2001-03-14,28.0,28.8,27.975,28.7,2882200
2001-03-15,28.825,29.1,28.8,29.055,3577000
2001-03-16,28.95,29.2,27.675,27.79,3944600
2001-03-19,27.975,28.1,27.2,27.805,3018800
2001-03-20,28.0,28.075,27.1,27.3,3024000
2001-03-21,27.3,27.575,26.925,27.5,4180200
2001-03-22,27.505,27.505,26.42,26.8,4856600
2001-03-23,26.875,27.515,26.275,27.515,4179800
2001-03-26,27.64,27.75,26.725,27.545,5559600
2001-03-27,27.54,28.38,27.42,28.21,5659400
2001-03-28,28.075,28.15,27.36,28.125,4207800
2001-03-29,28.12,28.3,27.45,28.225,5629200
2001-03-30,28.725,29.495,28.55,29.245,3937000
2001-04-02,29.225,29.4,28.835,29.11,3623600
2001-04-03,29.3,29.365,28.75,28.765,5582000
2001-04-04,28.825,29.075,28.75,29.0,5385600
2001-04-05,28.725,28.855,27.7,27.95,5293600
2001-04-06,27.945,28.025,27.25,28.0,3849600
2001-04-09,27.7,28.05,27.005,27.12,3547400
2001-04-10,27.4,28.7,27.2,28.49,5379600
2001-04-11,28.365,28.4,26.74,27.205,4629600
2001-04-12,27.5,28.2,27.37,28.0,4001200
2001-04-16,28.125,28.245,27.51,27.665,2072400
2001-04-17,27.725,28.3,27.55,28.25,2415400
2001-04-18,28.55,29.0,28.0,28.4,5322400
2001-04-19,28.45,28.71,27.955,28.625,3909800
2001-04-20,28.595,28.7,28.125,28.475,4067400
2001-04-23,28.75,28.75,27.99,28.05,2725200
2001-04-24,28.15,28.225,27.5,27.75,4423000
2001-04-25,27.875,28.5,27.75,28.205,5315800
2001-04-26,28.5,28.925,28.375,28.925,3672400
2001-04-27,29.1,30.125,29.075,29.875,2705800
2001-04-30,29.925,30.15,29.33,29.475,4786400
2001-05-01,29.5,29.875,29.39,29.845,3107400
2001-05-02,29.65,29.875,27.5,27.92,12741600
2001-05-03,27.8,28.1,27.15,27.225,7938000
2001-05-04,27.0,27.0,26.675,26.9,7326000
2001-05-07,26.775,26.84,25.79,26.4,9362800
2001-05-08,26.7,27.455,26.5,27.14,6799000
2001-05-09,27.14,27.66,26.925,27.655,6538400
2001-05-10,27.655,27.8,26.975,27.1,4797000
2001-05-11,27.4,27.575,26.25,26.325,5950200
2001-05-14,26.325,26.57,25.975,26.2,6400200
