,open,high,low,close,volume
2000-12-21,32.1875,32.5,31.75,32.34375,1577400
2000-12-22,32.25,32.78125,32.0625,32.6875,938800
2000-12-26,32.875,33.6875,32.875,33.625,660600
2000-12-27,33.5,33.96875,33.1875,33.5625,992400
2000-12-28,33.625,33.625,32.9375,33.46875,962800
2000-12-29,33.46875,33.5625,33.09375,33.5,857800
2001-01-02,32.875,33.0625,32.28125,32.78125,1104400
2001-01-03,32.75,33.125,30.125,30.21875,2569200
2001-01-04,30.5,30.5,27.75,28.0,4019200
2001-01-05,28.125,28.4375,27.65625,28.21875,3299400
2001-01-08,28.75,29.4375,28.65625,29.34375,3367800
2001-01-09,29.25,29.375,28.8125,29.3125,3146800
2001-01-10,29.9375,30.03125,28.90625,29.375,2717600
2001-01-11,29.375,29.375,27.875,28.21875,2911000
2001-01-12,28.21875,29.25,27.96875,29.125,2989800
2001-01-16,28.75,28.875,27.75,28.21875,3191400
2001-01-17,28.25,29.1875,27.78125,29.03125,5556200
2001-01-18,29.03125,29.625,28.6875,29.5,2288200
2001-01-19,29.3125,30.375,28.84375,30.28125,3791400
2001-01-22,30.28125,30.8125,29.875,30.5,1933400
2001-01-23,30.59375,31.6875,30.59375,31.0,1821800
2001-01-24,31.09375,31.71875,31.0,31.34375,1492200
2001-01-25,31.625,32.0,31.5625,31.8125,1279800
2001-01-26,31.875,32.125,31.0625,31.4375,1504600
2001-01-29,31.44,32.28,31.44,31.525,1410200
2001-01-30,31.62,31.745,30.96,31.0,2435400
2001-01-31,31.0,31.075,30.3,30.9,1394600
2001-02-01,30.75,30.965,30.25,30.5,1261400
2001-02-02,30.62,31.25,30.5,30.81,1705400
2001-02-05,30.925,31.41,30.855,31.065,1097200
2001-02-06,31.15,31.465,30.75,31.12,795200
2001-02-07,31.195,31.81,31.175,31.62,1715600
2001-02-08,31.725,32.25,31.7,32.145,1213000
2001-02-09,32.125,33.05,32.03,32.9,1966000
2001-02-12,32.895,33.27,32.07,32.685,2060400
2001-02-13,32.81,33.23,32.08,32.37,1979600
2001-02-14,32.375,32.575,32.025,32.34,1474600
2001-02-15,32.24,32.4,31.725,32.325,1508800
2001-02-16,32.65,33.05,32.505,32.585,1697200
2001-02-20,32.75,33.575,32.58,33.205,1626600
2001-02-21,33.45,33.83,32.95,32.98,2075800
2001-02-22,33.1,33.75,32.8,33.2,1660600
2001-02-23,33.5,33.735,32.05,32.66,1891200
2001-02-26,32.745,33.5,32.7,32.955,1713200
2001-02-27,33.175,33.625,32.85,33.1,2584800
2001-02-28,33.125,33.3,32.35,32.78,3019200
2001-03-01,32.5,32.995,32.15,32.575,2057000
2001-03-02,32.625,32.825,32.175,32.595,1759400
2001-03-05,32.72,32.975,32.525,32.725,912400
2001-03-06,32.85,32.95,32.35,32.8,1271400
2001-03-07,32.8,33.35,32.7,33.205,1731800
2001-03-08,33.205,33.75,33.05,33.735,1362600
2001-03-09,33.775,34.0,33.0,33.445,2743800
2001-03-12,32.775,33.605,32.505,32.6,1889800
2001-03-13,32.725,32.725,31.77,32.0,2188000
2001-03-14,31.375,31.6,30.905,31.15,2029600
2001-03-15,31.375,32.185,31.2,32.13,2201800
2001-03-16,32.13,32.575,31.675,32.05,2823000
2001-03-19,32.05,32.225,31.5,31.95,1728000
2001-03-20,32.1,32.1,31.275,31.305,2208000
2001-03-21,31.31,31.65,30.575,30.59,2627800
2001-03-22,30.55,30.78,29.5,30.15,3200800
2001-03-23,30.025,30.03,29.275,29.825,1966400
2001-03-26,30.15,30.74,30.105,30.375,2457800
2001-03-27,30.5,31.5,30.5,31.475,2808600
2001-03-28,31.375,31.825,30.805,31.46,2055000
2001-03-29,31.35,31.845,30.935,31.615,1829400
2001-03-30,31.95,32.415,31.775,32.235,1589800
