,open,high,low,close,volume
2000-12-22,24.125,24.375,23.875,24.25,458600
2000-12-26,24.3125,24.3125,24.0625,24.125,129600
2000-12-27,24.0625,24.75,24.0625,24.75,126200
2000-12-28,24.75,25.375,24.5625,25.1875,154000
2000-12-29,25.0625,25.5625,24.625,24.625,276900
2001-01-02,25.375,25.4375,24.6875,24.9375,536400
2001-01-03,24.6875,25.4375,24.6875,25.0625,302400
2001-01-04,25.3125,25.3125,24.5625,25.3125,225700
2001-01-05,25.3125,25.4375,24.625,24.9375,315600
2001-01-08,24.6875,25.0,24.25,24.4375,246100
2001-01-09,24.6875,24.875,24.3125,24.5,524500
2001-01-10,24.5,25.0,24.375,24.75,253900
2001-01-11,24.75,25.0,24.5,24.625,142400
2001-01-12,24.625,24.8125,24.5625,24.75,102700
2001-01-16,24.875,24.875,24.375,24.75,181000
2001-01-17,24.9375,24.9375,24.625,24.6875,232500
2001-01-18,24.75,24.75,24.5,24.5,138200
2001-01-19,24.6875,24.6875,24.25,24.625,191700
2001-01-22,24.625,24.875,24.5,24.75,176800
2001-01-23,24.6875,24.75,24.625,24.75,180600
2001-01-24,24.75,25.0625,24.625,24.75,464600
2001-01-25,24.5625,24.9375,24.5625,24.875,200000
2001-01-26,24.875,24.875,24.5625,24.6875,320300
2001-01-29,24.75,24.8,24.58,24.72,206000
2001-01-30,24.75,24.85,24.6,24.68,215900
2001-01-31,24.8,24.98,24.7,24.98,257300
2001-02-01,24.98,24.98,24.67,24.74,192700
2001-02-02,24.9,24.9,24.38,24.61,220900
2001-02-05,24.65,24.65,24.25,24.28,210400
2001-02-06,24.45,24.49,24.25,24.32,277000
2001-02-07,24.25,24.29,24.09,24.1,307300
2001-02-08,23.99,24.1,23.7,23.7,259100
2001-02-09,23.75,23.79,23.23,23.25,404300
2001-02-12,23.25,23.25,22.94,23.03,10977900
2001-02-13,23.2,23.23,22.83,22.9,565200
2001-02-14,22.99,23.4,22.83,23.35,240900
2001-02-15,23.25,23.48,23.18,23.37,186800
2001-02-16,23.62,23.62,23.15,23.28,152700
2001-02-20,23.28,23.34,23.0,23.24,133900
2001-02-21,23.0,23.25,22.63,22.78,203200
2001-02-22,22.53,22.68,22.38,22.45,382200
2001-02-23,22.49,23.0,22.44,22.6,369700
2001-02-26,22.5,23.1,22.5,23.05,141200
2001-02-27,23.19,23.19,23.0,23.19,133400
2001-02-28,22.95,23.12,22.55,22.9,327900
2001-03-01,22.95,23.65,22.95,23.65,270500
2001-03-02,23.9,24.05,23.69,23.86,267600
2001-03-05,23.86,24.13,23.78,23.9,181400
2001-03-06,23.9,24.1,23.75,23.96,178500
2001-03-07,23.95,23.95,23.8,23.88,139500
2001-03-08,23.95,24.1,23.88,23.93,147700
