,open,high,low,close,volume
2000-12-21,38.0,38.0,37.125,37.75,6563400
2000-12-22,37.6875,38.4375,37.375,38.4375,524200
2000-12-26,38.4375,39.25,38.25,39.1875,373700
2000-12-27,39.25,39.3125,38.625,38.9375,593600
2000-12-28,39.0625,39.1875,38.5,38.9375,418800
2000-12-29,38.9375,39.25,38.5625,38.9375,451900
2001-01-02,38.6875,38.75,37.9375,38.25,535900
2001-01-03,38.5,38.875,36.75,37.0,1344300
2001-01-04,36.6875,36.75,34.32813,34.875,1089400
2001-01-05,34.875,35.6875,34.5,35.5,1045200
2001-01-08,35.5625,36.3125,35.4375,36.1875,855600
2001-01-09,36.0,36.625,35.8125,36.625,1143800
2001-01-10,36.875,36.9375,36.25,36.5,667100
2001-01-11,36.5,36.5,33.75,33.875,1128900
2001-01-12,34.25,34.75,33.8125,34.5,1064200
2001-01-16,34.75,34.75,33.125,33.75,793400
2001-01-17,33.9375,34.5625,33.5625,33.8125,594300
2001-01-18,34.0625,34.875,34.0,34.75,818200
2001-01-19,34.75,35.3125,34.1875,34.8125,949500
2001-01-22,34.8125,36.5,34.625,36.375,845400
2001-01-23,36.3125,37.0,35.9375,36.5,890300
2001-01-24,36.5,37.25,36.5,36.875,399100
2001-01-25,37.125,37.375,36.5,36.625,507800
2001-01-26,37.0,37.0,35.0625,35.875,726600
2001-01-29,35.87,36.99,35.85,35.93,388800
2001-01-30,36.18,36.68,35.57,36.41,505400
2001-01-31,36.16,36.16,35.13,35.29,1041600
2001-02-01,35.7,35.98,34.65,35.1,815000
2001-02-02,35.3,35.45,34.68,34.77,552700
2001-02-05,34.8,35.66,34.8,34.98,993800
2001-02-06,35.23,35.95,34.75,35.37,1231900
2001-02-07,35.75,37.18,35.75,37.01,2974100
2001-02-08,36.9,38.4,36.9,37.96,1966700
2001-02-09,37.96,38.47,37.5,38.37,2087900
2001-02-12,38.45,39.12,37.6,38.03,695700
2001-02-13,38.03,38.44,37.62,37.7,911600
2001-02-14,37.7,37.71,36.5,36.87,1266200
2001-02-15,36.83,36.92,36.0,36.02,1149900
2001-02-16,36.27,36.75,35.7,36.0,1482500
2001-02-20,36.33,36.52,35.98,36.07,567000
2001-02-21,36.8,37.16,36.1,36.18,582600
2001-02-22,36.43,36.75,35.75,35.8,854100
2001-02-23,35.85,36.35,34.95,35.2,762100
2001-02-26,35.45,36.59,35.18,35.41,452600
2001-02-27,35.41,36.08,35.26,35.67,397800
2001-02-28,35.8,37.0,35.5,36.04,2700700
2001-03-01,37.0,37.9,36.6,37.35,3056600
2001-03-02,37.5,38.35,37.4,38.14,1333400
2001-03-05,38.14,38.65,38.14,38.59,1171900
2001-03-06,38.52,38.98,38.52,38.66,909400
2001-03-07,38.66,39.25,38.55,38.78,1237900
2001-03-08,38.98,39.41,38.8,39.4,722200
2001-03-09,39.41,39.41,38.72,38.77,565000
2001-03-12,38.41,39.1,38.41,38.55,738700
2001-03-13,38.55,39.58,38.55,39.09,1215100
2001-03-14,38.8,39.04,38.49,38.49,1057200
2001-03-15,38.5,39.3,38.15,39.04,1139800
2001-03-16,38.5,39.5,38.5,38.77,990300
2001-03-19,38.78,39.18,38.78,39.06,778100
2001-03-20,38.44,39.08,38.25,38.36,638100
2001-03-21,38.15,39.24,38.15,38.34,503200
