,open,high,low,close,volume
2000-12-21,38.0,38.875,37.625,38.5,721500
2000-12-22,38.25,38.375,37.5,38.375,509800
2000-12-26,38.4375,39.4375,38.0,39.25,288500
2000-12-27,39.375,39.5,38.625,38.9375,288500
2000-12-28,38.6875,39.4375,38.5,39.0,313100
2000-12-29,39.125,39.3125,38.5,38.5,409600
2001-01-02,38.3125,38.375,37.375,37.5625,341300
2001-01-03,38.0,38.3125,36.375,36.4375,560900
2001-01-04,36.125,36.1875,34.125,34.4375,1055300
2001-01-05,34.6875,35.125,33.875,34.1875,680100
2001-01-08,34.375,34.75,34.125,34.625,522300
2001-01-09,34.625,34.9375,33.9375,34.1875,343500
2001-01-10,34.1875,34.75,34.0625,34.375,524000
2001-01-11,34.375,34.5,32.75,32.8125,1445600
2001-01-12,32.875,33.5,32.625,33.125,1009800
2001-01-16,33.125,33.125,31.4375,32.375,1780700
2001-01-17,32.3125,33.0625,31.9375,32.5625,1121000
2001-01-18,32.625,33.5,32.5625,33.3125,511800
2001-01-19,33.3125,34.5,33.0,33.9375,919600
2001-01-22,34.5,35.125,34.25,34.75,608300
2001-01-23,35.0,35.8125,34.75,35.0,808400
2001-01-24,35.0,35.75,35.0,35.25,448200
2001-01-25,35.375,35.875,35.0625,35.4375,484500
2001-01-26,35.3125,35.875,34.625,35.0,1218600
2001-01-29,35.0,35.67,34.93,35.21,525600
2001-01-30,35.25,35.45,34.69,34.87,576200
2001-01-31,34.83,34.99,34.3,34.94,432100
2001-02-01,34.94,34.94,34.37,34.75,313000
2001-02-02,34.94,35.4,34.64,34.7,393300
2001-02-05,34.71,35.49,34.7,35.29,422100
2001-02-06,35.04,35.49,34.87,35.05,273400
2001-02-07,35.3,35.61,35.11,35.35,306000
2001-02-08,35.36,36.09,35.36,36.03,441100
2001-02-09,36.28,36.8,36.24,36.76,2050700
2001-02-12,36.42,36.9,35.7,36.14,698800
2001-02-13,36.15,36.25,35.31,36.25,946800
2001-02-14,36.0,36.09,35.4,35.8,662500
2001-02-15,35.7,35.77,35.4,35.75,255000
2001-02-16,36.2,36.49,35.8,36.1,585700
2001-02-20,36.02,36.5,36.01,36.24,536900
2001-02-21,36.11,36.99,36.11,36.31,986100
2001-02-22,36.63,36.99,36.01,36.58,549600
2001-02-23,36.78,37.0,35.2,35.85,628400
2001-02-26,35.93,36.35,35.61,35.66,656100
2001-02-27,35.66,36.36,35.65,36.1,495800
2001-02-28,36.6,36.87,36.05,36.87,1036800
2001-03-01,37.0,37.06,36.35,36.61,470800
2001-03-02,36.1,36.5,35.6,35.89,788300
2001-03-05,36.0,36.45,35.17,36.05,625100
2001-03-06,36.2,36.32,35.51,36.28,835200
2001-03-07,36.3,36.78,35.74,36.4,1003400
2001-03-08,36.4,36.65,36.0,36.46,378500
2001-03-09,36.5,36.5,35.7,36.44,713800
2001-03-12,36.45,36.7,36.2,36.39,662800
2001-03-13,36.6,36.6,35.54,36.03,708200
2001-03-14,35.9,35.96,35.0,35.22,442300
2001-03-15,35.45,35.9,35.05,35.83,571500
2001-03-16,35.63,36.25,35.4,35.63,804000
2001-03-19,35.45,35.73,34.95,35.05,503000
2001-03-20,35.05,36.13,34.91,35.8,1227700
2001-03-21,36.0,36.69,35.92,36.29,1126200
2001-03-22,36.39,36.43,34.51,35.51,1391700
2001-03-23,35.0,35.56,34.71,35.49,743700
2001-03-26,35.65,36.87,35.65,36.65,795600
2001-03-27,36.75,37.49,36.51,37.14,566000
2001-03-28,37.14,37.48,35.86,36.24,1961600
2001-03-29,36.24,36.5,35.33,36.5,1630200
2001-03-30,36.9,37.2,36.62,37.1,535100
2001-04-02,37.1,38.0,37.0,37.6,885700
2001-04-03,37.35,38.2,36.9,38.13,921900
2001-04-04,38.13,38.61,37.78,38.12,866500
2001-04-05,37.95,38.02,37.2,37.5,734600
2001-04-06,37.6,38.0,36.11,37.17,988500
2001-04-09,37.5,38.57,37.35,38.14,770300
2001-04-10,38.15,39.2,38.15,38.57,923000
2001-04-11,38.6,38.6,37.67,38.22,445700
2001-04-12,38.18,38.55,37.28,37.9,364800
2001-04-16,37.8,38.59,37.72,38.25,427000
2001-04-17,38.25,38.59,38.0,38.59,737100
2001-04-18,38.59,38.9,37.36,37.75,633700
2001-04-19,37.85,37.93,36.84,37.05,720400
2001-04-20,37.0,37.76,36.5,37.01,659400
2001-04-23,37.35,37.6,36.8,37.47,471400
2001-04-24,37.6,37.93,37.25,37.75,440100
2001-04-25,37.9,38.06,37.5,37.98,385100
2001-04-26,38.0,38.5,37.98,38.21,460300
2001-04-27,38.0,38.3,37.29,37.5,454700
2001-04-30,37.75,37.99,37.32,37.41,387200
2001-05-01,37.5,37.74,37.26,37.3,381200
2001-05-02,37.1,37.15,36.39,36.45,780400
2001-05-03,36.8,36.8,35.76,36.26,541400
2001-05-04,36.51,36.75,36.15,36.68,435200
2001-05-07,37.06,37.06,36.51,36.93,399700
2001-05-08,36.93,36.95,36.4,36.61,764300
2001-05-09,36.61,37.24,36.53,37.01,669300
2001-05-10,37.25,37.33,36.86,37.3,321800
2001-05-11,37.31,37.4,36.99,37.24,2267500
2001-05-14,37.11,37.55,36.83,37.53,805000
2001-05-15,37.3,37.4,36.81,37.08,315300
2001-05-16,37.15,37.7,36.5,37.57,376500
2001-05-17,37.65,37.68,36.8,37.0,470100
2001-05-18,37.25,37.3,37.0,37.2,282900
2001-05-21,37.4,37.5,37.1,37.39,370100
2001-05-22,37.39,37.68,37.34,37.68,315100
2001-05-23,37.86,38.75,37.78,38.69,1008600
2001-05-24,38.7,39.31,38.6,38.94,1402200
2001-05-25,38.75,38.9,38.26,38.37,471600
2001-05-29,38.37,38.57,38.01,38.32,424400
2001-05-30,38.42,38.97,38.42,38.62,292000
2001-05-31,38.62,39.2,38.62,39.15,276100
2001-06-01,39.0,39.3,38.61,39.2,581300
2001-06-04,39.21,39.45,38.83,39.21,413300
2001-06-05,39.15,39.2,38.5,38.77,724600
2001-06-06,38.7,38.87,38.3,38.35,509800
2001-06-07,38.4,38.65,37.76,37.89,447300
2001-06-08,37.95,38.35,37.76,38.28,266700
2001-06-11,38.2,39.09,38.2,38.98,399200
2001-06-12,39.15,39.47,38.86,39.06,420300
2001-06-13,38.95,39.35,38.3,38.34,477600
2001-06-14,38.45,38.45,37.49,37.56,488600
2001-06-15,37.31,38.75,37.31,38.56,731200
2001-06-18,39.0,39.25,38.39,38.48,594500
2001-06-19,38.78,39.52,38.48,39.52,659500
2001-06-20,39.52,39.95,39.4,39.93,834800
2001-06-21,39.48,39.6,38.6,39.2,628800
2001-06-22,39.2,39.64,39.0,39.64,487400
2001-06-25,39.4,39.89,39.0,39.15,278900
2001-06-26,39.05,39.83,39.0,39.64,309400
2001-06-27,39.84,39.99,39.39,39.81,514100
2001-06-28,39.55,40.0,39.4,39.55,605000
2001-06-29,39.5,39.8,39.05,39.8,615900
2001-07-02,39.6,40.01,39.4,39.98,542000
2001-07-03,40.01,40.3,39.91,40.14,164800
2001-07-05,40.14,40.65,39.82,40.57,400400
2001-07-06,40.57,40.8,40.35,40.5,1102200
2001-07-09,40.5,40.98,40.26,40.56,500100
2001-07-10,40.56,40.78,40.4,40.5,771000
2001-07-11,40.45,40.59,39.81,40.0,408800
2001-07-12,39.9,39.9,39.3,39.5,508200
2001-07-13,39.5,39.57,39.09,39.3,680300
2001-07-16,39.2,39.84,39.16,39.35,520400
2001-07-17,39.36,39.75,38.85,39.75,611100
2001-07-18,39.7,39.85,39.46,39.54,295500
2001-07-19,39.52,39.9,39.11,39.3,653800
2001-07-20,39.4,39.5,38.62,38.93,509100
2001-07-23,38.92,38.92,37.76,38.0,966900
2001-07-24,38.02,38.23,36.9,38.1,1027600
2001-07-25,37.95,39.14,37.76,39.01,498600
2001-07-26,39.02,39.55,38.61,39.45,367800
2001-07-27,39.1,39.45,38.61,39.24,404500
2001-07-30,39.24,39.8,38.43,39.78,473800
2001-07-31,39.8,39.94,39.31,39.74,506000
2001-08-01,39.79,40.25,39.44,40.11,467900
2001-08-02,40.36,41.2,40.09,41.04,671200
2001-08-03,41.03,41.6,40.48,41.25,437700
2001-08-06,41.0,41.0,40.41,40.77,542600
2001-08-07,40.77,41.37,40.62,41.17,333800
2001-08-08,40.95,41.1,40.55,40.7,577900
2001-08-09,40.4,41.7,40.35,41.45,497700
2001-08-10,41.45,41.8,41.2,41.79,543500
2001-08-13,41.48,41.48,40.6,40.99,3246100
2001-08-14,39.75,40.48,39.75,40.35,702600
2001-08-15,40.65,40.65,39.7,39.99,471900
2001-08-16,39.9,40.7,39.79,40.6,334400
2001-08-17,40.2,40.6,40.08,40.22,283200
2001-08-20,40.0,40.67,40.0,40.59,225700
2001-08-21,40.7,41.36,40.6,40.87,385300
2001-08-22,40.75,41.98,40.75,41.47,760400
2001-08-23,41.05,41.69,41.05,41.4,559700
2001-08-24,41.75,41.75,41.31,41.58,336600
2001-08-27,41.45,41.94,41.44,41.85,312600
2001-08-28,41.6,41.95,41.53,41.61,353800
2001-08-29,41.55,41.65,41.4,41.55,493500
2001-08-30,41.45,41.7,40.98,41.12,411700
2001-08-31,41.06,41.26,40.83,40.9,313200
2001-09-04,40.9,41.8,40.89,41.37,310700
2001-09-05,40.9,41.71,40.9,41.35,544300
2001-09-06,41.2,41.99,41.2,41.85,476300
2001-09-07,41.55,42.16,41.4,41.52,888400
2001-09-10,41.6,41.88,41.3,41.73,738800
2001-09-17,41.25,41.35,40.0,41.09,1529000
2001-09-18,41.1,42.45,40.97,42.18,656500
2001-09-19,42.6,43.37,41.55,42.14,1178700
2001-09-20,41.7,42.15,41.7,41.86,1096800
2001-09-21,41.0,41.44,40.68,41.0,1487700
2001-09-24,41.0,41.07,40.0,40.5,819100
2001-09-25,40.5,40.5,39.98,40.4,526400
2001-09-26,40.09,40.21,39.4,40.21,544100
2001-09-27,40.21,40.33,39.6,40.27,589600
2001-09-28,40.27,40.74,40.23,40.72,890300
2001-10-01,40.72,40.95,40.33,40.95,684800
2001-10-02,40.95,42.2,40.93,42.09,858000
2001-10-03,42.09,42.13,41.65,41.94,1996300
2001-10-04,41.25,41.6,41.0,41.41,729700
2001-10-05,41.3,41.85,41.25,41.8,349300
2001-10-08,41.7,41.77,41.28,41.4,296600
