,open,high,low,close,volume
2001-02-22,19.725,19.9,19.375,19.5,1232600
2001-02-23,19.5,19.5,19.0,19.2,1941000
2001-02-26,19.2,19.74,19.175,19.635,1237400
2001-02-27,19.51,19.535,18.94,19.125,685200
2001-02-28,19.075,19.525,19.0,19.32,605400
2001-03-01,19.125,19.565,19.005,19.305,915600
2001-03-02,19.555,19.94,19.475,19.835,952800
2001-03-05,19.835,19.975,19.55,19.87,587000
2001-03-06,20.025,20.365,20.0,20.25,1824000
2001-03-07,20.225,20.705,20.1,20.245,1255600
2001-03-08,20.275,20.8,20.025,20.725,1100000
2001-03-09,20.275,20.35,19.895,20.28,1229800
2001-03-12,20.28,20.28,19.785,19.995,740400
2001-03-13,19.995,19.995,19.275,19.275,786200
2001-03-14,19.05,19.445,18.785,18.9,886800
2001-03-15,19.25,19.55,18.6,18.835,2324400
2001-03-16,18.84,18.84,18.375,18.375,1118400
2001-03-19,18.375,18.55,18.175,18.5,959800
2001-03-20,18.8,18.985,18.33,18.33,1018600
2001-03-21,17.625,17.9,17.0,17.555,3542400
2001-03-22,17.375,17.525,16.59,17.215,1716000
2001-03-23,17.215,17.4,16.975,17.15,1886000
2001-03-26,17.125,17.25,16.65,17.25,2250800
2001-03-27,17.275,17.675,17.205,17.52,3782400
2001-03-28,17.5,17.795,17.5,17.75,2780000
2001-03-29,17.755,17.91,17.545,17.9,1223400
2001-03-30,18.25,18.52,17.7,18.21,2183000
2001-04-02,18.175,18.425,18.0,18.155,1054600
2001-04-03,18.125,18.4,18.0,18.03,1445400
2001-04-04,18.0,18.375,17.925,18.245,1223800
2001-04-05,18.65,18.65,18.155,18.65,1021000
2001-04-06,18.65,18.655,18.05,18.38,749600
2001-04-09,18.55,18.575,18.22,18.48,422200
2001-04-10,18.525,18.73,18.375,18.38,1212600
2001-04-11,18.375,18.55,18.25,18.34,1162000
2001-04-12,18.525,18.6,18.42,18.475,929600
2001-04-16,18.5,18.745,18.385,18.61,513800
2001-04-17,18.525,18.7,18.125,18.7,1780400
2001-04-18,18.7,19.0,18.49,18.855,1581800
2001-04-19,19.0,19.025,18.45,18.895,2640000
2001-04-20,18.865,19.05,18.505,19.0,1057800
2001-04-23,18.99,18.995,18.555,18.695,1606200
2001-04-24,18.65,19.525,18.555,19.475,2474400
2001-04-25,19.225,19.685,19.025,19.675,1268800
2001-04-26,20.0,20.17,19.75,19.755,2352800
2001-04-27,20.0,20.025,19.775,20.0,805400
2001-04-30,20.25,20.4,19.875,19.875,1063200
2001-05-01,20.125,20.55,20.125,20.39,1294600
2001-05-02,20.6,20.62,20.3,20.515,1327200
2001-05-03,20.35,20.515,20.25,20.35,784400
2001-05-04,20.35,20.49,20.135,20.43,405800
2001-05-07,20.5,20.5,20.005,20.03,708200
2001-05-08,20.06,20.125,19.775,20.055,1485200
2001-05-09,19.95,20.155,19.95,19.975,601200
2001-05-10,19.98,20.09,19.8,20.09,1197800
2001-05-11,20.1,20.2,19.91,19.975,996200
2001-05-14,20.05,20.245,20.045,20.175,569400
2001-05-15,20.17,20.175,19.705,19.845,865200
2001-05-16,19.875,20.6,19.805,20.51,685400
2001-05-17,20.51,21.3,20.475,21.25,2023400
2001-05-18,21.125,21.125,20.525,20.655,1299200
2001-05-21,20.9,21.0,20.625,20.985,1373200
2001-05-22,21.11,21.125,20.62,20.96,1373600
2001-05-23,21.05,21.175,20.875,20.875,1274200
2001-05-24,20.875,21.05,20.2,21.01,1268200
2001-05-25,21.005,21.01,20.785,20.935,564000
2001-05-29,20.81,20.995,20.705,20.8,713000
2001-05-30,20.9,20.985,20.5,20.62,946600
2001-05-31,20.25,20.6,20.2,20.3,1538800
2001-06-01,20.55,20.865,20.405,20.85,1061200
2001-06-04,20.725,20.995,20.405,20.94,571200
2001-06-05,20.94,21.4,20.9,21.11,1010000
2001-06-06,21.235,21.3,20.85,21.015,624000
2001-06-07,21.1,21.5,20.65,21.395,1437400
2001-06-08,21.32,21.35,21.0,21.25,1336400
2001-06-11,21.25,21.355,21.0,21.115,781200
2001-06-12,21.24,21.375,21.125,21.18,819400
2001-06-13,21.03,21.225,20.9,21.0,690400
2001-06-14,21.0,21.025,20.545,20.6,1349400
2001-06-15,20.6,20.87,20.125,20.125,1051600
2001-06-18,20.375,21.1,20.375,20.975,1367000
2001-06-19,20.975,21.25,20.675,20.7,912400
2001-06-20,20.7,21.05,20.6,21.005,953000
2001-06-21,20.45,20.55,19.9,20.5,2786000
2001-06-22,20.575,20.575,20.3,20.3,1191600
2001-06-25,20.25,20.5,19.925,19.985,2722600
2001-06-26,19.985,20.625,19.85,20.41,1942600
2001-06-27,20.41,20.825,20.35,20.355,3132400
2001-06-28,21.75,22.175,20.925,21.725,6218200
2001-06-29,21.875,21.875,21.425,21.55,1941600
2001-07-02,21.55,21.74,21.55,21.55,623800
2001-07-03,21.57,21.74,21.525,21.725,320000
2001-07-05,21.5,21.6,20.935,21.11,1587600
2001-07-06,21.1,21.1,20.61,20.945,581800
2001-07-09,21.0,21.0,20.665,20.7,971000
2001-07-10,20.7,20.875,20.625,20.85,700600
2001-07-11,20.95,21.05,20.775,20.96,1709600
2001-07-12,20.955,21.045,20.605,20.76,695400
2001-07-13,20.635,21.775,20.32,20.725,1312200
2001-07-16,20.6,20.985,20.6,20.825,611600
2001-07-17,20.8,21.165,20.7,21.165,536200
2001-07-18,21.195,21.445,21.075,21.275,1534400
2001-07-19,21.275,21.425,21.25,21.285,444000
2001-07-20,21.25,21.425,21.25,21.395,843800
2001-07-23,21.395,21.4,21.125,21.145,647600
2001-07-24,21.125,21.13,20.675,20.695,881600
2001-07-25,20.5,20.7,20.35,20.65,1983800
2001-07-26,20.6,20.6,20.2,20.25,1332600
2001-07-27,20.25,20.25,19.47,19.625,1985200
2001-07-30,19.8,20.0,19.7,19.93,1214200
2001-07-31,19.9,19.99,19.72,19.775,1690000
2001-08-01,19.825,19.825,19.0,19.49,1461000
2001-08-02,19.65,19.805,19.225,19.795,765200
2001-08-03,19.745,19.795,19.34,19.345,805400
2001-08-06,19.345,19.8,19.25,19.675,661000
2001-08-07,19.725,19.725,19.15,19.295,918200
2001-08-08,19.255,19.48,19.2,19.205,449400
2001-08-09,18.975,19.0,18.425,18.695,1621800
2001-08-10,18.75,19.375,18.65,19.235,1719800
2001-08-13,19.7,19.82,19.535,19.64,1508600
2001-08-14,19.75,19.925,19.075,19.25,1159600
2001-08-15,19.35,19.525,19.265,19.38,882600
2001-08-16,19.625,20.25,19.625,19.925,3575400
2001-08-17,19.925,20.495,19.85,20.25,1317600
2001-08-20,20.25,20.25,19.33,19.65,1670400
2001-08-21,19.85,20.0,19.47,19.625,1306800
2001-08-22,19.625,20.125,18.945,20.115,2411800
2001-08-23,20.0,20.675,19.75,20.275,2171600
2001-08-24,20.25,20.35,19.725,20.12,1842600
2001-08-27,20.195,20.2,19.595,19.64,1243400
2001-08-28,20.0,20.2,19.5,19.625,1403800
2001-08-29,19.6,19.7,19.425,19.56,789400
2001-08-30,19.575,20.065,19.525,19.765,1787400
2001-08-31,19.775,19.835,19.1,19.425,1266600
2001-09-04,19.425,19.6,19.385,19.435,1002600
2001-09-05,19.4,19.47,19.29,19.375,1523000
2001-09-06,19.3,19.305,18.75,18.85,3595400
2001-09-07,18.85,18.99,18.73,18.955,1766400
2001-09-10,18.875,19.335,18.875,19.15,1634600
2001-09-17,18.0,18.12,17.495,17.63,2501000
2001-09-18,17.6,17.625,17.005,17.2,2697000
2001-09-19,17.2,17.25,15.15,16.49,7894400
2001-09-20,16.175,17.095,16.175,16.995,3436200
2001-09-21,17.0,17.04,16.1,16.625,5557800
2001-09-24,17.0,17.47,16.65,16.65,3086400
2001-09-25,16.65,16.975,16.155,16.375,3478800
2001-09-26,16.625,16.625,15.9,15.975,1874200
2001-09-27,16.0,16.1,15.735,15.985,2600800
2001-09-28,15.525,17.0,15.5,16.575,5303400
2001-10-01,16.575,16.81,16.22,16.55,2370400
2001-10-02,16.25,16.5,16.0,16.025,4477800
2001-10-03,16.05,16.525,16.0,16.48,3405200
2001-10-04,16.6,16.725,16.25,16.25,1580200
2001-10-05,16.25,16.65,16.25,16.65,2283200
2001-10-08,16.65,16.84,16.5,16.82,1897200
2001-10-09,16.925,16.97,16.51,16.525,1622800
2001-10-10,16.525,17.0,16.525,16.95,1477000
2001-10-11,17.25,17.45,16.85,16.95,1739800
2001-10-12,16.95,16.95,16.325,16.61,1718600
2001-10-15,16.585,16.6,16.25,16.55,952400
2001-10-16,16.605,16.77,16.37,16.75,1111800
2001-10-17,17.375,17.4,16.725,17.075,1916800
2001-10-18,17.075,17.175,16.95,17.15,1013400
2001-10-19,17.15,17.35,16.9,16.98,1391200
2001-10-22,16.95,17.24,16.875,17.2,1108800
2001-10-23,17.175,17.18,16.5,16.75,1557600
2001-10-24,16.925,17.025,16.525,16.695,1481000
2001-10-25,16.5,16.65,16.1,16.55,2732000
2001-10-26,16.5,17.33,16.45,16.855,2078400
2001-10-29,16.855,17.075,16.575,16.79,2167000
2001-10-30,16.675,16.675,16.275,16.375,1636200
2001-10-31,16.5,16.595,16.075,16.125,1936200
2001-11-01,16.185,16.645,16.125,16.58,966800
2001-11-02,15.875,16.12,15.675,15.775,6488000
2001-11-05,16.05,16.05,15.35,15.6,4302200
2001-11-06,15.6,15.725,15.325,15.725,3785600
2001-11-07,16.0,16.195,15.925,16.15,3575800
2001-11-08,16.13,16.305,16.025,16.235,3297200
2001-11-09,16.2,16.23,16.075,16.15,1784400
2001-11-12,16.13,16.275,16.1,16.15,1010200
2001-11-13,16.155,16.55,16.155,16.365,2072800
2001-11-14,16.37,16.6,16.275,16.5,3412400
2001-11-15,16.5,16.745,16.3,16.65,2122200
2001-11-16,16.6,16.79,16.53,16.635,2100800
2001-11-19,16.8,16.84,16.675,16.755,2188400
2001-11-20,16.825,17.05,16.775,16.875,2220000
2001-11-21,16.87,16.905,16.575,16.9,1479400
2001-11-23,16.85,16.85,16.57,16.755,548600
2001-11-26,16.75,16.905,16.525,16.69,1749200
2001-11-27,16.69,16.89,16.56,16.625,2347400
2001-11-28,16.575,16.75,16.35,16.51,1215600
2001-11-29,16.44,16.875,16.33,16.63,1572600
2001-11-30,16.68,17.0,16.51,16.685,2421000
2001-12-03,16.575,16.62,16.38,16.505,1454800
2001-12-04,16.505,16.87,16.5,16.65,1769800
2001-12-05,16.65,16.905,16.645,16.825,3063800
2001-12-06,16.575,16.625,16.3,16.475,3415000
2001-12-07,16.5,16.5,16.25,16.4,2970400
2001-12-10,16.475,16.655,16.3,16.45,2315000
2001-12-11,16.45,16.575,16.425,16.495,1803000
2001-12-12,16.55,16.625,16.01,16.25,2373200
2001-12-13,16.25,16.5,16.075,16.24,1701800
2001-12-14,16.15,16.24,15.815,16.055,2541400
2001-12-17,16.175,16.5,15.99,16.05,1801400
2001-12-18,16.055,16.275,15.855,15.9,3568000
2001-12-19,15.9,16.05,15.675,15.995,3998600
2001-12-20,14.625,16.15,14.625,15.5,10751600
2001-12-21,15.525,15.93,15.505,15.93,7049600
2001-12-24,15.99,16.255,15.875,16.165,1139000
2001-12-26,16.075,16.3,15.9,16.075,2296400
2001-12-27,16.04,16.225,15.795,15.95,1388000
2001-12-28,15.9,16.16,15.9,16.01,1716000
2001-12-31,16.01,16.37,16.01,16.03,1346400
2002-01-02,15.95,16.315,15.775,16.07,1771000
2002-01-03,16.125,16.3,15.85,16.19,2623400
2002-01-04,16.5,16.61,16.27,16.34,3093000
2002-01-07,16.45,16.6,16.38,16.415,2489000
2002-01-08,16.375,16.55,16.225,16.505,2476200
2002-01-09,16.575,16.97,16.55,16.55,2187800
2002-01-10,16.6,16.62,16.455,16.5,3417200
2002-01-11,16.6,16.8,16.375,16.53,2815800
2002-01-14,16.535,16.55,16.4,16.475,2807000
2002-01-15,16.48,16.865,16.48,16.6,1730600
2002-01-16,16.675,17.25,16.675,16.96,2996000
2002-01-17,17.35,17.47,16.97,17.46,2729800
2002-01-18,17.46,17.535,16.755,17.19,3754000
2002-01-22,17.125,17.17,16.855,17.0,1637000
2002-01-23,17.0,17.15,16.875,17.0,1396600
2002-01-24,17.0,17.25,16.935,17.1,2693400
2002-01-25,17.0,17.675,17.0,17.51,3197800
2002-01-28,17.51,17.875,17.425,17.475,3558800
2002-01-29,17.2,17.3,16.745,17.0,3821600
2002-01-30,16.9,17.225,16.65,16.8,5856000
2002-01-31,16.15,16.33,15.925,16.15,8227800
2002-02-01,16.0,16.35,15.95,16.2,4806400
2002-02-04,15.96,16.165,15.75,15.825,3433200
2002-02-05,15.515,15.8,15.465,15.785,4015000
2002-02-06,15.5,15.55,15.35,15.49,4570000
2002-02-07,15.4,15.4,15.05,15.15,2470400
2002-02-08,15.15,15.15,14.8,14.995,3241200
2002-02-11,15.0,15.245,14.9,15.22,1996400
2002-02-12,15.25,15.645,15.14,15.625,4803600
2002-02-13,15.6,15.615,15.125,15.25,1895600
2002-02-14,15.5,15.5,15.215,15.445,3239000
2002-02-15,15.25,15.3,15.04,15.165,1508400
2002-02-19,15.04,15.095,14.93,14.995,1092800
2002-02-20,14.995,15.04,14.82,14.885,2538200
2002-02-21,14.875,14.89,14.71,14.755,2137600
2002-02-22,14.625,15.2,14.625,14.995,3078400
2002-02-25,14.925,15.49,14.9,15.26,2863600
2002-02-26,15.185,15.7,15.185,15.42,1802400
2002-02-27,15.37,15.9,15.37,15.575,1206200
2002-02-28,15.65,15.875,15.5,15.6,2037800
2002-03-01,15.535,15.785,15.425,15.575,876800
2002-03-04,15.575,16.05,15.57,15.75,1859000
2002-03-05,15.825,15.935,15.355,15.465,1623600
2002-03-06,15.54,15.985,15.4,15.98,2725200
2002-03-07,16.125,16.135,15.8,15.925,2488200
2002-03-08,16.0,16.1,15.85,15.99,2349800
2002-03-11,16.125,16.175,15.86,15.87,2376400
2002-03-12,15.87,16.0,15.65,15.995,2037800
2002-03-13,15.9,16.235,15.9,16.09,2471400
2002-03-14,16.075,16.2,15.755,15.99,1977200
2002-03-15,15.95,16.55,15.885,16.425,2560000
2002-03-18,16.5,16.65,16.2,16.44,1548600
2002-03-19,16.445,17.3,16.2,17.135,4998200
2002-03-20,17.0,17.35,17.0,17.18,1822000
2002-03-21,17.185,17.275,16.79,17.175,1355000
2002-03-22,17.325,17.64,17.275,17.515,4143000
2002-03-25,17.6,17.8,17.525,17.555,2465800
2002-03-26,17.55,17.55,16.975,17.075,1939800
2002-03-27,17.05,17.075,16.8,16.95,1961400
2002-03-28,16.975,17.125,16.8,17.08,1666400
2002-04-01,17.1,17.1,16.8,17.055,804200
2002-04-02,17.075,17.15,17.02,17.025,1412600
2002-04-03,17.055,17.285,17.055,17.125,1782600
2002-04-04,17.25,18.0,17.22,17.9,2793600
2002-04-05,18.125,18.675,18.075,18.4,3444000
2002-04-08,18.35,18.6,18.11,18.6,1808800
2002-04-09,18.6,18.6,18.155,18.225,1336200
2002-04-10,18.5,18.775,18.375,18.76,2539000
2002-04-11,18.7,19.4,18.66,19.195,2655600
2002-04-12,19.25,19.275,18.85,18.875,2433400
2002-04-15,18.9,18.9,18.455,18.66,1061000
2002-04-16,18.625,18.65,18.005,18.105,3046200
2002-04-17,18.23,18.725,18.125,18.65,2004400
2002-04-18,18.65,18.65,17.94,18.3,2186200
2002-04-19,18.305,18.325,18.02,18.035,932600
2002-04-22,18.12,18.285,17.925,17.925,2070200
2002-04-23,17.975,18.265,17.925,18.06,2694000
2002-04-24,18.025,18.26,18.0,18.1,1441800
2002-04-25,18.05,18.05,17.6,17.8,3306000
2002-04-26,17.8,17.95,17.6,17.8,1692600
2002-04-29,17.8,18.1,17.565,18.1,1831400
2002-04-30,18.075,18.1,17.62,18.075,2708400
2002-05-01,18.075,18.1,17.505,17.82,2858600
2002-05-02,17.775,18.575,17.775,18.42,1829000
2002-05-03,18.425,18.755,18.4,18.65,1680400
2002-05-06,18.65,18.76,18.425,18.45,1186400
2002-05-07,18.49,18.585,18.325,18.5,1995600
2002-05-08,18.505,18.585,17.955,18.225,2402400
2002-05-09,18.22,18.275,17.95,18.2,1858200
2002-05-10,18.12,18.31,18.02,18.245,1161000
2002-05-13,18.27,18.5,18.26,18.425,1343000
2002-05-14,18.5,18.85,18.35,18.615,2926800
2002-05-15,18.615,18.9,18.525,18.825,2692400
2002-05-16,19.0,19.075,18.5,18.675,2414400
2002-05-17,18.4,18.595,17.94,18.125,3640600
2002-05-20,17.925,18.36,17.9,18.36,4292400
2002-05-21,18.4,18.8,18.15,18.335,5351600
2002-05-22,18.025,18.325,17.91,18.125,2595400
2002-05-23,18.125,18.2,17.875,18.04,1544000
2002-05-24,18.1,18.2,18.0,18.0,862400
2002-05-28,17.875,18.0,17.625,17.7,1264000
2002-05-29,17.6,17.875,17.56,17.685,1992400
2002-05-30,17.65,17.975,17.495,17.71,2403200
2002-05-31,17.8,18.455,17.75,18.375,3684400
2002-06-03,18.375,18.8,18.26,18.475,2722800
2002-06-04,18.45,18.465,18.0,18.125,2377400
2002-06-05,18.15,18.625,18.125,18.55,2230600
2002-06-06,18.55,18.74,18.13,18.225,2511200
2002-06-07,18.075,18.53,18.03,18.2,1876600
2002-06-10,18.3,18.3,17.9,18.25,2969000
2002-06-11,18.25,18.725,17.8,17.875,2597000
2002-06-12,17.975,18.55,17.8,18.55,3254600
2002-06-13,18.45,18.7,18.175,18.475,3847800
2002-06-14,18.35,18.35,17.975,18.12,1983800
2002-06-17,18.075,18.325,18.025,18.325,1441200
