,open,high,low,close,volume
2001-02-22,33.505,33.505,32.435,33.18,1051800
2001-02-23,33.175,33.25,32.475,32.525,1124500
2001-02-26,32.85,33.85,32.7,33.715,1026050
2001-02-27,33.925,34.595,33.79,33.895,702100
2001-02-28,34.1,34.2,32.84,33.45,882600
2001-03-01,33.45,33.45,31.71,32.95,1484850
2001-03-02,32.95,33.705,32.21,33.16,1097350
2001-03-05,33.0,34.1,32.85,33.8,668250
2001-03-06,34.3,34.905,34.25,34.435,751700
2001-03-07,34.44,34.925,33.55,33.6,878400
2001-03-08,33.9,34.15,33.35,33.95,743550
2001-03-09,33.95,34.895,32.98,34.895,2528300
2001-03-12,34.895,35.6,34.475,35.09,2001550
2001-03-13,35.095,35.095,33.95,34.56,2398850
2001-03-14,34.15,34.65,33.15,33.155,1866750
2001-03-15,33.375,33.625,32.855,33.485,1378750
2001-03-16,33.175,33.175,30.51,30.89,2467600
2001-03-19,31.49,32.25,31.2,32.25,1511000
2001-03-20,32.5,33.31,31.805,31.83,2004750
2001-03-21,31.58,31.585,29.5,29.905,2892700
2001-03-22,30.405,30.405,28.875,29.99,2568700
2001-03-23,30.75,30.825,29.81,29.995,1474850
2001-03-26,30.12,32.075,30.1,31.88,1736450
2001-03-27,31.1,33.0,31.06,31.775,1941200
2001-03-28,31.35,31.355,29.845,30.505,1628800
2001-03-29,30.475,30.725,29.95,30.235,954150
2001-03-30,30.7,31.55,30.45,31.0,1079800
2001-04-02,30.925,31.685,30.275,30.8,829250
2001-04-03,31.0,31.05,29.675,30.0,1283550
2001-04-04,29.975,30.395,29.775,30.05,1660550
2001-04-05,30.85,31.795,30.75,31.475,837450
2001-04-06,31.125,31.345,30.445,30.625,963700
2001-04-09,29.8,31.215,29.8,31.1,932000
2001-04-10,31.5,32.395,30.5,31.83,1390100
2001-04-11,32.33,32.42,31.4,31.61,1152600
2001-04-12,31.975,32.98,31.69,32.5,1116850
2001-04-16,32.5,32.5,32.005,32.35,612550
2001-04-17,32.35,32.495,32.005,32.025,785150
2001-04-18,32.5,33.78,32.325,33.45,2301950
2001-04-19,33.575,33.575,32.575,32.955,1303900
2001-04-20,33.08,33.22,32.495,32.67,926250
2001-04-23,32.6,32.605,32.06,32.35,742250
2001-04-24,32.35,32.52,31.61,31.61,985850
2001-04-25,31.615,32.645,31.25,32.425,936000
2001-04-26,32.475,33.1,32.395,32.755,833650
2001-04-27,33.125,33.635,32.95,33.57,480200
2001-04-30,33.57,34.65,33.285,33.325,944750
2001-05-01,33.2,33.3,32.5,33.01,1181200
2001-05-02,32.75,32.75,31.975,32.55,1432650
2001-05-03,32.525,32.525,32.025,32.24,751350
2001-05-04,32.245,33.075,32.0,32.9,635200
2001-05-07,32.725,33.175,32.71,32.975,352250
2001-05-08,33.0,33.305,32.8,32.85,466650
2001-05-09,32.875,33.05,32.25,32.43,672250
2001-05-10,32.68,33.0,32.475,32.83,572000
2001-05-11,33.025,33.03,32.13,32.32,542050
2001-05-14,32.445,32.55,32.105,32.4,525500
2001-05-15,32.5,32.875,32.295,32.75,608600
2001-05-16,32.755,33.85,32.605,33.755,653800
2001-05-17,34.575,34.925,34.255,34.53,971800
2001-05-18,34.8,34.89,34.435,34.59,596850
2001-05-21,34.625,35.8,34.53,35.8,691150
2001-05-22,36.0,36.045,35.27,35.55,689550
2001-05-23,35.25,35.25,34.45,34.82,622250
2001-05-24,34.75,35.5,34.75,35.305,548150
2001-05-25,35.05,35.2,34.425,34.665,568400
2001-05-29,34.475,34.925,34.42,34.5,418300
2001-05-30,34.3,34.5,33.335,33.515,941300
2001-05-31,33.5,34.245,33.45,33.855,760900
