,open,high,low,close,volume
2001-02-22,22.3,22.5,21.85,22.0,863200
2001-02-23,22.22,22.22,21.4,21.4,489400
2001-02-26,21.5,22.08,21.46,21.6,713800
2001-02-27,21.7,21.73,21.0,21.03,3510000
2001-02-28,20.0,20.4,19.6,20.4,2340000
2001-03-01,20.35,20.35,19.6,19.6,1541200
2001-03-02,21.0,21.1,20.77,21.1,1810200
2001-03-05,21.2,21.4,20.95,21.0,369000
2001-03-06,18.35,18.95,18.31,18.8,2391700
2001-03-07,19.0,19.09,18.5,18.56,791800
2001-03-08,18.55,18.56,18.21,18.21,369600
2001-03-09,18.3,18.43,18.25,18.3,713000
2001-03-12,18.36,18.8,18.25,18.3,978900
2001-03-13,18.4,18.6,18.32,18.4,664900
2001-03-14,18.12,18.12,17.5,17.71,525300
2001-03-15,17.96,18.08,17.8,18.08,667000
2001-03-16,18.0,18.08,17.77,18.01,572200
2001-03-19,18.0,18.1,17.9,18.1,685600
2001-03-20,18.0,18.07,17.9,17.92,466900
2001-03-21,17.98,17.99,17.55,17.66,204300
2001-03-22,17.55,17.84,16.77,17.3,295600
2001-03-23,17.2,17.25,16.59,16.8,287500
2001-03-26,16.8,17.6,16.8,17.6,561300
2001-03-27,17.65,17.8,17.61,17.65,214800
2001-03-28,17.65,17.89,17.31,17.7,386400
2001-03-29,17.6,17.7,17.24,17.5,229600
2001-03-30,17.7,17.7,17.38,17.38,461600
2001-04-02,17.3,17.7,17.13,17.5,679500
2001-04-03,17.7,17.7,17.2,17.55,703600
2001-04-04,17.35,17.7,17.35,17.4,651800
2001-04-05,17.45,17.46,17.2,17.35,299200
2001-04-06,17.35,17.59,16.9,17.4,714600
2001-04-09,17.25,18.22,17.25,18.05,360400
2001-04-10,18.0,18.49,18.0,18.35,998200
2001-04-11,18.25,18.26,18.05,18.2,623800
2001-04-12,18.23,18.4,17.99,18.4,261300
2001-04-16,18.3,18.31,18.01,18.16,413700
2001-04-17,17.91,18.3,17.91,18.15,1042300
2001-04-18,18.25,18.36,18.01,18.18,783000
2001-04-19,18.2,18.24,18.04,18.11,355600
2001-04-20,18.1,18.16,18.07,18.1,726200
2001-04-23,18.1,18.18,18.01,18.15,212900
2001-04-24,18.2,18.3,18.16,18.3,568800
2001-04-25,18.23,18.3,18.18,18.3,242800
2001-04-26,18.25,18.46,18.2,18.25,1107900
2001-04-27,18.25,18.32,18.05,18.25,824500
2001-04-30,18.27,18.29,17.85,17.85,564300
2001-05-01,17.95,17.98,17.5,17.5,463500
2001-05-02,17.28,17.53,16.92,17.52,682000
2001-05-03,17.52,18.25,17.5,18.0,563700
2001-05-04,17.9,18.09,17.73,18.09,336000
2001-05-07,18.09,18.19,18.0,18.0,294000
2001-05-08,18.1,18.18,18.01,18.01,155500
2001-05-09,18.02,18.09,17.9,18.08,273600
2001-05-10,18.08,18.08,17.8,17.9,207900
2001-05-11,17.9,17.95,17.68,17.95,116900
2001-05-14,17.95,18.16,17.91,18.15,215800
2001-05-15,18.0,18.2,17.92,18.2,236400
2001-05-16,18.05,18.25,18.05,18.25,365800
2001-05-17,18.1,18.45,18.0,18.45,299800
2001-05-18,18.3,18.57,18.3,18.57,669600
2001-05-21,18.35,18.73,18.35,18.73,231700
2001-05-22,18.6,18.76,18.53,18.7,308500
2001-05-23,18.7,19.24,18.63,19.19,1364900
2001-05-24,19.04,19.3,18.96,19.3,264800
2001-05-25,19.1,19.25,19.0,19.15,290200
2001-05-29,19.25,19.25,19.02,19.02,867400
2001-05-30,19.0,19.24,18.88,18.88,438900
2001-05-31,19.0,19.24,19.0,19.24,290500
2001-06-01,19.05,19.48,19.0,19.48,564900
2001-06-04,19.48,19.5,19.33,19.42,526400
