,open,high,low,close,volume
2001-02-22,49.95,49.95,49.05,49.16,69400
2001-02-23,49.16,49.94,49.16,49.9,102700
2001-02-26,49.9,50.31,49.85,50.05,93000
2001-02-27,50.05,50.05,49.65,49.9,80500
2001-02-28,49.8,50.25,49.66,50.15,73600
2001-03-01,50.05,50.95,49.9,50.85,36100
2001-03-02,50.65,51.75,50.65,51.58,125900
2001-03-05,51.63,51.68,51.21,51.21,14100
2001-03-06,51.55,51.7,51.5,51.68,22500
2001-03-07,51.78,52.14,51.57,51.57,41100
2001-03-08,51.55,51.64,51.3,51.44,25100
2001-03-09,51.34,51.55,51.1,51.47,33100
2001-03-12,51.47,51.47,50.95,51.0,23200
2001-03-13,51.0,51.24,50.95,51.16,17700
2001-03-14,51.26,51.26,50.9,50.9,39700
2001-03-15,50.8,51.25,50.76,51.0,25600
2001-03-16,51.2,51.35,50.65,50.65,33700
2001-03-19,50.65,51.05,50.5,51.04,37000
2001-03-20,51.14,51.88,50.8,50.9,47800
2001-03-21,50.8,51.0,49.6,49.6,33100
2001-03-22,49.6,49.6,47.55,49.4,83000
2001-03-23,49.5,50.58,49.5,49.85,38200
2001-03-26,49.87,50.48,49.4,49.6,35600
2001-03-27,49.5,49.5,48.5,48.55,61800
2001-03-28,47.95,47.95,46.96,47.44,96300
2001-03-29,47.34,47.85,47.1,47.85,69400
2001-03-30,47.8,48.25,47.8,48.05,106000
2001-04-02,48.15,48.25,47.7,47.8,61400
2001-04-03,47.6,47.6,46.01,46.34,94400
2001-04-04,46.44,46.63,45.24,45.45,79000
2001-04-05,45.55,46.0,45.3,45.65,71900
2001-04-06,44.4,45.6,44.0,44.6,119800
2001-04-09,44.55,44.75,44.36,44.6,99100
2001-04-10,44.5,44.5,44.1,44.17,219200
2001-04-11,44.24,44.24,43.07,43.34,134300
2001-04-12,43.35,43.55,43.15,43.35,48500
2001-04-16,43.35,43.35,42.28,43.2,157900
2001-04-17,43.0,44.13,42.87,44.13,78900
2001-04-18,43.75,45.2,43.75,44.71,367000
2001-04-19,45.01,45.46,44.51,45.46,356300
2001-04-20,45.36,45.36,44.75,44.75,119400
2001-04-23,44.85,45.14,44.7,44.75,32600
2001-04-24,44.95,45.64,44.91,45.64,55300
2001-04-25,45.44,48.5,45.44,48.37,137400
2001-04-26,48.12,48.3,47.85,48.02,93600
2001-04-27,48.02,48.32,48.02,48.18,28400
2001-04-30,48.08,48.25,47.0,47.0,43800
2001-05-01,47.25,47.6,46.8,46.8,108200
2001-05-02,47.0,47.0,46.34,46.7,103500
2001-05-03,46.6,46.8,46.32,46.8,69000
2001-05-04,46.55,47.12,46.49,47.0,85300
2001-05-07,46.95,47.09,46.75,46.75,61400
2001-05-08,46.85,46.87,46.5,46.83,56000
2001-05-09,46.7,47.0,46.65,46.77,49500
2001-05-10,46.57,46.68,46.47,46.6,87900
2001-05-11,46.6,46.74,46.6,46.6,32300
2001-05-14,46.7,46.99,46.7,46.92,38700
2001-05-15,47.02,47.06,46.61,46.99,39200
2001-05-16,46.89,47.4,46.89,47.1,114700
2001-05-17,47.2,47.47,47.01,47.26,41500
2001-05-18,47.25,47.55,47.0,47.0,150300
2001-05-21,47.1,47.1,46.74,46.9,50900
2001-05-22,46.8,47.05,46.76,46.92,80700
2001-05-23,46.92,47.0,46.45,46.95,69400
2001-05-24,47.0,47.35,46.8,47.35,61300
2001-05-25,47.4,47.47,46.82,46.9,19100
2001-05-29,46.9,48.0,46.9,47.55,26400
2001-05-30,47.51,47.51,47.01,47.01,14000
2001-05-31,47.11,47.35,46.9,47.0,85300
2001-06-01,47.0,47.16,46.97,47.11,26000
2001-06-04,47.06,47.69,47.0,47.69,22900
2001-06-05,47.54,47.9,47.17,47.87,458500
2001-06-06,47.87,48.26,47.85,47.97,19100
2001-06-07,47.97,48.2,47.78,48.05,26100
2001-06-08,48.0,48.5,48.0,48.02,33200
2001-06-11,48.12,48.97,48.11,48.77,65800
2001-06-12,48.67,49.66,48.67,49.66,44200
2001-06-13,49.66,49.76,49.44,49.44,11600
2001-06-14,49.34,49.53,49.01,49.32,23400
2001-06-15,49.57,49.97,49.5,49.66,94800
2001-06-18,49.76,50.35,49.71,50.35,38600
2001-06-19,50.55,50.55,49.75,49.85,176600
2001-06-20,49.95,50.1,49.92,50.05,47500
2001-06-21,50.06,50.35,49.96,50.3,14400
2001-06-22,50.3,50.63,50.18,50.6,24900
2001-06-25,50.45,50.73,50.34,50.36,29800
2001-06-26,50.61,50.91,50.36,50.91,22800
2001-06-27,50.11,50.29,49.82,50.14,161300
2001-06-28,50.24,50.76,50.16,50.38,38400
2001-06-29,50.28,50.97,49.55,49.55,86000
2001-07-02,49.65,50.06,49.58,50.02,37900
2001-07-03,49.62,49.8,49.36,49.75,41300
2001-07-05,49.5,49.72,49.3,49.4,117600
2001-07-06,49.45,49.45,48.76,49.3,26900
2001-07-09,49.4,49.4,48.55,49.07,42900
2001-07-10,49.15,49.3,49.15,49.22,49800
2001-07-11,49.28,49.28,48.95,49.11,58700
2001-07-12,49.11,49.31,48.93,49.3,89600
2001-07-13,49.5,49.61,49.35,49.45,45900
2001-07-16,49.55,49.75,49.51,49.64,32900
2001-07-17,49.79,50.2,49.79,49.81,122600
2001-07-18,49.91,50.2,49.72,49.91,84200
2001-07-19,49.91,50.21,49.84,50.17,18700
2001-07-20,50.07,51.11,50.07,50.78,45300
2001-07-23,51.03,51.09,50.53,50.55,19300
2001-07-24,50.56,50.81,50.56,50.65,17300
2001-07-25,50.61,50.62,50.29,50.5,48700
2001-07-26,50.4,50.51,50.4,50.4,37700
2001-07-27,50.2,51.29,50.15,50.72,37800
2001-07-30,50.71,50.81,50.2,50.73,47100
2001-07-31,50.68,51.09,50.68,50.9,20000
2001-08-01,51.05,51.15,51.0,51.15,58600
2001-08-02,51.25,51.85,51.2,51.7,138300
2001-08-03,51.75,51.75,51.2,51.36,32300
2001-08-06,51.61,52.21,51.61,51.95,18700
2001-08-07,52.15,52.42,51.85,52.04,40700
2001-08-08,52.14,52.69,52.14,52.35,77700
2001-08-09,52.34,52.79,52.25,52.79,32400
2001-08-10,52.79,53.15,52.61,52.85,39600
2001-08-13,52.85,52.88,52.61,52.65,22300
2001-08-14,52.55,52.95,52.52,52.92,44000
2001-08-15,53.02,53.67,52.85,53.37,36200
2001-08-16,53.47,53.76,53.38,53.74,48700
2001-08-17,53.52,53.92,53.3,53.9,67900
2001-08-20,54.1,54.39,53.95,54.02,54500
2001-08-21,54.1,54.47,54.1,54.12,76400
2001-08-22,54.09,54.65,54.0,54.62,45900
2001-08-23,54.55,54.67,54.25,54.45,25500
2001-08-24,54.43,54.45,53.5,53.95,24900
2001-08-27,53.95,53.96,53.35,53.43,89000
2001-08-28,53.43,53.43,53.24,53.28,28800
2001-08-29,53.18,53.18,52.27,52.9,46600
2001-08-30,52.7,53.17,52.16,52.81,27400
2001-08-31,52.8,52.8,52.04,52.1,79900
2001-09-04,52.0,52.28,51.9,51.9,64600
2001-09-05,51.8,52.19,51.73,51.86,23400
2001-09-06,51.86,51.86,51.24,51.31,40500
2001-09-07,51.36,51.4,50.9,50.99,39100
2001-09-10,51.0,51.1,50.62,50.88,27200
2001-09-17,50.5,50.55,49.44,49.44,35900
2001-09-18,49.49,50.13,49.49,49.8,20900
2001-09-19,49.9,49.9,49.1,49.5,100900
2001-09-20,49.35,49.35,48.5,48.54,30700
2001-09-21,48.44,48.45,47.5,48.09,66600
2001-09-24,48.1,48.14,47.89,47.97,32600
2001-09-25,47.99,48.1,47.8,47.81,67900
2001-09-26,47.26,47.72,47.0,47.65,265100
2001-09-27,47.7,48.25,47.7,48.03,37800
2001-09-28,47.93,49.2,47.93,49.1,97100
2001-10-01,49.2,49.2,48.48,49.05,29400
2001-10-02,49.25,49.49,48.15,48.49,130000
2001-10-03,48.39,48.39,46.0,46.51,287000
2001-10-04,46.35,47.3,45.8,47.25,222500
2001-10-05,47.25,47.84,46.01,47.5,109800
2001-10-08,47.55,47.92,47.49,47.85,58900
2001-10-09,47.9,48.01,47.71,47.8,42200
2001-10-10,47.9,48.65,47.9,48.65,39900
2001-10-11,48.9,49.95,48.9,49.65,69900
2001-10-12,49.55,49.55,49.1,49.35,34800
2001-10-15,49.4,51.05,49.35,50.5,280700
2001-10-16,50.5,50.75,50.25,50.68,176500
2001-10-17,50.68,50.68,49.9,50.28,61200
2001-10-18,50.2,50.49,50.2,50.4,144700
2001-10-19,50.3,50.38,50.12,50.12,89700
2001-10-22,49.25,49.65,48.55,49.51,90600
2001-10-23,49.35,50.2,49.35,49.48,398500
2001-10-24,49.3,49.4,48.8,49.0,319600
2001-10-25,49.0,49.0,47.52,48.44,162900
2001-10-26,47.95,48.0,46.87,47.32,191700
2001-10-29,47.42,47.92,46.45,47.5,292100
2001-10-30,47.3,47.31,46.44,46.6,315100
2001-10-31,47.0,47.01,46.5,46.85,142400
2001-11-01,47.0,47.6,46.31,47.06,201700
2001-11-02,47.06,47.1,46.62,46.93,65000
2001-11-05,46.8,47.05,46.29,46.6,76200
2001-11-06,46.5,47.15,46.23,47.05,133200
2001-11-07,46.95,47.93,46.15,46.32,167600
2001-11-08,46.12,46.4,46.0,46.16,108400
2001-11-09,46.16,46.25,45.55,45.74,70800
2001-11-12,45.65,46.38,45.5,46.2,56600
2001-11-13,46.0,46.89,46.0,46.74,125300
2001-11-14,47.0,47.15,46.6,46.77,173700
2001-11-15,46.9,47.53,46.77,47.26,31600
2001-11-16,47.2,48.02,47.14,47.75,172300
2001-11-19,47.7,48.3,47.65,47.75,169200
2001-11-20,47.75,48.5,47.52,47.52,86500
2001-11-21,47.65,48.55,47.55,48.5,91500
2001-11-23,48.4,48.55,48.07,48.48,25900
2001-11-26,48.4,48.75,48.05,48.28,29300
2001-11-27,48.2,48.34,47.48,47.98,51100
2001-11-28,48.05,48.6,47.7,47.71,25700
2001-11-29,47.85,48.0,47.69,47.83,48800
2001-11-30,47.83,47.83,47.39,47.68,119300
2001-12-03,47.5,48.13,47.5,47.97,30900
2001-12-04,47.97,48.71,47.97,48.5,59400
2001-12-05,48.5,49.45,48.5,48.76,64900
2001-12-06,48.86,49.25,48.71,49.22,51000
2001-12-07,49.2,49.35,49.11,49.29,64500
2001-12-10,49.29,49.29,48.57,48.6,23700
2001-12-11,48.55,49.45,48.45,49.12,38300
2001-12-12,49.2,49.7,48.98,49.3,106800
2001-12-13,49.31,49.35,48.94,48.95,83200
2001-12-14,48.8,49.45,48.8,48.95,67500
2001-12-17,49.0,49.68,48.95,49.68,49000
2001-12-18,49.75,49.93,49.3,49.69,115600
2001-12-19,49.55,49.74,49.5,49.6,45600
2001-12-20,49.55,49.57,49.2,49.36,238000
2001-12-21,49.4,49.4,49.28,49.3,75500
2001-12-24,49.34,49.7,49.34,49.6,13800
2001-12-26,49.7,50.05,49.7,50.01,61500
2001-12-27,49.2,49.64,49.2,49.64,232800
2001-12-28,49.55,50.0,49.5,49.75,118000
2001-12-31,49.66,49.87,49.12,49.41,49000
2002-01-02,49.5,49.5,48.4,49.3,52000
2002-01-03,49.2,49.75,49.1,49.7,33200
2002-01-04,49.6,49.84,49.15,49.47,33600
2002-01-07,49.4,49.69,49.15,49.15,43200
2002-01-08,49.05,49.3,49.05,49.3,18600
2002-01-09,49.25,49.45,49.25,49.33,20300
2002-01-10,49.2,49.5,49.05,49.41,20000
2002-01-11,49.5,49.5,49.15,49.15,15300
2002-01-14,49.15,49.5,48.8,49.5,73500
2002-01-15,49.3,49.3,48.8,48.93,45800
2002-01-16,49.0,49.0,48.4,48.4,28900
2002-01-17,48.45,48.46,48.05,48.12,68300
2002-01-18,48.05,48.05,47.27,47.31,56700
2002-01-22,47.45,47.74,47.35,47.35,21000
2002-01-23,47.35,47.65,47.15,47.45,59000
2002-01-24,47.4,47.62,47.1,47.55,50900
2002-01-25,47.6,47.6,46.8,46.95,49100
2002-01-28,46.85,46.85,46.21,46.65,55300
2002-01-29,46.52,46.52,46.01,46.44,49000
2002-01-30,46.5,46.54,46.0,46.43,190700
2002-01-31,46.43,46.43,46.17,46.34,77500
2002-02-01,46.34,46.63,46.1,46.53,47500
2002-02-04,46.35,46.51,46.3,46.51,26300
2002-02-05,46.4,46.55,46.13,46.2,33000
2002-02-06,46.3,46.33,46.0,46.3,47400
2002-02-07,46.4,46.43,46.1,46.4,26200
2002-02-08,46.4,46.54,46.0,46.54,183800
2002-02-11,46.5,46.8,46.5,46.75,96000
2002-02-12,46.75,46.97,46.72,46.77,56200
2002-02-13,46.79,47.05,46.5,47.05,33500
2002-02-14,47.1,47.48,46.98,47.12,31100
2002-02-15,47.3,47.55,47.24,47.3,35600
2002-02-19,47.3,47.45,46.97,47.17,126800
2002-02-20,47.17,47.45,46.84,47.45,78000
2002-02-21,47.45,47.5,47.18,47.18,65900
2002-02-22,47.18,47.59,47.02,47.59,101600
2002-02-25,47.65,47.75,47.1,47.13,54300
2002-02-26,47.13,47.5,47.0,47.37,105800
2002-02-27,47.5,47.5,47.09,47.37,67600
2002-02-28,47.37,47.81,47.37,47.4,95400
2002-03-01,47.4,47.85,47.4,47.8,74500
2002-03-04,47.95,48.79,47.95,48.68,82000
2002-03-05,48.48,50.4,48.48,50.0,88500
2002-03-06,50.03,50.16,49.31,49.83,102900
2002-03-07,49.83,49.99,49.65,49.88,24600
2002-03-08,49.99,49.99,49.63,49.86,76800
2002-03-11,49.8,50.08,49.75,49.95,29300
2002-03-12,49.95,50.39,49.78,50.3,27900
2002-03-13,50.3,50.35,50.05,50.35,40000
2002-03-14,50.35,51.1,50.23,51.1,41400
2002-03-15,51.0,51.7,50.89,51.14,57100
2002-03-18,51.15,52.3,51.14,52.24,81400
2002-03-19,52.1,52.56,52.1,52.35,87900
2002-03-20,52.5,52.68,52.3,52.6,94700
2002-03-21,52.45,53.28,52.45,53.26,84500
2002-03-22,53.26,53.97,53.15,53.97,98800
2002-03-25,53.75,53.87,53.3,53.65,111800
2002-03-26,53.0,53.15,51.9,52.43,302100
2002-03-27,52.6,53.47,52.31,53.4,54100
2002-03-28,53.25,53.41,52.15,52.18,59400
2002-04-01,52.18,52.71,52.18,52.32,29900
2002-04-02,52.3,52.7,52.3,52.32,17500
2002-04-03,52.32,52.7,52.08,52.6,38100
2002-04-04,52.61,52.66,52.15,52.37,42100
2002-04-05,52.47,53.04,52.47,52.85,34000
2002-04-08,52.9,53.28,52.83,53.24,41000
2002-04-09,53.35,53.4,53.0,53.1,82900
2002-04-10,53.2,54.1,53.2,54.02,67300
2002-04-11,54.02,54.02,53.32,53.41,44400
2002-04-12,53.3,55.15,53.27,55.15,66600
2002-04-15,55.15,55.49,54.04,54.25,37600
2002-04-16,54.45,54.45,53.35,53.5,35700
2002-04-17,53.75,53.75,53.1,53.35,245100
2002-04-18,53.2,53.52,52.97,53.3,77800
2002-04-19,53.35,53.35,52.9,53.0,65700
2002-04-22,52.9,52.9,51.77,51.83,53700
2002-04-23,52.2,52.36,51.0,51.2,619400
2002-04-24,51.1,51.75,51.01,51.65,1490200
2002-04-25,52.3,53.14,52.05,52.51,236200
2002-04-26,52.41,52.47,51.9,52.15,62800
2002-04-29,52.07,52.07,51.6,51.94,103500
2002-04-30,51.95,52.58,51.95,52.0,122400
2002-05-01,52.0,52.4,51.66,52.39,82400
2002-05-02,52.35,53.2,52.35,52.75,91300
2002-05-03,52.7,52.88,52.55,52.66,57900
2002-05-06,52.8,52.88,52.37,52.44,54300
2002-05-07,52.3,52.38,52.16,52.2,67600
2002-05-08,52.28,52.28,51.42,51.93,39100
2002-05-09,51.93,51.93,51.5,51.6,59000
2002-05-10,51.05,51.05,50.5,50.73,108300
2002-05-13,50.55,51.27,50.23,50.8,48700
2002-05-14,50.7,50.88,50.31,50.88,48100
2002-05-15,50.95,51.45,50.94,51.25,26700
2002-05-16,51.2,51.2,50.13,50.33,58000
2002-05-17,50.45,50.6,50.1,50.45,39100
2002-05-20,50.65,50.65,50.17,50.2,27500
2002-05-21,50.1,50.3,49.76,50.3,35000
2002-05-22,50.15,50.81,50.01,50.48,46200
2002-05-23,50.7,51.99,50.55,51.8,75300
2002-05-24,51.7,52.0,51.52,52.0,37400
2002-05-28,52.0,52.28,52.0,52.28,49900
2002-05-29,52.15,52.4,51.95,52.35,23400
2002-05-30,51.75,52.29,51.71,52.0,173100
2002-05-31,52.0,52.54,52.0,52.15,102600
2002-06-03,52.2,52.2,51.49,51.95,33700
2002-06-04,52.05,52.7,52.05,52.66,41900
2002-06-05,52.6,53.59,52.6,52.81,53300
2002-06-06,52.81,53.56,52.75,53.4,116500
2002-06-07,53.4,54.47,53.2,54.02,240300
2002-06-10,54.0,54.2,53.74,53.84,68000
