,open,high,low,close,volume
2001-02-22,28.0,28.4,27.81,28.01,610800
2001-02-23,28.25,28.31,27.01,27.47,438700
2001-02-26,28.15,28.26,27.58,27.83,478000
2001-02-27,27.83,28.5,27.7,27.98,481000
2001-02-28,28.23,28.38,27.75,28.17,552900
2001-03-01,28.18,28.34,27.86,27.97,812200
2001-03-02,28.4,28.4,27.6,27.85,688900
2001-03-05,27.85,28.18,27.7,27.99,538800
2001-03-06,28.24,28.24,27.51,27.73,486200
2001-03-07,27.49,28.33,27.49,28.05,698300
2001-03-08,28.26,28.4,27.91,28.15,541200
2001-03-09,28.1,28.1,27.61,27.95,406200
2001-03-12,28.19,28.19,27.75,27.8,489500
2001-03-13,27.8,27.98,27.43,27.62,447800
2001-03-14,27.2,27.35,26.6,26.97,673400
2001-03-15,27.0,27.5,26.9,27.41,424300
2001-03-16,26.5,27.41,26.5,27.12,731200
2001-03-19,27.2,27.41,26.64,26.86,888300
2001-03-20,26.9,27.2,26.45,26.74,700600
2001-03-21,26.49,27.6,26.47,26.76,810300
2001-03-22,27.0,27.2,25.34,25.89,1135100
2001-03-23,25.64,26.15,25.1,26.0,794700
2001-03-26,26.0,27.06,25.85,26.99,554600
2001-03-27,27.06,27.45,27.06,27.25,464300
2001-03-28,27.31,27.54,26.46,27.19,984100
2001-03-29,27.25,27.65,26.63,27.51,561900
2001-03-30,27.6,28.0,27.35,27.92,595300
2001-04-02,27.75,28.34,27.59,28.0,1207600
2001-04-03,28.0,28.22,27.1,27.99,677000
2001-04-04,28.1,28.4,27.71,27.8,1093200
2001-04-05,27.8,28.15,27.33,28.0,736000
2001-04-06,27.75,27.99,26.8,27.4,544400
2001-04-09,27.51,28.27,27.28,27.85,628800
2001-04-10,28.0,29.15,28.0,28.5,899200
2001-04-11,28.25,28.25,27.46,27.89,747300
2001-04-12,27.99,28.24,27.68,27.99,772300
2001-04-16,27.74,28.59,27.74,28.46,384200
2001-04-17,28.26,29.4,28.26,28.8,952100
2001-04-18,29.2,29.2,27.9,28.38,1068800
2001-04-19,28.5,28.7,27.74,28.53,952600
2001-04-20,28.8,28.92,27.8,28.07,1028000
2001-04-23,28.4,28.88,28.25,28.61,615000
2001-04-24,28.72,29.7,28.72,29.43,1769500
2001-04-25,29.85,29.88,29.32,29.55,1371900
2001-04-26,29.56,29.68,29.1,29.51,1801700
2001-04-27,29.75,30.05,29.5,30.01,943000
2001-04-30,30.05,30.65,30.0,30.3,1007800
2001-05-01,30.1,30.62,29.9,30.15,986500
2001-05-02,30.1,30.14,29.8,30.0,1268900
2001-05-03,29.59,29.85,29.1,29.46,705000
2001-05-04,29.5,29.98,29.28,29.96,423500
2001-05-07,30.05,30.06,29.56,29.8,556400
2001-05-08,29.7,29.7,29.15,29.38,613700
2001-05-09,29.13,29.45,29.01,29.26,802100
2001-05-10,29.5,29.5,29.11,29.31,491000
2001-05-11,29.2,29.8,29.2,29.72,304700
2001-05-14,29.6,30.25,29.6,29.95,619900
2001-05-15,29.75,29.85,29.51,29.65,423500
2001-05-16,29.75,29.79,29.2,29.79,513700
2001-05-17,29.58,30.1,29.46,29.54,583100
2001-05-18,29.5,29.83,29.35,29.37,709400
2001-05-21,29.49,29.62,29.23,29.4,1369000
2001-05-22,29.3,29.59,29.06,29.43,317200
2001-05-23,29.25,30.03,29.25,29.87,879500
2001-05-24,29.88,30.58,29.8,30.0,3401300
2001-05-25,30.25,30.5,29.93,30.25,1460300
2001-05-29,30.25,30.38,29.81,30.25,968500
2001-05-30,30.05,30.66,30.05,30.39,1088700
2001-05-31,30.25,30.71,30.15,30.65,1168600
2001-06-01,30.79,30.85,29.85,30.77,752800
2001-06-04,30.77,31.19,30.77,31.05,1082700
2001-06-05,31.05,31.1,30.55,30.76,1668700
2001-06-06,30.51,30.63,30.1,30.2,1516500
2001-06-07,30.2,30.4,29.1,29.24,2655600
2001-06-08,29.25,30.0,29.2,29.86,778100
2001-06-11,29.75,30.75,29.75,30.6,944300
2001-06-12,31.5,31.9,30.65,31.01,2056400
2001-06-13,31.1,31.65,30.86,31.01,1269100
2001-06-14,31.01,31.18,30.15,30.28,2223600
2001-06-15,30.15,31.73,30.15,30.82,1240000
2001-06-18,30.82,31.35,30.66,31.14,521300
2001-06-19,31.0,31.76,31.0,31.64,884900
2001-06-20,31.64,32.06,31.55,31.9,1109200
2001-06-21,31.7,31.87,31.0,31.6,947200
2001-06-22,31.6,31.92,31.1,31.48,893600
2001-06-25,31.15,31.65,30.9,30.91,638100
2001-06-26,30.92,31.59,30.65,31.42,1010400
