,open,high,low,close,volume
2000-12-21,16.09375,16.09375,15.75,15.875,1307400
2000-12-22,15.875,15.875,15.4375,15.625,1782800
2000-12-26,15.75,15.75,15.0,15.21875,1032400
2000-12-27,15.3125,15.4375,15.15625,15.375,2594800
2000-12-28,15.3125,15.625,15.3125,15.625,1897800
2000-12-29,15.6875,16.28125,15.625,16.125,1919200
2001-01-02,16.375,16.625,16.09375,16.125,1424400
2001-01-03,16.28125,17.9375,16.25,17.90625,3167000
2001-01-04,17.78125,18.28125,17.71875,18.25,1770600
2001-01-05,18.5625,18.75,17.46875,17.625,2454200
2001-01-08,18.0,18.0,17.34375,17.71875,2540800
2001-01-09,17.6875,17.9375,17.4375,17.65625,2192800
2001-01-10,17.4375,17.59375,17.28125,17.5625,1650600
2001-01-11,17.5625,19.1875,17.5625,19.09375,2368000
2001-01-12,18.6875,19.75,18.6875,19.4375,3094000
2001-01-16,19.6875,19.6875,19.25,19.46875,1447200
2001-01-17,20.0625,20.375,19.78125,19.8125,1381400
2001-01-18,20.25,20.375,20.0625,20.25,1393600
2001-01-19,20.25,20.25,19.625,20.0625,553600
2001-01-22,20.0,20.0,19.5625,19.59375,970000
2001-01-23,19.375,19.40625,18.59375,19.21875,2145600
2001-01-24,19.25,19.75,19.1875,19.40625,923200
2001-01-25,19.53125,19.75,19.53125,19.5625,467000
2001-01-26,19.3125,19.3125,18.875,18.96875,1025600
2001-01-29,18.525,19.335,18.525,19.27,1122400
2001-01-30,19.35,19.45,18.97,19.45,785200
2001-01-31,19.4,19.495,19.275,19.495,683600
2001-02-01,19.495,19.495,19.315,19.39,365800
2001-02-02,19.325,19.35,18.925,19.05,1479000
2001-02-05,18.25,18.75,18.16,18.65,1565000
2001-02-06,18.55,19.15,18.55,18.75,1579200
2001-02-07,19.7,19.875,19.125,19.385,2323400
2001-02-08,19.625,19.85,19.25,19.29,1262200
2001-02-09,19.325,19.375,18.775,19.22,619800
2001-02-12,19.65,20.1,19.65,20.06,1487800
2001-02-13,20.75,21.1,20.625,20.7,2957600
2001-02-14,21.0,21.05,20.325,20.69,2683000
2001-02-15,20.75,20.805,20.575,20.75,1446000
2001-02-16,20.3,20.5,20.0,20.0,1713800
2001-02-20,19.99,20.0,19.635,19.65,1446200
2001-02-21,19.65,19.875,18.55,18.95,3963000
2001-02-22,18.625,18.635,18.25,18.525,2035400
2001-02-23,18.55,18.55,18.145,18.495,762200
2001-02-26,18.75,18.75,18.465,18.71,1250000
2001-02-27,18.675,18.725,18.33,18.47,930000
2001-02-28,18.65,18.65,18.145,18.275,1444400
2001-03-01,18.275,18.6,18.155,18.475,959400
2001-03-02,17.65,18.14,17.65,18.04,1333600
2001-03-05,18.025,18.03,17.51,17.575,1425400
2001-03-06,17.25,17.775,17.2,17.49,1699200
2001-03-07,17.5,17.7,17.5,17.575,1145400
2001-03-08,17.525,18.025,17.525,17.95,738000
2001-03-09,17.7,17.7,17.46,17.465,784000
2001-03-12,17.2,17.25,16.3,16.325,957800
2001-03-13,16.315,16.35,16.0,16.27,1414200
2001-03-14,15.875,16.385,14.315,16.225,1204400
2001-03-15,16.3,16.65,16.29,16.5,935200
2001-03-16,16.45,16.6,16.15,16.16,796400
2001-03-19,16.125,16.55,16.125,16.55,1072000
2001-03-20,16.5,16.5,16.01,16.075,1280000
2001-03-21,16.065,16.225,15.775,15.775,2022400
2001-03-22,15.55,15.555,14.85,15.385,1794000
2001-03-23,15.475,15.825,15.455,15.675,1233400
2001-03-26,16.125,16.35,16.03,16.075,1114400
2001-03-27,16.2,16.575,16.2,16.575,1926600
2001-03-28,16.375,16.375,15.8,15.8,1783400
2001-03-29,15.75,15.775,15.5,15.55,1162800
2001-03-30,15.35,15.7,15.275,15.7,980400
2001-04-02,15.35,15.35,14.76,14.84,1997800
2001-04-03,14.8,14.805,14.375,14.39,1386200
2001-04-04,14.65,14.735,14.315,14.35,1935000
2001-04-05,14.725,15.6,14.725,15.6,1790800
2001-04-06,15.3,15.345,15.165,15.205,1559000
2001-04-09,15.375,15.375,15.125,15.125,1754800
2001-04-10,15.325,16.3,15.325,16.15,2678800
2001-04-11,16.5,16.525,16.105,16.175,1715400
2001-04-12,16.3,16.765,16.3,16.725,880800
2001-04-16,16.6,16.9,16.5,16.895,699600
2001-04-17,16.8,16.9,16.65,16.89,788400
2001-04-18,16.895,17.8,16.895,17.355,2107400
2001-04-19,17.875,17.875,17.6,17.675,2141400
2001-04-20,17.59,17.975,17.275,17.975,1596600
2001-04-23,18.6,18.6,17.625,17.875,2125800
2001-04-24,18.25,18.25,17.76,17.765,1005800
2001-04-25,18.1,18.215,17.85,18.21,887800
2001-04-26,18.25,18.375,18.05,18.375,864600
2001-04-27,18.75,18.75,18.26,18.35,683000
2001-04-30,18.85,19.2,18.75,19.2,1396800
2001-05-01,19.05,19.375,18.815,19.375,648600
2001-05-02,19.525,19.525,19.275,19.48,1333400
2001-05-03,19.525,19.65,19.47,19.525,1758800
2001-05-04,19.6,19.65,19.275,19.375,1205800
2001-05-07,19.5,19.695,19.28,19.66,1002400
2001-05-08,19.725,19.725,19.05,19.075,1176400
2001-05-09,19.125,19.375,19.1,19.25,1650800
2001-05-10,19.65,19.85,19.5,19.59,2194800
2001-05-11,19.425,19.45,19.005,19.09,1503600
2001-05-14,19.09,19.09,18.76,18.81,1824800
2001-05-15,18.6,18.6,18.2,18.225,2319000
2001-05-16,18.15,18.75,18.015,18.72,2168800
2001-05-17,18.74,19.27,18.74,19.0,1297400
2001-05-18,18.8,19.055,18.775,19.0,807800
2001-05-21,18.975,19.295,18.93,19.29,1466800
2001-05-22,18.95,19.0,18.835,18.875,1072000
2001-05-23,18.6,18.685,18.52,18.615,996600
2001-05-24,18.0,18.295,17.95,18.265,1573200
2001-05-25,18.625,19.1,18.5,18.8,1489200
2001-05-29,18.85,18.85,18.53,18.55,533200
2001-05-30,18.5,18.5,18.0,18.045,799000
2001-05-31,17.875,17.885,17.725,17.875,1012400
2001-06-01,17.75,17.87,17.56,17.86,933200
2001-06-04,17.975,18.375,17.925,18.125,1027200
2001-06-05,18.05,18.45,18.025,18.375,682400
2001-06-06,18.375,18.675,18.375,18.375,937400
2001-06-07,18.625,18.745,18.525,18.74,878800
2001-06-08,18.875,19.0,18.85,18.85,601400
2001-06-11,18.95,18.95,18.55,18.6,653200
2001-06-12,18.675,18.925,18.465,18.875,1333600
2001-06-13,18.725,18.805,18.59,18.655,602600
2001-06-14,18.775,18.84,18.655,18.68,1329400
2001-06-15,18.975,18.975,18.765,18.85,955800
2001-06-18,18.725,18.825,18.51,18.51,735600
2001-06-19,18.5,18.645,18.475,18.475,433000
2001-06-20,18.5,18.895,18.475,18.82,522800
2001-06-21,18.775,18.795,18.6,18.7,596800
2001-06-22,18.675,18.75,18.45,18.455,373000
2001-06-25,18.455,18.46,18.27,18.45,295800
2001-06-26,18.365,18.65,18.265,18.575,643400
2001-06-27,18.575,18.575,18.175,18.3,667400
2001-06-28,18.3,18.39,18.095,18.1,1016000
2001-06-29,18.3,18.8,18.285,18.575,1024600
2001-07-02,18.56,18.995,18.55,18.9,633000
2001-07-03,19.0,19.235,19.0,19.19,493200
2001-07-05,19.125,19.14,18.705,18.8,650400
2001-07-06,18.2,18.225,17.875,18.0,889400
2001-07-09,17.9,18.12,17.9,18.045,866000
2001-07-10,18.09,18.14,17.95,18.015,924800
2001-07-11,18.0,18.01,17.665,17.665,286000
2001-07-12,17.86,18.19,17.85,18.11,544000
2001-07-13,18.075,18.19,18.05,18.16,304800
2001-07-16,18.65,18.695,18.4,18.405,693000
2001-07-17,18.405,18.675,18.405,18.675,825200
2001-07-18,18.375,18.475,18.3,18.325,531600
2001-07-19,18.025,18.4,18.025,18.125,821000
2001-07-20,18.0,18.0,17.635,17.75,579000
2001-07-23,18.25,18.3,18.05,18.085,767400
2001-07-24,18.1,18.2,18.025,18.03,793400
2001-07-25,17.8,17.8,17.625,17.75,697000
2001-07-26,17.6,17.85,17.56,17.85,2237800
