,open,high,low,close,volume
2001-02-22,34.975,35.075,34.125,34.465,917600
2001-02-23,34.465,34.69,34.0,34.685,1680600
2001-02-26,34.685,35.375,34.635,35.34,1296000
2001-02-27,34.95,35.25,34.83,34.86,1632600
2001-02-28,34.985,35.075,33.815,34.09,1333600
2001-03-01,34.0,34.0,33.065,33.55,2419000
2001-03-02,33.425,33.725,32.99,33.3,2188600
2001-03-05,33.975,34.96,33.8,34.55,1642000
2001-03-06,34.95,35.05,34.64,34.865,1062000
2001-03-07,35.15,36.07,34.925,36.035,1711800
2001-03-08,35.925,36.095,35.555,36.07,1014000
2001-03-09,36.0,36.275,35.55,35.975,1311800
2001-03-12,35.975,35.975,34.52,34.56,1334600
2001-03-13,34.975,35.07,34.555,34.895,2007200
2001-03-14,34.8,34.98,34.625,34.7,1562000
2001-03-15,35.0,35.025,34.025,34.305,2040000
2001-03-16,34.305,34.76,33.9,33.95,2552000
2001-03-19,33.85,34.275,33.85,34.17,1006600
2001-03-20,34.17,34.175,33.575,33.625,1033200
2001-03-21,33.55,33.555,32.695,32.75,1650200
2001-03-22,33.5,33.675,31.765,32.18,2613400
2001-03-23,32.25,32.495,31.925,32.4,1977200
2001-03-26,32.5,32.575,31.635,32.0,3587200
2001-03-27,32.075,32.185,31.25,31.27,4676600
2001-03-28,31.27,31.27,30.25,30.5,4482600
2001-03-29,30.65,31.29,30.5,30.975,2530200
2001-03-30,31.375,31.475,30.9,31.37,2034600
2001-04-02,31.495,32.265,31.47,32.265,3036000
2001-04-03,32.15,32.415,31.75,31.825,2200000
2001-04-04,31.95,32.3,31.65,31.865,1938200
2001-04-05,32.25,32.5,31.9,32.35,1448200
2001-04-06,32.35,32.8,31.725,32.425,1911800
2001-04-09,32.3,32.975,32.29,32.855,1100400
2001-04-10,33.125,34.05,32.83,34.01,2201200
2001-04-11,34.075,35.6,33.35,33.835,2700000
2001-04-12,33.775,34.675,33.5,34.675,2133200
2001-04-16,34.65,34.68,33.77,34.245,1164800
2001-04-17,34.15,34.525,33.75,33.9,1327600
2001-04-18,34.3,35.425,34.1,35.245,2207400
2001-04-19,35.9,36.94,35.85,36.75,2989000
2001-04-20,36.725,36.725,35.95,35.95,2697400
2001-04-23,36.65,36.65,35.71,35.95,2725000
2001-04-24,36.075,37.065,36.075,37.055,4394400
2001-04-25,36.25,36.68,35.85,36.365,5120600
2001-04-26,36.85,38.5,36.575,37.75,4611600
2001-04-27,37.75,39.0,37.725,38.25,3136400
2001-04-30,38.5,38.675,38.25,38.54,1911400
2001-05-01,38.55,39.25,38.45,38.85,4433400
2001-05-02,38.7,39.675,38.6,39.47,3791400
2001-05-03,38.97,39.575,38.48,39.33,3343000
2001-05-04,38.95,39.4,38.575,39.26,3191000
2001-05-07,38.5,39.15,38.5,39.0,2378200
2001-05-08,38.925,39.475,38.9,39.15,1574600
2001-05-09,39.075,39.115,37.95,39.075,5509200
2001-05-10,39.0,39.15,38.775,38.95,1719000
2001-05-11,39.0,39.375,38.875,39.125,1179200
2001-05-14,39.0,39.35,38.65,39.335,1272200
2001-05-15,39.7,40.045,39.275,39.735,2750400
2001-05-16,39.15,40.375,39.15,40.01,2043800
2001-05-17,40.025,41.475,40.01,40.94,2389000
2001-05-18,40.35,41.25,40.35,40.985,2003000
2001-05-21,40.86,41.525,40.86,41.445,2096400
2001-05-22,41.45,42.0,41.255,41.825,1425800
2001-05-23,41.95,42.14,39.845,40.005,2784000
2001-05-24,39.95,40.175,38.35,38.59,2358000
2001-05-25,38.6,39.04,38.39,38.74,1671800
2001-05-29,38.615,38.84,38.135,38.25,1142200
2001-05-30,38.245,39.735,38.245,39.585,1897800
2001-05-31,39.58,39.585,38.65,38.76,1779800
2001-06-01,38.95,39.375,38.8,39.28,1435400
2001-06-04,39.275,39.425,38.6,39.23,910600
2001-06-05,39.535,40.14,39.45,40.06,1169400
2001-06-06,39.96,40.0,38.915,39.05,1427000
2001-06-07,39.0,39.09,38.3,38.895,1580400
2001-06-08,38.75,38.75,37.865,38.615,1206600
2001-06-11,38.675,38.87,38.075,38.215,1264600
2001-06-12,38.215,38.695,37.755,38.4,1655200
2001-06-13,38.425,38.65,37.74,37.94,1248000
2001-06-14,37.7,37.815,36.925,37.06,1259800
2001-06-15,36.75,37.65,36.725,37.175,2252400
2001-06-18,37.5,37.55,37.05,37.365,1169600
2001-06-19,37.625,37.9,37.085,37.74,1968000
2001-06-20,37.74,38.25,37.74,38.08,2206000
2001-06-21,38.075,38.075,37.205,37.83,2341800
2001-06-22,37.2,37.26,36.625,36.82,2212000
2001-06-25,36.82,37.14,36.31,36.585,1359800
2001-06-26,36.475,37.5,36.25,37.245,1191600
2001-06-27,37.285,37.6,37.2,37.4,1221400
2001-06-28,37.05,37.6,37.0,37.5,1337200
2001-06-29,37.5,39.0,37.275,38.905,2604400
2001-07-02,38.5,38.63,38.005,38.19,1423600
2001-07-03,38.065,38.24,37.7,38.15,828200
2001-07-05,38.15,38.35,37.82,38.35,1307400
2001-07-06,38.225,38.325,37.25,37.365,1120800
2001-07-09,37.49,37.875,37.275,37.725,1290600
2001-07-10,37.6,37.72,37.3,37.33,831800
2001-07-11,37.2,37.675,36.88,37.45,1108600
2001-07-12,37.45,39.42,37.45,39.25,1668000
2001-07-13,39.0,39.82,38.7,39.37,1255200
2001-07-16,39.47,40.25,39.465,40.23,1821400
2001-07-17,39.85,39.85,39.28,39.61,2861800
2001-07-18,39.5,40.8,39.375,40.5,1961800
2001-07-19,40.8,42.6,40.755,41.98,4725600
2001-07-20,41.925,41.93,40.8,41.475,1663600
