,open,high,low,close,volume
2000-12-21,16.88889,17.111112,16.361112,17.083334,950173
2000-12-22,17.027778,17.111112,16.722222,16.88889,528298
2000-12-26,16.861112,16.861112,16.444446,16.555554,864000
2000-12-27,16.555554,16.666668,16.444446,16.555554,882447
2000-12-28,16.555554,17.277778,16.5,17.111112,882900
2000-12-29,17.222222,17.63889,17.055556,17.083334,519972
2001-01-02,16.88889,17.055556,16.222222,16.333334,535950
2001-01-03,16.138888,16.944446,16.138888,16.722222,803925
2001-01-04,16.611112,16.638888,15.194446,15.527778,1757922
2001-01-05,15.444446,15.527778,15.111112,15.111112,836325
2001-01-08,15.027778,15.527778,15.027778,15.333334,1365747
2001-01-09,15.305556,15.833334,15.25,15.5,882225
2001-01-10,15.611112,15.861112,15.472222,15.63889,556875
2001-01-11,15.555556,15.63889,15.0,15.055556,875923
2001-01-12,15.166668,15.194446,14.472222,14.833334,1152225
2001-01-16,14.972222,15.194446,14.944446,15.166668,1292847
2001-01-17,15.277778,15.38889,15.027778,15.111112,1144573
2001-01-18,15.194446,15.194446,14.861112,15.055556,652272
2001-01-19,15.083334,15.083334,14.555556,14.777778,882447
2001-01-22,14.722222,15.333334,14.722222,15.222222,1657125
2001-01-23,15.25,15.63889,15.13889,15.5,768598
2001-01-24,15.5,15.88889,15.38889,15.777778,566773
2001-01-25,15.88889,16.138888,15.63889,15.805556,476998
2001-01-26,15.694446,15.88889,15.583334,15.88889,474973
2001-01-29,15.822222,15.955556,15.644446,15.711112,618748
2001-01-30,15.777778,15.826668,15.426668,15.804446,791322
2001-01-31,15.80889,15.80889,15.4,15.417778,992698
2001-02-01,15.52889,15.777778,15.0,15.28889,1152447
2001-02-02,15.297778,15.657778,15.133334,15.422222,886950
2001-02-05,15.422222,15.733334,15.355556,15.586668,640797
2001-02-06,15.8,15.8,14.911112,15.013334,1620000
2001-02-07,15.111112,15.333334,15.111112,15.20889,2004972
2001-02-08,15.311112,15.444446,15.12889,15.20889,1524598
2001-02-09,15.28889,15.28889,14.911112,15.106668,727197
2001-02-12,15.2,15.813334,15.2,15.755556,3273523
2001-02-13,16.0,16.222222,15.72889,15.764446,1328622
2001-02-14,15.764446,15.902222,15.555556,15.631112,671398
2001-02-15,15.555556,15.586668,15.115556,15.333334,1095973
2001-02-16,15.48889,15.684446,15.333334,15.555556,572848
2001-02-20,15.733334,15.733334,15.0,15.146668,986175
2001-02-21,15.36889,15.511112,14.911112,14.982222,805723
2001-02-22,15.044446,15.133334,14.822222,15.04889,732148
2001-02-23,15.066668,15.097778,14.866668,14.955556,1553623
2001-02-26,14.942222,15.262222,14.897778,15.257778,823273
2001-02-27,15.555556,15.977778,15.533334,15.813334,2660175
2001-02-28,16.0,16.111112,15.311112,15.457778,1081123
2001-03-01,15.6,15.977778,15.6,15.764446,1344373
2001-03-02,15.866668,16.4,15.857778,16.124446,1329297
2001-03-05,16.137778,16.266668,15.897778,16.084444,905175
2001-03-06,15.8,16.244444,15.8,16.186668,941847
2001-03-07,16.186668,16.306668,16.075556,16.142222,1180797
2001-03-08,16.142222,16.302222,16.031112,16.133334,775348
2001-03-09,16.133334,16.28889,16.022222,16.08889,722250
2001-03-12,16.133334,16.435556,15.906668,15.991112,2026798
2001-03-13,16.044446,16.177778,15.777778,15.986668,1593897
2001-03-14,15.777778,15.977778,15.64,15.733334,1265847
2001-03-15,15.844446,16.177778,15.733334,15.977778,989323
2001-03-16,15.902222,16.075556,15.804446,15.822222,1857147
2001-03-19,15.822222,16.0,15.782222,15.942222,1190922
2001-03-20,16.0,16.142222,15.862222,15.884446,897297
2001-03-21,15.977778,16.044446,15.857778,15.915556,1931175
2001-03-22,15.822222,15.955556,15.484446,15.835556,1764450
2001-03-23,15.933334,16.28889,15.791112,16.035554,2139297
