,open,high,low,close,volume
2004-08-19,49.960356,51.988746,47.941958,50.130221,44739272
2004-08-20,50.464956,54.496756,50.210158,54.112061,22875337
2004-08-23,55.331094,56.695012,54.481768,54.656629,18288900
2004-08-24,55.5759,55.755757,51.743941,52.393425,15274711
2004-08-25,52.43839,53.957184,51.898818,52.957977,9205098
2004-08-26,52.433394,53.932204,52.288509,53.91222,7107635
2004-08-27,54.007145,54.266939,52.8031,53.032918,6222934
2004-08-30,52.598263,52.703179,50.964559,50.964559,5206127
2004-08-31,51.109444,51.813885,51.0395,51.144416,4926706
2004-09-01,51.309286,51.444178,49.795487,50.085257,9154658
2004-09-02,49.555677,51.144416,49.430776,50.714757,15145808
2004-09-03,50.434979,50.829666,49.620625,49.965352,5161692
2004-09-07,50.464956,50.959563,49.765511,50.74973,5858044
2004-09-08,50.330063,51.474155,50.210158,51.109444,4994560
2004-09-09,51.224353,51.314282,50.459959,51.11444,4069026
2004-09-10,50.759722,53.237755,50.609841,52.623243,8714509
2004-09-13,53.272728,54.162022,53.187795,53.707383,7858230
2004-09-14,53.682402,55.955599,53.352664,55.700801,10848401
2004-09-15,55.23617,57.069715,55.056312,55.955599,10732309
2004-09-16,56.125464,57.854092,55.780737,56.939818,9282960
2004-09-17,57.164639,58.698422,56.729984,58.698422,9489524
2004-09-20,58.428636,60.751793,58.338708,59.632681,10647842
2004-09-21,59.857502,60.162261,58.708414,58.873283,7241741
2004-09-22,58.653458,59.787558,58.358692,59.143069,7594821
2004-09-23,59.372887,61.266384,58.463608,60.362102,8550979
2004-09-24,60.422054,62.000802,59.832522,59.867494,9139846
2004-09-27,59.732602,60.392078,58.853299,59.083117,7078812
2004-09-28,60.601912,63.649493,60.057344,63.379708,16959446
2004-09-29,63.299771,67.456473,63.064957,65.488035,30571239
2004-09-30,64.898497,66.097551,64.448859,64.748626,13782728
2004-10-01,65.348146,67.066787,64.398894,66.23744,15152013
2004-10-04,67.571381,68.380739,66.961865,67.476457,13046144
2004-10-05,67.276615,69.210081,66.06758,69.130144,15000093
2004-10-06,68.72047,69.170113,67.946084,68.485656,13405428
2004-10-07,68.405719,69.884546,68.220866,69.369959,14140411
2004-10-08,69.305006,69.78462,68.45568,68.810398,11089392
2004-10-11,68.445688,69.37495,66.871941,67.576372,10490918
2004-10-12,67.166702,68.750446,66.64711,68.645524,11686465
2004-10-13,71.603187,71.718091,69.984467,70.394136,19801700
2004-10-14,70.449093,71.133555,69.225069,70.943705,10460894
2004-10-15,72.407539,72.692318,70.918725,71.997869,13218480
2004-10-18,71.54323,74.540851,70.549024,74.520867,14061549
2004-10-19,75.190336,76.139577,73.616589,73.911351,18142384
