,open,high,low,close,volume
2001-02-22,4.52,4.535,4.475,4.5075,623600
2001-02-23,4.525,4.675,4.5,4.6125,1222800
2001-02-26,4.625,4.78,4.625,4.75,1182400
2001-02-27,4.75,4.75,4.725,4.725,690000
2001-02-28,4.725,4.75,4.7125,4.75,326000
2001-03-01,4.725,4.725,4.675,4.675,155200
2001-03-02,4.6875,4.7025,4.675,4.69,836800
2001-03-05,4.6875,4.7625,4.6875,4.7525,402800
2001-03-06,4.7525,4.775,4.7,4.7,610000
2001-03-07,4.7,4.7475,4.7,4.7475,89600
2001-03-08,4.745,4.745,4.7,4.7,211600
2001-03-09,4.7,4.7025,4.675,4.695,269600
2001-03-12,4.695,4.725,4.6625,4.675,106400
2001-03-13,4.7125,4.7125,4.6125,4.6125,671600
2001-03-14,4.6125,4.6375,4.4675,4.475,455600
2001-03-15,4.45,4.45,4.2875,4.3575,1160400
2001-03-16,4.3875,4.45,4.3375,4.3375,402800
2001-03-19,4.2875,4.4375,4.2875,4.3,1173600
2001-03-20,4.3125,4.39,4.25,4.275,222000
2001-03-21,4.275,4.3,4.0625,4.1625,135200
2001-03-22,4.3125,4.4625,4.25,4.4625,2125600
2001-03-23,4.475,4.575,4.475,4.575,757600
2001-03-26,4.6125,4.625,4.57,4.625,207600
2001-03-27,4.6,4.6125,4.5325,4.5875,435200
2001-03-28,4.575,4.6,4.4625,4.4625,420800
2001-03-29,4.45,4.45,4.325,4.325,535200
2001-03-30,4.325,4.625,4.325,4.625,1308800
2001-04-02,4.6,4.6,4.425,4.45,685600
2001-04-03,4.45,4.5,4.3625,4.5,192800
2001-04-04,4.4625,4.5,4.4375,4.4975,606000
2001-04-05,4.5,4.53,4.4825,4.53,629200
2001-04-06,4.5175,4.735,4.5,4.7125,476000
2001-04-09,4.715,4.74,4.6125,4.6525,113600
2001-04-10,4.6775,4.775,4.6775,4.7625,954400
2001-04-11,4.875,5.225,4.875,5.225,1570000
2001-04-12,5.1675,5.5875,5.1675,5.5875,689200
2001-04-16,5.575,5.575,5.365,5.375,368000
2001-04-17,5.35,5.4375,5.265,5.375,581200
2001-04-18,5.25,5.3525,5.25,5.32,285200
2001-04-19,5.295,5.32,5.1625,5.31,121600
2001-04-20,5.35,5.45,5.2375,5.25,1139600
2001-04-23,5.275,5.275,5.2125,5.225,946400
2001-04-24,5.22,5.2325,5.1875,5.225,626000
2001-04-25,5.225,5.2875,5.225,5.2625,326000
2001-04-26,5.265,5.2875,5.2275,5.245,469200
2001-04-27,5.2475,5.2525,5.23,5.25,549200
2001-04-30,5.2,5.4,5.1875,5.2875,946800
2001-05-01,5.2875,6.095,5.2875,5.965,889200
2001-05-02,6.0,6.2375,5.8,6.115,547600
2001-05-03,6.075,6.1,5.95,6.0,289200
2001-05-04,5.9625,6.05,5.95,5.995,521600
2001-05-07,6.025,6.125,6.025,6.0975,176000
2001-05-08,6.125,6.2925,6.125,6.2925,920000
2001-05-09,6.275,6.275,6.0625,6.0625,213200
2001-05-10,6.0125,6.0375,5.9225,5.9225,161600
2001-05-11,5.9475,5.9475,5.75,5.7525,71600
2001-05-14,5.7875,6.025,5.6325,6.0175,136400
2001-05-15,6.0375,6.2475,6.0375,6.175,244800
2001-05-16,6.1625,6.3,6.125,6.2625,309600
2001-05-17,6.28,6.55,6.28,6.525,278800
2001-05-18,6.5,6.55,6.4925,6.5,119600
2001-05-21,6.475,6.575,6.425,6.575,113600
2001-05-22,6.625,6.925,6.5575,6.625,606800
2001-05-23,6.6125,6.625,6.4625,6.475,323200
2001-05-24,6.475,6.475,6.1625,6.275,375200
2001-05-25,6.275,6.35,6.275,6.35,251600
2001-05-29,6.3375,6.4375,6.325,6.3625,271200
2001-05-30,6.3625,6.5,6.3625,6.49,334000
2001-05-31,6.5,6.675,6.5,6.575,350400
