,open,high,low,close,volume
2000-12-22,32.5,33.9375,31.9375,33.5625,409100
2000-12-26,33.375,33.625,32.4375,33.4375,230600
2000-12-27,33.5,36.625,32.9375,36.0625,575100
2000-12-28,35.5625,36.0,34.8125,35.6875,221600
2000-12-29,36.125,37.5,35.375,36.5,387000
2001-01-02,35.75,36.8125,35.4375,36.0625,614000
2001-01-03,36.0625,37.5625,35.5625,37.5625,374700
2001-01-04,37.3125,38.125,36.9375,38.0,367800
2001-01-05,38.625,38.625,37.125,37.625,281900
2001-01-08,37.25,38.0,35.75,36.625,303800
2001-01-09,35.5,36.9375,35.5,36.0625,254900
2001-01-10,36.375,37.375,35.875,37.3125,218300
2001-01-11,36.8125,37.5,36.625,37.0625,167900
2001-01-12,37.125,37.625,36.5625,36.875,321900
2001-01-16,35.9375,36.5625,35.625,36.5,371300
2001-01-17,36.5,37.5,36.4375,36.6875,301800
2001-01-18,36.625,36.6875,35.375,36.0625,312400
2001-01-19,36.0625,36.6875,35.375,36.0625,191100
2001-01-22,35.5,36.125,35.1875,36.0,152200
2001-01-23,35.875,36.25,35.4375,35.875,206000
2001-01-24,35.625,37.0625,35.5,36.75,249000
2001-01-25,36.6875,37.125,35.875,36.8125,331400
2001-01-26,36.625,37.0,35.4375,36.125,271300
2001-01-29,36.2,37.0,35.25,36.0,281400
2001-01-30,36.5,38.06,36.5,37.0,608900
2001-01-31,37.5,39.78,37.35,39.38,1086200
2001-02-01,38.2,38.21,37.05,37.46,699900
2001-02-02,37.25,37.6,37.02,37.26,261800
2001-02-05,37.35,37.76,37.08,37.35,342900
2001-02-06,37.51,37.65,36.05,36.39,404000
2001-02-07,35.9,37.05,35.9,36.85,207200
2001-02-08,36.8,36.8,35.82,36.4,495300
2001-02-09,36.35,36.55,35.7,35.96,153000
2001-02-12,35.55,35.96,35.35,35.85,155600
2001-02-13,35.83,36.44,35.5,36.14,175400
2001-02-14,35.7,36.32,35.35,35.69,247600
2001-02-15,35.85,36.5,35.56,36.28,272600
2001-02-16,36.51,36.71,34.4,35.18,377300
2001-02-20,35.0,35.9,34.9,35.17,248800
2001-02-21,35.0,35.0,34.16,34.19,201400
2001-02-22,34.2,34.24,33.5,34.1,237800
2001-02-23,34.0,34.01,32.7,33.44,244400
2001-02-26,33.55,35.1,33.54,35.02,281600
2001-02-27,35.5,35.7,35.0,35.07,291800
2001-02-28,35.45,35.54,34.64,35.01,368400
2001-03-01,34.76,35.1,34.44,35.01,468600
2001-03-02,34.6,36.5,34.5,35.94,556200
2001-03-05,35.94,37.15,35.94,36.82,732500
2001-03-06,36.82,37.18,36.5,36.66,230600
2001-03-07,36.91,37.16,36.8,37.06,279200
2001-03-08,37.5,37.5,36.85,37.13,183000
2001-03-09,36.35,36.9,36.21,36.73,168700
2001-03-12,35.7,36.2,35.1,35.28,283400
2001-03-13,35.2,35.67,33.8,34.23,423700
2001-03-14,34.05,34.05,33.12,33.49,250700
2001-03-15,33.7,33.84,33.52,33.67,274600
2001-03-16,33.0,33.5,31.85,31.99,728200
2001-03-19,32.0,32.0,30.8,31.09,813700
2001-03-20,31.09,32.2,30.9,31.14,400600
2001-03-21,31.26,31.38,30.13,30.28,426300
2001-03-22,29.85,30.4,29.51,30.23,817600
2001-03-23,30.4,31.1,30.23,30.96,564900
2001-03-26,30.9,32.5,30.79,32.37,559300
2001-03-27,32.3,33.02,32.0,32.95,436500
2001-03-28,32.55,33.57,32.3,33.02,448700
2001-03-29,33.02,34.45,33.02,33.76,487600
2001-03-30,33.77,34.1,33.7,33.85,684000
2001-04-02,33.7,34.13,32.92,33.04,295100
2001-04-03,33.25,33.4,32.15,32.2,258200
2001-04-04,32.2,33.26,32.0,32.9,308100
2001-04-05,32.95,34.3,32.9,34.17,213200
2001-04-06,34.42,34.42,33.16,33.65,454300
2001-04-09,33.5,34.67,33.26,33.98,264200
2001-04-10,33.9,34.95,33.85,34.49,322600
2001-04-11,34.6,34.6,33.89,34.02,285100
2001-04-12,33.9,34.03,33.3,33.42,340000
2001-04-16,33.4,33.97,33.05,33.4,302900
2001-04-17,33.15,33.58,33.15,33.51,275000
2001-04-18,33.5,36.37,33.2,35.87,565500
2001-04-19,36.2,36.2,35.0,35.47,481100
2001-04-20,35.4,35.5,34.9,34.96,221600
2001-04-23,34.95,36.95,34.95,36.79,905600
2001-04-24,37.35,37.75,36.9,37.5,718400
2001-04-25,37.85,38.7,37.85,38.0,572400
2001-04-26,37.85,38.6,37.85,38.49,480900
2001-04-27,38.9,39.25,38.55,38.92,339800
2001-04-30,39.05,39.16,38.73,38.78,693000
2001-05-01,38.8,39.76,38.8,39.7,424300
2001-05-02,39.6,40.7,39.47,40.01,552500
2001-05-03,39.45,39.6,38.55,39.0,394600
2001-05-04,39.0,39.48,38.68,39.39,228900
2001-05-07,39.14,40.05,39.14,39.46,412000
2001-05-08,39.75,40.3,39.67,39.89,772700
2001-05-09,39.75,40.35,39.7,40.03,466000
2001-05-10,40.25,41.05,40.04,40.83,343000
2001-05-11,40.7,41.38,40.7,40.81,288200
2001-05-14,40.81,40.81,40.48,40.61,433200
2001-05-15,40.7,41.3,40.65,41.0,371600
2001-05-16,40.97,41.7,40.97,41.66,669300
2001-05-17,41.66,42.47,41.62,42.35,508700
2001-05-18,42.35,42.8,42.1,42.8,471300
2001-05-21,42.8,43.61,42.38,43.6,445200
2001-05-22,43.4,43.53,43.0,43.32,321000
2001-05-23,43.45,43.45,42.65,42.92,476100
2001-05-24,42.8,43.1,42.0,42.49,363500
2001-05-25,42.55,42.9,42.3,42.7,277800
2001-05-29,42.7,44.05,42.45,43.29,951900
