,open,high,low,close,volume
2000-12-22,1.070315,1.08594,1.070315,1.078125,185600
2000-12-26,1.08594,1.101565,1.08594,1.09375,163200
2000-12-27,1.101565,1.11719,1.09375,1.109375,132800
2000-12-28,1.11719,1.15625,1.11719,1.140625,140800
2000-12-29,1.15625,1.21875,1.15625,1.171875,347200
2001-01-02,1.171875,1.171875,1.125,1.128905,348800
2001-01-03,1.128905,1.140625,1.09375,1.097655,158400
2001-01-04,1.109375,1.109375,1.02344,1.0625,433600
2001-01-05,1.0625,1.070315,1.046875,1.046875,80000
2001-01-08,1.03125,1.039065,0.921875,0.953125,696000
2001-01-09,0.941405,0.941405,0.882815,0.921875,180800
2001-01-10,0.921875,0.984375,0.921875,0.976565,172800
2001-01-11,1.015625,1.03125,1.007815,1.007815,166400
2001-01-12,1.007815,1.03125,1.007815,1.027345,40000
2001-01-16,1.03125,1.08594,1.03125,1.070315,248000
2001-01-17,1.08594,1.121095,1.08594,1.09375,297600
2001-01-18,1.101565,1.101565,0.984375,1.01172,216000
2001-01-19,1.015625,1.03125,1.015625,1.03125,68800
2001-01-22,1.046875,1.058595,1.046875,1.058595,57600
2001-01-23,1.058595,1.078125,1.058595,1.07422,49600
2001-01-24,1.08203,1.08594,1.08203,1.08203,139200
2001-01-25,1.089845,1.121095,1.089845,1.10547,83200
2001-01-26,1.11719,1.125,1.109375,1.109375,57600
2001-01-29,1.1125,1.125,1.1125,1.121875,476800
2001-01-30,1.13125,1.146875,1.125,1.138125,216000
2001-01-31,1.13125,1.13125,1.11875,1.125,75200
2001-02-01,1.11875,1.140625,1.11875,1.140625,168000
2001-02-02,1.14375,1.155625,1.128125,1.15,132800
2001-02-05,1.15625,1.1875,1.15625,1.1625,169600
2001-02-06,1.171875,1.178125,1.138125,1.153125,144000
2001-02-07,1.140625,1.15625,1.140625,1.140625,19200
2001-02-08,1.14125,1.14375,1.13125,1.13125,44800
2001-02-09,1.125,1.171875,1.125,1.171875,156800
2001-02-12,1.1875,1.21875,1.1875,1.19625,168000
2001-02-13,1.190625,1.203125,1.1875,1.2,91200
2001-02-14,1.205,1.21875,1.2,1.215625,78400
2001-02-15,1.21875,1.249375,1.21875,1.234375,259200
2001-02-16,1.23125,1.27875,1.23125,1.275,273600
2001-02-20,1.290625,1.40625,1.28125,1.3375,734400
2001-02-21,1.34375,1.355625,1.315625,1.31875,172800
2001-02-22,1.31875,1.340625,1.28125,1.340625,227200
2001-02-23,1.34375,1.34375,1.28125,1.2875,115200
2001-02-26,1.303125,1.375,1.303125,1.375,155200
2001-02-27,1.375,1.384375,1.36875,1.378125,108800
2001-02-28,1.3875,1.4025,1.303125,1.303125,203200
2001-03-01,1.2875,1.31875,1.265625,1.31875,168000
2001-03-02,1.325,1.375,1.325,1.35625,144000
2001-03-05,1.4,1.515625,1.390625,1.505625,328000
2001-03-06,1.5625,1.59375,1.525,1.54375,459200
2001-03-07,1.54375,1.553125,1.4875,1.5125,328000
2001-03-08,1.509375,1.51125,1.484375,1.50625,153600
2001-03-09,1.5,1.5,1.45375,1.4875,185600
2001-03-12,1.4875,1.584375,1.4625,1.575,700800
2001-03-13,1.56875,1.56875,1.5375,1.5375,331200
2001-03-14,1.51875,1.51875,1.490625,1.504375,228800
2001-03-15,1.505,1.505625,1.340625,1.36625,491200
2001-03-16,1.359375,1.375,1.359375,1.370625,241600
2001-03-19,1.38125,1.43375,1.38125,1.40625,680000
2001-03-20,1.421875,1.50625,1.421875,1.4875,323200
2001-03-21,1.509375,1.51875,1.43125,1.4375,601600
2001-03-22,1.43125,1.44375,1.390625,1.4375,692800
2001-03-23,1.453125,1.45625,1.428125,1.4375,131200
2001-03-26,1.4375,1.44625,1.40625,1.4125,155200
2001-03-27,1.396875,1.4375,1.396875,1.396875,147200
2001-03-28,1.41875,1.434375,1.40625,1.425,128000
2001-03-29,1.41875,1.45,1.41875,1.45,203200
2001-03-30,1.4625,1.48375,1.459375,1.46,172800
2001-04-02,1.475,1.546875,1.475,1.525,217600
2001-04-03,1.5375,1.559375,1.53125,1.541875,196800
2001-04-04,1.515625,1.544375,1.5,1.544375,152000
2001-04-05,1.55,1.5625,1.546875,1.5625,147200
2001-04-06,1.5625,1.578125,1.525,1.5375,409600
2001-04-09,1.5375,1.611875,1.5375,1.6,475200
2001-04-10,1.63125,1.728125,1.63125,1.7125,788800
2001-04-11,1.720625,1.79375,1.703125,1.734375,596800
2001-04-12,1.7375,1.81875,1.73625,1.771875,859200
2001-04-16,1.796875,1.865625,1.78125,1.8625,672000
2001-04-17,1.875,2.040625,1.86875,2.030625,1228800
2001-04-18,2.125,2.21875,2.08125,2.115625,2214400
2001-04-19,2.125,2.1875,2.09375,2.10625,1233600
2001-04-20,2.090625,2.090625,1.775,1.921875,3083200
2001-04-23,1.9,1.968125,1.9,1.925,523200
2001-04-24,1.940625,2.09,1.940625,2.01375,972800
2001-04-25,2.021875,2.175,2.021875,2.125,904000
2001-04-26,2.134375,2.275,2.13125,2.20625,1248000
2001-04-27,2.221875,2.299375,2.21875,2.25125,1411200
2001-04-30,2.266875,2.28125,2.1625,2.175625,1427200
2001-05-01,2.171875,2.215,2.140625,2.1875,867200
2001-05-02,2.16875,2.16875,1.91875,2.015625,2587200
2001-05-03,1.984375,2.14375,1.975625,2.1125,1336000
2001-05-04,2.1,2.1375,2.071875,2.121875,560000
2001-05-07,2.14375,2.171875,2.09375,2.15,1028800
2001-05-08,2.16875,2.265625,2.16,2.2375,1068800
2001-05-09,2.2425,2.25,2.203125,2.25,699200
2001-05-10,2.25,2.265625,2.225,2.225625,601600
2001-05-11,2.21875,2.279375,2.1875,2.279375,747200
2001-05-14,2.28,2.405625,2.275625,2.371875,1736000
2001-05-15,2.415625,2.48125,2.25,2.309375,1494400
2001-05-16,2.3,2.334375,2.15625,2.171875,1035200
2001-05-17,2.140625,2.2075,2.09375,2.196875,2024000
2001-05-18,2.2125,2.3,2.18125,2.278125,1235200
2001-05-21,2.3125,2.4275,2.311875,2.40625,1702400
2001-05-22,2.405625,2.501875,2.405625,2.471875,2107200
2001-05-23,2.471875,2.471875,2.35,2.4,888000
2001-05-24,2.415625,2.490625,2.373125,2.484375,966400
