,open,high,low,close,volume
2000-12-22,13.676931,14.670069,13.676931,14.613318,16768060
2000-12-26,14.613318,14.755195,13.960685,14.414691,13992546
2000-12-27,14.414691,14.953823,14.329564,14.72682,12027153
2000-12-28,14.72682,14.897072,14.556567,14.72682,9696347
2000-12-29,14.72682,14.868697,14.159312,14.329564,10832455
2001-01-02,14.329564,14.925447,13.506679,13.733682,15024030
2001-01-03,13.733682,15.776709,13.648555,15.464579,31400686
2001-01-04,15.549706,16.542844,15.549706,15.719958,21585177
2001-01-05,15.719958,15.833459,13.903934,13.903934,21083642
2001-01-08,13.903934,14.386315,13.875558,14.244438,14375140
2001-01-09,14.244438,14.755195,14.130937,14.329564,13924926
2001-01-10,14.329564,14.528192,13.847183,14.414691,23814663
2001-01-11,14.414691,14.953823,14.216063,14.698444,37079686
2001-01-12,14.414691,14.414691,13.591805,13.932309,47136821
2001-01-16,13.932309,14.017435,13.591805,13.790432,23773914
2001-01-17,14.102561,14.613318,14.102561,14.35794,21905657
2001-01-18,14.641694,15.89021,14.641694,15.748333,25863755
2001-01-19,15.805084,16.542844,15.805084,16.230715,28671206
2001-01-22,16.173964,16.173964,15.322703,15.663207,13153790
2001-01-23,15.663207,15.719958,14.897072,15.578081,13562816
2001-01-24,15.719958,16.060462,15.719958,15.89021,14275361
2001-01-25,15.89021,16.032087,15.492955,15.634832,13567441
2001-01-26,15.634832,15.748333,15.010573,15.634832,11744998
2001-01-29,15.563326,17.134186,15.259142,17.038845,17421355
2001-01-30,17.038845,17.211367,16.571219,17.161427,16593393
2001-01-31,17.161427,17.229528,16.512198,16.730121,11321436
2001-02-01,16.730121,16.789142,16.235255,16.734661,9292608
2001-02-02,16.734661,16.907183,16.230715,16.230715,10119910
2001-02-05,16.208014,16.208014,15.613266,16.026412,9974758
2001-02-06,16.026412,16.979824,16.003712,16.707421,11699845
2001-02-07,16.702881,16.702881,16.153533,16.344216,10706906
2001-02-08,16.344216,16.389617,15.754008,15.817569,12718334
2001-02-09,15.808489,15.808489,14.932257,15.209201,13501363
2001-02-12,15.209201,15.318162,14.596293,14.800596,13686823
2001-02-13,15.004898,15.527005,15.004898,15.072999,14833284
2001-02-14,15.072999,15.663207,14.800596,15.613266,14344303
2001-02-15,15.613266,16.798222,15.572406,16.503118,22190015
2001-02-16,15.209201,15.209201,14.210388,15.041219,27086426
2001-02-20,14.786975,14.786975,13.62018,13.847183,24655841
2001-02-21,13.847183,14.523652,13.62018,13.62472,18656141
2001-02-22,13.62472,14.028785,13.393177,13.515759,23127447
2001-02-23,13.515759,13.733682,12.916471,13.62018,19676612
2001-02-26,13.62018,13.969765,13.352316,13.62018,18809663
2001-02-27,13.59748,13.59748,12.916471,12.984572,19346660
2001-02-28,12.984572,13.343236,12.721248,13.098073,20912498
2001-03-01,13.098073,13.393177,12.530566,13.166174,21346854
2001-03-02,13.166174,13.960685,12.802969,13.402257,18977943
2001-03-05,13.438578,14.028785,13.438578,13.792702,9222785
2001-03-06,14.214928,14.982198,14.214928,14.596293,15365435
2001-03-07,14.596293,14.932257,14.532732,14.687094,13170751
2001-03-08,14.687094,14.709794,14.119587,14.37837,11378263
2001-03-09,14.37837,14.37837,13.570239,13.733682,13478456
2001-03-12,13.733682,14.596293,13.515759,13.565699,16462557
2001-03-13,13.710981,14.39199,13.710981,14.34659,13796073
2001-03-14,14.34659,14.641694,13.738222,14.051486,16180402
2001-03-15,14.051486,14.41015,13.910744,13.937984,11329365
2001-03-16,13.937984,14.074186,12.757569,12.757569,31019413
2001-03-19,12.802969,13.942524,12.802969,13.847183,15083501
2001-03-20,13.847183,14.301189,13.302376,13.306916,12949168
2001-03-21,13.306916,13.806322,12.712168,13.270595,12861504
2001-03-22,13.279676,14.187688,13.279676,14.024245,17169156
2001-03-23,14.024245,14.519112,13.851723,14.151367,15355303
2001-03-26,14.187688,14.573593,14.187688,14.36929,10624529
2001-03-27,14.36929,14.841456,14.301189,14.655314,13395197
2001-03-28,14.446471,14.446471,13.552079,13.765462,14527561
2001-03-29,13.765462,14.40107,13.397717,13.910744,8849662
