,open,high,low,close,volume
2000-12-21,14.125,14.375,13.875,14.375,925000
2000-12-22,14.0625,14.375,14.0,14.3125,455200
2000-12-26,14.125,14.8125,13.875,14.8125,557000
2000-12-27,14.6875,15.1875,14.625,14.9375,562400
2000-12-28,15.0,15.375,14.875,15.375,460900
2000-12-29,15.375,15.8125,15.125,15.25,639400
2001-01-02,14.5,15.25,14.3125,14.9375,933100
2001-01-03,14.6875,15.625,14.25,14.4375,1077200
2001-01-04,14.375,14.4375,12.25,13.1875,1217600
2001-01-05,13.0,14.25,12.75,13.625,1606100
2001-01-08,13.625,14.5,13.3125,13.5625,873700
2001-01-09,13.5625,14.1875,13.0625,14.0,1285400
2001-01-10,13.875,14.75,13.75,14.375,837000
2001-01-11,14.8125,14.8125,14.0,14.125,519700
2001-01-12,14.0625,14.0625,13.5,13.625,503300
2001-01-16,13.3125,13.4375,12.8125,13.25,768200
2001-01-17,13.125,13.1875,12.25,12.5625,871400
2001-01-18,12.75,12.75,11.9375,12.1875,800900
2001-01-19,11.8125,12.0,10.875,11.0,2032700
2001-01-22,11.4375,12.3125,11.125,12.25,1466400
2001-01-23,12.0625,12.9375,12.0625,12.6875,841100
2001-01-24,12.6875,12.9375,12.375,12.5,660900
2001-01-25,12.75,12.875,12.25,12.625,483500
2001-01-26,12.5,12.8125,12.3125,12.5,573000
2001-01-29,12.9,12.9,12.45,12.8,330700
2001-01-30,12.4,12.68,12.35,12.51,667600
2001-01-31,12.51,12.81,11.89,11.95,784400
2001-02-01,11.95,12.45,11.95,11.99,698200
2001-02-02,11.99,12.62,11.99,12.3,841900
2001-02-05,12.6,13.12,12.31,12.79,786200
2001-02-06,12.3,12.74,12.05,12.25,1080400
2001-02-07,12.75,13.25,12.35,12.58,2915600
2001-02-08,13.0,13.13,12.71,12.8,1302500
2001-02-09,12.8,12.95,12.27,12.36,560400
2001-02-12,12.36,13.49,12.36,13.45,1362700
2001-02-13,13.18,13.5,13.0,13.09,770900
2001-02-14,13.45,13.99,13.11,13.45,1472800
2001-02-15,13.74,13.75,13.42,13.6,657300
2001-02-16,13.7,13.74,13.3,13.33,556200
2001-02-20,13.3,13.6,13.1,13.19,724800
2001-02-21,13.25,13.55,13.0,13.12,773500
2001-02-22,13.5,13.5,12.8,13.1,739500
2001-02-23,12.8,13.0,12.5,12.5,1737900
2001-02-26,12.65,13.1,12.5,12.85,938700
2001-02-27,12.55,13.6,12.5,13.25,860500
2001-02-28,13.65,13.8,13.15,13.5,757800
2001-03-01,13.5,13.95,12.92,13.75,889700
2001-03-02,13.5,13.97,13.41,13.63,795700
2001-03-05,13.65,13.99,13.4,13.8,538000
2001-03-06,13.4,14.0,13.4,13.61,358600
2001-03-07,13.85,13.98,13.77,13.96,428900
2001-03-08,14.0,14.0,13.71,13.85,296000
2001-03-09,13.85,13.99,12.9,13.1,933500
2001-03-12,12.65,13.25,12.59,12.59,1147600
2001-03-13,12.5,13.05,12.45,13.0,496900
2001-03-14,12.75,13.03,12.26,12.81,507800
2001-03-15,12.71,12.98,12.47,12.97,535500
2001-03-16,12.7,12.8,12.37,12.5,860300
2001-03-19,12.4,12.5,12.0,12.3,873700
2001-03-20,11.85,12.45,11.85,11.93,633100
2001-03-21,11.5,11.51,11.06,11.07,1396300
2001-03-22,11.0,11.0,9.8,10.2,1964900
2001-03-23,10.35,10.72,10.3,10.5,959000
2001-03-26,10.6,10.99,10.4,10.59,635500
2001-03-27,10.69,10.69,10.35,10.38,769500
2001-03-28,9.8,10.0,9.75,9.84,968200
2001-03-29,9.85,10.4,9.75,10.27,1353400
2001-03-30,10.37,10.72,10.01,10.48,649000
2001-04-02,10.74,10.88,9.65,9.84,1560000
2001-04-03,9.45,9.75,9.0,9.6,1051300
2001-04-04,9.5,9.8,9.26,9.4,484100
2001-04-05,9.5,9.91,8.4,8.58,1292000
2001-04-06,9.2,9.25,8.55,8.99,1325000
2001-04-09,9.0,9.18,8.92,9.06,993800
2001-04-10,9.2,9.29,9.05,9.17,1812600
2001-04-11,9.5,9.5,8.65,8.73,597500
2001-04-12,8.73,9.08,8.73,8.94,473000
2001-04-16,9.1,9.28,8.92,9.05,454300
2001-04-17,9.0,9.95,8.9,9.95,495200
2001-04-18,9.25,9.65,8.93,9.1,1175300
2001-04-19,9.0,9.28,9.0,9.0,420200
2001-04-20,8.7,9.05,8.38,9.05,635900
2001-04-23,8.95,8.98,8.6,8.71,495000
2001-04-24,8.95,9.19,8.9,8.95,567700
