,open,high,low,close,volume
2001-02-22,18.875,19.71875,18.125,19.15625,7183800
2001-02-23,18.875,20.0,18.59375,19.9375,5604000
2001-02-26,20.21875,22.6875,20.125,22.5625,12462000
2001-02-27,21.875,21.96875,20.3125,21.71875,10720800
2001-02-28,21.625,22.125,20.03125,20.5625,7190600
2001-03-01,20.1875,22.40625,19.69531,22.125,6269400
2001-03-02,21.3125,22.15625,20.5,20.6875,7060200
2001-03-05,20.9375,21.71875,20.4375,21.0625,2810000
2001-03-06,21.8125,23.09375,21.34375,21.40625,8352600
2001-03-07,22.0,23.53125,21.9375,23.21875,10584000
2001-03-08,23.4375,23.6875,22.0,22.21875,5739000
2001-03-09,21.90625,21.9375,20.25,21.03125,7310000
2001-03-12,20.46875,22.125,20.03125,20.08594,8242600
2001-03-13,20.65625,22.17969,20.25,21.90625,8782800
2001-03-14,20.65625,22.03125,20.3125,21.125,6515200
2001-03-15,21.6875,21.96875,14.375,14.90625,88643600
2001-03-16,14.4375,15.28125,13.34375,15.1875,27763800
2001-03-19,15.1875,15.75,14.25,15.59375,9413200
2001-03-20,15.78125,16.0,14.5,14.53125,7948200
2001-03-21,14.65625,15.21875,14.09375,14.46875,10151400
2001-03-22,14.65625,15.34375,14.21875,15.25,8611000
2001-03-23,15.59375,16.3125,15.125,15.21875,4563800
2001-03-26,15.8125,16.25,14.9375,15.14844,5322800
2001-03-27,15.25,16.4375,15.0,16.09375,7836400
2001-03-28,15.9375,15.96875,14.09375,14.34375,6541600
2001-03-29,14.0,15.0,13.71875,14.0,6911600
2001-03-30,13.96875,14.03125,13.5,13.875,7498600
2001-04-02,13.90625,14.0,11.4375,12.4375,19680200
2001-04-03,12.21875,12.34375,11.3125,11.71875,13090400
2001-04-04,11.71875,12.90625,11.6875,12.4375,13358000
2001-04-05,13.15625,14.875,13.125,14.80469,13469400
2001-04-06,14.0,15.3125,13.90625,14.75,8190200
2001-04-09,14.715,15.75,14.55,14.87,5655400
2001-04-10,15.125,16.0,15.06,15.6,7338400
2001-04-11,16.05,16.08,14.25,14.54,10805600
2001-04-12,14.485,15.05,14.02,14.585,8394000
2001-04-16,14.575,14.58,13.55,13.615,4340600
2001-04-17,13.51,14.61,13.35,14.265,6726000
2001-04-18,14.83,15.75,14.305,15.255,11911600
2001-04-19,15.215,15.875,14.68,15.86,5711200
2001-04-20,15.36,15.795,15.0,15.495,6855600
2001-04-23,15.49,15.5,14.635,14.73,4455200
2001-04-24,14.81,15.475,13.905,14.69,5894400
2001-04-25,14.63,15.5,14.38,15.44,2911000
2001-04-26,15.65,16.475,14.4,14.685,5851200
2001-04-27,15.195,15.825,15.035,15.225,4024000
2001-04-30,15.55,16.67,15.375,16.02,8002600
2001-05-01,15.86,16.375,15.36,16.06,5943400
2001-05-02,16.26,16.75,16.17,16.485,6761800
2001-05-03,16.24,16.25,15.42,15.45,3765600
2001-05-04,15.25,17.375,14.925,17.37,7326200
2001-05-07,17.18,17.535,16.4,16.5,7223200
2001-05-08,17.01,17.5,16.875,17.445,7104800
2001-05-09,17.18,17.18,16.46,17.02,8779600
2001-05-10,17.14,17.625,16.975,17.015,6811200
2001-05-11,17.045,17.425,16.61,16.76,3422200
2001-05-14,16.725,16.745,16.415,16.655,2598400
2001-05-15,16.655,17.125,16.14,16.47,4336200
2001-05-16,16.12,17.475,16.12,17.305,5286400
2001-05-17,17.34,17.945,16.875,17.615,4053600
2001-05-18,16.525,16.605,15.63,16.11,7587600
2001-05-21,16.35,16.475,15.325,15.81,10007000
2001-05-22,16.09,16.15,15.195,15.575,12751800
2001-05-23,16.945,17.25,16.445,16.675,15598000
2001-05-24,16.5,17.725,16.25,17.665,6954400
2001-05-25,17.675,18.22,17.225,17.88,7000800
2001-05-29,17.76,17.8,15.925,16.205,7362600
2001-05-30,15.855,16.15,15.0,15.18,6140200
2001-05-31,15.3,16.45,15.27,16.03,4289600
2001-06-01,16.305,16.5,15.25,16.195,3888800
2001-06-04,16.255,16.75,15.515,15.935,2460000
2001-06-05,15.985,16.925,15.98,16.805,3865800
2001-06-06,16.89,17.575,16.325,17.24,4795800
2001-06-07,17.145,17.815,16.79,17.81,4968000
2001-06-08,17.705,18.71,17.65,17.795,7189200
2001-06-11,17.65,18.5,17.5,17.97,6956200
2001-06-12,17.51,18.425,17.45,18.375,6730400
2001-06-13,18.45,18.7,18.19,18.365,5956000
2001-06-14,18.0,18.24,17.305,17.47,6037200
2001-06-15,17.2,18.375,17.025,17.895,6096200
2001-06-18,18.025,18.115,17.475,17.67,3117400
2001-06-19,17.905,18.35,17.405,17.81,9535600
2001-06-20,17.495,19.2,17.495,18.925,8728000
2001-06-21,18.875,19.765,18.875,19.74,5595600
2001-06-22,19.445,19.445,17.755,17.84,5432000
2001-06-25,18.245,18.65,17.5,17.935,5517200
2001-06-26,17.8,18.425,17.275,18.075,7080000
2001-06-27,17.875,18.545,17.84,18.335,3819600
2001-06-28,18.515,19.72,18.3,19.165,9541600
2001-06-29,19.115,20.375,18.56,19.995,4374400
2001-07-02,19.405,19.575,18.9,19.415,3538000
2001-07-03,19.23,19.35,18.3,18.63,2491000
2001-07-05,18.575,19.125,18.45,18.48,4009800
2001-07-06,18.425,18.435,17.44,17.445,4739200
2001-07-09,17.77,18.44,17.25,17.995,3497400
2001-07-10,18.09,18.685,17.475,17.59,2584000
2001-07-11,17.655,18.245,17.245,18.005,4018800
2001-07-12,18.475,19.325,18.355,18.995,4253600
2001-07-13,18.79,18.93,18.115,18.67,6921000
2001-07-16,18.625,18.845,17.235,17.425,7271200
2001-07-17,17.235,17.975,16.915,17.37,5979600
2001-07-18,17.38,17.555,16.57,16.62,5298000
2001-07-19,17.215,17.5,16.0,16.55,5673400
2001-07-20,16.7,17.1,16.195,16.59,3377200
2001-07-23,16.595,17.12,16.06,16.06,3213600
2001-07-24,16.15,16.695,15.55,16.09,3419400
2001-07-25,16.155,16.85,16.0,16.535,3132000
2001-07-26,16.58,17.07,16.0,17.0,2649800
2001-07-27,17.095,17.1,16.475,16.64,3845800
2001-07-30,16.805,17.7,16.715,17.055,3843200
2001-07-31,17.145,17.595,17.005,17.19,2949400
2001-08-01,17.25,17.26,16.72,17.135,3314000
2001-08-02,17.18,17.465,16.05,16.36,4457800
2001-08-03,16.57,16.575,15.925,16.235,2023200
2001-08-06,16.21,16.3,15.575,15.72,3446800
2001-08-07,15.745,16.39,15.61,15.85,2850600
2001-08-08,15.75,16.735,15.625,15.64,4107400
2001-08-09,15.695,16.2,15.52,15.795,2217400
2001-08-10,15.65,16.0,15.11,15.3,4318800
2001-08-13,15.815,15.815,14.515,15.33,7355000
2001-08-14,15.54,15.76,14.83,14.85,5152200
2001-08-15,14.815,15.18,14.5,14.54,8684200
2001-08-16,14.49,15.4,14.27,15.36,4570200
2001-08-17,14.96,15.63,14.96,15.045,3200600
2001-08-20,15.12,15.66,14.845,15.6,2357000
2001-08-21,15.42,16.005,14.615,14.725,6364400
2001-08-22,16.45,18.125,16.375,18.02,24353200
2001-08-23,18.075,18.48,17.745,17.86,10307200
2001-08-24,18.125,19.53,17.935,19.52,9775400
2001-08-27,19.275,19.505,18.58,19.04,8519600
2001-08-28,19.115,19.585,18.28,18.63,5237400
