,open,high,low,close,volume
2000-12-21,23.5,24.25,23.3125,24.125,598200
2000-12-22,24.40625,25.3125,24.125,24.9375,841800
2000-12-26,25.21875,25.84375,25.21875,25.6875,388600
2000-12-27,25.5,26.3125,25.34375,26.125,650000
2000-12-28,26.15625,26.9375,25.4375,26.53125,728800
2000-12-29,26.5625,27.15625,25.9375,26.0,791800
2001-01-02,26.0,27.59375,25.96875,27.1875,1022200
2001-01-03,27.3125,28.53125,26.5,28.53125,1701400
2001-01-04,28.46875,31.0,28.375,30.0,1647600
2001-01-05,30.0,30.0,28.875,28.96875,1263200
2001-01-08,28.5,28.75,28.0,28.53125,1464200
2001-01-09,28.53125,29.6875,28.28125,29.40625,1485600
2001-01-10,29.0,29.1875,28.375,29.125,1073400
2001-01-11,29.15625,30.40625,28.96875,30.03125,1027000
2001-01-12,29.9375,29.9375,29.0625,29.78125,652000
2001-01-16,29.78125,29.875,29.09375,29.375,1326400
2001-01-17,29.40625,29.5625,29.09375,29.15625,902600
2001-01-18,29.15625,30.59375,29.15625,30.40625,1202800
2001-01-19,30.5,31.0,30.25,31.0,1760800
2001-01-22,31.0,31.34375,30.90625,31.1875,699600
2001-01-23,31.1875,31.71875,31.0,31.53125,717200
2001-01-24,31.3125,31.625,31.09375,31.46875,411600
2001-01-25,31.40625,31.71875,31.125,31.5,563400
2001-01-26,31.28125,31.59375,31.03125,31.375,460200
2001-01-29,31.92,32.075,31.25,31.75,579200
2001-01-30,31.45,32.23,31.29,32.18,767400
2001-01-31,31.875,32.5,31.7,32.49,857400
2001-02-01,32.5,32.5,32.05,32.205,498600
2001-02-02,32.25,32.575,32.185,32.325,841200
2001-02-05,32.35,32.8,32.28,32.78,800000
2001-02-06,32.725,33.85,32.725,33.285,797200
2001-02-07,33.41,34.375,33.3,34.05,1307000
2001-02-08,33.55,33.8,33.2,33.5,1633800
2001-02-09,33.495,33.65,32.605,33.135,886000
2001-02-12,33.135,33.45,33.025,33.275,788000
2001-02-13,33.5,33.595,33.33,33.42,827000
2001-02-14,33.42,33.62,32.865,32.915,866200
2001-02-15,32.19,33.78,32.19,33.3,1111400
2001-02-16,33.3,33.64,32.35,32.535,931600
2001-02-20,32.66,33.55,32.6,33.47,545200
2001-02-21,33.495,34.5,33.425,34.375,1210200
2001-02-22,33.875,34.205,32.725,33.275,1436000
2001-02-23,33.25,33.675,32.81,33.28,717400
2001-02-26,33.5,34.325,33.275,34.245,658400
2001-02-27,34.125,34.175,33.675,33.785,736400
2001-02-28,33.5,33.525,32.84,33.24,641200
2001-03-01,32.865,33.305,32.8,33.0,865200
2001-03-02,33.005,33.99,32.75,33.72,971000
2001-03-05,33.77,33.955,33.445,33.76,713800
2001-03-06,34.0,34.48,33.75,34.305,782800
2001-03-07,34.65,34.65,33.6,34.135,968400
2001-03-08,34.25,35.185,33.85,35.095,801200
2001-03-09,34.97,34.97,34.19,34.495,590200
2001-03-12,34.62,34.85,34.075,34.145,617000
2001-03-13,34.27,34.27,32.74,32.8,904200
2001-03-14,31.5,32.09,31.375,31.73,1518600
2001-03-15,31.725,31.725,31.37,31.5,1065400
2001-03-16,31.45,31.57,31.175,31.21,1369400
2001-03-19,31.25,31.905,31.25,31.565,971200
2001-03-20,31.56,31.65,31.2,31.245,1129000
2001-03-21,31.295,31.295,30.21,30.215,421800
2001-03-22,30.25,30.375,29.45,30.29,949200
2001-03-23,30.0,30.0,29.4,29.6,1349000
2001-03-26,29.775,30.555,29.65,30.5,1694200
2001-03-27,30.87,30.9,30.15,30.785,946200
2001-03-28,30.785,30.94,30.4,30.94,930600
2001-03-29,30.875,30.925,30.425,30.865,708400
2001-03-30,31.15,31.3,30.395,31.23,781000
2001-04-02,31.825,32.425,31.225,31.795,968000
2001-04-03,31.795,31.925,30.755,31.49,972000
2001-04-04,31.65,32.575,31.65,32.375,641200
2001-04-05,33.0,33.325,32.6,33.28,972200
2001-04-06,33.175,33.83,32.38,33.255,1028200
2001-04-09,33.255,33.99,33.21,33.88,649000
2001-04-10,34.0,34.55,33.785,34.515,843800
2001-04-11,35.065,35.065,33.71,34.09,882400
2001-04-12,34.09,35.05,33.9,34.77,1220600
2001-04-16,34.95,35.55,34.1,34.745,749200
2001-04-17,34.95,35.345,34.8,35.03,877200
2001-04-18,35.625,37.9,35.525,37.55,1886800
2001-04-19,37.15,37.15,36.2,37.0,1287800
2001-04-20,37.05,37.05,36.4,36.72,592400
2001-04-23,36.45,36.75,36.115,36.685,485400
2001-04-24,36.95,37.125,36.225,36.54,1040400
2001-04-25,36.0,36.975,35.625,36.975,1060800
2001-04-26,36.85,37.485,36.8,37.3,666600
