,open,high,low,close,volume
2001-02-22,27.1,27.48,26.99,27.04,798900
2001-02-23,27.05,27.21,26.72,27.05,913800
2001-02-26,26.6,27.14,26.44,27.0,425400
2001-02-27,26.75,26.98,26.28,26.36,896200
2001-02-28,26.45,26.7,26.17,26.59,1054700
2001-03-01,26.35,28.0,26.2,27.92,1049100
2001-03-02,27.5,27.51,26.85,27.08,783100
2001-03-05,27.1,27.4,26.91,27.23,387300
2001-03-06,27.05,27.45,26.97,27.29,617800
2001-03-07,27.25,27.35,26.83,27.05,375500
2001-03-08,27.03,27.34,26.95,27.31,335300
2001-03-09,27.25,27.52,27.05,27.4,353800
2001-03-12,27.3,27.31,26.99,27.0,354900
2001-03-13,27.1,27.6,27.05,27.6,812400
2001-03-14,27.05,27.2,27.0,27.08,640000
2001-03-15,27.02,27.64,26.85,27.52,935700
2001-03-16,27.3,27.85,27.25,27.37,1385800
2001-03-19,27.48,27.65,27.01,27.03,828700
2001-03-20,27.05,27.28,26.38,26.38,533600
2001-03-21,26.3,26.55,26.0,26.0,419700
2001-03-22,25.6,26.18,25.35,26.08,736500
2001-03-23,26.08,26.5,25.61,26.28,994600
2001-03-26,26.45,26.45,25.94,26.24,400200
2001-03-27,26.37,26.54,26.14,26.4,755500
2001-03-28,26.4,26.98,26.4,26.77,577800
2001-03-29,26.78,27.08,26.7,26.91,686700
2001-03-30,26.85,27.15,26.79,27.03,1172900
2001-04-02,26.9,27.2,26.5,26.76,959400
2001-04-03,26.0,26.37,25.85,26.02,956100
2001-04-04,26.0,27.15,25.95,27.0,828400
2001-04-05,27.01,27.01,26.22,26.49,543500
2001-04-06,26.4,27.1,26.2,26.55,652200
2001-04-09,26.7,27.0,26.47,26.74,505500
2001-04-10,26.5,26.95,26.0,26.22,627600
2001-04-11,26.15,26.19,25.65,26.05,729200
2001-04-12,26.05,26.9,26.05,26.83,832900
2001-04-16,26.95,27.09,25.95,26.04,912400
2001-04-17,26.05,26.55,26.05,26.47,427200
2001-04-18,26.5,26.5,25.25,25.55,1736500
2001-04-19,25.3,26.29,25.03,26.18,915800
2001-04-20,26.0,26.15,25.0,25.23,949000
2001-04-23,25.48,26.0,25.4,25.8,794000
2001-04-24,25.8,25.85,25.18,25.18,736200
2001-04-25,25.25,25.49,25.15,25.47,565600
2001-04-26,25.4,25.95,25.2,25.48,778600
2001-04-27,25.7,25.7,25.39,25.5,587200
2001-04-30,25.5,25.68,25.25,25.5,635700
2001-05-01,25.3,25.71,25.2,25.59,582400
2001-05-02,25.5,25.7,25.25,25.58,657600
2001-05-03,25.45,25.47,25.0,25.3,627800
2001-05-04,25.29,25.8,25.18,25.74,424000
2001-05-07,25.7,25.98,25.53,25.79,505600
2001-05-08,25.75,26.12,25.56,25.71,619300
2001-05-09,25.55,26.0,25.45,25.6,516000
2001-05-10,25.8,25.94,25.45,25.76,335500
2001-05-11,25.74,26.15,25.46,25.69,306300
2001-05-14,25.5,25.74,25.37,25.5,306600
2001-05-15,25.55,25.57,25.21,25.38,542000
2001-05-16,25.18,26.29,25.1,26.21,758100
2001-05-17,25.81,26.01,25.2,25.5,834000
2001-05-18,25.3,25.49,25.11,25.33,532900
2001-05-21,25.5,26.5,25.06,26.3,1089800
