,open,high,low,close,volume
2001-02-22,40.5,44.0,38.6875,41.0,11015700
2001-02-23,41.17188,43.5,38.75,43.375,10375300
2001-02-26,43.4375,43.5,40.375,42.3125,7125700
2001-02-27,41.5,42.375,39.0625,40.0,6356000
2001-02-28,40.125,40.125,34.8125,35.75,11517400
2001-03-01,33.1875,39.5625,31.875,39.4375,12164400
2001-03-02,38.375,43.125,37.125,39.875,9652200
2001-03-05,41.1875,43.0,40.375,41.75,5209900
2001-03-06,43.5625,45.9375,43.5,45.0,9040400
2001-03-07,44.875,46.25,43.625,45.625,7782500
2001-03-08,45.0625,46.0,43.25,45.375,9100400
2001-03-09,44.0625,45.0,41.1875,41.6875,8240700
2001-03-12,40.4375,44.375,40.125,41.25,10233700
2001-03-13,42.25,43.8125,41.6875,43.8125,8412200
2001-03-14,42.4375,45.5,42.25,44.9375,11885400
2001-03-15,46.375,46.5625,41.0625,41.1875,11233400
2001-03-16,39.4375,40.25,37.875,38.5625,9927500
2001-03-19,39.0625,42.0625,37.875,41.75,7711600
2001-03-20,41.125,42.8125,38.25,38.375,12651800
2001-03-21,38.8125,41.75,38.26563,39.9375,9466300
2001-03-22,41.0,45.875,40.9375,45.625,15445000
2001-03-23,47.1875,47.8125,43.9375,44.9375,18099000
2001-03-26,44.6875,46.0,44.0,44.9375,10049700
2001-03-27,44.25,47.625,43.375,45.375,12616000
2001-03-28,45.0,47.375,42.25,42.5,12242500
2001-03-29,42.625,44.8125,40.0,41.6875,11835400
2001-03-30,41.0,41.0,38.75,39.375,12955600
2001-04-02,39.0,39.9375,33.6875,34.8125,12135900
2001-04-03,35.125,37.375,34.6875,35.4375,12591100
2001-04-04,35.625,35.73438,31.75,32.75,12328100
2001-04-05,34.4375,38.0625,34.125,37.1875,9803700
2001-04-06,36.4375,37.625,34.75,36.0,9312000
2001-04-09,35.75,36.25,31.75,34.01,8604100
2001-04-10,34.45,38.0,33.2,36.84,11344300
2001-04-11,41.6,43.56,40.35,41.04,16099000
2001-04-12,40.65,44.9,40.0,44.04,8563300
2001-04-16,43.0,44.95,41.42,43.46,8283700
2001-04-17,42.72,44.69,41.5,42.73,9789600
2001-04-18,46.06,50.1,45.95,47.08,16883500
2001-04-19,48.35,52.86,48.35,52.8,13868800
2001-04-20,53.15,53.5,51.0,52.11,10399600
2001-04-23,50.53,51.04,49.5,50.6,8762200
2001-04-24,51.35,54.04,48.76,50.23,10961100
2001-04-25,49.9,53.4,49.56,52.57,10323900
2001-04-26,54.0,54.1,48.0,50.35,8869400
2001-04-27,51.64,53.5,51.4,52.64,6025400
2001-04-30,53.0,56.63,51.91,54.96,9361900
2001-05-01,54.71,55.44,52.17,55.35,7926800
2001-05-02,56.17,56.67,53.15,53.99,7563900
2001-05-03,53.05,53.05,49.59,51.06,8127900
2001-05-04,49.32,51.45,48.48,50.82,7881600
2001-05-07,51.14,52.15,49.0,49.28,5397300
2001-05-08,50.26,51.81,49.51,51.79,4544200
2001-05-09,50.26,50.65,48.55,49.53,7544200
2001-05-10,52.9,53.45,50.1,50.12,10722700
2001-05-11,50.25,52.19,49.65,50.83,5422700
2001-05-14,50.58,50.75,48.5,49.73,4186600
2001-05-15,49.72,51.63,48.95,49.13,5749300
2001-05-16,48.89,54.9,48.25,54.87,8703000
2001-05-17,54.15,55.95,53.54,54.73,7895900
2001-05-18,53.66,55.7,53.5,55.46,5211600
2001-05-21,55.5,60.59,55.26,60.59,8466800
2001-05-22,60.2,61.0,57.0,59.08,7192700
2001-05-23,58.08,58.09,55.27,55.52,6702700
2001-05-24,55.09,57.09,53.9,57.07,7164900
2001-05-25,58.05,58.5,56.51,56.61,5470400
2001-05-29,56.3,56.3,53.28,53.8,4261000
2001-05-30,52.01,52.6,49.44,49.58,7582800
2001-05-31,48.5,53.5,48.5,51.62,8464100
2001-06-01,53.05,54.0,50.97,52.73,5540000
2001-06-04,53.0,53.5,51.03,52.2,4004900
2001-06-05,52.33,58.12,52.26,55.97,8679700
2001-06-06,55.75,57.88,54.64,57.0,7314600
2001-06-07,56.64,60.69,56.46,60.65,8252300
2001-06-08,60.5,60.8,58.15,58.75,4930800
2001-06-11,58.16,58.25,56.75,56.86,5394800
2001-06-12,54.5,58.65,54.0,57.81,8074900
2001-06-13,58.0,60.0,56.65,57.09,7547500
2001-06-14,55.8,56.7,53.59,53.87,8040200
2001-06-15,52.4,55.1,52.0,54.64,6394000
