,open,high,low,close,volume
2000-12-22,29.5,29.5,28.75,29.4375,7483600
2000-12-26,29.4375,30.0,29.3125,30.0,5670000
2000-12-27,30.0,30.6875,30.0,30.28125,7711000
2000-12-28,30.28125,30.96875,30.28125,30.53125,5520800
2000-12-29,30.53125,30.5625,30.09375,30.46875,4970400
2001-01-02,30.46875,30.96875,30.125,30.40625,10606000
2001-01-03,30.40625,31.09375,29.53125,29.625,12469600
2001-01-04,29.4375,29.4375,28.375,28.78125,14770600
2001-01-05,28.78125,29.375,28.75,28.84375,7960200
2001-01-08,28.90625,29.84375,28.90625,29.3125,9529200
2001-01-09,29.3125,29.96875,28.8125,29.6875,8516200
2001-01-10,29.625,29.625,28.9375,29.5625,7963200
2001-01-11,29.4375,29.4375,28.5625,28.6875,6909000
2001-01-12,28.6875,28.71875,28.125,28.3125,7212000
2001-01-16,28.3125,28.65625,28.09375,28.5,7163600
2001-01-17,28.53125,29.34375,28.53125,28.96875,7651800
2001-01-18,28.96875,29.34375,28.46875,28.5625,7014400
2001-01-19,28.5625,28.5625,27.65625,27.90625,9824200
2001-01-22,27.90625,28.03125,27.59375,27.84375,6874600
2001-01-23,27.84375,28.59375,27.71875,28.4375,7707800
2001-01-24,28.4375,29.03125,28.0625,29.03125,9189400
2001-01-25,29.03125,29.5,28.90625,29.3125,7486800
2001-01-26,29.3125,29.59375,28.75,28.96875,6394600
2001-01-29,28.8,28.85,28.265,28.56,5123000
2001-01-30,28.63,29.135,28.63,28.955,5507600
2001-01-31,28.955,29.1,28.285,29.0,8614000
2001-02-01,28.75,28.75,28.305,28.72,6720800
2001-02-02,28.72,28.99,28.595,28.87,6059400
2001-02-05,28.87,29.805,28.81,29.6,9183600
2001-02-06,29.6,29.885,29.17,29.71,6257000
2001-02-07,29.71,30.27,29.635,30.0,9615600
2001-02-08,30.0,30.495,29.78,30.305,6654600
2001-02-09,30.305,30.47,29.975,30.07,4456400
2001-02-12,30.07,30.435,29.75,30.41,6766000
2001-02-13,30.04,30.04,29.725,29.98,6660600
2001-02-14,29.925,29.925,29.565,29.75,5678000
2001-02-15,29.475,29.475,28.495,29.185,11421200
2001-02-16,29.205,29.74,29.205,29.68,7635600
2001-02-20,29.68,30.49,29.2,29.235,15772000
2001-02-21,28.15,28.15,27.06,27.46,19289000
2001-02-22,27.46,27.46,25.705,26.495,18957800
2001-02-23,26.4,26.4,25.755,26.0,9069200
2001-02-26,26.0,26.29,25.725,26.235,9415600
2001-02-27,26.235,26.415,25.77,26.0,7369600
2001-02-28,26.0,26.575,25.955,26.515,11189600
2001-03-01,26.515,26.95,26.175,26.35,9725000
