,open,high,low,close,volume
2001-02-22,16.831667,17.05,16.7,16.833333,7898400.0
2001-02-23,16.75,16.833333,16.385,16.416667,11412000.0
2001-02-26,16.625,17.176667,16.461667,17.07,13651200.0
2001-02-27,17.0,17.816667,16.925,17.733333,10105200.0
2001-02-28,18.058333,18.216667,17.92,18.111667,14421600.0
2001-03-01,18.075,18.383333,17.856667,17.891667,8388000.0
2001-03-02,17.983333,18.626667,17.966667,18.185,10065600.0
2001-03-05,18.5,18.616667,18.35,18.418333,10562400.0
2001-03-06,18.491667,18.615,18.316667,18.588333,7632000.0
2001-03-07,18.588333,18.816667,18.52,18.803333,12153600.0
2001-03-08,18.8,19.133333,18.758333,19.066667,10674000.0
2001-03-09,19.125,19.516667,19.05,19.461667,8402400.0
2001-03-12,19.461667,19.461667,19.0,19.013333,8582400.0
2001-03-13,19.013333,19.016667,18.816667,18.981667,7934400.0
2001-03-14,18.758333,18.816667,18.15,18.373333,8344800.0
2001-03-15,18.583333,18.733333,18.458333,18.606667,6638400.0
2001-03-16,18.278333,18.783333,18.143333,18.308333,11592000.0
2001-03-19,18.35,18.433333,18.133333,18.433333,9259200.0
2001-03-20,18.433333,18.491667,17.966667,18.023333,9727200.0
2001-03-21,18.05,18.136666,17.833334,18.073334,5926500.0
2001-03-22,17.933333,17.933333,17.0,17.583333,7446600.0
2001-03-23,17.55,18.056667,17.416667,18.033333,6720300.0
2001-03-26,18.35,18.733333,18.133333,18.663333,7631100.0
2001-03-27,18.733333,18.916667,18.633333,18.91,9168300.0
2001-03-28,18.906667,18.906667,18.686667,18.866667,4868100.0
2001-03-29,18.866667,19.096667,18.853333,19.053333,5543100.0
2001-03-30,19.566667,19.983333,19.36,19.803333,6568200.0
2001-04-02,19.803333,20.086667,19.65,19.96,9962100.0
2001-04-03,20.0,20.0,19.066667,19.22,7172100.0
2001-04-04,19.033333,19.066667,18.836667,19.033333,6245100.0
2001-04-05,19.25,19.4,19.066667,19.383333,7342200.0
2001-04-06,19.383333,19.57,19.266667,19.323333,4417200.0
2001-04-09,19.233333,19.806667,19.2,19.7,4584600.0
2001-04-10,19.916667,20.216667,19.743333,19.99,5715000.0
2001-04-11,20.5,20.5,19.733333,19.91,7313400.0
2001-04-12,19.766667,19.983333,19.35,19.486667,3706200.0
2001-04-16,19.416667,19.95,19.34,19.626667,4303800.0
2001-04-17,19.566667,20.013333,19.55,19.99,3299400.0
2001-04-18,20.033333,20.08,19.8,20.026667,6298200.0
2001-04-19,19.916667,20.146667,19.826667,19.933333,5289300.0
2001-04-20,19.85,20.033333,19.776667,19.836667,4650300.0
2001-04-23,19.583333,20.173333,19.576667,20.06,4716000.0
2001-04-24,20.15,20.8,20.113333,20.733333,9221400.0
2001-04-25,20.966667,21.833333,20.76,21.613333,10309500.0
2001-04-26,21.833333,22.7,21.833333,22.333333,8987400.0
2001-04-27,22.333333,22.826667,21.926667,22.533333,6255900.0
2001-04-30,22.533333,22.716667,22.326667,22.47,5882400.0
2001-05-01,22.5,22.5,21.533333,21.953333,7818300.0
2001-05-02,22.243333,22.306667,21.766667,21.81,7413300.0
2001-05-03,21.866667,22.0,21.83,21.916667,7838100.0
2001-05-04,21.903333,24.133333,21.82,23.866667,21195000.0
2001-05-07,23.666667,23.833333,23.236667,23.42,9459900.0
2001-05-08,23.166667,23.42,22.966667,23.316667,5761800.0
2001-05-09,23.383333,23.433333,23.316667,23.333333,6050700.0
2001-05-10,23.483333,23.496667,23.193333,23.326667,5065200.0
2001-05-11,23.416667,23.443333,23.233333,23.316667,4353300.0
2001-05-14,23.33,23.4,23.25,23.393333,4266000.0
2001-05-15,23.6,24.026667,23.266667,23.833333,6646500.0
2001-05-16,23.833333,23.983333,23.596667,23.866667,8116200.0
2001-05-17,23.983333,24.03,23.5,23.686667,4766400.0
2001-05-18,23.696667,23.926667,23.696667,23.78,4045500.0
2001-05-21,23.996667,24.166667,23.65,23.733333,5148000.0
2001-05-22,23.766667,23.766667,23.44,23.45,5009400.0
2001-05-23,23.316667,23.45,23.0,23.106667,5786100.0
2001-05-24,23.033333,23.413333,23.016667,23.33,6070500.0
